Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
-0.2905,0.1121,3.2508,0.6391,2.0999,1.952,1.6438,0.9114,1.649,4.5884,1 
-0.5057,-0.5843,0.7269,2.7468,1.4417,1.8892,0.8127,0.9918,1.3101,1.9144,1 
0.8228,0.916,3.7168,2.5193,3.8287,3.0824,2.3686,2.2945,0.6638,0.9566,1 
-1.637,1.3281,2.4175,2.7177,3.0022,1.7955,1.9671,1.6269,2.3158,1.6953,1 
0.3627,-0.5607,1.6986,2.3217,2.3604,1.8045,0.6594,3.0946,0.8244,1.7024,1 
-0.5536,-0.555,2.4462,2.8325,1.6993,1.3096,1.796,2.0337,2.7006,1.0037,1 
-0.7819,-1.4329,1.8558,0.7072,2.5555,3.111,2.256,2.7546,0.0561,2.3707,1 
0.3293,-0.734,-1.6792,2.0869,2.3777,4.4929,2.253,1.8117,0.8904,2.1039,1 
1.3324,1.107,1.604,0.7597,2.6559,4.3801,1.0253,2.6602,2.9677,1.8593,1 
-0.3996,0.3324,2.3668,2.6723,1.8739,1.6838,2.7733,0.2817,3.1299,2.3509,1 
-0.3282,-1.6252,0.9757,2.3754,1.0365,1.7397,0.0279,0.9353,3.1883,2.3533,1 
2.0826,-1.1929,1.2435,1.7918,1.8086,2.7848,1.2531,0.9452,2.6658,-0.6012,1 
-2.1883,0.3662,3.1358,3.1973,2.9266,0.4845,1.8953,1.7815,2.067,1.0046,1 
0.0093,0.8846,2.9525,1.971,2.0064,2.6486,2.2591,2.6926,0.8213,2.024,1 
-0.489,-0.0848,2.0414,1.4507,1.7323,2.9957,3.9544,1.5667,2.6927,3.564,1 
1.3304,0.3931,0.3221,3.5577,1.5781,2.4797,1.4762,1.6179,2.2998,1.1475,1 
1.4177,-0.0679,3.0888,2.3243,2.6869,1.8222,2.283,0.9294,3.4446,2.5241,1 
0.9648,-2.3182,0.466,1.682,2.9885,1.5842,1.1022,0.893,1.2991,1.4105,1 
0.821,0.1963,0.5403,2.0947,3.124,1.2201,0.5932,2.3168,1.4465,3.0279,1 
-0.5727,0.3683,2.2381,3.0487,2.1474,2.7739,3.1836,0.1389,3.2897,1.669,1 
-0.0976,0.905,2.2771,1.66,0.497,1.5608,1.9198,0.779,3.379,3.0949,1 
-0.4254,-1.2828,-0.2083,1.5673,0.2556,2.7249,-0.1674,2.3328,1.3483,2.075,1 
