Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
0.8591,-0.3732,-0.0852,2.003,1.2759,2.2024,1.5681,0.351,1.2589,0.8094,1 
-0.1926,0.2103,2.5125,2.7272,0.6199,0.836,2.7145,4.2226,1.0183,2.3627,1 
-0.4081,-0.6256,0.1798,0.4536,2.6556,1.6586,3.916,0.6772,2.8707,0.5647,1 
-0.6087,-0.4425,1.0428,3.0949,1.4781,4.0706,1.4734,2.6485,1.043,1.1997,1 
0.0734,0.1376,0.8112,2.2139,2.743,1.1645,2.3008,1.3398,1.5074,2.6593,1 
-1.6214,0.0001,2.7758,0.8269,1.8082,0.5059,1.8869,1.979,1.2024,1.2103,1 
0.9589,-0.2056,3.2168,3.5782,2.2645,0.6076,1.3085,4.314,1.7661,3.5136,1 
0.4709,1.5354,2.6628,3.2329,0.9779,2.5166,2.6724,1.6095,0.8107,2.6822,1 
-0.015,-0.1041,1.0453,0.3329,2.3393,2.2467,3.5903,3.2043,2.2644,2.5338,1 
0.5291,-1.0393,2.5896,-0.2757,1.6957,2.1217,2.0756,4.5778,0.9312,1.5781,1 
-0.1143,0.7663,1.7181,1.3187,2.549,2.4798,0.8481,0.6073,3.052,2.0957,1 
-0.48,-2.1313,2.5819,2.6509,2.5019,0.7478,1.9089,2.6228,1.4577,1.206,1 
-0.3197,-1.5971,3.7171,2.2369,2.5696,1.7221,1.1315,1.3836,3.1257,2.0347,1 
0.0597,-1.1298,2.7832,-0.0997,1.9416,3.3909,4.0603,2.4463,2.1151,3.6184,1 
0.0284,0.1731,1.123,3.2425,2.153,1.6672,2.6399,2.3506,2.8482,2.0483,1 
0.214,0.675,0.556,2.3009,2.5255,2.8931,2.4051,2.2849,2.1379,1.4515,1 
-0.4633,-1.2145,3.6475,2.6371,2.938,2.2635,1.7821,0.7905,0.269,1.644,1 
1.8036,-0.8845,2.6995,2.4967,1.4803,2.1665,3.1375,2.2156,0.2755,2.0858,1 
-0.8602,0.7251,4.3905,1.3862,1.267,1.3362,3.0081,2.0477,0.6156,2.3704,1 
-0.2454,-0.9937,2.6152,0.9378,1.5197,1.4208,3.4326,2.1616,2.1793,3.2306,1 
-0.7335,-1.2112,1.2051,1.7163,0.4533,3.4967,2.0094,1.8343,2.0683,2.714,1 
-0.3081,-0.8822,1.1478,1.3618,0.0068,3.9882,0.541,2.1284,2.2259,2.1591,1 
-1.0404,0.7218,1.7884,1.8526,1.8843,1.7377,1.0847,3.0316,2.6666,1.3913,1 
-0.9314,-2.0066,-0.0941,1.8826,2.7485,0.9342,1.7638,3.1281,1.6641,1.8362,1 
-0.4009,-0.2971,0.4893,1.6722,1.7708,1.0452,1.5832,1.4822,2.0531,1.885,1 
0.4124,-0.8405,0.5196,2.2884,0.0209,2.6631,4.2978,2.8109,1.9593,1.2596,1 
1.3609,0.0243,2.295,2.1835,2.7789,1.738,3.3526,1.8868,4.6426,1.2159,1 
0.8426,-0.3578,3.1136,2.8536,1.3707,2.9237,3.339,2.0359,1.1907,1.3048,1 
-0.4617,1.6873,2.1936,1.2696,2.4772,2.9445,2.5501,1.5577,1.2397,1.1698,1 
-0.2155,0.3879,1.4493,2.1181,0.3713,1.4088,1.0004,2.2292,2.5899,0.5143,1 
2.1393,0.1555,1.5492,2.3624,1.1253,2.4847,2.6743,0.9431,0.787,4.2233,1 
0.6084,2.4214,1.5667,3.3332,1.973,1.4308,2.2077,1.9105,-0.422,2.3109,1 
0.9139,1.9855,3.3759,1.8588,3.8274,1.5937,-0.0365,2.6101,2.6294,1.3656,1 
0.0414,1.4081,1.9548,2.0317,1.6321,1.2001,2.976,1.7318,3.5578,1.8226,1 
-0.6245,0.1326,2.5878,3.3303,2.3431,3.9745,0.4529,2.0844,1.5171,2.9729,1 
0.2264,1.3965,1.6951,2.1503,2.453,2.6358,1.2399,1.5775,1.3157,3.1756,1 
0.7481,-0.387,4.216,2.254,2.3323,2.3315,2.2213,3.1425,2.9681,3.6329,1 
0.0078,-0.4344,2.9491,1.0827,2.3259,0.2379,2.3901,2.6093,1.6686,1.1254,1 
1.8997,0.808,1.4726,1.5698,1.8979,1.0615,1.9404,1.3278,1.7011,4.3565,1 
0.1182,-0.6768,1.4145,2.3637,0.6919,2.274,0.8043,1.0935,2.8833,1.1305,1 
-0.2794,-0.8368,1.0506,2.957,2.0658,2.2872,0.5279,3.1671,2.6024,4.1021,1 
0.0562,1.2333,3.0262,1.7914,2.2819,2.4601,3.7699,1.2485,1.1117,3.4503,1 
0.7498,-0.8315,0.7531,2.072,3.8701,0.2961,1.4959,1.4053,1.611,1.1839,1 
0.4541,0.809,2.1471,1.6059,3.2472,0.9074,2.4654,2.6582,3.7994,0.7757,1 
0.9792,-0.7712,1.8016,2.1852,1.52,0.684,1.4128,1.012,2.3558,3.1598,1 
1.4581,-0.2701,-0.0031,0.6387,0.5177,1.95,1.1469,2.786,2.141,2.4446,1 
-0.0172,0.8568,2.5188,1.7019,1.3214,2.5628,1.1056,3.6151,3.9067,2.9475,1 
-2.5293,-0.7348,2.4602,4.0278,2.7293,2.0713,2.1207,2.6238,1.3259,1.524,1 
0.1001,1.0579,3.8463,2.3492,1.5399,2.4102,1.8453,2.5915,2.3445,1.265,1 
-0.641,-1.1521,3.7698,1.7249,1.3233,1.848,1.5852,1.1622,2.8666,0.7135,1 
-0.7529,-1.1424,2.3192,-0.2425,1.3202,2.4646,3.1133,2.6188,1.6636,1.8409,1 
-0.4993,-1.6152,3.2732,0.8283,1.5374,2.7514,1.7719,3.2006,2.7994,2.8114,1 
-1.6043,-0.4362,1.2523,1.4117,1.3708,3.8805,1.3513,1.3388,3.2248,3.1161,1 
-0.4314,0.3266,3.5561,1.6951,1.4276,1.6247,2.219,2.8906,2.9506,2.0562,1 
-0.9272,0.4202,2.4565,1.4934,2.3314,1.3976,1.6233,1.9816,1.2987,5.1148,1 
0.355,-0.2463,2.3867,1.8663,1.9618,2.47,2.3134,0.139,1.2461,1.5874,1 
-0.4585,0.3143,1.8922,2.7129,2.7548,2.5103,1.9214,1.6062,2.8061,2.0562,1 
2.1979,-1.5641,2.1587,1.6932,1.8588,1.5404,2.6549,0.9657,1.5024,3.032,1 
-0.2564,-1.1665,2.1473,0.908,3.6778,1.1561,0.743,1.1009,1.285,1.546,1 
0.1824,0.8688,1.7813,1.1357,1.6342,2.2083,0.2218,1.67,1.2548,2.6805,1 
0.876,-1.2688,2.8742,2.346,3.4776,1.9747,2.4236,1.6277,2.9067,1.495,1 
-0.1102,-1.9116,1.0526,2.2156,2.5993,2.1264,2.6988,3.7113,3.3171,0.6491,1 
0.6856,1.8098,0.9404,-0.0383,2.6605,2.7456,2.1483,1.7916,2.7485,1.7761,1 
0.5821,0.3226,2.9755,3.7014,0.7378,2.9586,2.2447,2.4518,1.0389,1.7352,1 
0.3797,-0.5931,3.2781,1.3809,0.2468,2.0343,2.3618,1.9242,3.5669,4.845,1 
0.1106,-1.4227,1.0482,2.3116,2.3268,2.3772,2.1519,3.0668,1.0257,1.9571,1 
1.2616,-2.0426,2.4761,0.2308,1.6513,1.6311,0.2924,0.7111,2.5696,2.614,1 
0.7195,0.6229,1.5494,2.0379,2.2056,2.4812,2.5522,1.8476,1.1529,0.4418,1 
0.284,-0.3622,2.071,1.2266,1.0809,2.1478,2.7752,0.4661,1.7303,3.0347,1 
0.0692,-1.3823,2.2503,1.9144,2.0631,0.9793,0.7264,1.6022,2.7316,1.8051,1 
0.4709,-1.3508,1.98,0.4006,1.885,1.8652,1.5097,1.8796,2.6573,3.3928,1 
-0.666,-1.375,2.4951,1.9573,1.6673,0.8875,2.8277,2.0653,1.8945,3.4551,1 
0.9735,-1.9804,2.3966,3.7658,3.2249,0.827,2.5778,2.1853,3.6276,2.4969,1 
-1.1043,-0.2979,3.5768,1.8156,2.4768,2.127,1.8096,1.7614,2.7781,3.0409,1 
-0.1859,-1.9061,1.475,1.2726,2.959,2.9719,4.1178,2.4898,1.9512,0.9703,1 
1.1217,-0.4762,1.5699,0.8302,1.9916,2.5512,2.1872,3.0258,3.0031,-0.0248,1 
-1.4698,-1.2092,1.8804,1.783,3.2801,0.0903,1.8607,2.7225,3.9013,2.1674,1 
0.479,-0.5292,2.6122,2.3594,1.6894,3.0284,2.6922,2.3775,0.4367,2.8526,1 
-0.1578,1.4766,0.3798,1.7281,1.1117,0.2428,1.4525,1.4755,1.5524,1.9472,1 
1.0101,-0.2551,2.3675,1.7386,2.0588,1.2742,2.7065,2.4698,1.4524,2.8875,1 
-0.7921,-0.593,0.6189,0.491,2.87,2.4239,2.2534,2.3601,1.4544,1.9287,1 
0.5492,0.148,3.4451,4.3007,2.1104,0.5157,1.637,2.5066,2.4886,0.9868,1 
-0.1767,0.2832,2.5548,1.4405,1.9314,2.3727,2.0967,2.6416,1.5945,2.3202,1 
0.9897,-0.4163,2.0484,2.3171,3.1236,0.972,1.1734,2.3196,2.0395,1.3249,1 
-0.1442,-1.5765,3.1451,0.8025,0.4872,1.7958,1.4635,2.1521,2.4555,1.6313,1 
0.7952,-0.0763,-1.8417,1.4949,3.4193,1.5664,0.5825,0.6862,1.5006,3.5109,1 
0.4539,-0.7321,0.3308,3.7745,1.031,3.0928,1.7102,1.6033,0.5186,1.1661,1 
0.6268,1.2603,1.6426,1.1929,0.6495,0.7183,1.2396,1.2699,1.3318,3.6261,1 
-0.522,1.6039,1.7213,1.8986,1.5824,1.4323,2.3272,2.3274,2.6944,1.9406,1 
1.5686,0.7819,3.1891,0.7662,2.7438,3.8853,1.9639,2.2216,2.799,1.4671,1 
1.2513,1.7807,2.3624,1.244,2.5174,2.0934,1.6859,3.5671,2.0463,2.4145,1 
-0.663,0.7047,2.3199,3.7327,1.2821,4.297,3.1926,0.5481,1.6886,1.5432,1 
0.7791,0.5192,2.2508,1.7751,3.9186,2.33,3.911,3.1657,3.8379,1.4942,1 
0.5538,1.1679,2.6701,3.7843,1.7359,3.4532,2.4178,2.0591,2.184,2.669,1 
0.4197,-1.0615,1.5318,1.6087,1.6212,3.4525,3.9535,2.5079,2.8076,2.7054,1 
-1.1592,-0.3257,1.9983,3.2041,2.2274,1.8812,1.4961,2.3296,2.5588,2.3327,1 
-0.7589,-0.2993,1.9986,3.0193,2.5801,3.6297,1.0432,3.8005,1.4122,2.0122,1 
-1.2131,-1.319,1.651,2.8971,0.9853,3.5678,0.7746,2.8626,1.4969,2.1115,1 
0.8286,0.6756,0.7707,2.5416,1.0017,2.2912,3.4546,0.2665,-0.0137,1.7306,1 
-0.4164,-1.5256,2.4759,1.958,0.8631,1.5559,1.5217,2.3361,2.3949,2.2597,1 
0.9053,0.6289,2.4718,2.5977,2.541,1.7211,2.4776,2.5583,2.8986,1.6909,1 
