Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
-1.7464,0.2792,3.0073,2.6787,3.1927,0.9103,1.3239,1.8399,3.0497,1.6903,1 
-1.3808,-0.3175,2.203,1.6664,-0.1038,3.3401,2.4582,0.5573,3.2815,0.9479,1 
-0.3926,0.3592,2.4819,2.8222,1.741,3.3695,3.4139,2.5911,2.4228,2.8571,1 
1.1952,-0.7154,0.2731,2.0865,1.736,2.8642,2.9338,3.3654,2.4829,3.1658,1 
-0.2799,-0.5545,3.3176,1.6974,1.8608,2.492,1.9781,1.7686,2.366,0.9062,1 
-0.5966,0.1954,0.8231,2.3284,1.3369,2.472,3.8998,1.8412,1.2979,1.5358,1 
1.7146,0.8372,2.42,2.6785,3.0755,1.3496,1.701,1.7393,1.2746,1.9991,1 
-0.3321,-2.1092,1.6532,2.745,3.019,1.2017,2.3231,1.3262,0.7099,2.8156,1 
1.997,1.0552,1.9337,3.1069,0.1715,0.0448,2.0669,1.4187,5.0188,2.778,1 
0.185,-1.5297,0.668,3.2622,1.8441,1.3766,1.3945,3.3594,2.7666,2.4324,1 
-1.8187,1.2599,2.612,3.1137,0.7159,1.6172,2.3438,2.2826,3.3217,1.399,1 
1.4031,1.3757,0.3674,0.1912,1.5847,1.7878,1.5739,1.7123,1.073,0.7289,1 
-0.5471,0.4018,1.6749,2.8125,2.8335,1.9336,1.9309,2.1147,0.919,3.0476,1 
0.1398,-0.7928,1.4423,1.9085,4.2855,1.6881,1.7407,0.528,2.5019,0.5926,1 
1.3665,1.5626,3.4766,1.9571,0.7224,2.0908,1.394,2.2419,2.5985,2.4368,1 
-0.1372,0.8994,1.7607,3.6505,1.5409,1.9717,1.9936,2.256,1.2851,0.9955,1 
-1.7026,-1.0931,0.4115,1.0103,2.3185,1.2952,1.5678,3.4931,1.985,1.0994,1 
-0.9776,0.4874,2.2439,0.7907,2.5592,2.4884,1.4168,1.1573,1.5063,1.7261,1 
1.1127,0.3281,1.656,3.337,2.1945,1.848,1.7052,2.9999,2.3551,2.4057,1 
-2.1899,-0.4779,1.9888,1.5741,2.0474,1.9128,2.3354,1.7377,1.1439,1.6523,1 
0.4045,-1.1268,1.6814,2.3207,-0.1119,0.7499,3.2956,3.0377,3.5466,1.1686,1 
0.7269,1.0191,1.216,2.6343,2.3399,1.0588,1.5608,1.8257,1.117,3.4856,1 
0.5359,-1.2046,2.413,2.6708,1.3076,1.5553,2.9469,3.8238,1.2484,2.4946,1 
0.6047,-1.1804,1.7786,3.8547,2.3165,3.3048,2.1271,2.7788,1.269,0.9088,1 
0.3337,-0.2605,1.8626,1.9005,2.1852,2.1736,1.2661,3.2773,2.6589,2.5676,1 
-0.2188,-1.414,2.2812,1.5745,3.4089,1.9382,1.4459,0.6261,2.7936,1.4555,1 
1.3547,1.4155,0.9739,0.4123,2.4911,1.6948,0.7432,2.9178,0.8177,2.6215,1 
1.4867,-0.5068,3.8226,1.2422,3.2092,1.2139,0.9219,2.2689,2.6093,0.8684,1 
-0.574,-0.7333,1.4001,2.141,2.148,2.5797,3.2133,0.5029,2.4913,2.8645,1 
-1.1657,0.6425,0.2407,0.1031,-0.565,2.4064,2.8942,1.8114,1.8398,3.3437,1 
-2.1683,0.9222,1.58,2.4295,2.6099,2.4703,0.711,2.1836,3.7235,2.4599,1 
1.2941,0.7535,3.3257,1.7593,0.7172,0.6451,1.2785,3.3448,1.3073,1.1414,1 
-0.7345,2.6774,3.0709,2.5046,1.522,2.4444,1.3306,3.3645,2.4683,2.9754,1 
0.8009,1.3796,3.1221,3.2026,0.2177,0.9624,1.288,1.9181,2.5883,3.4438,1 
0.5823,0.9541,2.0109,4.1225,4.1015,1.4613,3.5107,0.4952,4.8743,0.2254,1 
-0.1881,1.0638,1.935,1.601,1.3887,2.3646,1.6805,1.6429,3.5083,1.43,1 
-0.1828,-0.4815,1.3465,1.6256,2.3858,2.177,1.5899,2.9355,1.9113,0.2023,1 
-0.1346,-0.5575,1.3853,1.2858,2.7279,2.4028,0.8525,2.0629,2.3092,1.6279,1 
0.647,-0.1127,2.1834,2.4731,1.8555,2.5776,2.4681,2.6736,4.1591,2.6108,1 
-0.7756,-1.1322,3.8315,2.7431,2.8798,3.5902,2.4805,1.2786,3.296,2.8168,1 
-0.7758,1.1316,-0.5153,1.5103,2.1699,2.0723,0.9876,2.8342,2.5813,2.451,1 
0.0152,2.4049,3.1326,2.3214,2.3898,0.4276,-0.0692,0.1302,1.707,1.7199,1 
0.5876,0.8183,2.3287,2.2816,2.4805,2.4852,2.1633,3.6177,1.5873,-0.0865,1 
1.3648,0.3163,4.0957,0.7353,2.7175,1.5043,3.1663,1.0897,3.0201,1.8214,1 
0.7447,-1.0015,1.1127,0.2193,3.1466,2.2753,1.3211,1.7638,0.4704,2.0631,1 
0.8704,-0.1846,1.4722,2.7701,1.8798,-0.6609,1.5724,2.6645,2.5387,1.2656,1 
-0.8147,0.2513,3.4491,3.8896,1.9876,-1.7165,0.195,3.2332,3.8076,1.9126,1 
-0.2114,0.8313,2.5256,2.6754,2.5243,0.4977,0.3628,1.2036,0.6933,1.1606,1 
0.183,0.8738,1.8085,2.0587,1.873,2.525,1.3692,1.1375,1.7364,2.1054,1 
1.1837,1.3327,1.1432,1.2881,2.2743,1.8149,0.9259,1.9247,3.5409,3.2506,1 
0.6743,0.1746,1.4059,2.5673,1.2023,1.3443,1.1623,3.7202,2.5584,2.4612,1 
-0.2846,-0.8295,1.7331,2.986,2.1385,2.2274,1.2771,2.913,3.4051,2.7355,1 
-0.8645,-0.4771,0.8201,2.5619,3.7454,1.3309,1.1237,2.3285,0.5621,4.1341,1 
-0.1262,0.8385,3.0003,-0.5406,1.8122,2.0838,3.1043,1.5257,2.9954,1.5296,1 
2.0563,0.4017,1.3866,1.1765,0.1982,2.2941,3.6319,2.3166,2.4374,1.6535,1 
0.5827,-0.183,3.1904,0.0434,3.1348,3.1157,2.3219,1.5361,1.3601,0.7814,1 
-0.4078,-0.8094,1.5003,1.2348,0.0306,3.9843,2.7938,1.8483,2.1639,1.9958,1 
-0.7221,0.1774,2.9565,1.4175,0.7986,1.5,3.134,0.8127,2.2606,1.0484,1 
1.1123,2.3066,1.5559,1.4982,2.7729,2.9675,0.9948,3.5773,0.8154,2.8763,1 
0.0747,0.9578,2.5965,2.2001,1.6432,1.2343,2.8448,2.4814,1.3949,2.9049,1 
-1.5728,-2.5247,0.1327,3.1269,2.022,1.8406,0.7952,1.3367,3.3545,0.9248,1 
-0.4353,0.6779,3.0865,2.361,2.346,2.9484,0.4661,1.0311,0.7605,2.2825,1 
1.7538,-0.4006,3.2594,4.419,1.6636,3.9037,1.4877,2.6138,1.5095,1.877,1 
-0.5494,-0.1679,1.7599,2.9822,2.8889,3.6519,1.3926,3.1024,2.3729,3.2582,1 
0.5071,0.1092,1.9493,1.5901,2.5912,2.7999,3.0059,0.0122,0.5369,3.2301,1 
1.0063,-0.1288,2.0125,0.7015,3.5017,2.6625,1.4206,2.6469,1.25,1.6932,1 
-1.3761,-0.1371,3.8007,1.7764,2.4939,2.7203,2.3322,2.6533,3.1618,2.1776,1 
-0.0006,-1.2697,0.6585,2.8983,3.5701,1.283,2.1514,1.6156,2.2424,1.6668,1 
0.6571,-0.0226,0.5859,1.044,3.309,2.6951,1.6457,2.8263,2.7987,2.3298,1 
-1.1628,1.1313,1.4545,1.533,1.6437,1.5528,2.372,1.4691,2.6005,1.2176,1 
1.4075,-0.8948,2.7216,0.3776,2.3379,3.2355,2.8118,0.838,2.9675,1.6865,1 
0.6366,-1.3307,1.4107,1.9297,0.9587,0.8213,0.7,1.3159,0.9886,4.0507,1 
0.2853,-0.7542,1.1676,1.4773,3.2331,2.4054,-0.2567,1.2934,3.0399,1.9669,1 
-0.8334,0.6397,2.1367,1.5994,0.715,0.5903,1.5866,3.2729,2.7422,1.9409,1 
-0.6198,1.0479,2.4337,1.0994,2.4088,0.9245,2.0218,0.2851,3.3488,2.3645,1 
-1.2661,-1.1177,2.9532,1.9679,2.1832,3.8529,1.4483,0.5363,2.2368,1.9792,1 
0.8769,-1.1922,0.6917,0.6839,1.2855,3.6144,3.6697,3.8648,0.7385,2.7226,1 
-1.6161,0.9943,0.7653,1.9465,0.7219,-0.2157,1.1883,1.5348,2.0042,0.1938,1 
-0.7681,-1.114,0.7886,2.4159,2.671,2.6562,1.7596,2.0202,2.4355,2.4169,1 
0.555,-0.9455,1.8145,2.8855,1.1423,1.9441,1.0618,2.2634,-0.0057,1.9708,1 
1.3237,-0.3961,0.9912,3.6877,3.3743,2.3382,2.2106,2.2339,3.365,2.6202,1 
2.0395,-0.6326,1.1453,1.5575,2.7261,0.9076,2.1544,0.9164,1.003,2.8849,1 
1.5413,-0.0913,4.5759,2.8616,2.8592,2.5635,-0.3411,2.5238,1.6928,2.3039,1 
-0.7783,-0.197,1.7664,2.9202,0.9879,1.3723,1.3342,1.8679,0.8592,1.6318,1 
1.171,0.8234,1.5284,2.5446,2.8543,0.7082,1.9533,1.334,2.2406,3.5675,1 
-0.0692,-1.6603,2.3233,3.776,1.6086,0.9722,1.1658,1.212,1.9387,0.5256,1 
0.7671,-0.7672,3.2125,-0.3281,1.1529,3.3041,3.3134,3.1029,3.3572,1.639,1 
0.0899,0.2464,1.7133,2.9755,3.3273,2.6746,1.9303,2.9976,0.7851,3.6967,1 
0.5516,-0.3141,2.7133,1.484,3.2858,1.7712,1.6868,1.8748,1.6434,3.12,1 
-0.7129,-1.369,2.4317,2.4238,2.3683,1.0669,3.1985,4.0586,2.3704,1.8756,1 
-1.0871,0.1772,0.7789,2.0902,1.8467,1.9006,-0.1896,2.537,3.8789,1.8461,1 
0.2091,2.01,2.1568,2.2142,1.4348,2.2406,1.694,2.8946,1.3086,1.7195,1 
-0.1389,-1.7695,3.2844,1.3649,3.1854,1.4037,3.3741,2.8405,1.8488,1.5958,1 
-0.2751,0.5471,0.7373,1.4863,3.2182,4.4287,0.7683,1.841,1.1416,2.6326,1 
-1.304,0.2755,1.5769,2.1181,0.9191,1.7045,2.2803,1.7725,2.5034,2.9121,1 
0.733,0.7795,2.0854,0.8231,-0.5536,1.8753,0.5882,3.4531,1.2515,1.0582,1 
-1.2395,-0.6356,-0.318,0.5668,2.0017,1.9005,2.4515,1.6566,1.919,1.5121,1 
-1.8821,-1.1913,0.408,1.2072,3.8975,1.0974,1.8189,0.2882,0.37,2.1094,1 
-0.1188,0.5501,3.4236,3.61,1.2732,2.2439,0.6959,3.9327,3.8685,3.7536,1 
-1.0061,-0.046,1.8896,1.648,1.2151,2.8814,2.3478,1.5803,0.648,2.6776,1 
0.1448,-0.0523,2.9733,2.0125,1.8914,1.5221,3.142,0.379,0.3881,2.9911,1 
1.0856,0.6854,1.9901,0.9368,2.9827,3.0951,0.9765,2.1288,0.8977,2.0009,1 
-0.6657,0.9557,1.3789,0.2919,1.333,3.4633,0.1522,4.0883,2.2686,3.2514,1 
0.0026,-0.1225,2.0403,2.9721,1.2201,3.7729,1.2019,1.7452,1.3188,2.1591,1 
-0.5479,-1.4851,1.4959,0.4315,2.6625,4.0771,3.6427,1.0111,2.3293,1.2867,1 
-1.5584,0.952,2.2956,3.2433,2.2948,2.712,2.2654,2.4649,2.1458,1.7568,1 
1.0195,-1.7766,2.1488,3.2031,1.0903,1.6603,1.3583,2.9164,2.3313,0.9721,1 
1.516,0.3671,1.847,1.2516,3.0713,2.6205,3.5195,2.4143,2.9861,1.0625,1 
-0.4961,1.4079,0.7363,-0.0624,2.1176,1.5416,1.3779,1.4922,0.971,0.6202,1 
-0.92,-1.333,2.0889,3.4433,2.2545,3.4709,2.2312,1.4782,1.5778,2.1691,1 
