Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
-0.2233,-1.6659,1.4349,1.6075,2.5208,2.9409,0.6409,0.198,2.3196,1.7166,1 
1.1785,0.7472,1.8608,2.8915,1.9219,3.1784,2.3201,0.7337,2.1833,2.8764,1 
-0.6047,-1.1282,1.7549,1.2728,3.3696,0.6098,3.1597,2.5304,2.2868,1.6671,1 
-1.1878,-0.5521,2.5741,2.066,2.7025,1.2313,1.3534,1.4186,1.9253,2.4839,1 
2.0934,0.7214,2.7241,2.8821,3.5783,2.1208,0.8607,0.7826,2.3225,1.3896,1 
1.5527,0.5054,3.3129,1.9679,2.1552,2.2101,2.4496,2.1757,2.0587,0.8407,1 
0.4218,-0.95,4.3387,2.4417,2.3762,3.1678,2.5223,1.0927,1.3798,2.5643,1 
0.0827,-0.6296,3.0109,1.7761,2.6192,-0.9252,2.0813,3.1547,1.8606,3.3761,1 
-0.0224,-0.2596,1.3005,1.3645,1.0403,2.5215,1.4489,2.1111,3.2811,2.3186,1 
0.6887,0.9244,0.4888,1.7514,1.8885,1.5744,2.18,2.2452,1.4323,1.4673,1 
-0.8233,-0.917,1.6124,1.416,1.9767,2.2201,2.8876,1.408,2.6309,1.5916,1 
-0.642,-0.8777,0.8483,3.3434,0.5775,2.1881,1.6914,1.0213,2.7241,2.9317,1 
0.1503,0.0977,1.6821,1.1743,3.8721,1.7577,0.9358,2.0779,0.4093,2.3686,1 
0.098,0.7326,2.0584,-0.4952,0.11,2.9709,0.9015,2.8087,2.0668,0.9207,1 
0.9754,0.7356,2.9048,1.6544,-0.5699,1.2941,1.8298,3.1445,2.0056,3.0264,1 
1.6507,1.3389,2.1889,3.5244,2.2689,0.5667,2.5406,-0.0417,1.4725,0.9512,1 
0.323,1.4856,0.6795,1.869,1.6134,1.94,1.0061,2.4705,0.7659,1.43,1 
-1.0339,0.9568,3.5384,1.4828,2.4465,4.1741,2.2007,1.7949,2.8409,1.3795,1 
-0.5052,0.5827,2.6462,1.9561,2.3367,1.1895,5.2808,4.2537,0.7685,1.7341,1 
0.7282,0.6659,3.3762,1.2891,1.559,0.2954,1.8317,2.137,3.6509,-0.0023,1 
-0.0754,2.5176,1.7959,2.9011,0.1112,1.7459,0.9932,2.466,2.6798,1.9267,1 
1.0496,0.3425,0.2915,0.7528,-0.323,2.5295,0.178,2.3336,1.0383,1.5878,1 
2.1691,-0.4684,0.8409,2.0736,0.3886,2.1526,1.739,0.698,1.3908,3.1381,1 
