Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
-0.1921,1.7312,1.6196,0.6104,3.2802,1.1558,1.4795,2.3113,1.4221,1.7061,1 
-0.0487,1.5965,1.1962,3.8023,3.5678,1.7942,2.7979,-0.4579,0.7421,0.1795,1 
0.1538,-0.3096,1.3784,1.3132,3.3264,4.523,3.1348,0.8217,1.7871,2.0819,1 
-0.412,0.3725,1.8318,2.4989,3.4779,1.2646,2.7638,1.4476,2.5365,1.1006,1 
-1.3167,-0.6002,2.0637,1.7718,1.7887,3.1333,0.4014,2.8168,2.4307,-0.0509,1 
0.2657,-0.531,2.6289,3.0988,3.5088,2.57,1.6863,1.4282,2.4348,2.2762,1 
-1.131,1.2899,2.5187,2.3637,1.044,1.4064,1.2219,2.1585,0.4827,3.7334,1 
1.1424,-0.9276,1.12,1.7383,1.3809,1.1727,2.3767,3.0841,3.5854,1.7375,1 
2.0885,-0.7247,2.1019,3.3706,3.0675,2.8044,3.2182,1.2024,3.5828,3.6935,1 
0.5988,0.2323,1.2659,0.1233,2.0523,3.211,0.2767,2.6215,2.7295,1.2471,1 
-1.1175,0.6576,2.8386,1.7994,1.1074,1.2366,0.8828,1.2072,1.507,2.2163,1 
-0.2935,0.4189,0.2487,1.8532,1.8173,3.1669,2.3287,2.0521,1.2889,1.3303,1 
0.0594,-1.5409,1.671,1.4384,0.91,2.6194,0.6159,-0.885,2.0942,1.5941,1 
0.9544,0.153,2.4404,2.0093,3.8332,0.684,2.8676,0.5532,0.1248,1.6778,1 
-0.7583,-0.7675,2.0719,1.0928,1.5052,1.425,1.743,0.1754,4.7383,2.6159,1 
-1.1763,0.2537,0.1707,1.8603,3.3934,1.4531,1.6394,3.5636,2.9217,2.4493,1 
0.3517,0.9409,1.9507,3.5621,2.721,1.6619,3.4698,0.7037,3.3022,2.6599,1 
-0.1842,0.4444,1.4218,1.0479,1.1265,1.9995,2.9504,1.5106,1.992,3.044,1 
