Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
5.6901,1.1549,0.3595,2.2616,0.2345,1.389,2.2375,2.9144,1.7809,2.739,1 
4.1098,0.8105,2.3829,0.3143,1.5237,0.0006,1.469,1.5563,4.1914,1.9961,1 
5.6751,-0.1615,3.0512,0.3866,2.4329,3.8621,0.9583,1.4845,1.9138,2.3307,1 
3.8367,-2.2809,3.9448,1.8869,1.8147,1.9445,1.0836,3.5483,1.6083,1.9548,1 
4.7554,-3.3054,2.1792,1.9438,3.3726,0.2908,3.9966,1.0589,1.0344,2.2394,1 
4.6015,-0.3092,0.6584,3.7765,1.4741,2.5231,2.8683,0.7124,1.8678,2.4736,1 
4.1445,-0.0803,1.1009,0.5046,0.9735,2.3277,2.1475,1.2924,1.5395,2.6103,1 
5.9129,-1.7009,1.5236,4.0534,3.4194,0.6797,4.1366,3.3311,1.3159,1.2332,1 
4.1541,0.3005,-1.0179,2.5991,2.4831,1.8676,1.6133,1.6654,1.9905,2.8254,1 
5.7555,-0.6544,2.0393,1.3214,1.6364,3.3629,3.6949,-0.2633,2.5236,3.211,1 
6.0231,-0.0302,3.5496,1.1146,2.5016,2.8113,2.9528,2.9724,3.2492,0.5152,1 
4.6331,1.0216,0.4527,1.0812,2.4219,2.403,0.4837,2.1611,0.7425,1.0,1 
5.2969,-1.6635,1.562,1.339,2.3855,1.5426,1.7177,1.1782,1.7584,1.2331,1 
5.9371,-0.5047,0.0822,2.0443,3.4205,1.311,2.4554,1.4282,1.4315,2.5277,1 
6.0862,1.6178,2.3257,2.0455,1.9717,1.5555,2.5607,2.875,2.2207,1.8279,1 
5.9579,-0.937,1.854,2.2127,1.4344,1.9223,2.7472,0.4915,1.0835,3.7268,1 
4.7011,-0.9814,1.2843,1.2839,0.7739,-0.452,1.7808,2.6361,1.2958,1.6601,1 
5.7297,-0.3407,2.852,2.7284,2.5329,1.8189,2.3803,1.1233,1.811,2.7008,1 
5.8403,-0.2795,2.9901,3.1551,1.7366,2.0902,0.9666,2.8463,0.1717,1.2066,1 
5.8179,0.3827,1.214,1.0266,1.7555,2.7088,2.6901,1.5117,1.6349,2.8939,1 
6.4024,-0.3682,1.6005,3.4472,2.3054,2.2876,2.9991,2.7022,2.7511,1.8307,1 
4.3186,0.1784,1.988,3.013,1.9878,3.0106,1.7149,0.1103,1.7584,0.9656,1 
4.6382,0.4061,2.8157,2.0121,1.9319,1.7581,2.1524,2.9799,1.4773,1.9287,1 
6.1997,0.5285,1.2512,1.5111,3.2922,2.7952,4.4883,1.9808,3.8078,2.4516,1 
3.7927,-1.347,2.7515,2.2548,2.8177,1.7378,3.2924,1.6654,2.3893,3.1298,1 
5.0535,1.3718,0.7265,0.5548,0.5108,3.4166,2.5322,2.403,3.1159,2.7327,1 
3.3246,-2.1052,3.083,2.5569,2.9809,2.5023,1.2091,1.6065,2.7786,1.7292,1 
6.439,0.1411,2.5873,2.1675,1.9057,3.3456,1.0297,0.6464,2.5539,-0.3149,1 
5.7166,2.3636,2.2534,1.6367,2.2932,1.744,2.6687,1.5705,2.2409,1.5571,1 
4.5943,1.0655,1.4551,2.098,1.6129,0.9476,4.007,3.3999,1.1038,1.2669,1 
7.2184,0.5424,0.6139,4.0697,1.4306,1.8446,2.4628,1.9045,0.9141,1.9862,1 
4.8926,-0.7464,1.6598,2.036,1.7948,2.4574,1.2757,3.2535,2.3863,3.3511,1 
3.175,0.5755,1.8766,0.6898,0.1098,0.4432,3.0647,1.723,2.1273,-0.433,1 
3.0716,0.2159,1.073,2.6247,1.3775,1.3968,2.5957,2.3677,2.4722,3.8062,1 
4.9178,0.1312,3.2376,3.2481,1.079,3.0418,2.4298,2.8246,1.0195,0.833,1 
6.4008,-0.3383,1.1898,2.9522,1.0306,1.3549,1.6742,0.5466,2.6074,2.8628,1 
5.0619,-1.3656,1.9546,0.5245,1.5551,3.3489,1.7918,1.0043,4.158,1.867,1 
4.0766,0.6607,3.1464,2.3905,1.0321,3.0404,0.4587,1.2933,3.2532,-0.4041,1 
4.0954,0.0776,2.546,3.4325,1.0296,2.7714,1.5593,1.3364,1.3484,1.1843,1 
4.5223,-0.4244,2.0687,1.8092,2.6433,2.7244,2.3191,3.8379,2.5935,1.9127,1 
7.1589,-1.6325,2.2958,0.1737,2.3065,2.4105,2.2703,0.9917,2.4438,-0.9565,1 
3.8519,1.1239,3.4087,1.4903,1.5789,2.529,1.4241,2.4628,1.523,3.7151,1 
5.9131,-1.5119,1.1468,1.9755,2.0892,1.5492,2.1591,3.1582,3.3151,2.1265,1 
5.0332,1.9353,1.6737,3.2172,0.807,1.9788,1.9286,4.842,1.4149,0.7073,1 
5.0757,-0.6146,4.1031,2.7194,1.0832,2.6395,0.4072,0.7051,1.0332,0.5666,1 
3.48,-0.8765,1.6584,1.6155,2.2906,1.9563,1.8243,2.4181,-0.3773,2.7119,1 
3.6266,-0.7879,2.765,1.3839,2.9384,2.1109,2.7564,1.3858,2.4896,1.7162,1 
6.0096,-0.0308,0.6198,1.7297,1.4862,3.4814,1.7784,2.9963,2.8611,1.969,1 
5.9513,2.0973,1.6406,-0.4582,1.9468,1.8368,0.3484,1.3254,2.8198,0.7772,1 
4.7877,0.3496,1.5247,3.8553,0.5567,2.8036,4.2164,1.8039,2.263,1.4335,1 
5.2583,1.6019,2.5249,2.8114,1.2019,1.2588,0.6353,1.4404,2.7666,2.9508,1 
5.0969,-1.4575,2.2131,0.3306,0.9282,2.7248,3.6074,0.9084,0.8125,0.3137,1 
5.4127,1.588,2.3711,1.225,3.2573,0.943,2.1078,-0.3097,1.0843,2.1367,1 
5.7528,-1.1766,1.8808,2.0971,4.6172,2.7487,3.1267,0.4813,3.5975,0.8133,1 
3.9342,-0.9645,0.6735,1.6051,1.4962,1.3136,2.1871,2.9739,2.9651,3.6033,1 
4.6251,0.3472,1.0177,1.4129,2.8257,2.4091,0.9928,-0.7605,1.165,1.8303,1 
3.3527,-0.0882,0.1391,1.0694,2.9168,3.3111,2.3092,1.804,1.9582,1.6741,1 
5.6663,0.2811,1.6547,2.0328,3.1952,2.741,1.4463,1.4515,1.6794,1.1187,1 
5.2194,-1.6141,1.174,1.8531,3.2758,2.0915,2.9405,2.9217,0.1952,1.4828,1 
6.3813,1.0763,1.3577,0.7359,2.9695,1.2304,3.7245,2.4553,1.4401,0.6652,1 
5.7168,-0.2616,1.2303,1.7364,1.4456,1.3077,1.9666,0.7965,0.8832,1.9322,1 
4.865,0.0448,1.3081,0.5625,3.1994,3.4725,1.8581,4.5273,3.3942,1.6913,1 
5.0997,-0.0782,0.7983,2.1951,1.1685,0.9739,1.5342,3.6605,1.518,3.2292,1 
3.9031,1.4299,1.1728,2.1046,0.8499,1.1103,1.7921,1.3128,3.0185,1.7901,1 
5.6194,0.1572,1.3841,2.2056,-0.0901,4.05,3.1118,1.4678,1.5084,2.4443,1 
6.0168,-0.133,0.9117,1.9585,1.39,3.0885,2.5896,2.7877,2.1568,1.7007,1 
2.9182,0.1269,1.8075,2.0882,0.645,2.9272,2.0005,3.2779,1.5619,1.4726,1 
6.5276,1.1252,1.8164,-0.6808,2.4643,2.0623,2.2473,3.1259,1.4245,4.3198,1 
5.2675,0.7416,2.342,1.5291,1.2475,2.0754,4.0599,3.702,2.4729,2.0637,1 
4.8001,0.8629,2.6397,3.5391,1.7705,3.1917,1.5463,1.832,0.1584,2.0521,1 
4.3427,0.9119,2.2866,1.5047,2.2897,3.873,3.0914,0.8489,1.7529,2.9606,1 
5.2634,-0.172,3.9211,1.3618,-0.051,3.2321,1.9552,2.2717,1.0034,1.5736,1 
4.2568,0.2667,3.0708,2.8002,2.3984,1.9393,0.2587,2.5538,-0.2142,2.1035,1 
4.9027,-0.6408,3.2228,1.6255,2.6446,2.5588,0.8114,5.3345,1.3414,1.2202,1 
5.4492,-0.0312,2.6978,2.842,0.7825,0.9284,-0.0929,1.0101,2.8688,2.4717,1 
7.2125,0.221,2.0157,2.2602,1.1026,2.178,2.4285,0.9299,0.1629,2.092,1 
4.2163,0.0577,2.969,2.5661,1.5532,1.2239,3.7745,3.0953,1.917,1.9367,1 
5.8987,0.8381,2.6625,1.2495,1.8635,3.788,1.5502,2.7557,2.8061,2.4215,1 
5.4099,0.3671,1.2664,1.5885,1.8998,2.7369,1.8039,2.781,1.8646,2.1737,1 
3.4854,0.7141,0.2112,1.1959,2.2464,1.162,1.6396,0.5829,1.5693,2.1895,1 
6.4021,1.3005,1.8307,2.5679,1.4822,3.4349,1.9368,3.2273,1.8209,1.8258,1 
5.1005,0.0244,3.5952,2.0138,2.4837,1.0398,3.1664,3.5823,2.0112,4.5286,1 
4.6287,-0.6451,2.9628,2.7722,1.9679,1.9957,1.964,2.3893,2.6172,1.927,1 
4.5065,0.2284,3.2644,2.808,1.6024,1.4884,1.3627,0.8928,2.9241,0.9127,1 
5.2207,-1.122,2.8712,1.0356,1.5613,0.9944,3.5727,2.6683,3.503,0.1204,1 
5.4567,-1.7237,2.9573,2.9454,1.7612,0.6811,2.3488,3.0156,1.5701,2.2283,1 
5.056,0.0652,2.2734,1.4968,1.8568,3.8189,3.1911,3.1971,2.5086,2.0988,1 
5.9611,-1.1002,0.9187,0.9628,2.0678,2.4852,1.7745,2.7557,2.2209,1.673,1 
3.9887,-0.3179,2.1126,2.8257,2.7286,2.5274,1.2838,1.4954,1.8383,1.0793,1 
5.7945,0.6763,2.3764,0.4424,1.1752,3.1896,3.8126,-0.3945,1.8466,1.9366,1 
5.6083,0.5311,2.2163,2.4511,2.6046,2.2575,1.7888,2.9075,1.5723,2.3876,1 
2.5922,0.4399,1.1214,2.6475,1.6124,0.0979,1.9326,1.3997,1.6905,0.9526,1 
4.8491,0.7936,2.6872,1.7855,2.4418,4.2461,2.2704,0.7806,0.2881,2.2726,1 
5.8074,-0.0557,3.3616,2.641,0.9868,1.3214,2.4629,1.3534,3.4939,3.7945,1 
4.8083,-0.4508,2.5315,2.7866,0.9313,1.144,1.7163,3.5142,2.7898,1.533,1 
5.3399,0.1506,1.2621,2.4276,1.5527,1.5165,2.3388,1.0241,0.5045,0.2306,1 
4.2266,1.8271,3.9726,1.4731,3.0763,1.0499,0.7432,1.9627,3.6978,1.7905,1 
5.2171,1.2561,2.144,0.2872,2.0235,3.0048,2.2291,0.1678,3.7287,1.2823,1 
5.7389,0.2339,2.5714,1.3156,0.4617,2.902,3.3126,0.988,3.0444,4.0812,1 
5.8192,0.3228,2.9721,2.1207,0.7543,0.4264,1.5478,0.2313,2.9502,0.9329,1 
3.2788,1.9755,1.9914,2.3219,0.457,1.3698,1.9833,1.7709,1.2655,2.5345,1 
1.0245,4.1996,2.9319,0.4124,1.5012,0.8899,3.6632,1.4234,0.5805,2.5668,1 
1.7139,3.0619,1.264,2.4556,2.7836,2.922,3.6457,2.7432,1.8929,0.2101,1 
0.9956,1.8043,3.2384,1.828,0.6031,1.436,1.2775,1.4771,1.3737,0.4646,1 
3.661,3.1276,1.8679,1.5243,0.7414,2.195,0.9057,0.1266,0.0024,0.8115,1 
2.9677,2.6274,2.8791,2.6854,3.5553,1.8166,2.3442,2.4273,1.7607,2.7183,1 
1.3988,1.4215,2.5201,2.5275,2.0599,2.661,1.7982,0.2118,-0.2412,1.4617,1 
2.5835,0.7311,0.7488,1.7473,2.2108,2.9539,3.2031,1.4837,2.9936,2.7403,1 
2.8777,0.058,1.8786,3.176,2.7321,1.4382,1.1917,3.5827,1.143,1.4833,1 
1.8927,2.4154,2.5288,1.7533,1.672,1.6703,1.2929,2.2871,1.0714,0.0984,1 
2.791,1.3225,1.3254,2.1557,0.5264,2.1536,2.0851,3.8432,2.8668,2.6247,1 
1.4828,1.1444,0.7195,0.0839,3.2739,2.5381,0.7603,-0.2602,2.2059,1.3549,1 
2.1609,1.4483,1.692,2.0107,-0.0288,1.5551,0.3059,0.5264,1.7692,2.7532,1 
1.9386,2.6909,1.1326,2.2572,2.5266,0.6678,2.4189,1.8814,0.3717,2.2484,1 
