Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
1.3633,10.5316,2.9902,1.3759,3.4678,2.405,3.2982,-0.6136,3.3564,3.8732,1 
1.9021,10.5646,2.1705,2.7822,2.8668,1.9407,1.3138,2.1728,0.7069,2.5287,1 
2.1393,10.7317,2.0186,2.37,0.548,3.5729,1.9263,2.4025,2.9165,2.298,1 
2.0621,9.5565,2.1975,2.594,2.1104,2.3765,1.8831,1.7916,1.8122,1.8078,1 
0.8699,9.7909,2.4193,2.4002,2.9866,0.615,2.5842,0.8485,1.9834,2.1177,1 
0.9983,9.8022,0.3079,3.2477,2.869,2.7004,2.2103,2.8536,3.1815,1.7884,1 
1.6374,10.3825,2.4396,2.3709,3.7489,4.361,1.9476,1.0015,3.0675,2.4319,1 
0.2905,10.4486,2.8408,1.954,3.1333,2.6278,2.542,3.8059,0.7265,2.161,1 
1.3866,9.3499,2.4271,1.8884,1.6076,2.5743,1.4532,1.6521,0.6416,0.4572,1 
1.8192,11.2679,2.3748,2.652,1.3771,0.845,1.7755,2.1275,1.1879,1.3092,1 
3.6886,10.0026,0.7527,2.8646,1.8878,1.6433,1.6304,4.8272,0.8056,4.347,1 
2.302,9.0038,2.8361,0.5612,2.2589,1.5792,-0.3265,1.9994,2.5588,2.4453,1 
2.3591,10.1166,1.8792,2.8017,2.709,2.0614,0.5559,2.745,3.323,2.7542,1 
3.4,10.5679,1.7592,1.5734,1.7699,1.8321,1.6304,1.2462,1.1378,2.3878,1 
3.7315,10.0478,3.3781,2.2409,3.4365,3.5948,0.3454,2.4559,2.0628,3.384,1 
1.5868,9.1213,0.9889,2.5156,-0.267,1.3928,3.0616,0.6105,2.6385,0.5281,1 
1.326,10.2517,3.4428,1.3574,2.4263,3.0064,3.0144,2.9609,2.6904,1.0958,1 
4.3115,9.9363,1.5273,1.3344,2.2519,2.2357,2.3382,2.0753,0.8527,5.3638,1 
1.2615,9.0943,1.3858,-0.1801,1.4058,1.1,0.989,2.3159,1.6515,3.1077,1 
1.9436,9.4508,3.011,2.8996,2.1383,2.4893,3.0092,1.235,1.7962,1.4071,1 
1.8506,9.9142,0.1325,3.0585,1.4535,1.6139,1.814,1.5262,1.763,-0.1885,1 
1.9131,8.2473,0.8234,3.841,2.2687,0.6568,0.9795,0.2365,2.1412,2.0098,1 
3.1213,8.4127,3.2127,1.1003,2.4309,2.3767,1.888,3.2237,3.7304,2.0309,1 
1.2839,8.7468,1.4698,3.166,2.6676,1.2775,2.3101,1.3993,3.0543,3.0639,1 
2.5005,10.6988,2.613,2.3944,0.8567,2.0658,0.5345,1.4665,2.3107,3.8153,1 
1.5796,9.6318,1.099,0.3442,1.2391,3.1829,3.1575,2.5005,2.3053,3.1659,1 
-0.127,9.3732,3.3793,2.8432,2.5037,1.8993,3.6966,2.3063,2.233,2.0735,1 
3.4041,9.6708,1.009,2.2875,1.9508,1.084,1.7783,1.2579,-0.289,-0.1539,1 
2.5155,9.127,0.2976,2.6302,2.3614,0.7481,2.2552,0.5654,3.2873,2.1421,1 
2.263,10.9527,2.7599,0.4493,0.5057,1.4842,3.7363,2.5411,1.974,0.7136,1 
1.9046,8.5134,2.2617,1.7587,2.1716,3.9348,1.5905,-0.395,1.4616,0.5986,1 
3.5092,12.1772,0.812,2.0804,2.7408,2.151,2.4192,1.518,2.5896,2.9081,1 
2.8721,10.4399,1.3889,2.2562,1.6487,1.7303,4.1182,1.4333,2.3642,3.4229,1 
1.6507,10.4351,3.0795,3.8636,1.819,0.7922,2.12,2.2876,1.3638,-0.1501,1 
2.1753,10.4995,1.2509,-0.3645,0.2875,2.8247,1.7642,-0.0261,2.1247,3.9452,1 
1.2511,9.4464,1.25,2.5159,1.3034,2.9272,3.0858,0.2781,2.2077,1.8701,1 
1.6039,9.2257,3.0794,3.4272,2.6028,3.3665,2.3252,2.7579,1.4412,2.2834,1 
