Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
0.9144,10.9973,2.283,0.4937,1.4214,3.6514,-0.4267,1.5711,3.2659,1.1333,1 
1.3211,9.9053,3.4914,1.3611,1.556,1.5656,4.2059,4.1868,3.0041,2.3862,1 
2.7374,11.4907,1.0642,3.1758,0.7461,1.3622,2.9071,0.5713,1.8599,1.1382,1 
1.7444,7.2014,0.2285,1.3001,2.9275,1.8264,2.0028,2.6882,1.1205,2.2836,1 
1.1946,8.2723,1.6091,2.5738,2.3386,1.9882,4.3924,2.4129,2.9787,4.2381,1 
0.7059,8.9612,3.7437,1.2019,2.0297,3.0693,2.8907,3.7549,3.4956,3.0694,1 
1.2273,10.7949,2.3143,0.6737,3.4173,2.8072,2.0455,1.7669,0.8017,2.1995,1 
2.4684,9.1688,3.1622,0.9028,-0.1231,3.0397,1.5966,1.874,1.1625,0.394,1 
3.2552,9.3111,3.661,2.8073,1.6852,0.9141,1.2675,0.7875,4.0871,2.1644,1 
3.1502,8.7326,2.181,3.1779,1.665,3.0311,0.9154,0.6365,2.3794,1.6208,1 
2.6421,8.0221,2.7123,4.5983,1.9754,2.0341,2.1795,0.138,2.4261,0.3946,1 
1.5723,11.2429,1.2648,2.5012,3.0127,2.2787,0.6291,1.6675,3.9594,-0.025,1 
1.7242,9.4479,2.1207,2.7482,3.6087,1.7298,2.8123,2.4997,2.4743,1.4361,1 
1.0027,8.9,1.2436,2.3217,2.7609,2.3235,1.451,3.806,3.5189,1.646,1 
1.1766,10.1302,3.2673,2.3328,2.5565,1.7879,2.4563,3.5445,1.7603,2.1433,1 
2.2538,10.2837,0.5881,0.1231,0.9803,2.1679,2.5539,1.4693,3.3773,1.8568,1 
2.0203,9.806,2.134,2.7045,2.6657,1.1016,3.5237,0.905,2.0792,1.7256,1 
0.951,9.9249,1.2592,2.0729,2.4031,3.4719,2.3074,1.3888,1.6084,2.14,1 
2.0935,11.4596,3.3954,1.6411,1.4514,-0.5571,1.4511,1.0219,1.6452,2.3916,1 
2.1772,9.97,2.1996,1.8739,2.197,-1.2311,1.7307,1.8891,1.6587,1.7821,1 
2.7033,9.4019,4.2007,2.6883,1.9937,1.7933,1.9135,1.0847,1.9048,2.2787,1 
2.5795,10.5797,1.7251,0.5839,1.3309,3.6122,2.8961,2.3696,1.2387,2.0036,1 
0.7443,9.4481,1.7548,1.6384,2.9566,0.5813,1.1346,0.6253,0.7626,2.1241,1 
