Feature1,Feature2,Class
-0.3738,0.6324,1 
-1.8768,0.0577,1 
0.0421,0.6066,1 
-1.0233,1.1835,1 
-0.2467,0.5649,1 
0.4071,0.9611,1 
-0.0884,1.0407,1 
-1.8155,0.1346,1 
-0.3609,1.4298,1 
1.1076,-0.5765,1 
0.5979,-1.1115,1 
0.0569,2.5093,1 
-0.0786,-0.9978,1 
1.3691,-0.2191,1 
-0.401,0.3283,1 
0.2192,-1.1187,1 
-0.0629,-1.2916,1 
0.4264,0.5198,1 
0.072,-0.2662,1 
-0.6994,2.7251,1 
0.2565,-0.5924,1 
-0.2003,0.893,1 
0.0647,-0.1146,1 
-0.0223,-0.4837,1 
-0.1531,0.4835,1 
-0.9067,-0.0004,1 
1.2296,1.9007,1 
-0.0048,-1.0818,1 
0.7151,-2.704,1 
0.1149,-0.6565,1 
-0.158,-0.6912,1 
0.637,1.0503,1 
-0.0272,-1.9548,1 
0.0454,0.4252,1 
2.4739,-0.8838,1 
2.1598,0.8523,1 
1.41,0.4901,1 
0.2287,1.3438,1 
0.9025,-0.6627,1 
0.3811,-1.9099,1 
0.9791,-1.3109,1 
0.9839,-0.1557,1 
0.525,0.9529,1 
-0.3977,-1.0307,1 
1.5341,0.6588,1 
-0.9229,-0.0127,1 
-0.7739,-2.1008,1 
0.6217,0.0224,1 
-1.6447,2.7235,1 
1.2361,-1.1428,1 
-0.882,0.437,1 
0.8631,-0.3834,1 
-0.4206,0.4791,1 
-0.8273,0.498,1 
-0.9548,0.4449,1 
-0.5573,-0.2258,1 
-0.5096,0.0308,1 
1.18,0.0175,1 
-1.296,-0.596,1 
0.0677,-0.4749,1 
-0.3591,0.3063,1 
-0.4624,-0.2463,1 
-1.033,-0.4747,1 
0.492,1.7325,1 
-0.5421,-0.3773,1 
1.1089,1.0916,1 
0.4865,-0.1497,1 
-0.2825,-0.3354,1 
0.3449,-0.0509,1 
0.5974,-0.7712,1 
-1.0477,-0.0274,1 
1.0692,0.2074,1 
-0.236,-1.1962,1 
0.2836,0.1192,1 
-0.5867,-1.0455,1 
1.6633,2.2457,1 
0.8456,1.3742,1 
-1.7224,-0.8443,1 
-1.1775,1.0132,1 
0.288,0.9128,1 
-2.2925,-1.7694,1 
-0.8972,0.2755,1 
-0.5073,-0.9015,1 
-0.9458,-0.3116,1 
-0.9584,-0.6174,1 
0.214,-0.0613,1 
1.3137,-0.7564,1 
-1.0367,0.6761,1 
1.5436,0.532,1 
0.5845,-0.9128,1 
0.689,-0.5763,1 
0.1829,-1.3615,1 
0.4043,1.0779,1 
0.4983,0.1849,1 
-2.5264,-0.7133,1 
0.436,-0.6564,1 
-1.4973,1.0865,1 
1.6787,1.6266,1 
0.6733,1.0499,1 
0.3832,0.5252,1 
-1.0705,0.175,1 
-0.8859,-1.9088,1 
-0.6437,0.9239,1 
-0.3994,-0.146,1 
-0.7988,0.5226,1 
0.6933,-0.2402,1 
-0.8697,1.0811,1 
-1.0606,1.7644,1 
-0.558,-2.5802,1 
-1.6253,-0.8618,1 
-0.4777,0.4509,1 
-0.1312,0.1874,1 
0.7405,-0.4528,1 
0.6251,-0.1746,1 
0.225,0.5952,1 
-1.8009,-0.2171,1 
-0.5796,0.2719,1 
-1.3368,-0.8169,1 
1.4489,1.8846,1 
-0.4136,-1.62,1 
0.1347,-0.3885,1 
2.2214,0.8987,1 
0.9992,1.0399,1 
-0.5306,0.8907,1 
1.6975,-0.7501,1 
0.7868,-1.3511,1 
-0.6594,-0.683,1 
1.4082,1.207,1 
-0.7537,0.168,1 
-0.0143,-0.343,1 
0.3796,0.2081,1 
-0.476,0.5672,1 
-1.4751,0.3452,1 
0.8235,-0.4601,1 
-1.1861,1.2595,1 
0.3345,-0.1671,1 
0.2469,-0.7428,1 
0.039,-0.2653,1 
1.3043,0.49,1 
0.2854,-1.7598,1 
1.8227,0.7773,1 
0.378,1.7322,1 
-0.2505,-1.5084,1 
0.1461,0.4709,1 
-0.2591,0.715,1 
-0.7481,2.2,1 
0.0427,-0.2842,1 
0.8075,-1.2423,1 
0.6822,-0.9428,1 
1.5187,1.6478,1 
-0.4715,-0.1972,1 
-1.9272,0.0204,1 
0.9035,0.8465,1 
-1.2566,0.3242,1 
0.6661,0.7311,1 
0.6426,-1.4306,1 
-0.6456,-0.7328,1 
-0.7336,-0.1941,1 
1.1011,-0.7047,1 
-0.5414,-1.3853,1 
1.4681,0.3208,1 
1.228,-1.7293,1 
-0.015,-0.2884,1 
0.3772,0.4926,1 
-0.5356,1.5799,1 
-1.126,1.2932,1 
-1.4649,-1.4724,1 
-0.8674,0.7722,1 
-0.3859,-0.1578,1 
-1.8326,1.4017,1 
0.9493,0.0546,1 
-1.2072,0.8934,1 
0.7936,0.147,1 
-0.1307,-0.4032,1 
0.7793,-0.6317,1 
0.602,1.148,1 
0.0749,-1.0327,1 
-0.1283,-0.4555,1 
-0.5638,-0.9166,1 
-1.0267,0.4406,1 
0.8977,-0.1712,1 
-0.1946,-0.7081,1 
-0.5941,0.2032,1 
0.857,1.733,1 
-0.3928,0.18,1 
0.9075,-0.5742,1 
0.8675,-0.4645,1 
0.7061,-1.0888,1 
0.4878,0.7774,1 
-0.1664,0.4698,1 
-0.2801,-0.9324,1 
-0.4593,0.8125,1 
-0.5247,-0.3251,1 
-0.6326,-0.4708,1 
2.1348,1.0625,1 
-1.7331,0.9732,1 
-2.3537,-1.7549,1 
-0.4854,-0.7919,1 
-0.4625,-0.3189,1 
1.1432,1.3492,1 
0.2399,-1.6441,1 
0.1328,-0.1818,1 
-1.1849,1.4932,1 
0.8124,-0.5368,1 
-1.5071,-1.1842,1 
-0.0834,-0.0122,1 
-0.4845,-1.5065,1 
-0.6021,-0.309,1 
-1.2261,-0.7162,1 
-0.1475,-0.4768,1 
0.1541,1.326,1 
0.4968,-1.6392,1 
0.0195,-0.0257,1 
-0.4101,0.3758,1 
-0.8851,1.4721,1 
-0.4251,-1.0053,1 
0.1655,-0.1673,1 
1.752,-0.1254,1 
0.5797,0.2344,1 
1.0635,-0.2025,1 
-0.6367,-1.221,1 
0.1505,0.6953,1 
0.4801,-0.3282,1 
-0.293,0.2804,1 
-1.0338,1.8031,1 
-0.5247,0.9537,1 
-0.4178,-0.6541,1 
1.2278,0.8528,1 
1.4646,-0.2998,1 
-0.3921,-0.6545,1 
-0.1315,-0.2137,1 
-0.6242,1.0798,1 
-1.9679,0.1516,1 
0.9103,-0.6921,1 
1.1851,0.0464,1 
0.6483,1.2178,1 
-1.3524,-0.8204,1 
-1.1805,0.1389,1 
1.2417,0.2326,1 
-2.0975,0.8644,1 
2.1622,-0.1842,1 
-0.0229,1.3354,1 
0.6737,-0.5436,1 
-0.7159,-1.0177,1 
0.2206,0.3141,1 
0.523,-0.0575,1 
-0.5052,1.5691,1 
-0.159,0.6291,1 
0.1419,0.83,1 
0.817,0.2583,1 
0.2295,-1.0227,1 
0.5946,-0.7723,1 
0.0878,-0.7455,1 
0.1708,0.4872,1 
-0.0812,-0.8936,1 
-0.4885,-1.1335,1 
-1.1188,-0.5167,1 
-0.1127,-0.077,1 
1.5568,0.6366,1 
0.9715,-0.5658,1 
0.9851,-0.2057,1 
-1.6777,-0.036,1 
2.2417,-0.2891,1 
0.1973,0.986,1 
0.8231,-1.0993,1 
0.6685,-1.7966,1 
-0.5716,-0.6997,1 
0.1643,-0.3757,1 
-0.325,-0.7249,1 
-1.8153,1.3242,1 
-0.3444,-0.4564,1 
-0.1721,-0.7892,1 
-2.35,-1.423,1 
0.7027,1.0944,1 
-0.4426,-0.4268,1 
0.9769,-0.3371,1 
-0.7376,0.1229,1 
-0.466,1.1409,1 
-1.4478,-0.7259,1 
-0.5315,0.4515,1 
-0.6133,1.6627,1 
-0.1776,-0.0529,1 
0.8899,-1.1071,1 
1.2832,1.0973,1 
-0.9557,1.1561,1 
-0.4552,0.7306,1 
0.934,-0.3469,1 
0.3136,-0.1081,1 
-1.0597,-0.076,1 
-1.3252,0.6558,1 
-1.0779,-0.6416,1 
-0.9477,-2.8645,1 
1.541,0.4679,1 
1.3814,-0.1048,1 
-0.1886,-0.2458,1 
-1.2312,-1.2212,1 
0.3503,-1.1077,1 
-0.2361,0.305,1 
-0.4233,0.4186,1 
-1.2766,-0.7261,1 
0.4167,-0.0983,1 
0.3081,0.4926,1 
0.5746,0.3384,1 
-0.0445,1.0025,1 
0.0929,-1.1383,1 
-0.3677,-0.5927,1 
0.2631,0.243,1 
-0.411,-1.454,1 
0.4341,-0.9469,1 
0.5796,-0.0199,1 
-0.0956,0.0856,1 
0.3238,0.4575,1 
-0.0278,-0.7265,1 
0.8733,-0.6768,1 
1.2024,-0.0182,1 
0.0008,0.3648,1 
-1.1774,-0.3916,1 
0.7664,-0.1772,1 
-0.492,-1.267,1 
0.0129,1.76,1 
0.1262,0.1541,1 
-0.5522,1.9242,1 
1.5816,0.7519,1 
1.4003,0.9165,1 
0.8399,0.6107,1 
0.4733,-1.1019,1 
-0.1554,-0.2618,1 
-0.7974,-0.4935,1 
0.1948,0.2804,1 
0.8271,0.7003,1 
-0.2756,2.013,1 
0.8759,0.5131,1 
0.6041,1.2852,1 
-0.5282,-0.8031,1 
0.19,-1.9068,1 
-1.5833,1.2284,1 
-0.1991,-1.7699,1 
-1.2361,0.5964,1 
0.7457,-0.9071,1 
-0.0199,0.5695,1 
-1.159,-0.1651,1 
-0.3741,-0.9542,1 
-0.2821,0.5676,1 
0.696,0.6943,1 
-0.4124,-1.0382,1 
1.2694,-0.1008,1 
1.0874,-0.7912,1 
-0.0822,-0.812,1 
-0.6049,0.9914,1 
0.4832,0.7996,1 
-0.9948,0.709,1 
-1.9772,0.04,1 
-0.2317,0.8347,1 
-0.4572,1.3764,1 
0.2533,-1.4805,1 
0.7074,-1.3962,1 
-1.622,0.6271,1 
-0.6254,0.577,1 
-0.6762,1.5143,1 
-0.2031,-0.8372,1 
-0.2742,-1.2396,1 
0.6046,0.034,1 
1.0449,0.6687,1 
-0.5351,-0.3045,1 
-2.0114,0.5966,1 
-1.4132,0.7555,1 
0.7155,-0.7494,1 
-1.6512,1.5283,1 
-0.564,-0.99,1 
-0.3537,0.783,1 
0.6331,-0.9615,1 
2.2301,0.6184,1 
0.8316,1.1502,1 
0.2685,-0.7337,1 
0.7473,-0.6257,1 
-0.9737,0.8117,1 
0.1838,2.9796,1 
-2.6498,0.2944,1 
0.578,-0.6334,1 
-1.9757,0.3043,1 
0.6185,-0.3568,1 
-1.1681,0.6425,1 
1.5272,-0.6434,1 
1.323,-0.215,1 
0.0261,-0.4939,1 
-0.8046,0.2163,1 
-0.612,0.7141,1 
-0.492,0.5063,1 
-0.024,2.17,1 
0.8622,0.7995,1 
0.4465,0.465,1 
0.0307,-0.6808,1 
-0.0885,-0.6591,1 
-0.7336,-0.1373,1 
-0.6182,0.0862,1 
-1.2947,0.2556,1 
0.42,-0.9615,1 
0.4328,1.2638,1 
-0.9764,-0.5909,1 
0.9286,-0.3897,1 
-1.2494,0.4062,1 
-0.1177,0.3175,1 
-0.0011,0.3408,1 
-1.0494,0.5973,1 
2.24,-0.8353,1 
2.8521,-1.613,1 
2.5307,-2.8485,1 
-0.6046,-0.9832,1 
0.1574,-0.9616,1 
-0.6647,0.3256,1 
0.6306,-0.5962,1 
