Feature1,Feature2,Class
-1.3174,1.3618,1 
-0.4219,0.2346,1 
0.6003,-0.4311,1 
-0.5235,0.3033,1 
-0.0538,-1.75,1 
-2.179,0.166,1 
0.7366,-0.4341,1 
2.2674,-0.7412,1 
-0.0298,0.6202,1 
0.0208,1.1758,1 
0.3358,0.3733,1 
0.8275,-1.0038,1 
1.9288,-0.736,1 
-0.169,1.6139,1 
-1.388,-1.9755,1 
-0.724,1.4788,1 
-1.0997,-0.1795,1 
0.3927,0.2552,1 
-0.6231,1.7868,1 
0.1166,0.7641,1 
-0.6053,-1.3725,1 
-0.6598,1.1044,1 
0.9865,-1.4607,1 
0.1533,-0.8485,1 
-3.5249,0.3992,1 
1.1493,0.1301,1 
0.725,-0.7761,1 
0.9165,1.4989,1 
-0.4768,-0.3868,1 
-1.6585,-0.349,1 
0.1513,0.0625,1 
1.0723,0.3044,1 
0.1336,-1.594,1 
-1.4636,-1.1245,1 
1.177,-0.1566,1 
0.1051,-0.0883,1 
-0.8659,0.1848,1 
-1.3291,0.1441,1 
0.0712,-1.2479,1 
1.7076,0.2205,1 
0.3644,-0.6067,1 
0.0397,-0.25,1 
-2.4893,0.5621,1 
-0.3384,-0.4587,1 
-1.4089,1.024,1 
-0.7815,-0.211,1 
0.7663,-1.1116,1 
0.7456,-0.4936,1 
0.3633,-0.3647,1 
1.3181,0.8387,1 
-1.2853,-0.775,1 
-1.6384,-0.6824,1 
-1.3433,0.2494,1 
-0.8639,-0.5947,1 
-1.145,1.5377,1 
0.1045,-0.4254,1 
0.4431,-0.6188,1 
1.396,-0.7338,1 
-1.2252,0.1303,1 
-0.4312,-1.3771,1 
0.7991,-0.327,1 
0.7794,0.9087,1 
0.8814,-0.94,1 
0.3002,-0.0289,1 
0.7866,-0.1001,1 
0.0655,-1.7236,1 
0.0226,-0.2162,1 
-0.4248,0.5864,1 
-0.7764,-0.5872,1 
1.255,-0.3187,1 
0.3936,1.1891,1 
0.198,0.0801,1 
0.1819,0.7415,1 
0.9323,0.5274,1 
0.2968,-1.6669,1 
-0.3471,-0.2726,1 
-0.3218,0.0325,1 
1.0322,0.1693,1 
1.1101,-1.0913,1 
1.2761,-1.0944,1 
0.7406,0.3426,1 
-0.7395,0.8447,1 
1.129,-1.0103,1 
-0.2634,-1.9661,1 
0.7465,1.3804,1 
0.0523,0.0722,1 
0.5305,0.0026,1 
-2.1334,1.6278,1 
0.1681,0.1812,1 
-0.3053,0.1097,1 
1.1724,-0.5192,1 
-0.8033,2.1071,1 
-0.8106,-1.2511,1 
1.1973,-0.7617,1 
0.6024,0.4096,1 
-1.1581,-0.2853,1 
-0.4226,-0.1325,1 
0.2235,1.1786,1 
-1.5912,0.8903,1 
0.2413,-0.1519,1 
0.565,0.9199,1 
0.5381,-0.9906,1 
-0.59,-0.0966,1 
0.3951,-0.8064,1 
0.6552,-1.1161,1 
-0.0122,-0.0393,1 
0.6805,1.8773,1 
1.5115,-0.1035,1 
0.1781,0.1255,1 
0.4122,-0.8197,1 
-0.4168,-1.2743,1 
0.2356,1.1458,1 
-1.6821,-0.5359,1 
0.4768,-0.451,1 
-0.3441,0.0707,1 
1.8141,-0.9532,1 
-0.2047,-1.1226,1 
0.2331,-0.1219,1 
0.6914,-0.9083,1 
-1.5606,-1.3515,1 
-2.1529,2.8181,1 
-0.3945,1.5155,1 
-0.9442,-0.244,1 
-1.4635,0.7854,1 
-1.6337,0.0092,1 
0.426,0.7859,1 
-0.3499,0.6291,1 
0.1994,0.3119,1 
-0.4981,-0.1798,1 
-1.3924,1.6598,1 
-0.4641,-1.1091,1 
-0.769,0.3428,1 
1.1907,1.4051,1 
0.6163,0.0722,1 
-0.5667,-0.0964,1 
-0.4989,-1.1048,1 
-0.3149,0.2638,1 
0.2272,1.7701,1 
-0.3519,-0.4065,1 
0.6487,0.2536,1 
0.9388,-1.3078,1 
-0.4205,0.4316,1 
0.1416,1.9408,1 
-0.5284,-1.4043,1 
0.9071,-0.42,1 
-1.5086,-0.4112,1 
-0.7167,0.823,1 
-0.1228,-0.5536,1 
0.5164,0.3801,1 
-0.6461,0.5023,1 
1.6088,-0.7104,1 
0.3553,0.3645,1 
-0.1339,-0.81,1 
-0.3175,0.645,1 
-2.0123,-0.3432,1 
0.6003,-0.1179,1 
1.394,-1.1779,1 
0.9592,0.0548,1 
-0.2405,-0.6802,1 
2.1561,0.6515,1 
2.5471,2.0784,1 
-0.9506,-0.7476,1 
-0.3083,-0.0952,1 
0.5723,1.1806,1 
1.0425,1.1552,1 
0.5997,-1.4763,1 
0.525,1.9221,1 
-1.0939,-0.2053,1 
0.3977,-1.1156,1 
0.487,0.3811,1 
-1.8459,-1.1707,1 
-0.646,0.8215,1 
-0.0454,0.4872,1 
0.7491,0.9275,1 
0.2138,1.8196,1 
0.8818,-0.6023,1 
0.504,0.7047,1 
-0.6157,0.6226,1 
0.8804,0.1013,1 
0.0273,0.3948,1 
1.1882,-0.1828,1 
-0.0514,0.6805,1 
0.4116,0.7506,1 
0.5311,0.956,1 
-0.5925,-1.023,1 
1.5006,0.957,1 
1.1679,-0.7009,1 
-0.5389,0.2692,1 
-0.7823,1.729,1 
-0.6434,-0.7485,1 
-0.8411,1.8337,1 
-0.6643,-0.0138,1 
-1.5092,0.5035,1 
-0.991,-1.3035,1 
0.4376,-0.2549,1 
0.1361,0.0698,1 
-0.6924,-1.5284,1 
0.0899,0.7422,1 
-0.1713,-0.9881,1 
0.9183,-0.5632,1 
1.3015,0.7409,1 
0.8022,1.0257,1 
0.1413,2.0241,1 
-1.4482,0.0301,1 
0.7003,-0.2893,1 
0.4806,-0.1757,1 
-2.183,-0.7516,1 
1.0006,-0.8841,1 
0.9946,0.3268,1 
-0.441,1.0928,1 
0.3611,1.1597,1 
-0.3613,-1.8248,1 
0.2087,-0.385,1 
1.1576,1.2275,1 
-0.2048,-2.1289,1 
-0.7687,-0.075,1 
-0.6473,0.7854,1 
0.3813,0.5035,1 
-0.532,-1.0174,1 
-0.019,0.4387,1 
-1.6401,0.0357,1 
0.3605,1.1128,1 
0.7592,-0.1773,1 
3.3118,0.0836,1 
-1.2754,-0.7666,1 
0.8136,0.9869,1 
-1.0501,-0.6784,1 
-0.6652,-1.5904,1 
0.0656,-1.294,1 
-0.2353,-1.035,1 
-0.191,-0.2741,1 
1.5788,-0.0973,1 
-0.1371,-2.015,1 
-0.3849,-2.1079,1 
1.3046,0.9748,1 
-0.7483,-0.3549,1 
-1.4308,-0.5087,1 
1.0609,-0.807,1 
-2.0012,0.4569,1 
-1.0054,-1.3294,1 
-1.496,-1.128,1 
-1.4489,-1.2481,1 
0.9453,0.6606,1 
0.8843,1.009,1 
-1.8481,-0.3154,1 
-0.157,-0.1406,1 
0.3252,-0.2128,1 
0.6915,-0.1411,1 
-1.061,-0.3417,1 
-2.0627,0.1535,1 
1.2674,-0.2786,1 
0.2821,-0.1828,1 
0.1432,0.4806,1 
0.5971,-0.0581,1 
-1.0103,-1.179,1 
-0.8118,0.9163,1 
1.764,-0.8896,1 
-1.7907,-0.0681,1 
-0.4256,0.3818,1 
-1.6945,0.5616,1 
0.7607,-1.0689,1 
-1.1316,-0.1323,1 
-0.1623,0.0727,1 
0.2463,-1.084,1 
0.3654,1.2796,1 
-0.2183,-0.7539,1 
0.0188,-0.6161,1 
-0.3763,0.7327,1 
1.2661,0.5339,1 
-0.2564,0.5482,1 
-1.9218,1.2619,1 
-1.0553,0.6192,1 
0.8829,-0.007,1 
-2.1525,-1.8618,1 
0.9291,-2.1535,1 
-0.478,0.0558,1 
-0.8095,-1.5981,1 
-0.1874,-1.9996,1 
-0.0834,-1.2541,1 
0.4592,0.1778,1 
0.2918,1.1388,1 
-0.6047,1.704,1 
-0.1115,-0.3278,1 
1.2908,-0.8059,1 
-1.4487,0.94,1 
0.0938,0.0479,1 
-1.817,1.6235,1 
0.0805,-0.0656,1 
1.1672,-0.2487,1 
1.5303,-1.9806,1 
0.2681,1.9116,1 
1.6783,1.0697,1 
1.4659,-0.554,1 
-0.1009,-0.684,1 
-0.4313,0.8787,1 
-0.5973,0.7458,1 
-1.4064,1.3764,1 
-0.929,-0.221,1 
1.0599,-1.3025,1 
0.2487,1.5745,1 
0.5546,0.3367,1 
-0.9222,-0.0849,1 
1.8882,0.1168,1 
1.2114,-1.5807,1 
-0.1213,1.4753,1 
-1.3991,-0.3076,1 
-0.8672,0.7409,1 
1.3916,-0.7348,1 
-0.7893,-1.7006,1 
-3.2622,-0.7196,1 
0.8628,-1.7258,1 
0.1425,-1.7967,1 
-2.2936,-0.2762,1 
-0.9563,1.9813,1 
0.8614,0.1216,1 
1.623,-0.9034,1 
0.5187,-0.2759,1 
0.1061,-0.0693,1 
-1.8315,-0.5595,1 
-1.3501,0.9019,1 
-1.1194,0.9694,1 
0.5168,0.7249,1 
0.3838,-0.3549,1 
1.681,-0.3308,1 
-0.6261,0.7933,1 
-0.6483,0.1443,1 
-2.9007,-1.6972,1 
0.7409,0.4905,1 
0.4041,0.036,1 
-0.9443,-1.3424,1 
1.1025,-0.3104,1 
-0.3844,0.6924,1 
0.0001,0.868,1 
2.3276,0.5415,1 
0.6157,0.7227,1 
0.6026,0.6417,1 
-1.4403,1.9358,1 
1.6135,-0.5227,1 
1.5165,-1.1663,1 
-0.1702,0.2199,1 
1.1676,0.7697,1 
0.7238,-0.4459,1 
-0.4226,-0.3388,1 
0.8695,0.0822,1 
-0.782,0.3853,1 
-0.8119,-0.8682,1 
-0.1122,-0.2544,1 
0.7751,1.4629,1 
0.3181,-0.979,1 
-0.1364,-0.3414,1 
-2.0266,0.9775,1 
-1.6542,0.8117,1 
1.1039,-0.3135,1 
-0.2775,-0.2353,1 
1.0297,0.9286,1 
-0.4123,-1.4231,1 
-0.369,-0.0732,1 
-0.9196,-0.5233,1 
-0.6197,0.6835,1 
-1.4936,0.0356,1 
-0.0064,0.0245,1 
-0.5567,0.5869,1 
0.0447,1.2894,1 
0.1152,1.3338,1 
1.1705,0.5308,1 
-0.6952,-0.0587,1 
0.9869,1.8297,1 
1.5753,-1.8897,1 
-1.4236,-0.4171,1 
-1.787,-0.0819,1 
-0.2727,0.4367,1 
0.0611,0.1762,1 
0.5997,1.4464,1 
-0.8166,1.7896,1 
-0.5965,-0.6336,1 
0.3153,-0.3367,1 
-0.7883,-0.5307,1 
1.248,0.853,1 
-1.3018,0.4679,1 
0.8386,-0.2116,1 
-0.2873,0.8291,1 
1.8634,-0.3738,1 
-0.5894,-0.8916,1 
-1.2418,-0.9688,1 
2.0699,1.5221,1 
0.5059,-0.6862,1 
0.6489,-0.591,1 
-1.6562,0.8191,1 
-0.6467,1.1745,1 
-0.1268,0.4548,1 
-2.1783,-0.5049,1 
-0.6039,-1.1275,1 
-0.027,0.2979,1 
-1.7267,1.3402,1 
0.9358,-0.165,1 
-0.7001,-0.4578,1 
-0.4748,1.1558,1 
-2.1932,1.0319,1 
-0.0172,-1.5578,1 
-0.3288,1.1385,1 
0.2003,0.1242,1 
0.0509,-0.3135,1 
0.2201,-0.8444,1 
1.9217,-0.8434,1 
-0.8328,-0.5261,1 
0.5244,-0.9455,1 
1.2665,0.5493,1 
0.811,0.5557,1 
-0.7847,-0.2453,1 
0.4565,-2.147,1 
1.7722,-0.9563,1 
0.0189,0.3573,1 
-0.3204,-1.5255,1 
2.7123,0.5219,1 
-0.3174,0.2928,1 
-0.0363,1.631,1 
0.2213,0.276,1 
-0.0622,0.4005,1 
0.6585,0.637,1 
0.3798,1.0603,1 
0.5709,0.0306,1 
0.0825,-1.3297,1 
-2.2595,-0.8344,1 
-0.547,1.9468,1 
-0.558,0.7381,1 
-1.3569,-1.3071,1 
-0.2342,-1.4056,1 
-0.1559,0.5545,1 
0.9219,2.7327,1 
1.1343,0.8494,1 
-1.4793,-0.5579,1 
-0.448,0.5054,1 
-1.9833,-0.8098,1 
-1.8824,0.151,1 
0.0948,-0.7268,1 
-0.7979,1.9477,1 
0.8357,1.2515,1 
0.3968,-0.7785,1 
-2.2803,0.2893,1 
-0.6201,0.1082,1 
0.1301,0.3547,1 
1.061,1.2177,1 
0.3451,0.3757,1 
-0.3218,0.5007,1 
-0.7258,-0.7666,1 
1.5784,1.3021,1 
-0.2443,-1.2822,1 
0.0463,-0.0353,1 
0.2386,0.5992,1 
0.8756,-0.0062,1 
0.6781,-0.204,1 
-0.3001,-1.1945,1 
-0.3898,-0.4661,1 
-0.9435,-0.8981,1 
0.3146,-0.4819,1 
1.7332,0.6706,1 
-1.3834,-0.5051,1 
-1.4232,-0.4038,1 
-1.6987,1.0065,1 
-0.8156,0.6445,1 
1.2448,-2.8711,1 
-1.1873,-1.6526,1 
-0.1866,-1.2187,1 
-0.6835,-0.1349,1 
0.1137,0.854,1 
1.7588,0.2489,1 
0.0637,-0.0641,1 
0.8902,-0.3384,1 
-1.3175,0.5076,1 
-1.144,1.5971,1 
1.0492,1.0643,1 
-1.2043,-0.2618,1 
-1.1593,1.9561,1 
1.717,-0.2192,1 
-0.6618,-0.5411,1 
-0.0615,-0.5779,1 
-1.0819,-1.4895,1 
-1.264,-0.7305,1 
0.5713,-0.7399,1 
