Feature1,Feature2,Class
0.0369,0.0469,1 
-0.1906,0.2148,1 
1.8909,0.9997,1 
0.1007,0.1259,1 
0.9924,0.7849,1 
-0.3988,0.6639,1 
1.2127,0.3562,1 
0.7529,0.0467,1 
-1.8492,2.2887,1 
-1.7879,-0.4486,1 
-0.1715,-1.2199,1 
-0.3742,0.6558,1 
-1.5323,-0.2978,1 
-0.7814,-0.0652,1 
0.8783,-1.6488,1 
1.9014,-0.8207,1 
-0.2145,-0.2757,1 
0.1858,0.3044,1 
-0.6838,-1.1791,1 
0.7769,-0.2022,1 
0.3637,0.0311,1 
0.0814,-1.301,1 
3.4337,-0.3918,1 
0.3943,-1.8448,1 
0.0645,-0.5438,1 
-1.3278,1.2144,1 
-0.1664,-0.0315,1 
0.6759,-0.9587,1 
1.0882,0.3054,1 
0.5492,0.8085,1 
0.2744,-0.2511,1 
-0.1242,-0.8606,1 
-0.4227,-0.264,1 
0.3877,-2.2306,1 
1.0345,0.4457,1 
-0.8657,0.0248,1 
-0.7543,0.5042,1 
0.435,0.1285,1 
0.4824,1.9866,1 
0.6007,-0.0853,1 
-1.7438,-0.3843,1 
0.1804,-0.5634,1 
0.9043,-0.9891,1 
1.5203,0.3452,1 
1.104,-0.7638,1 
-0.8203,-0.6718,1 
-0.9573,-1.3232,1 
-1.1423,0.7607,1 
0.9834,0.9075,1 
0.2285,-0.0578,1 
-0.8724,1.1078,1 
0.6466,-0.3058,1 
0.5061,-1.0822,1 
-0.0546,-0.553,1 
1.1302,-1.4617,1 
-0.7328,-0.1185,1 
-0.1148,1.8713,1 
-1.0674,0.2471,1 
0.4767,-0.8564,1 
-2.0838,0.7349,1 
0.1549,-0.2122,1 
-1.0862,-1.1894,1 
-0.2651,-0.1224,1 
0.4315,-1.3965,1 
-0.4146,-0.9868,1 
-2.1192,1.3276,1 
0.7985,-0.4549,1 
-0.9583,0.484,1 
-0.8582,0.7366,1 
-0.341,-0.5342,1 
-1.1646,-0.0644,1 
2.465,0.6814,1 
-1.3314,0.5346,1 
0.7774,0.7673,1 
-0.2974,1.4576,1 
0.2992,-1.1542,1 
0.3799,0.4251,1 
-0.6674,-2.368,1 
-0.7616,-1.0531,1 
-1.3215,-0.3325,1 
-0.6043,-1.0804,1 
0.4139,-0.8614,1 
0.7406,0.6205,1 
-0.5677,0.0705,1 
-0.3512,0.2655,1 
-0.5555,0.1587,1 
-1.4542,-0.5082,1 
-1.1573,0.6712,1 
0.4425,0.5125,1 
-0.2883,-1.3905,1 
-0.8341,-0.3291,1 
1.1259,-1.5249,1 
-2.3269,-0.2398,1 
-0.88,1.1988,1 
1.9104,-0.7251,1 
0.0499,-0.9363,1 
0.8713,-0.298,1 
0.1805,1.8924,1 
-0.2029,1.1599,1 
0.1107,0.5786,1 
1.8046,-0.9414,1 
-0.0141,0.2713,1 
2.3074,1.392,1 
-2.5389,1.261,1 
1.2172,-1.1928,1 
0.0207,0.7464,1 
0.0807,-1.0025,1 
-1.7725,-0.7146,1 
0.0863,1.0761,1 
-0.4747,-0.8688,1 
-0.7468,-0.5643,1 
-0.9195,-1.0759,1 
-1.2872,0.1552,1 
-1.263,0.8165,1 
-0.2791,-0.2761,1 
-0.932,1.1268,1 
1.0131,2.7726,1 
-0.4899,-1.9899,1 
0.5595,-0.0957,1 
-0.3175,-0.4985,1 
-0.0741,-0.4325,1 
-0.6095,1.1437,1 
-1.6582,-2.236,1 
-0.6995,1.6728,1 
-2.2884,0.2919,1 
1.6774,0.9122,1 
-0.6134,1.3657,1 
2.1427,-0.4277,1 
-0.1519,-0.815,1 
0.2989,-0.2694,1 
-0.6782,-0.3414,1 
-0.0006,-1.8557,1 
0.5388,-0.2253,1 
0.2977,1.406,1 
0.7266,-0.4436,1 
1.6057,1.3906,1 
-0.5582,0.7341,1 
1.2627,0.1611,1 
-0.4553,1.7485,1 
-1.7231,1.3785,1 
1.2768,-2.1421,1 
1.2216,-1.6943,1 
-0.6538,-0.1246,1 
-0.4152,0.0347,1 
0.2866,0.5922,1 
0.2134,-1.2438,1 
-0.5646,-0.8516,1 
1.7608,0.8914,1 
0.5193,1.1214,1 
0.4341,0.2071,1 
-0.4101,-1.9138,1 
0.9384,0.9914,1 
-0.6063,-0.6871,1 
0.6243,-0.1354,1 
-0.0686,1.3856,1 
0.1831,-0.0516,1 
-1.208,-0.0073,1 
-0.2046,-1.0791,1 
-0.0651,-0.0842,1 
-1.1091,-0.1512,1 
0.4863,-1.8391,1 
2.1178,1.2278,1 
0.066,-0.9307,1 
0.1537,-0.1375,1 
-2.8447,0.0997,1 
-0.3802,0.1782,1 
-0.3163,0.1693,1 
1.1529,1.5243,1 
0.2115,2.3206,1 
-0.9989,-1.3567,1 
-0.6057,-0.6806,1 
-0.1005,-0.4927,1 
0.9066,-0.3754,1 
-0.6734,0.334,1 
1.1259,-0.1991,1 
2.0726,0.4674,1 
0.3371,0.0423,1 
0.636,-0.9551,1 
-0.9284,-0.9082,1 
1.0461,-0.431,1 
1.8715,-0.3718,1 
1.0485,1.8347,1 
-1.9137,0.305,1 
-1.4072,0.5008,1 
0.4162,1.0395,1 
-2.0118,0.9526,1 
-0.8934,0.7975,1 
1.5872,-0.3121,1 
-0.3162,1.9737,1 
0.2658,0.2194,1 
-0.1687,0.4913,1 
-0.5682,0.6451,1 
-2.006,1.1431,1 
1.4221,-0.1732,1 
-2.7577,1.2319,1 
-1.0598,-0.2961,1 
-0.7745,0.1528,1 
0.2891,0.917,1 
0.0804,-0.7922,1 
-1.6059,0.5204,1 
-0.9368,-0.4779,1 
-0.2331,-0.6218,1 
-0.7065,0.1916,1 
-0.5118,0.9716,1 
0.0078,-0.958,1 
-0.4186,0.0837,1 
0.2617,-1.0678,1 
0.1073,-1.5677,1 
-0.0008,-1.5087,1 
-0.0072,-2.3597,1 
-0.4168,0.5794,1 
0.9811,1.229,1 
0.4269,-0.8087,1 
-1.8076,-0.8485,1 
0.716,-0.5434,1 
-1.133,0.7344,1 
0.3188,0.6587,1 
0.0165,1.3882,1 
0.5137,-2.1725,1 
1.2805,0.9842,1 
-1.995,0.1294,1 
-2.0027,1.1391,1 
0.8033,-0.1069,1 
-0.2824,-0.7853,1 
0.6251,1.0433,1 
1.7789,1.9099,1 
0.3918,1.5281,1 
-1.2818,1.2009,1 
-0.9703,0.8037,1 
-0.2806,-0.5709,1 
0.2871,-1.9081,1 
0.1282,1.0319,1 
0.4747,1.3635,1 
-0.4847,0.1758,1 
-0.5998,0.2236,1 
0.7147,-1.5327,1 
0.3372,0.4042,1 
-0.1176,0.2231,1 
-0.2931,1.631,1 
-0.8265,-1.4641,1 
2.0948,-2.5939,1 
1.8744,0.4077,1 
0.35,-0.4213,1 
0.2802,-0.2673,1 
-0.863,-0.9647,1 
-0.0667,-0.0624,1 
0.4637,-0.3752,1 
-0.9872,-2.6929,1 
0.1167,1.7642,1 
-0.2608,-0.146,1 
