Feature1,Feature2,Class
0.2293,-0.1488,1 
-1.1344,-1.0751,1 
-0.3662,-0.9519,1 
-0.8586,-0.6797,1 
0.6885,0.1948,1 
-0.4486,0.5043,1 
-0.5857,0.4159,1 
0.1904,0.6726,1 
0.8104,1.6121,1 
-2.459,0.2671,1 
0.2948,1.0721,1 
0.8575,1.1154,1 
0.684,0.6865,1 
-0.0576,0.2091,1 
0.4006,-1.2331,1 
0.7979,-0.1094,1 
-0.3653,-0.6491,1 
-1.1011,0.1365,1 
-0.5545,1.6995,1 
0.0367,0.3767,1 
0.9644,0.2166,1 
0.2364,-0.6982,1 
-0.2,-0.9343,1 
1.1142,1.8018,1 
-0.1511,0.5206,1 
-0.801,0.7825,1 
1.3872,-0.777,1 
0.9597,0.6981,1 
0.5053,0.785,1 
0.5154,-1.614,1 
-1.8172,-0.9767,1 
-0.383,-0.9384,1 
-1.5406,0.9044,1 
0.2018,-1.5991,1 
0.9459,0.6581,1 
0.1608,0.1866,1 
1.6791,-1.0169,1 
1.4091,-0.9499,1 
-0.4647,-0.9078,1 
0.7639,0.5432,1 
0.412,0.9992,1 
-1.4104,-0.8169,1 
1.5153,0.1469,1 
1.2554,-0.1706,1 
0.3993,-2.8744,1 
-0.5044,-0.2184,1 
0.3816,-0.5791,1 
-0.8349,-2.1681,1 
-0.3864,1.4617,1 
1.5395,-0.7321,1 
-0.5201,-0.2566,1 
-0.6604,-1.4349,1 
1.0428,0.3262,1 
0.9469,0.4006,1 
0.1914,-0.7479,1 
0.4033,0.8573,1 
-1.5864,-0.8848,1 
-0.6303,-0.3821,1 
1.8399,-0.2653,1 
-1.0515,0.6059,1 
-1.5244,0.8434,1 
0.1534,0.896,1 
-1.0311,0.3911,1 
1.0226,0.259,1 
-0.5509,0.0133,1 
0.4679,-0.0327,1 
0.2482,-0.4921,1 
0.0358,-0.2544,1 
-0.7008,1.6627,1 
1.1006,-0.2697,1 
1.0589,-0.0653,1 
0.1733,1.373,1 
1.7687,0.6617,1 
-0.0392,1.3345,1 
0.778,0.6562,1 
-1.5559,0.5928,1 
-0.057,-0.573,1 
-0.7658,1.5598,1 
0.2016,1.3473,1 
0.2573,0.166,1 
-0.2969,-0.1769,1 
-0.0417,-0.1804,1 
-1.932,-0.5958,1 
0.9021,1.0731,1 
2.7419,0.1603,1 
0.9426,-0.6058,1 
-0.1884,-0.2324,1 
-0.0055,-0.8283,1 
0.3746,1.2486,1 
-1.7782,1.01,1 
-1.6632,0.9236,1 
1.2434,1.2341,1 
-1.0822,0.7069,1 
1.1654,2.1537,1 
0.1839,-0.0182,1 
0.4562,-1.8717,1 
0.6714,-1.9429,1 
-0.1681,-0.3148,1 
-1.0049,-2.2315,1 
-1.5141,1.2735,1 
1.2034,0.9345,1 
1.7487,1.3523,1 
-0.4944,0.5253,1 
2.0786,0.5409,1 
-1.5809,0.4399,1 
0.8228,-0.5713,1 
-0.9732,-1.8891,1 
-0.2715,-1.2382,1 
0.2787,-1.2487,1 
-0.408,1.1183,1 
0.0706,0.2472,1 
0.2627,1.089,1 
1.5748,0.3243,1 
0.6642,-0.6337,1 
0.4757,-1.7352,1 
0.5393,0.0042,1 
1.4792,-1.5284,1 
0.5753,-0.2518,1 
-0.1355,-0.2742,1 
-1.8696,-1.3577,1 
0.4856,0.8487,1 
-0.0289,-0.8314,1 
-0.4613,-0.0442,1 
1.1446,-0.2683,1 
-0.0228,-0.9424,1 
-0.6699,-1.5128,1 
0.4675,-0.0737,1 
0.8657,0.2782,1 
-0.8406,-0.1885,1 
0.2347,0.7411,1 
0.0537,1.3673,1 
0.6491,-1.3089,1 
0.7414,-1.513,1 
-1.3139,-1.1165,1 
1.3321,1.7182,1 
-0.0487,0.2531,1 
2.1827,-0.3858,1 
0.6605,2.2022,1 
0.3145,0.5178,1 
0.2099,1.2239,1 
-0.4898,0.5535,1 
-0.4404,2.7585,1 
0.8626,-0.1369,1 
-0.2866,-0.082,1 
0.7526,0.7544,1 
1.3733,-1.2478,1 
-2.8259,0.9919,1 
0.0789,0.9663,1 
0.505,0.0347,1 
-0.0109,-0.4539,1 
0.686,0.3713,1 
-0.7106,-0.8058,1 
0.7655,2.576,1 
1.0589,1.6474,1 
0.9434,0.7452,1 
-0.3241,0.02,1 
1.3818,0.3587,1 
0.0937,-1.0964,1 
1.2522,0.8294,1 
1.9293,0.796,1 
0.4982,-0.8371,1 
0.5166,-0.9177,1 
0.1506,0.4933,1 
-0.3951,-0.2098,1 
-2.4416,1.4952,1 
-0.2104,-0.1309,1 
0.6333,1.9278,1 
0.6708,0.0846,1 
-0.6736,0.8743,1 
1.7993,1.4559,1 
0.0769,-1.2446,1 
0.2971,0.6237,1 
0.582,-0.1814,1 
1.1228,-1.6804,1 
0.6006,-0.467,1 
-0.5748,-0.1286,1 
0.0354,-0.9881,1 
-1.2281,0.9916,1 
-0.1653,0.1698,1 
2.6603,0.6435,1 
-0.1649,0.3438,1 
1.1625,2.0389,1 
0.3864,-0.018,1 
0.2102,0.2427,1 
-0.9414,0.1776,1 
-0.1842,0.5539,1 
0.7184,0.7825,1 
-1.3513,1.0052,1 
-1.2927,0.8345,1 
-0.6581,1.9291,1 
-1.1128,-2.4288,1 
-0.9697,1.413,1 
-0.4759,-0.0686,1 
0.6434,-0.4017,1 
-0.9515,1.3546,1 
0.6641,0.9007,1 
-0.8809,-2.6223,1 
0.795,1.3843,1 
-2.0955,1.1332,1 
-1.4321,0.7105,1 
0.0667,0.5946,1 
-0.6589,1.9251,1 
0.029,0.524,1 
0.101,-1.0378,1 
-0.318,0.0553,1 
1.0381,-1.0661,1 
-1.1351,0.8872,1 
0.8561,-0.2892,1 
-0.2209,-1.903,1 
-0.901,2.1605,1 
-1.2589,-0.3988,1 
-0.3744,-0.1915,1 
1.9712,-0.612,1 
0.1841,0.9657,1 
-0.3572,0.1232,1 
0.5505,3.2687,1 
0.1589,0.7795,1 
-0.0721,-0.0821,1 
0.387,-0.7108,1 
-1.1727,-0.8842,1 
0.5661,-0.9477,1 
0.9332,-0.1493,1 
0.8524,-1.1081,1 
-0.9724,1.2431,1 
0.6968,-0.4392,1 
1.0162,0.1885,1 
1.5909,0.6536,1 
-1.2942,0.7492,1 
-0.9434,1.5708,1 
0.5153,0.2795,1 
1.1591,1.0832,1 
0.1624,0.7417,1 
1.4271,0.4191,1 
1.7334,0.2626,1 
0.7325,0.9364,1 
1.5932,-0.3082,1 
0.2994,-0.1932,1 
-0.8256,0.4783,1 
0.7959,-0.9283,1 
0.6341,0.1338,1 
-1.2944,-0.5093,1 
0.7954,-1.1428,1 
0.7974,1.6959,1 
-0.0205,-0.5129,1 
0.1433,0.4255,1 
0.9683,-1.3116,1 
0.8574,0.8222,1 
2.866,-0.0983,1 
-0.5125,0.3981,1 
-0.602,-0.4451,1 
-0.8042,-1.0931,1 
-0.4877,-1.0104,1 
1.422,-0.9763,1 
3.0438,-0.4685,1 
-0.6674,0.4416,1 
-0.9726,0.6436,1 
1.4249,-1.5208,1 
-0.5556,1.1754,1 
0.2254,-0.5342,1 
-1.276,0.0273,1 
-1.7124,0.2655,1 
0.1736,1.067,1 
0.5348,0.5177,1 
-0.5475,0.9861,1 
-0.7948,-0.78,1 
-0.8867,-0.3311,1 
-0.7865,1.1348,1 
1.0126,1.7492,1 
-0.0387,-1.3741,1 
-0.1891,-0.3576,1 
0.8038,0.7597,1 
-1.2738,-1.1303,1 
-0.7567,1.2121,1 
0.9982,1.704,1 
-1.751,0.526,1 
0.3749,0.6188,1 
-0.5934,0.2485,1 
-0.0286,0.2022,1 
-0.2761,0.7192,1 
-0.1749,0.3408,1 
-0.2714,-0.0233,1 
0.3373,0.2004,1 
0.5204,-0.5669,1 
0.9189,-0.0766,1 
-1.1841,2.4979,1 
-0.6178,-0.9054,1 
0.948,0.2485,1 
0.491,-0.1745,1 
0.7907,1.5107,1 
-0.5468,0.1089,1 
2.0849,0.1711,1 
-0.5416,-0.6691,1 
-0.1451,0.6804,1 
2.1051,-0.1236,1 
-0.4057,1.0788,1 
-0.7955,-1.3076,1 
-0.1604,0.9962,1 
0.7055,-0.7037,1 
0.0123,-0.7621,1 
0.4847,0.4634,1 
-0.991,-0.8659,1 
1.7495,0.7175,1 
0.988,1.5198,1 
2.58,0.1051,1 
1.3214,0.1755,1 
1.027,-0.4595,1 
1.3845,-0.2024,1 
-1.5503,-0.7378,1 
-1.1181,-0.803,1 
0.1026,-0.913,1 
-0.1384,0.6379,1 
0.6732,-2.6569,1 
1.3572,-0.2621,1 
2.4162,-0.3497,1 
-0.2219,-0.6708,1 
-1.245,-1.579,1 
0.4312,0.4971,1 
0.512,-1.1578,1 
0.9622,-0.7713,1 
-1.6054,-1.3676,1 
0.9035,0.0979,1 
1.3374,-0.7351,1 
-0.9392,-0.588,1 
-0.2027,1.8963,1 
-1.9903,-0.5035,1 
1.7513,1.3176,1 
0.414,-0.5251,1 
0.306,-1.0012,1 
-0.0764,0.6518,1 
1.0952,-0.756,1 
-0.1887,0.3588,1 
-1.3079,-0.6402,1 
0.8876,1.0584,1 
-0.7985,1.0556,1 
-0.6462,-1.0081,1 
-0.8772,0.6775,1 
0.2963,0.2547,1 
0.3441,-0.9067,1 
-0.3058,0.7834,1 
-0.7808,-0.075,1 
-1.2518,-0.2931,1 
2.096,0.6838,1 
-0.7818,-1.3449,1 
