Feature1,Feature2,Class
-0.4263,-1.1024,1 
-0.9299,-1.5664,1 
-1.0594,0.6846,1 
1.7876,-0.0175,1 
-1.2556,-2.7969,1 
-0.1572,-1.5784,1 
-0.6238,-0.8749,1 
-0.3233,0.2333,1 
-1.1235,-0.0336,1 
-1.7084,0.244,1 
-1.1724,1.6878,1 
0.0537,-1.4013,1 
-1.46,-0.9914,1 
1.0073,0.849,1 
1.2519,-0.535,1 
0.4301,0.3234,1 
1.7716,-3.0979,1 
-0.0198,-1.0587,1 
1.6627,-2.2276,1 
0.1444,-0.9924,1 
-0.0725,-0.1974,1 
0.6559,-0.0051,1 
0.0483,1.4398,1 
0.9158,-0.4189,1 
-1.6618,-0.4895,1 
-0.0586,-0.2519,1 
1.3844,0.3025,1 
-1.3009,-0.1835,1 
1.7928,-0.5933,1 
-0.7878,-1.3451,1 
0.4221,-0.9362,1 
-0.6667,0.9692,1 
0.0119,-0.1692,1 
0.1444,-0.8031,1 
-1.3154,0.5107,1 
-0.7823,1.0497,1 
-0.1442,0.9981,1 
0.7017,-0.225,1 
-0.5564,-1.6759,1 
0.7574,-0.0816,1 
-0.5352,0.6307,1 
0.266,0.3057,1 
0.7511,-0.355,1 
0.2944,0.5086,1 
-1.3107,0.7012,1 
0.4957,0.1729,1 
-0.2368,0.4533,1 
-1.234,-0.7693,1 
-1.1871,-0.4469,1 
0.0366,-1.0564,1 
0.5007,0.9305,1 
2.9502,1.3984,1 
0.5748,0.3123,1  
7.4678,1.2187,0 
8.6871,-0.9437,0 
8.5508,-1.1433,0 
7.5402,-2.2498,0 
8.0246,0.0185,0 
8.3193,-0.6729,0 
7.2716,-0.9998,0 
8.8137,-0.1642,0 
8.0342,-0.24,0 
8.2487,1.1231,0 
7.9148,-0.5715,0 
8.6557,2.4181,0 
5.5832,1.4814,0 
7.2165,1.164,0 
7.4812,0.4848,0 
5.9927,-1.7062,0 
7.2444,-0.0585,0 
9.2848,-1.1766,0 
9.2268,0.6079,0 
6.3511,0.5047,0 
7.6736,-0.5081,0 
9.3015,1.0151,0 
8.6447,-1.3953,0 
8.5292,1.6542,0 
7.1448,-0.4113,0 
7.6601,-0.0698,0 
8.5052,0.6528,0 
8.4126,-0.334,0 
7.2099,-0.5238,0 
8.031,-0.1939,0 
7.2618,-0.2875,0 
7.7667,-1.4268,0 
8.8618,0.5537,0 
7.4162,-1.4677,0 
8.3892,1.1803,0 
8.4724,1.1356,0 
7.3267,-1.4485,0 
8.5614,0.8177,0 
7.6993,-1.5371,0 
6.8286,-0.1043,0 
9.0189,1.5502,0 
8.9419,-0.4721,0 
8.6472,1.1094,0 
9.4572,-1.0089,0 
8.1267,1.3057,0 
9.7665,-0.6836,0 
8.9574,-0.8268,0 
9.4291,0.7059,0 
7.0192,-0.0498,0 
8.3768,-0.8955,0 
9.7657,-2.2182,0 
7.1622,0.181,0 
8.0152,0.2508,0 
8.0174,0.0116,0 
7.8664,0.3057,0 
7.2262,1.3228,0 
10.0873,-0.496,0 
1.2387,8.6219,0 
-1.2033,7.0589,0 
0.1368,7.209,0 
0.227,8.1556,0 
-1.1415,8.3929,0 
0.0864,8.976,0 
-0.6258,7.5921,0 
-0.5369,6.7742,0 
0.0212,7.5562,0 
-0.031,5.9086,0 
-0.4975,9.3804,0 
-0.2259,7.6613,0 
0.9205,6.2513,0 
0.3164,8.5924,0 
-1.1479,9.7835,0 
0.4521,7.9686,0 
-0.6288,8.1583,0 
-0.0859,6.72,0 
-0.741,7.4566,0 
-1.7558,8.6633,0 
-0.4722,7.7371,0 
1.9537,8.7108,0 
-1.263,8.7299,0 
1.5944,9.4924,0 
-0.3478,5.9404,0 
-0.3233,9.5353,0 
1.8565,7.4432,0 
-0.7534,9.9345,0 
-1.8432,8.7978,0 
1.452,7.4024,0 
-0.0027,7.2762,0 
0.5406,9.336,0 
-0.1643,8.3341,0 
-0.6478,6.6193,0 
-0.4742,9.2695,0 
0.4799,8.1474,0 
0.4891,7.7352,0 
-0.2323,8.1403,0 
0.0014,8.2114,0 
1.85,9.4795,0 
0.5533,8.3075,0 
-0.0966,9.542,0 
-1.5799,8.6345,0 
-2.1869,7.9111,0 
-0.0484,6.4375,0 
0.1323,7.0256,0 
0.4697,7.4008,0 
1.4703,6.9126,0 
-1.0566,7.9866,0 
-0.6536,8.8852,0 
0.8125,6.5888,0 
1.0803,7.6432,0 
-0.8017,10.0254,0 
7.3953,9.4997,1 
6.1978,8.9069,1 
9.3063,7.1581,1 
7.8533,8.2574,1 
6.4336,6.6727,1 
6.6401,6.7947,1 
8.0596,7.9117,1 
8.021,8.3065,1 
8.749,9.4346,1 
7.5558,9.7575,1 
