Feature1,Feature2,Class
-0.6653,1.3814,1 
-0.6855,1.2262,1 
-0.4546,0.5468,1 
1.5919,0.4887,1 
1.1234,-0.1885,1 
1.5378,0.2749,1 
-0.7566,0.6514,1 
0.5574,-0.5644,1 
1.759,1.562,1 
-1.3193,0.2696,1 
0.1273,-1.6657,1 
2.0946,2.1689,1 
0.7805,0.3461,1 
1.1252,-0.0204,1 
-0.2817,1.1569,1 
-0.3616,0.7214,1 
-1.0328,-2.2211,1 
1.1245,-1.3344,1 
-0.0335,-0.8681,1 
0.65,0.145,1 
-2.8844,0.1736,1 
0.9314,1.3103,1 
0.6769,-0.6113,1 
0.5864,1.3633,1 
-1.1564,1.7405,1 
-0.7807,-1.5613,1 
-1.2125,1.187,1 
3.4465,0.1203,1 
0.3949,0.7109,1 
0.3081,0.4369,1 
-0.3568,0.2491,1 
-0.1614,0.4215,1 
0.3736,-0.0281,1 
0.9463,0.1271,1 
-2.1638,0.6908,1 
0.2856,0.3898,1 
1.5031,0.1229,1 
2.1847,0.1578,1 
1.3637,-0.5499,1 
-0.1864,-0.1723,1 
0.5979,2.3276,1 
-0.3453,-0.2157,1 
-0.8392,1.5257,1 
-0.6908,0.3132,1 
-0.3942,-0.7356,1 
-0.8496,0.3606,1 
-0.4575,0.8905,1 
-0.5159,-0.0643,1 
-1.2071,-0.9343,1 
0.363,-0.5778,1 
0.2502,0.8605,1 
-0.2266,-0.9891,1 
0.9844,0.0664,1 
1.8745,2.2195,1 
0.5434,-0.7368,1 
0.986,-0.0961,1 
-1.6451,-1.9559,1 
0.432,-0.7939,1 
-0.8812,0.8327,1 
-0.9108,-0.9681,1 
0.3372,0.0708,1 
-0.0944,-0.1236,1 
-0.2592,0.2359,1 
0.8366,-1.0952,1 
1.0782,0.538,1 
-0.7393,0.8061,1 
-0.0857,-0.8399,1 
-1.5081,0.7389,1 
-0.0144,0.4983,1 
0.7767,1.0157,1 
0.5914,0.9144,1 
-0.7353,-0.9071,1 
-1.5179,-0.6792,1 
-0.4823,-0.8843,1 
-0.8549,-2.4623,1 
