Feature1,Feature2,Class
-0.8642,-8.6422,1 
1.4259,14.2591,1 
-2.9789,-29.7888,1 
0.4299,4.2992,1 
0.4189,4.189,1 
-1.3874,-13.874,1 
-1.0315,-10.3146,1 
0.2234,2.2339,1 
-0.4084,-4.0838,1 
-0.1236,-1.236,1 
-0.2192,-2.1923,1 
-1.0308,-10.3078,1 
-0.2836,-2.8357,1 
2.4053,24.0534,1 
-0.3587,-3.5869,1 
0.6184,6.1837,1 
1.1697,11.6972,1 
-0.6499,-6.4989,1 
-0.515,-5.15,1 
-1.428,-14.2796,1 
-0.3125,-3.1246,1 
0.159,1.5897,1 
-0.5703,-5.7027,1 
0.3601,3.6007,1 
0.8222,8.222,1 
-0.526,-5.2599,1 
1.7741,17.7407,1 
0.2074,2.0739,1 
-0.7665,-7.6646,1 
2.803,28.0299,1 
-0.8011,-8.0105,1 
0.0349,0.3489,1 
2.1911,21.9109,1 
-0.285,-2.8505,1 
-0.8504,-8.5036,1 
1.8124,18.1245,1 
0.7307,7.307,1 
0.4148,4.1482,1 
0.1429,1.4288,1 
-1.3038,-13.0383,1 
0.8151,8.1511,1 
-1.1915,-11.9154,1 
0.1945,1.9452,1 
1.4292,14.2918,1 
1.6831,16.8308,1 
0.7909,7.9093,1 
2.1701,21.7013,1 
-0.3827,-3.8272,1 
0.7941,7.9408,1 
0.8765,8.7648,1 
-1.6144,-16.1435,1 
-2.4833,-24.8332,1 
1.0692,10.6922,1 
-2.6783,-26.7831,1 
-0.3273,-3.2733,1 
-0.6826,-6.8259,1 
-1.6011,-16.0112,1 
-1.943,-19.4301,1 
-1.3494,-13.4943,1 
1.4398,14.3984,1 
-1.407,-14.0702,1 
-0.3069,-3.0687,1 
0.9001,9.0014,1 
-0.1191,-1.1907,1 
-0.0136,-0.136,1 
-0.864,-8.6402,1 
-0.0499,-0.4988,1 
0.8954,8.9542,1 
-0.2804,-2.8043,1 
1.072,10.7202,1 
-0.5534,-5.5336,1 
-0.5558,-5.5582,1 
-0.38,-3.8,1 
-0.8758,-8.7583,1 
2.0277,20.2769,1 
-2.1905,-21.9054,1 
-0.3403,-3.4026,1 
1.1558,11.5582,1 
-1.0313,-10.3129,1 
0.4384,4.3845,1 
-2.1209,-21.2091,1 
0.5608,5.6076,1 
-1.5908,-15.9083,1 
0.3625,3.6253,1 
0.9843,9.8431,1 
1.3481,13.4811,1 
2.9271,29.2705,1 
-2.1884,-21.8838,1 
1.3453,13.4529,1 
-1.6022,-16.0221,1 
-1.7233,-17.2327,1 
0.4466,4.4663,1 
-1.9797,-19.7974,1 
0.9048,9.0485,1 
1.685,16.8499,1 
0.757,7.5701,1 
-0.5676,-5.6758,1 
0.4574,4.5742,1 
-0.0877,-0.8775,1 
-1.3312,-13.3119,1 
-1.1918,-11.9185,1 
0.435,4.3495,1 
1.6475,16.4748,1 
-0.4836,-4.8363,1 
0.6008,6.0077,1 
0.8555,8.5546,1 
1.0351,10.3508,1 
1.214,12.1397,1 
0.8179,8.1791,1 
0.8931,8.9309,1 
0.8673,8.6733,1 
-2.3842,-23.8425,1 
-0.4926,-4.9256,1 
-0.4188,-4.1884,1 
-0.7042,-7.0424,1 
-0.2738,-2.7384,1 
-0.342,-3.4199,1 
-0.2202,-2.2022,1 
1.3736,13.7365,1 
-0.3304,-3.3043,1 
-0.9901,-9.9005,1 
-0.534,-5.3401,1 
0.8043,8.0433,1 
0.093,0.9302,1 
1.3607,13.6067,1 
1.1726,11.7261,1 
0.2685,2.6852,1 
-2.8637,-28.6366,1 
0.1695,1.6955,1 
1.1219,11.2186,1 
-0.8295,-8.2946,1 
-0.0367,-0.3673,1 
0.2035,2.0347,1 
0.7783,7.7835,1 
-2.0628,-20.6277,1 
-1.9002,-19.0024,1 
1.0455,10.4548,1 
0.1709,1.7092,1 
0.0009,0.0093,1 
0.3644,3.6442,1 
0.0935,0.9353,1 
1.3136,13.1359,1 
0.7939,7.9387,1 
0.7271,7.2708,1 
-0.1885,-1.8855,1 
1.0195,10.1952,1 
0.3866,3.8657,1 
