Feature1,Feature2,Class
-0.0493,0.6203,1 
-0.9186,0.6324,1 
1.4286,1.2455,1 
2.0599,0.4597,1 
0.1872,1.1205,1 
-1.1086,-1.0744,1 
-0.5629,-1.1763,1 
0.774,0.1733,1 
-0.5207,-1.9963,1 
-1.0294,1.4634,1 
1.9643,1.7658,1 
0.2621,-1.1982,1 
-0.6789,0.7561,1 
2.3269,0.7961,1 
-0.0021,0.1429,1 
-1.2318,-1.4201,1 
-0.679,-0.1318,1 
-1.0476,1.7129,1 
-0.8292,-0.2056,1 
-0.8649,-1.1558,1 
-0.7914,1.6422,1 
0.5788,-0.0018,1 
-0.2388,1.2226,1 
0.2761,-0.2871,1 
0.4336,-0.965,1 
-0.4156,1.3398,1 
1.9459,-1.0479,1 
-0.192,0.1998,1 
-0.1448,1.0199,1 
-1.0908,0.3556,1 
0.8573,1.8056,1 
-1.291,-0.1199,1 
0.3054,-0.203,1 
-0.9732,-1.4003,1 
0.928,0.5779,1 
1.2342,-0.9028,1 
-0.5466,1.7392,1 
0.913,0.7866,1 
0.6268,-1.9399,1 
1.1537,-1.7106,1 
-0.6736,0.3203,1 
0.1891,-0.4395,1 
-0.0235,-0.1042,1 
0.5474,0.4786,1 
0.1671,0.4639,1 
0.2726,0.3036,1 
0.4542,-0.1434,1 
-0.1221,1.0225,1 
-0.6288,-1.124,1 
0.5652,0.4948,1 
1.0997,0.0817,1 
0.2238,-0.2516,1 
-1.463,-0.1943,1 
4.406,0.6425,0 
2.1978,0.9069,0 
5.3063,-0.8419,0 
3.8533,0.2574,0 
2.4336,-1.3273,0 
2.6401,-1.2053,0 
4.0596,-0.0883,0 
4.021,0.3065,0 
4.749,1.4346,0 
3.5558,1.7575,0 
5.1088,0.4465,0 
3.8426,1.7665,0 
5.6971,-0.8528,0 
3.9171,-0.948,0 
4.3415,0.8085,0 
4.3096,0.4647,0 
5.1605,-0.3312,0 
4.6024,-0.6937,0 
3.1575,1.4731,0 
4.6612,0.6128,0 
3.2735,-0.9329,0 
2.8911,-0.7391,0 
5.9267,-0.2052,0 
2.8315,1.7806,0 
3.8751,0.0296,0 
3.7136,0.0675,0 
4.4472,0.2226,0 
5.3924,0.8772,0 
4.0231,-1.5267,0 
2.4057,-1.3571,0 
3.4023,0.3506,0 
3.4485,-0.9032,0 
4.8623,-0.0185,0 
3.5218,-0.9677,0 
5.3602,3.0835,0 
3.9831,-0.928,0 
2.9853,-1.5623,0 
5.3833,1.4198,0 
4.4073,0.3952,0 
3.0964,-0.599,0 
5.0511,0.0807,0 
2.3922,0.4826,0 
1.3038,1.7255,0 
4.6223,-0.0823,0 
5.9516,-1.9801,0 
1.3711,2.3189,0 
-0.376,4.6495,0 
0.9347,3.5784,0 
0.3693,5.4381,0 
-2.3822,4.6508,0 
1.5288,3.3457,0 
-0.7252,2.8998,0 
-0.0493,4.6203,0 
-0.9186,4.6324,0 
1.4286,5.2455,0 
2.0599,4.4597,0 
0.1872,5.1205,0 
-1.1086,2.9256,0 
-0.5629,2.8237,0 
0.774,4.1733,0 
-0.5207,2.0037,0 
-1.0294,5.4634,0 
1.9643,5.7658,0 
0.2621,2.8018,0 
-0.6789,4.7561,0 
2.3269,4.7961,0 
-0.0021,4.1429,0 
-1.2318,2.5799,0 
-0.679,3.8682,0 
-1.0476,5.7129,0 
-0.8292,3.7944,0 
-0.8649,2.8442,0 
-0.7914,5.6422,0 
0.5788,3.9982,0 
-0.2388,5.2226,0 
0.2761,3.7129,0 
0.4336,3.035,0 
-0.4156,5.3398,0 
1.9459,2.9521,0 
-0.192,4.1998,0 
-0.1448,5.0199,0 
-1.0908,4.3556,0 
0.8573,5.8056,0 
-1.291,3.8801,0 
0.3054,3.797,0 
-0.9732,2.5997,0 
0.928,4.5779,0 
1.2342,3.0972,0 
-0.5466,5.7392,0 
0.913,4.7866,0 
0.6268,2.0601,0 
1.1537,2.2894,0 
-0.6736,4.3203,0 
0.1891,3.5605,0 
-0.0235,3.8958,0 
0.5474,4.4786,0 
0.1671,4.4639,0 
0.2726,4.3036,0 
0.4542,3.8566,0 
-0.1221,5.0225,0 
-0.6288,2.876,0 
0.5652,4.4948,0 
1.0997,4.0817,0 
0.2238,3.7484,0 
-1.463,3.8057,0 
4.406,4.6425,1 
3.8165,3.1967,1 
3.1809,3.2931,1 
3.1828,4.3844,1 
5.1955,2.248,1 
4.37,4.7202,1 
3.6519,3.0117,1 
2.9794,4.7167,1 
4.2941,4.6169,1 
0.5274,4.9357,1 
3.906,4.2421,1 
2.7875,2.483,1 
3.5488,5.0166,1 
4.5265,2.841,1 
3.2009,4.5905,1 
4.4886,3.6489,1 
3.968,3.8269,1 
3.3362,5.2723,1 
4.1487,3.6922,1 
3.5199,4.3725,1 
2.9145,4.9088,1 
5.2784,2.968,1 
3.9729,3.8553,1 
6.0279,3.506,1 
4.6372,5.2749,1 
2.4594,2.9499,1 
3.6616,3.75,1 
4.3003,2.4198,1 
2.0431,2.9797,1 
4.8479,2.6833,1 
5.1616,4.4011,1 
5.2901,5.4377,1 
3.6814,4.7225,1 
3.3036,2.8213,1 
2.982,5.0299,1 
4.9425,4.6418,1 
5.0257,4.4996,1 
4.1062,4.2589,1 
3.713,6.3789,1 
3.3419,4.0823,1 
3.44,3.4351,1 
3.5567,3.1988,1 
6.3107,3.7159,1 
5.9354,2.8327,1 
