Feature1,Feature2,Class
-1.0718,-0.2615,1 
-0.7773,-0.5223,1 
0.0479,-0.2966,1 
-0.1659,-0.1271,1 
-0.5314,-0.6306,1 
0.5585,0.8094,1 
1.1625,0.7613,1 
-0.1535,-0.091,1 
-0.5986,1.2039,1 
0.4011,0.0475,1 
-1.3551,0.0372,1 
0.6713,0.1789,1 
-0.2915,1.0156,1 
-0.5815,-0.1559,1 
0.0081,-1.5977,1 
0.254,-0.4235,1 
0.8699,-0.418,1 
-0.2496,-1.1951,1 
0.9187,-0.8332,1 
-0.9464,-0.7686,1 
-0.7314,-0.7045,1 
0.383,1.0223,1 
1.3419,-0.7732,1 
-0.5268,0.4312,1 
-0.7527,-0.1782,1 
0.5039,0.4681,1 
0.9554,-0.2123,1 
-0.6351,0.53,1 
-0.9656,-2.1139,1 
0.2047,0.2893,1 
0.5369,1.6182,1 
0.2326,0.6713,1 
-0.317,0.068,1 
0.375,0.5917,1 
0.5067,0.6566,1 
1.3788,2.3461,1 
-1.3723,0.1364,1 
-0.3169,-1.1067,1 
1.7257,-0.005,1 
-0.2937,-0.6065,1 
2.0651,-0.7931,1 
-0.8568,1.4295,1 
1.2611,0.6141,1 
-1.6699,0.735,1 
1.237,-1.8718,1 
0.9075,0.5606,1 
-1.2275,1.2532,1 
2.5157,-1.1196,1 
-0.5538,0.1469,1 
-0.1848,-0.5182,1 
-0.5004,0.8742,1 
-0.5695,-0.0839,1 
-0.7803,-1.455,1 
-0.9331,-0.3458,1 
-1.0538,-0.8818,1 
-0.1383,0.274,1 
0.1684,-0.4853,1 
0.0629,0.8451,1 
-1.3311,-0.4145,1 
-0.5419,1.4404,1 
-0.2056,-0.1628,1 
1.6248,-0.0802,1 
1.8172,0.3418,1 
-0.0389,-0.8782,1 
-0.5703,0.3346,1 
-1.0372,2.0125,1 
-0.1784,1.9227,1 
-1.301,-0.998,1 
1.2201,0.3441,1 
-0.2952,1.3187,1 
0.2201,0.3685,1 
-1.2852,0.3565,1 
-0.1365,-0.1594,1 
1.3931,-1.245,1 
-0.6923,0.5973,1 
-0.9565,-1.049,1 
-0.1326,-1.1115,1 
0.5652,0.376,1 
0.6155,-0.8513,1 
-0.5692,-0.8363,1 
-0.2095,0.1955,1 
-0.5547,0.5413,1 
0.1968,0.5351,1 
-0.5155,0.7162,1 
-0.8929,0.8059,1 
0.749,-0.6202,1 
-0.2813,-1.5079,1 
1.3809,-0.572,1 
-0.1651,0.5689,1 
0.9262,-1.0273,1 
-0.1789,-1.1662,1 
0.2213,-1.1042,1 
-1.9395,-1.2534,1 
-0.4687,-0.147,1 
0.3425,-0.8054,1 
-0.4484,1.2412,1 
0.0818,-0.4752,1 
-0.9852,1.4823,1 
0.407,1.0846,1 
