Feature1,Feature2,Class
0.8537,8.5367,1 
1.114,11.1404,1 
2.6982,26.982,1 
-0.2717,-2.7166,1 
-1.0835,-10.8355,1 
-2.8159,-28.1592,1 
-0.3321,-3.3205,1 
0.1286,1.286,1 
3.0391,30.3906,1 
-1.5289,-15.2892,1 
-1.6356,-16.3563,1 
-1.5532,-15.5319,1 
-0.8429,-8.4289,1 
-0.5446,-5.446,1 
-1.0394,-10.3939,1 
-0.3903,-3.9026,1 
2.5828,25.8279,1 
0.0209,0.2095,1 
1.3787,13.7872,1 
-0.4104,-4.1037,1 
-1.1071,-11.0713,1 
0.1981,1.9813,1 
-0.5475,-5.475,1 
-0.5844,-5.8441,1 
-0.6459,-6.4592,1 
1.4863,14.8631,1 
1.1863,11.8627,1 
-0.3749,-3.7492,1 
0.8412,8.4122,1 
-0.5624,-5.6235,1 
-1.557,-15.5697,1 
-0.5,-5.0002,1 
-0.9086,-9.0858,1 
-1.1169,-11.169,1 
-1.3833,-13.8335,1 
1.1858,11.8582,1 
0.3201,3.2005,1 
1.8786,18.7863,1 
0.1721,1.7208,1 
0.3502,3.5021,1 
0.1538,1.5384,1 
-1.1995,-11.9953,1 
-0.0497,-0.4969,1 
0.7709,7.7088,1 
-1.2753,-12.7526,1 
2.0063,20.0627,1 
1.3241,13.2412,1 
1.0579,10.5788,1 
-0.7393,-7.3929,1 
0.2245,2.2446,1 
-0.768,-7.6796,1 
-0.0596,-0.5958,1 
-0.6828,-6.828,1 
1.8321,18.3214,1 
-1.1412,-11.4122,1 
1.8038,18.0378,1 
-1.2096,-12.0955,1 
-0.1485,-1.4852,1 
-1.3055,-13.0553,1 
0.8807,8.8073,1 
0.2756,2.7557,1 
0.93,9.3,1 
0.875,8.7498,1 
0.0405,0.405,1 
-2.3195,-23.195,1 
0.2081,2.0813,1 
1.2329,12.3292,1 
0.9521,9.5209,1 
-0.5541,-5.5405,1 
0.8163,8.163,1 
-0.6327,-6.3273,1 
-1.6866,-16.8656,1 
-0.0647,-0.6474,1 
0.4952,4.9515,1 
-0.0453,-0.453,1 
1.1829,11.8293,1 
-0.1286,-1.2857,1 
0.6228,6.2281,1 
0.0432,0.4319,1 
-0.6382,-6.3816,1 
-1.6664,-16.6637,1 
1.0918,10.9184,1 
2.189,21.89,1 
0.5436,5.4362,1 
0.6584,6.5844,1 
0.1754,1.7537,1 
1.4814,14.8137,1 
1.0292,10.2916,1 
-2.8824,-28.8238,1 
0.3296,3.2958,1 
-0.4942,-4.9421,1 
-0.3064,-3.0642,1 
-0.4377,-4.377,1 
-2.8167,-28.1666,1 
0.7233,7.2327,1 
3.4566,34.5664,1 
-0.5828,-5.8285,1 
-0.4667,-4.6672,1 
-1.2649,-12.6489,1 
-0.6964,-6.9643,1 
-0.252,-2.5198,1 
-0.2529,-2.5294,1 
1.7666,17.6658,1 
0.4424,4.4236,1 
0.5985,5.9854,1 
-0.3752,-3.7518,1 
2.7979,27.9794,1 
-0.5503,-5.5027,1 
0.0917,0.9166,1 
0.8362,8.3622,1 
-2.3726,-23.7265,1 
-0.1362,-1.3617,1 
0.1739,1.7392,1 
-0.7333,-7.333,1 
-0.6174,-6.1737,1 
0.8921,8.9211,1 
0.1892,1.8919,1 
0.4444,4.4442,1 
-1.1879,-11.8786,1 
-0.9224,-9.2235,1 
-0.8676,-8.6755,1 
1.816,18.1598,1 
0.5618,5.6176,1 
0.3321,3.3205,1 
0.8115,8.1145,1 
-1.4788,-14.7879,1 
2.4138,24.1376,1 
-1.9434,-19.4336,1 
0.9288,9.2879,1 
0.5398,5.398,1 
1.7926,17.9258,1 
-0.5046,-5.0465,1 
0.7547,7.547,1 
1.1261,11.2609,1 
0.0167,0.1667,1 
0.0977,0.977,1 
-1.6278,-16.2784,1 
-0.166,-1.6604,1 
1.336,13.3604,1 
1.0435,10.4353,1 
1.8828,18.8281,1 
0.2171,2.1707,1 
-1.3416,-13.4155,1 
-0.2859,-2.8585,1 
2.2328,22.3278,1 
2.1037,21.0366,1 
0.151,1.5095,1 
1.6101,16.1005,1 
-0.2148,-2.148,1 
0.2321,2.321,1 
0.7794,7.7939,1 
-1.4079,-14.079,1 
-0.6707,-6.7069,1 
1.1054,11.0536,1 
-0.5562,-5.5621,1 
0.6847,6.847,1 
0.576,5.7603,1 
0.6368,6.3675,1 
-0.9084,-9.0844,1 
-0.8446,-8.4461,1 
1.3582,13.5819,1 
1.4258,14.2577,1 
-1.5765,-15.7648,1 
0.1961,1.9612,1 
-1.2993,-12.9929,1 
1.1786,11.7862,1 
1.5725,15.7251,1 
-1.5859,-15.8594,1 
0.3019,3.0193,1 
0.8816,8.8163,1 
-0.6649,-6.6491,1 
-0.4719,-4.7187,1 
-0.1197,-1.1969,1 
1.3258,13.2575,1 
0.1448,1.4479,1 
-0.2604,-2.6044,1 
0.7761,7.7611,1 
1.56,15.5996,1 
0.0153,0.1535,1 
0.6775,6.7746,1 
1.0342,10.3415,1 
0.3306,3.3057,1 
-0.0021,-0.0212,1 
-0.3606,-3.6062,1 
0.4816,4.8163,1 
-0.2015,-2.0147,1 
0.8448,8.448,1 
1.1292,11.2916,1 
-0.2122,-2.1221,1 
0.9126,9.1262,1 
0.9776,9.7762,1 
-0.8884,-8.8836,1 
1.7841,17.8408,1 
0.3639,3.6394,1 
0.7503,7.5026,1 
-1.2445,-12.4452,1 
0.4057,4.0571,1 
-0.4156,-4.1557,1 
-0.0603,-0.6029,1 
-3.1376,-31.3763,1 
0.1855,1.8553,1 
-0.0106,-0.1061,1 
0.3817,3.8172,1 
2.0006,20.0058,1 
-1.6868,-16.8679,1 
1.0751,10.7509,1 
-2.1666,-21.6661,1 
-0.9701,-9.7011,1 
-0.2826,-2.826,1 
2.0617,20.6166,1 
0.1085,1.0849,1 
-0.1122,-1.1219,1 
-0.9539,-9.5388,1 
-0.6638,-6.638,1 
2.5928,25.9282,1 
-0.0786,-0.7862,1 
1.1062,11.0622,1 
0.5115,5.1151,1 
-0.0414,-0.4138,1 
-0.4324,-4.3238,1 
-0.0811,-0.8111,1 
1.5798,15.7985,1 
0.018,0.1801,1 
0.8536,8.5358,1 
-1.1706,-11.7056,1 
-1.1254,-11.2539,1 
-1.6956,-16.9557,1 
2.0481,20.4806,1 
3.1812,31.8125,1 
-0.1038,-1.0379,1 
0.6379,6.3791,1 
1.9841,19.8408,1 
-1.0844,-10.8441,1 
1.5636,15.6363,1 
0.6562,6.5618,1 
-0.4901,-4.9009,1 
1.3461,13.4615,1 
-0.476,-4.7605,1 
-0.5032,-5.0322,1 
0.0733,0.7327,1 
-0.3999,-3.9989,1 
0.7884,7.8839,1 
-0.2645,-2.6453,1 
-0.7326,-7.3258,1 
-0.2467,-2.4673,1 
-0.6339,-6.3389,1 
0.5082,5.0816,1 
1.0643,10.6425,1 
-1.5537,-15.5374,1 
-2.2624,-22.6238,1 
-0.3363,-3.3633,1 
-0.7807,-7.8074,1 
-1.4698,-14.698,1 
-0.55,-5.4995,1 
-1.2021,-12.0212,1 
-0.2457,-2.4565,1 
-1.2391,-12.3913,1 
-0.5617,-5.6173,1 
-0.9697,-9.6968,1 
-0.5575,-5.5745,1 
-1.547,-15.4703,1 
-2.2426,-22.4259,1 
0.4809,4.8089,1 
-0.0267,-0.2673,1 
-1.7376,-17.3763,1 
-0.5564,-5.5643,1 
0.8376,8.3761,1 
0.3305,3.3047,1 
-0.0404,-0.4037,1 
3.0944,30.944,1 
1.3677,13.6769,1 
-1.1981,-11.9812,1 
-0.3703,-3.7028,1 
-0.2515,-2.5151,1 
-2.3791,-23.7907,1 
0.8917,8.9173,1 
-1.6182,-16.1824,1 
-0.1652,-1.6522,1 
2.2232,22.2316,1 
0.4841,4.841,1 
-1.5389,-15.3891,1 
0.683,6.8299,1 
-1.4068,-14.0682,1 
1.5028,15.0276,1 
-0.7048,-7.0478,1 
0.3993,3.9934,1 
-0.0984,-0.9843,1 
0.4528,4.5285,1 
-0.7744,-7.7437,1 
-1.1157,-11.1567,1 
-0.6046,-6.0455,1 
0.7773,7.7728,1 
-1.604,-16.0401,1 
-0.0013,-0.0134,1 
-0.936,-9.36,1 
-0.9121,-9.1213,1 
-1.4628,-14.6281,1 
-0.1681,-1.681,1 
0.2486,2.4865,1 
-0.3804,-3.8043,1 
0.5083,5.083,1 
1.8212,18.2118,1 
0.1441,1.4413,1 
1.2128,12.1277,1 
-0.6084,-6.0844,1 
1.2862,12.8621,1 
-1.1398,-11.3976,1 
1.0429,10.4292,1 
-1.5069,-15.0693,1 
-0.233,-2.3301,1 
1.9078,19.0776,1 
0.7821,7.8207,1 
0.9286,9.2862,1 
-0.7141,-7.1415,1 
-1.8258,-18.2579,1 
-1.8146,-18.1462,1 
-0.4939,-4.9387,1 
-0.7151,-7.1513,1 
1.4119,14.1194,1 
-0.8839,-8.8386,1 
-0.5596,-5.596,1 
2.8366,28.3664,1 
-1.7768,-17.7682,1 
0.2938,2.938,1 
-1.7827,-17.8271,1 
-1.83,-18.3002,1 
0.3756,3.7555,1 
-1.6954,-16.9541,1 
-0.2699,-2.6989,1 
-0.6174,-6.174,1 
-1.5648,-15.6485,1 
-1.781,-17.8096,1 
3.541,35.4098,1 
1.817,18.1698,1 
-3.5188,-35.1878,1 
0.3833,3.8333,1 
-0.1474,-1.4736,1 
-1.0162,-10.1619,1 
-1.3411,-13.4108,1 
-0.5808,-5.8083,1 
-1.2894,-12.8936,1 
0.6893,6.8932,1 
0.7768,7.7685,1 
-0.1027,-1.0265,1 
-0.6557,-6.5566,1 
0.7805,7.805,1 
-0.0164,-0.1642,1 
0.5263,5.2629,1 
-0.7478,-7.4781,1 
0.026,0.2595,1 
-0.2025,-2.0246,1 
-1.9218,-19.2183,1 
-0.3913,-3.9133,1 
0.3568,3.5675,1 
1.725,17.25,1 
0.1687,1.6867,1 
-0.5603,-5.6032,1 
