Feature1,Feature2,Class
0.2574,-0.9085,1 
-0.3785,-0.5349,1 
0.8581,-0.413,1 
0.4982,2.0102,1 
1.2629,-0.4392,1 
-0.3464,0.4553,1 
-1.6687,-0.8621,1 
0.4929,-0.1243,1 
1.9351,-0.6184,1 
-1.0468,-0.8896,1 
0.014,-0.1608,1 
2.2304,-0.3991,1 
0.0544,0.8842,1 
-0.108,0.5556,1 
0.3949,0.8372,1 
-1.4079,0.8078,1 
-0.1383,0.1872,1 
-0.3867,1.659,1 
-2.0471,1.3993,1 
-1.7674,11.0927,1 
0.5022,11.4724,1 
-0.3212,10.0234,1 
0.5633,9.7533,1 
0.3794,9.4764,1 
2.3408,11.1009,1 
0.7644,10.585,1 
-1.0104,10.3824,1 
-0.9181,10.9423,1 
-0.0937,10.67,1 
-2.3246,10.2711,1 
5.7606,3.634,0 
4.9758,5.0304,0 
4.9145,2.4854,0 
5.7217,3.5677,0 
6.2703,5.741,0 
5.2728,5.8828,0 
4.0472,5.5105,0 
6.2176,4.934,0 
5.8087,5.6111,0 
3.526,6.7257,0 
5.0808,6.4857,0 
4.7842,6.0781,0 
3.6476,5.062,0 
5.6155,4.8435,0 
4.5029,4.4356,0 
5.2841,3.8733,0 
5.2007,5.5656,0 
3.8789,5.4454,0 
5.7032,6.526,0 
4.7165,6.7639,0 
4.5031,5.5624,0 
7.7186,3.9375,0 
5.0177,5.1288,0 
4.61,5.5117,0 
3.4139,3.2558,0 
5.8933,5.2987,0 
5.2684,0.5662,1 
6.7386,-0.7225,1 
5.3493,1.1526,1 
5.746,-0.1256,1 
5.0135,1.3479,1 
5.2753,-1.0841,1 
6.2479,-0.5115,1 
6.0991,-0.4816,1 
5.2805,0.329,1 
6.7569,-1.5651,1 
6.0675,-1.0443,1 
7.2013,0.8718,1 
5.4644,1.0325,1 
3.8327,-1.5766,1 
5.5752,-0.1273,1 
4.9711,-1.3031,1
13.2416,0.8937,1 
9.1365,0.4449,1 
10.856,1.3239,1 
10.3306,-1.3289,1 
9.0609,1.2554,1 
8.4492,0.5569,1 
9.8454,-0.169,1 
9.1639,1.379,1 
9.927,0.601,1 
9.5668,-1.576,1 
10.5839,-0.6356,1 
10.9872,-0.978,1 
10.3799,-0.317,1 
9.7997,9.2773,1 
8.9936,9.5646,1 
10.9303,9.3053,1 
6.7081,9.361,1 
10.1144,10.2041,1 
9.2493,10.1696,1 
10.3288,9.4158,1 
10.7539,10.2303,1 
10.2406,8.5052,1 
8.8664,10.6674,1 
9.7158,9.8641,1 
8.9707,9.1104,1 
9.7939,10.3126,1 
10.2897,9.7052,1 
11.042,11.0396,1 
9.5863,10.1616,1 
7.5413,9.8477,1 
10.5207,8.7091,1 
9.2328,8.6947,1 
10.8856,9.4056,1 
8.6414,11.616,1 
10.5379,11.0055,1 
10.1734,9.6811,1 
10.3768,9.1688,1 
8.8857,11.4317,1 
10.7569,10.164,1 
6.9799,10.9058,1 
9.8913,10.0277,1 
9.9061,7.3717,1 
8.5354,8.8581,1 
9.1286,10.244,1 
9.4333,9.287,1 
10.5176,8.5835,1 
10.2004,8.4645,1 
11.0248,9.7197,1 
10.1645,10.9921,1 
9.2085,10.0859,1 
8.1727,8.8098,1 
9.4578,7.4709,1 
10.4332,10.049,1 
9.6049,9.0001,1 
9.6554,9.5618,1 
10.4673,9.3085,1 
10.4778,10.6496,1 
9.3695,11.2804,1 
