Feature1,Feature2,Class
-1.1727,2.3327,1 
-0.6924,1.6181,1 
-0.1197,-0.0273,1 
1.1289,0.4018,1 
1.9456,-1.0768,1 
-0.6657,1.0231,1 
0.0504,0.3138,1 
1.655,-1.235,1 
-1.5253,-1.8755,1 
-1.7033,1.1719,1 
1.7916,-0.1011,1 
-0.5995,0.4739,1 
0.2165,-0.6577,1 
-0.4548,2.0626,1 
0.248,2.0984,1 
1.0797,-1.4015,1 
0.9709,-1.3113,1 
0.6794,-0.0354,1 
-0.5519,1.4395,1 
0.134,-1.1452,1 
1.6335,-1.504,1 
0.4212,-0.0845,1 
0.1533,1.9551,1 
-0.8512,-0.6504,1 
-0.1115,-0.5819,1 
0.3962,-0.2444,1 
1.7403,1.3256,1 
-0.1826,-0.1685,1 
-0.2861,1.3208,1 
3.1346,-0.896,1 
0.1924,-0.1888,1 
-0.1956,0.9321,1 
-1.9549,-0.0174,1 
0.9571,-1.3556,1 
0.4779,2.7232,1 
-1.9255,-1.159,1 
0.1404,-0.9521,1 
0.8022,1.5034,1 
-0.3209,1.3632,1 
-0.1688,-0.6033,1 
-1.095,-0.3201,1 
1.4456,1.7947,1 
1.3767,0.2883,1 
-0.0461,-0.2599,1 
-1.1202,-0.2363,1 
-0.3708,-0.6314,1 
-1.1318,1.2931,1 
1.4627,-2.7402,1 
-0.1426,0.5295,1 
-0.2957,0.981,1 
0.0839,0.5396,1 
0.1013,0.2217,1 
-1.0695,-0.7816,1 
0.0829,0.7047,1 
-0.9325,0.4262,1 
0.0053,0.4101,1 
-1.6838,-1.3752,1 
-0.8374,-0.7076,1 
1.2849,-1.0432,1 
2.2056,-0.6455,1 
0.0051,1.3921,1 
1.099,2.0642,1 
0.0666,-0.1156,1 
0.3572,-1.5511,1 
1.0722,1.4313,1 
-0.4778,-0.1613,1 
0.8971,-1.6009,1 
0.3579,1.1734,1 
-0.6837,-0.1465,1 
0.3161,-0.1618,1 
-0.147,-0.1659,1 
-0.3313,1.1176,1 
0.1321,1.3368,1 
1.6856,-1.259,1 
0.4389,-0.4923,1 
-0.053,-1.8224,1 
1.6782,0.7927,1 
-0.2845,0.3902,1 
0.0001,0.1858,1 
-0.2423,0.4001,1 
-1.8773,1.2479,1 
0.4011,-1.0632,1 
-0.2383,1.5866,1 
-1.218,-0.772,1 
0.1123,-0.0555,1 
0.3017,0.6764,1 
-1.2471,0.7472,1 
-0.9346,0.1386,1 
-2.1531,0.7526,1 
-0.067,1.3954,1 
1.6491,0.6762,1 
-0.1337,-0.6899,1 
-1.6697,-0.8273,1 
0.6348,0.6849,1 
0.4365,-0.557,1 
-1.0914,-1.1621,1 
-2.0712,-0.7569,1 
-0.8654,1.1178,1 
0.6739,-0.5127,1 
0.9782,-1.1918,1 
-0.2926,11.5494,1 
0.2559,9.5451,1 
1.7854,10.2468,1 
1.9057,10.4364,1 
-2.1371,8.3967,1 
-3.692,11.9996,1 
-0.3522,10.0619,1 
-0.1865,8.9739,1 
-0.3358,11.1714,1 
0.1546,11.7298,1 
-0.1472,11.247,1 
0.2783,9.7052,1 
-0.5054,11.7176,1 
-0.5661,11.2457,1 
-0.6577,11.0606,1 
0.2815,10.3696,1 
-1.0595,8.7488,1 
0.0235,11.3955,1 
0.3053,10.7544,1 
-0.4413,10.9916,1 
1.5969,10.7372,1 
0.8539,9.9831,1 
1.1783,8.7539,1 
0.5101,10.89,1 
-1.5115,11.6365,1 
1.3564,9.1439,1 
0.2864,10.212,1 
-0.4469,11.2464,1 
-1.0821,9.7138,1 
-1.4037,8.7063,1 
1.1222,9.488,1 
-1.9796,10.311,1 
-0.2192,8.5224,1 
-0.3288,9.3076,1 
-1.5452,9.4581,1 
0.3225,10.5955,1 
0.4571,11.5442,1 
0.1167,8.676,1 
-1.2517,9.3576,1 
0.0267,11.2983,1 
2.053,9.3151,1 
2.2378,10.2284,1 
-0.1377,10.6761,1 
1.1105,8.9205,1 
0.1275,10.2671,1 
-1.0684,9.5253,1 
-2.4902,8.73,1 
0.0808,9.571,1 
0.8144,9.3267,1 
1.3785,12.2274,1 
0.3894,7.832,1 
0.703,11.1403,1 
0.5218,8.4746,1 
-1.5154,9.7726,1 
-0.4074,11.0781,1 
-0.4633,7.6704,1 
1.9633,9.5674,1 
-0.1395,10.7186,1 
-0.0946,8.6067,1 
-0.1774,11.4351,1 
-0.3906,8.5065,1 
-0.7154,11.2467,1 
0.9637,10.8795,1 
-0.2313,9.2389,1 
1.2209,9.3015,1 
-1.0389,9.7748,1 
1.992,10.4895,1 
0.342,10.2029,1 
-1.3752,10.0929,1 
1.2795,9.9172,1 
-0.2488,10.146,1 
0.0497,10.2936,1 
-0.7744,8.9233,1 
-0.0891,8.0001,1 
0.5614,10.7635,1 
-0.1524,12.2324,1 
0.2908,10.7156,1 
0.6286,9.4679,1 
-1.1446,9.3545,1 
-1.0704,8.8712,1 
0.5509,10.3517,1 
-0.3721,9.6434,1 
0.7635,9.4465,1 
-0.1169,7.4968,1 
1.3878,9.6026,1 
1.0799,11.3333,1 
0.1617,9.227,1 
0.4625,9.8968,1 
1.2427,9.6239,1 
-0.6932,10.5081,1 
-0.3752,9.4711,1 
1.7527,10.6801,1 
0.8078,9.9202,1 
0.2715,8.7459,1 
-1.6116,10.915,1 
-0.5067,9.1407,1 
-0.6399,9.6522,1 
-0.937,10.1797,1 
1.9684,9.0861,1 
0.0129,9.6609,1 
3.7977,4.3344,0 
5.3717,4.9961,0 
7.0695,6.0174,0 
4.7352,5.1474,0 
4.7267,5.007,0 
6.2749,5.2067,0 
5.806,4.1206,0 
5.1099,7.3893,0 
4.4303,4.1757,0 
4.362,5.8137,0 
4.6678,4.1512,0 
6.2217,5.6579,0 
5.1716,5.6499,0 
4.479,4.2394,0 
4.871,5.2169,0 
5.7435,5.791,0 
5.4911,4.2687,0 
4.3687,3.2194,0 
4.1166,5.8273,0 
6.1206,4.9545,0 
4.5537,5.0218,0 
5.2796,5.7454,0 
5.7379,6.033,0 
5.035,3.9394,0 
4.4927,5.2272,0 
5.6989,4.4989,0 
6.2323,4.5793,0 
4.9283,3.8732,0 
5.7605,4.7528,0 
3.8947,4.9728,0 
4.1222,5.0398,0 
4.8753,4.7399,0 
3.8594,5.6482,0 
4.6669,6.5887,0 
4.0202,4.013,0 
5.7313,5.2427,0 
5.9216,6.5554,0 
3.8299,4.2448,0 
4.9488,4.3433,0 
4.3288,4.3695,0 
6.0688,3.4307,0 
5.2019,5.8447,0 
4.1442,5.9985,0 
4.4528,5.1675,0 
5.9597,3.8109,0 
3.3532,4.4997,0 
4.9666,1.8442,0 
5.4574,5.0485,0 
5.5406,4.5196,0 
6.6295,5.1061,0 
3.9915,5.4546,0 
4.6862,3.7866,0 
4.3384,4.742,0 
4.996,6.5105,0 
5.938,5.7687,0 
6.0728,4.1769,0 
5.2314,4.0208,0 
5.4351,5.6094,0 
6.287,4.4448,0 
5.2709,7.2698,0 
6.7163,4.5683,0 
3.5604,5.5396,0 
7.0372,5.7344,0 
5.3206,4.1792,0 
5.4145,4.8818,0 
4.8129,5.5102,0 
5.2515,5.1066,0 
5.2204,4.3978,0 
4.4684,4.2673,0 
3.2681,6.3364,0 
4.3538,3.1985,0 
2.4984,5.0883,0 
3.6452,4.1071,0 
6.1876,5.1347,0 
4.7944,5.8421,0 
4.6061,5.2537,0 
5.7656,5.3601,0 
4.2155,5.1454,0 
5.2602,3.286,0 
4.911,6.0308,0 
5.2833,4.9824,0 
5.5384,5.2838,0 
5.9635,3.9496,0 
5.6546,5.1663,0 
4.9418,6.7806,0 
5.7255,4.8996,0 
5.7988,5.8765,0 
6.3893,4.7826,0 
5.6951,4.9421,0 
6.1981,4.92,0 
3.8242,6.5343,0 
2.8775,6.7375,0 
7.5419,5.0446,0 
4.8321,3.9159,0 
4.3672,5.9973,0 
6.6897,4.8352,0 
4.5682,6.8923,0 
3.3436,6.1763,0 
5.5222,5.5617,0 
4.1796,3.5475,0 
5.5062,0.4659,1 
4.443,-0.7246,1 
4.7184,0.0578,1 
4.2715,-0.0673,1 
5.8723,-0.3466,1 
5.3406,-0.6304,1 
3.9186,-2.2058,1 
6.6591,1.2318,1 
3.7625,-1.4339,1 
4.5291,0.5376,1 
4.345,-0.5846,1 
4.2436,0.6379,1 
5.4367,0.2792,1 
5.049,-1.4617,1 
5.5013,0.5533,1 
5.6404,-0.3559,1 
5.6703,-1.2632,1 
4.7057,-0.4574,1 
4.651,2.1021,1 
5.4352,-0.5273,1 
6.9345,-1.3072,1 
4.4453,0.9339,1 
5.5551,0.4486,1 
4.5279,0.4188,1 
6.1363,-1.4142,1 
3.6594,-1.1339,1 
2.9396,0.3239,1 
6.0996,-0.5584,1 
5.4485,0.7505,1 
4.7151,-0.0373,1 
5.9897,-0.8427,1 
6.1687,-1.606,1 
6.904,-0.2847,1 
3.4654,-1.5803,1 
6.0817,-0.6481,1 
5.6166,-0.1433,1 
5.8916,1.6273,1 
6.3285,-0.6594,1 
4.1199,0.852,1 
4.7206,0.2467,1 
4.2539,-1.1839,1 
5.9473,-0.1159,1 
6.074,0.6107,1 
4.668,0.9309,1 
6.2812,1.7007,1 
5.7058,0.541,1 
3.3402,0.5771,1 
4.5565,-0.6524,1 
4.0166,0.9907,1 
6.3959,0.0271,1 
4.8958,0.8169,1 
5.7156,-0.0847,1 
6.4499,-0.3853,1 
5.1665,1.6776,1 
5.5822,0.0088,1 
5.5577,-0.2935,1 
4.3665,0.8153,1 
4.1025,0.9559,1 
5.6148,0.3211,1 
6.7675,0.2591,1 
5.3799,-0.4012,1 
4.7621,1.5708,1 
6.0396,0.3061,1 
3.7728,-0.2235,1 
4.0984,3.7221,1 
