Feature1,Feature2,Class
-81.756,3.5879,1 
-65.6899,-0.9892,1 
77.6385,3.8745,1 
20.9734,5.2309,1 
-78.3547,-3.1422,1 
-31.0727,2.7198,1 
-29.742,1.6074,1 
-59.2604,-0.2547,1 
-6.5197,-9.1276,1 
-34.5539,0.832,1 
3.6079,2.813,1 
-130.0079,0.5277,1 
13.6475,-2.4749,1 
49.13,-4.073,1 
-134.1254,-0.6629,1 
-65.1552,2.0342,1 
-31.2129,2.664,1 
-35.3871,-0.2785,1 
-46.076,5.5773,1 
14.8848,3.444,1 
-76.2238,-3.2686,1 
93.3626,4.2062,1 
77.5221,-0.2243,1 
-42.1127,5.7298,1 
-143.7281,2.4981,1 
54.8285,-1.8272,1 
-11.2884,1.3926,1 
-44.1687,1.4651,1 
-61.5746,0.7787,1 
8.793,-1.9225,1 
115.666,2.2057,1 
82.8637,1.7228,1 
-39.0247,0.8779,1 
36.5494,1.9271,1 
3.3989,2.8785,1 
-2.8349,6.0416,1 
-16.5416,-2.7831,1 
-9.5099,1.2463,1 
9.6806,4.1112,1 
-13.9758,-2.4462,1 
40.4509,-1.6354,1 
-18.9127,1.0019,1 
-1.8803,-8.3143,1 
-31.9484,0.5248,1 
33.6736,3.9118,1 
13.3566,-2.6367,1 
-1.2281,-1.2338,1 
-61.3977,-7.0777,1 
2.7501,-6.2988,1 
-85.8106,-3.6956,1 
-99.2043,3.0913,1 
-51.0759,-3.9438,1 
23.8868,-4.0656,1 
-6.537,3.9209,1 
3.9127,-7.8957,1 
-60.5979,-0.1436,1 
-39.6528,0.0451,1 
65.2825,-0.1408,1 
47.8495,0.7772,1 
-43.2142,-5.6606,1 
48.9185,-1.0603,1 
-0.7498,-1.4563,1 
-90.5032,1.8581,1 
102.651,0.7649,1 
140.5548,-1.9528,1 
81.9358,-0.5591,1 
-15.8881,-4.6368,1 
21.1665,1.4255,1 
-71.7579,-2.4415,1 
15.156,-3.3995,1 
24.7697,0.0093,1 
-20.3661,-3.9485,1 
6.2464,-1.4331,1 
15.5297,3.3677,1 
-7.8684,-3.4644,1 
51.3397,-0.1538,1 
-65.2211,-1.5225,1 
-35.3319,-0.8648,1 
-116.51,3.9248,1 
55.62,2.204,1 
29.7766,0.1963,1 
17.5373,2.4495,1 
-88.8144,-3.8163,1 
31.6437,-2.4967,1 
157.2648,-1.0416,1 
-33.8832,2.6783,1 
39.4897,-2.6997,1 
-10.0708,2.744,1 
-25.911,5.1121,1 
-43.8572,5.3541,1 
28.2649,0.1087,1 
51.2297,1.5411,1 
-1.061,1.9651,1 
-8.9349,-2.7899,1 
-9.779,1.7632,1 
-22.6801,6.4504,1 
56.9324,3.6723,1 
15.7343,2.1356,1 
-25.2173,-2.3141,1 
-185.5645,0.9871,1 
-1.573,3.6413,1 
41.2121,0.2128,1 
131.8667,5.5663,1 
-2.8828,1.6633,1 
-41.1979,-0.5124,1 
-61.5195,-4.2449,1 
-23.5618,3.4204,1 
-116.7268,-2.0061,1 
35.4842,-6.3379,1 
-93.0137,-0.5732,1 
-57.2705,-2.5714,1 
-60.5812,-3.6736,1 
-11.6666,1.0625,1 
63.0859,-0.9158,1 
-34.4094,-2.6913,1 
-114.8241,4.9828,1 
-41.6961,-5.9314,1 
-5.9398,-2.8169,1 
60.5269,6.8807,1 
-120.2816,-1.1505,1 
26.1341,5.3997,1 
-52.6762,1.8445,1 
-123.9677,3.9645,1 
68.4583,0.2788,1 
-121.0013,3.2689,1 
-53.6646,-5.6917,1 
2.258,2.9619,1 
76.063,1.9808,1 
-89.5728,2.7277,1 
-65.0515,0.1177,1 
40.8036,0.9923,1 
54.3467,3.6255,1 
28.6617,-3.3784,1 
-48.0239,-1.3751,1 
39.2399,-2.6707,1 
-93.7983,-4.9414,1 
34.754,0.8651,1 
-62.8916,0.953,1 
113.8228,-3.0511,1 
7.0527,-0.0125,1 
24.1984,0.3913,1 
67.6429,2.7104,1 
-36.8,0.6559,1 
-63.6014,-0.2827,1 
33.3792,-0.3627,1 
-51.6456,-0.3019,1 
33.107,7.1242,1 
-47.1855,-5.6614,1 
64.6208,1.0473,1 
-23.2398,-0.7641,1 
-18.9103,1.6402,1 
59.4302,-1.6544,1 
-25.3002,-0.0614,1 
87.3325,-0.2966,1 
1.9709,0.8522,1 
99.59,8.5186,1 
-58.5506,3.962,1 
-77.4788,6.4619,1 
-38.8855,3.679,1 
66.0773,2.9144,1 
37.7856,-0.7092,1 
-62.5854,1.3397,1 
69.3491,-1.8958,1 
14.9017,-8.4236,1 
-35.75,-5.6107,1 
69.0839,-1.6163,1 
-9.7256,-1.2507,1 
-45.9401,2.7056,1 
0.0632,-4.7498,1 
96.5138,-0.4181,1 
122.0322,-0.3623,1 
25.072,1.9269,1 
17.3327,0.0107,1 
-23.0937,-4.2048,1 
-84.7885,2.2392,1 
28.0976,-2.6677,1 
-0.6304,-0.4067,1 
20.0733,2.7478,1 
32.0744,-1.2276,1 
80.28,1.2817,1 
-10.6508,4.1597,1 
-201.3701,0.806,1 
32.0674,-3.8432,1 
-16.2564,3.1294,1 
0.9209,0.8539,1 
-79.1071,-1.3781,1 
3.4722,0.2634,1 
