Feature1,Feature2,Class
4.2641,-0.8602,1 
4.0767,0.2385,1 
4.4168,0.6743,1 
5.0237,0.2211,1 
4.16,-0.1245,1 
6.0441,-0.1726,1 
6.524,-0.5562,1 
5.4234,-0.3213,1 
3.6409,0.2335,1 
6.5466,-0.4147,1 
3.2098,-0.2922,1 
4.669,0.81,1 
3.8697,-0.387,1 
4.9269,-0.1915,1 
5.0698,-0.9419,1 
4.2707,-0.1556,1 
7.1636,-0.0556,1 
3.8245,-0.5564,1 
5.6172,1.1078,1 
5.1121,0.8917,1 
4.1072,-1.2643,1 
5.6404,-0.3801,1 
4.7533,-0.1186,1 
4.4581,-0.9039,1 
4.7944,0.2896,1 
4.8886,-1.2228,1 
5.287,0.4381,1 
5.6037,0.6272,1 
7.0618,-1.0722,1 
4.7106,1.1208,1 
4.9106,-1.3273,1 
5.4583,1.3443,1 
3.6121,-0.7391,1 
4.3256,-1.6882,1 
4.8314,1.0537,1 
4.9538,1.2,1 
5.0957,-0.0567,1 
5.5642,-0.3491,1 
3.4924,3.6471,1 
3.1853,0.5461,1 
2.611,3.1793,1 
3.491,1.6749,1 
2.3787,3.1294,1 
1.0849,2.2024,1 
1.9568,1.1433,1 
2.9006,0.932,1 
1.2655,2.9792,1 
2.6379,1.6932,1 
2.1047,2.0338,1 
1.252,2.0006,1 
3.7635,1.9004,1 
1.1714,2.8387,1 
2.033,1.7559,1 
1.6671,1.1222,1 
3.896,2.5812,1 
0.6486,1.3929,1 
2.6828,3.624,1 
1.0152,2.8278,1 
3.5239,3.8047,1 
3.2108,2.5024,1 
0.1586,1.409,1 
2.0328,1.7365,1 
2.5414,1.7121,1 
3.7566,0.5104,1 
0.5992,1.4305,1 
3.1761,2.188,1 
3.0381,1.7765,1 
3.674,2.8528,1 
2.3296,1.351,1 
3.0736,2.4444,1 
3.3375,1.4769,1 
2.31,1.5587,1 
1.3585,0.2741,1 
3.6293,3.4382,1 
1.7715,1.7938,1 
1.1872,2.4657,1 
1.7121,2.5011,1 
3.3127,4.1037,1 
2.0822,0.1407,1 
2.0101,3.322,1 
1.7029,0.8435,1 
2.7675,0.4009,1 
1.2835,0.8725,1 
2.7623,2.2705,1 
1.0535,3.4468,1 
4.1117,2.2082,1 
1.8849,2.7231,1 
8.0315,2.7605,1 
7.9134,2.4963,1 
7.9483,1.6746,1 
6.6274,1.8665,1 
7.7948,1.9468,1 
9.3464,1.6575,1 
8.9943,0.9515,1 
7.7784,0.3838,1 
8.4065,0.6958,1 
10.0737,3.8152,1 
8.1603,1.5577,1 
9.6342,1.7987,1 
8.745,1.6087,1 
8.1801,1.3773,1 
9.0132,0.5326,1 
7.8879,1.5493,1 
4.5913,5.6979,0 
5.9336,5.664,0 
4.6186,5.1664,0 
4.2523,2.4335,0 
5.4343,5.1608,0 
4.3988,4.3359,0 
4.6731,4.17,0 
6.003,2.5254,0 
6.1063,4.3331,0 
2.1801,2.715,0 
3.9516,3.7963,0 
5.674,2.3376,0 
4.7382,4.4864,0 
4.858,3.0213,0 
6.4288,4.253,0 
8.0465,5.1006,0 
5.3569,4.0857,0 
5.3996,3.9807,0 
3.8905,3.3339,0 
6.1138,3.5709,0 
4.5306,2.9335,0 
4.697,3.2381,0 
4.7641,4.265,0 
4.9667,3.6555,0 
6.7106,4.3407,0 
5.1935,3.2895,0 
3.7596,3.8899,0 
5.2219,4.2838,0 
6.3263,3.6552,0 
4.4498,5.0465,0 
4.6675,3.5154,0 
5.5336,3.5956,0 
5.7904,3.1241,0 
5.5936,5.1565,0 
4.9762,3.956,0 
451,4.8531,0 
5.6463,4.7144,0 
5.7258,3.3691,0 
7.343,3.8083,0 
5.4235,4.2888,0 
3.3342,3.6865,0 
3.2623,4.0779,0 
6.4406,3.6266,0 
4.6374,3.5545,0 
4.304,4.9803,0 
7.5577,3.738,0 
4.8934,3.885,0 
4.6789,4.5857,0 
4.0839,2.6934,0 
4.429,5.5194,0 
3.1018,4.306,0 
5.8914,5.0615,0 
5.4907,4.6176,0 
4.5471,3.399,0 
4.7736,4.2521,0 
5.2069,1.1504,0 
6.2182,3.8304,0 
4.3586,3.9441,0 
4.9731,4.3565,0 
4.995,4.1094,0 
5.8327,4.8555,0 
5.0358,2.6571,0 
5.7659,4.5944,0 
4.7502,5.5326,0 
6.0223,5.5288,0 
5.5656,3.4628,0 
6.8376,3.0072,0 
4.2099,3.1313,0 
4.7254,3.9148,0 
4.9877,3.1322,0 
4.2326,3.5912,0 
4.5852,2.6416,0 
5.8323,4.6279,0 
4.8794,3.5931,0 
6.4004,4.086,0 
4.1425,4.2435,0 
3.9057,2.9758,0 
7.0769,3.4784,0 
4.6685,5.7055,0 
4.2722,4.2195,0 
4.1865,4.548,0 
5.7653,3.5668,0 
4.2788,3.9143,0 
4.4176,3.049,0 
2.8726,3.0926,0 
5.0312,3.4685,0 
4.8945,4.5245,0 
5.163,3.8027,0 
3.9823,4.2363,0 
4.6359,1.9509,0 
4.5328,4.5064,0 
4.4217,3.7827,0 
5.7273,3.9186,0 
2.9441,4.767,0 
6.175,4.6301,0 
7.4832,2.9113,0 
2.2796,3.9975,0 
5.9319,4.0322,0 
7.1069,2.6323,0 
5.5102,4.8494,0 
1.9663,4.35,1 
2.6264,4.7062,1 
0.5729,0.9791,1 
2.4952,4.8257,1 
2.782,4.1589,1 
3.03,4.2115,1 
2.3009,6.258,1 
2.605,6.0595,1 
3.0087,3.9724,1 
1.9693,6.6824,1 
1.0925,4.2957,1 
1.8371,3.3898,1 
0.5132,5.6861,1 
1.7655,7.5824,1 
0.4784,3.4161,1 
0.623,4.6937,1 
1.7934,6.033,1 
2.5398,5.6472,1 
3.2292,5.7428,1 
1.6725,5.2432,1 
1.2275,4.2128,1 
0.5052,6.4732,1 
2.7009,6.24,1 
3.4632,4.6633,1 
1.7725,5.0906,1 
1.691,5.6758,1 
4.1032,5.348,1 
2.7423,5.1224,1 
3.3504,3.9808,1 
0.7857,4.8389,1 
3.3074,6.5334,1 
2.2802,6.2205,1 
3.2191,4.4635,1 
9.3469,3.7251,1 
7.3255,5.3448,1 
8.232,4.5615,1 
7.9023,4.1851,1 
8.9897,4.6578,1 
8.0012,7.4714,1 
9.2055,4.4416,1 
7.6633,5.8841,1 
8.3882,5.7755,1 
8.2678,3.8625,1 
9.8399,4.2771,1 
6.7001,5.667,1 
7.8155,5.2279,1 
6.0906,6.5123,1 
4.9615,7.1444,1 
4.7044,6.7983,1 
5.4819,6.0775,1 
4.4708,8.0582,1 
5.5894,5.8451,1 
5.366,7.5589,1 
5.0934,7.7832,1 
