Feature1,Feature2,Class
4.2641,-0.8602,1 
4.0767,0.2385,1 
4.4168,0.6743,1 
5.0237,0.2211,1 
4.16,-0.1245,1 
6.0441,-0.1726,1 
6.524,-0.5562,1 
5.4234,-0.3213,1 
3.6409,0.2335,1 
6.5466,-0.4147,1 
3.2098,-0.2922,1 
4.669,0.81,1 
3.8697,-0.387,1 
4.9269,-0.1915,1 
5.0698,-0.9419,1 
4.2707,-0.1556,1 
7.1636,-0.0556,1 
3.8245,-0.5564,1 
5.6172,1.1078,1 
5.1121,0.8917,1 
4.1072,-1.2643,1 
5.6404,-0.3801,1 
4.7533,-0.1186,1 
4.4581,-0.9039,1 
4.7944,0.2896,1 
4.8886,-1.2228,1 
5.287,0.4381,1 
5.6037,0.6272,1 
7.0618,-1.0722,1 
4.7106,1.1208,1 
4.9106,-1.3273,1 
5.4583,1.3443,1 
3.6121,-0.7391,1 
4.3256,-1.6882,1 
4.8314,1.0537,1 
4.9538,1.2,1 
5.0957,-0.0567,1 
5.5642,-0.3491,1 
2.6849,0.9489,1 
7.1476,2.2442,1 
8.4254,-0.3004,1 
5.7941,-0.9658,1 
4.4259,-0.651,1 
5.9719,-0.1507,1 
3.7642,-0.748,1 
3.2454,-1.466,1 
6.1767,-0.5795,1 
4.4822,1.2776,1 
5.4319,-0.4757,1 
2.8517,-0.4079,1 
3.657,0.2568,1 
4.3851,0.1818,1 
4.1493,-1.1062,1 
4.9733,-0.5139,1 
3.803,0.8507,1 
5.9766,-0.0355,1 
4.4842,-0.9992,1 
5.033,-0.1629,1 
6.6118,0.7667,1 
3.4047,-0.934,1 
5.523,-1.3322,1 
6.3264,-1.0082,1 
3.1414,0.8264,1 
5.3011,1.238,1 
5.2342,-1.1914,1 
4.3924,-0.2023,1 
5.3352,-0.1968,1 
5.1578,1.4278,1 
6.7406,-1.3433,1 
5.8695,-0.6626,1 
6.8155,-0.2233,1 
3.8544,0.4716,1 
5.32,0.8108,1 
5.2958,0.4732,1 
4.6482,0.4445,1 
4.279,-1.3329,1 
4.2121,-1.59,1 
5.3167,-0.6584,1 
4.6691,-0.3686,1 
5.881,-1.3806,1 
5.4133,0.2924,1 
4.5516,0.8417,1 
3.9833,0.0801,1 
5.9086,-1.2099,1 
3.7741,-0.8292,1 
4.4722,-0.5135,1 
4.7943,-0.8381,1 
4.1862,-1.1598,1 
4.5398,-0.641,1 
5.908,0.7273,1 
3.4435,-0.2817,1 
4.973,1.056,1 
6.2318,1.1216,1 
4.0964,-1.4821,1 
4.0964,-1.3665,1 
5.4827,0.5186,1 
3.9682,-1.1215,1 
4.1529,0.8331,1 
2.9109,0.5859,1 
5.7067,0.7197,1 
2.7275,1.7495,1 
1.2119,1.9329,1 
-0.4997,2.3774,1 
2.0763,1.2263,1 
1.083,1.4292,1 
2.0143,3.2333,1 
1.4447,1.0435,1 
2.1755,0.995,1 
2.5519,1.1821,1 
1.1293,1.9455,1 
2.7207,1.4923,1 
2.2147,2.367,1 
3.3175,0.1492,1 
1.8731,3.08,1 
3.1625,1.4662,1 
2.4489,2.2626,1 
2.7249,2.1776,1 
1.1219,3.4279,1 
2.4252,1.5831,1 
2.0485,1.7598,1 
1.8963,2.8696,1 
1.7571,2.9894,1 
2.32,1.4216,1 
3.9247,3.3733,1 
1.3086,1.3432,1 
2.5287,3.2107,1 
3.102,3.0882,1 
0.9765,2.2081,1 
0.5703,1.3422,1 
0.7504,0.0064,1 
0.1737,2.0581,1 
3.4828,2.2294,1 
2.5597,4.4248,1 
2.023,2.7914,1 
1.5825,2.2906,1 
4.6092,-0.2679,1 
0.6444,2.6143,1 
0.7941,0.4458,1 
1.6064,2.6927,1 
-0.0529,1.3201,1 
2.3697,2.5471,1 
1.2809,2.6369,1 
2.1165,3.2128,1 
2.7393,0.497,1 
2.0755,1.5716,1 
-0.0971,3.3295,1 
0.5256,1.8283,1 
2.4569,2.2309,1 
2.0528,3.8155,1 
3.1251,2.9401,1 
0.3953,0.8437,1 
3.4924,3.6471,1 
3.1853,0.5461,1 
2.611,3.1793,1 
3.491,1.6749,1 
2.3787,3.1294,1 
1.0849,2.2024,1 
1.9568,1.1433,1 
2.9006,0.932,1 
1.2655,2.9792,1 
2.6379,1.6932,1 
2.1047,2.0338,1 
1.252,2.0006,1 
3.7635,1.9004,1 
1.1714,2.8387,1 
2.033,1.7559,1 
1.6671,1.1222,1 
3.896,2.5812,1 
0.6486,1.3929,1 
2.6828,3.624,1 
1.0152,2.8278,1 
3.5239,3.8047,1 
3.2108,2.5024,1 
0.1586,1.409,1 
2.0328,1.7365,1 
2.5414,1.7121,1 
3.7566,0.5104,1 
0.5992,1.4305,1 
3.1761,2.188,1 
3.0381,1.7765,1 
3.674,2.8528,1 
2.3296,1.351,1 
3.0736,2.4444,1 
3.3375,1.4769,1 
2.31,1.5587,1 
1.3585,0.2741,1 
3.6293,3.4382,1 
1.7715,1.7938,1 
1.1872,2.4657,1 
1.7121,2.5011,1 
3.3127,4.1037,1 
2.0822,0.1407,1 
2.0101,3.322,1 
1.7029,0.8435,1 
2.7675,0.4009,1 
1.2835,0.8725,1 
2.7623,2.2705,1 
1.0535,3.4468,1 
4.1117,2.2082,1 
1.8849,2.7231,1 
8.3155,1.5365,1 
7.8797,0.5444,1 
9.2975,2.9911,1 
8.9379,1.7124,1 
8.1392,1.4952,1 
8.7258,-0.2539,1 
8.1114,4.2678,1 
7.4697,2.1279,1 
7.8272,3.1632,1 
7.9376,0.8587,1 
7.2336,0.8458,1 
9.3191,1.8534,1 
7.1409,0.595,1 
9.4322,4.6194,1 
7.669,1.8627,1 
8.3163,4.0559,1 
7.7416,3.4505,1 
8.7888,2.2511,1 
8.2866,2.7074,1 
8.811,2.0252,1 
6.2627,2.1304,1 
8.0368,2.7605,1 
7.8693,-0.1268,1 
8.4888,3.0635,1 
7.7141,2.5743,1 
9.2684,3.627,1 
7.7802,0.3394,1 
6.5499,2.5472,1 
7.7707,1.7442,1 
7.629,1.7785,1 
5.6921,1.6266,1 
9.2144,0.6107,1 
7.8858,0.5156,1 
7.0823,0.594,1 
7.3139,2.5703,1 
8.02,2.3726,1 
8.5724,1.8142,1 
6.8643,2.2576,1 
7.1221,1.356,1 
8.7002,1.9717,1 
7.7033,0.883,1 
6.9067,2.9806,1 
9.1368,3.4075,1 
8.1205,0.0617,1 
7.7256,3.0819,1 
10.41,1.5895,1 
6.9564,3.2126,1 
8.6388,1.6518,1 
6.1834,1.268,1 
7.2993,2.6488,1 
7.6298,3.9019,1 
8.2242,1.1697,1 
7.9196,3.1854,1 
7.6472,0.5464,1 
7.6617,2.1587,1 
7.4624,0.8416,1 
4.8928,1.6299,1 
8.4612,2.5451,1 
9.6017,1.1249,1 
8.3873,2.9602,1 
7.8104,1.0102,1 
7.744,2.3566,1 
8.688,2.5222,1 
8.6527,2.964,1 
7.3934,2.4387,1 
7.4263,2.215,1 
9.134,2.9847,1 
7.3612,0.0619,1 
9.9882,1.3872,1 
8.5773,0.55,1 
8.1476,1.9467,1 
7.2407,2.3799,1 
7.471,1.907,1 
7.5689,1.8563,1 
7.1341,2.4976,1 
8.3934,2.0835,1 
8.1217,0.5344,1 
9.072,1.4211,1 
8.4305,2.3403,1 
8.6364,3.0365,1 
6.766,-0.7464,1 
5.6663,3.1948,1 
7.9133,2.3706,1 
8.8385,1.2829,1 
8.0315,2.7605,1 
7.9134,2.4963,1 
7.9483,1.6746,1 
6.6274,1.8665,1 
7.7948,1.9468,1 
9.3464,1.6575,1 
8.9943,0.9515,1 
7.7784,0.3838,1 
8.4065,0.6958,1 
10.0737,3.8152,1 
8.1603,1.5577,1 
9.6342,1.7987,1 
8.745,1.6087,1 
8.1801,1.3773,1 
9.0132,0.5326,1 
7.8879,1.5493,1 
4.5913,5.6979,0 
5.9336,5.664,0 
4.6186,5.1664,0 
4.2523,2.4335,0 
5.4343,5.1608,0 
4.3988,4.3359,0 
4.6731,4.17,0 
6.003,2.5254,0 
6.1063,4.3331,0 
2.1801,2.715,0 
3.9516,3.7963,0 
5.674,2.3376,0 
4.7382,4.4864,0 
4.858,3.0213,0 
6.4288,4.253,0 
8.0465,5.1006,0 
5.3569,4.0857,0 
5.3996,3.9807,0 
3.8905,3.3339,0 
6.1138,3.5709,0 
4.5306,2.9335,0 
4.697,3.2381,0 
4.7641,4.265,0 
4.9667,3.6555,0 
6.7106,4.3407,0 
5.1935,3.2895,0 
3.7596,3.8899,0 
5.2219,4.2838,0 
6.3263,3.6552,0 
4.4498,5.0465,0 
4.6675,3.5154,0 
5.5336,3.5956,0 
5.7904,3.1241,0 
5.5936,5.1565,0 
4.9762,3.956,0 
5.6957,4.751,0 
5.3395,5.8132,0 
6.0495,5.6412,0 
5.2049,2.3332,0 
7.7732,4.6444,0 
5.4668,3.6183,0 
3.9711,3.4301,0 
5.7496,3.3901,0 
4.8568,3.8811,0 
4.6606,5.7831,0 
3.6807,4.5544,0 
4.9228,4.6529,0 
4.1666,3.6736,0 
5.5519,3.2829,0 
6.0897,3.3532,0 
7.2068,5.3701,0 
3.4744,3.7822,0 
5.3471,4.4152,0 
5.313,5.2116,0 
4.075,3.8952,0 
4.9766,4.2094,0 
2.8955,4.3095,0 
6.4807,4.8891,0 
4.9938,3.8723,0 
6.739,2.7695,0 
3.3834,4.2135,0 
5.4639,5.0475,0 
5.5107,4.6935,0 
6.3222,4.2998,0 
5.8418,3.6235,0 
3.2521,3.9905,0 
5.5685,4.9804,0 
6.4283,5.7452,0 
4.5568,4.6331,0 
5.9889,4.3647,0 
5.5789,4.7139,0 
5.0101,3.662,0 
4.7602,4.5603,0 
4.0218,3.9683,0 
4.0914,3.6452,0 
3.0001,4.5001,0 
4.4246,3.7789,0 
5.2175,4.5735,0 
4.3949,5.1338,0 
4.2065,2.6255,0 
5.2084,3.8085,0 
5.7,5.2118,0 
5.3086,4.8749,0 
6.0147,2.3687,0 
5.4528,3.3736,0 
4.6493,3.7358,0 
4.1398,4.6211,0 
5.3152,4.1132,0 
5.1851,2.8285,0 
5.5441,4.8879,0 
4.7085,4.1562,0 
5.1884,4.2292,0 
4.6425,5.5232,0 
4.6214,3.3549,0 
4.6644,2.7774,0 
5.9271,4.5694,0 
4.5609,2.4014,0 
5.3448,4.8416,0 
4.4292,5.8317,0 
3.9212,4.7872,0 
6.3553,3.7788,0 
5.5305,3.4631,0 
4.2619,3.9341,0 
4.0257,3.7602,0 
4.6802,4.6199,0 
5.1147,4.0637,0 
5.4422,4.5777,0 
3.5526,5.5298,0 
6.4271,2.1985,0 
5.5125,6.0356,0 
3.4733,3.483,0 
5.057,3.7553,0 
6.9616,2.8445,0 
4.37,5.4155,0 
5.0771,2.6593,0 
6.7104,5.7357,0 
3.8317,6.1887,0 
5.8528,4.6392,0 
5.347,4.1026,0 
5.9371,2.9166,0 
6.142,3.3375,0 
4.2703,2.8949,0 
4.5231,4.5371,0 
6.8847,2.7557,0 
6.9769,4.4217,0 
5.6627,4.7242,0 
5.6272,3.09,0 
4.4171,2.7783,0 
7.1832,3.3599,0 
4.9492,3.3841,0 
4.3221,3.414,0 
5.7301,5.0957,0 
6.4697,2.4718,0 
3.2274,3.1394,0 
4.8815,5.2203,0 
4.6766,2.7154,0 
3.0949,2.7837,0 
4.5937,2.4116,0 
5.5669,3.9711,0 
3.3207,3.1531,0 
4.3455,4.6382,0 
5.4817,4.7322,0 
6.9624,4.5001,0 
4.2557,4.2005,0 
6.213,3.6309,0 
4.5271,6.8964,0 
6.4155,4.3934,0 
5.9824,4.9483,0 
4.0482,3.8631,0 
4.3877,3.101,0 
3.5061,3.6488,0 
4.9291,4.6756,0 
4.4051,1.8772,0 
6.0513,4.2338,0 
5.7762,2.8445,0 
6.7725,2.7473,0 
4.4468,2.3661,0 
5.4512,3.4976,0 
4.0531,3.7168,0 
6.854,3.4952,0 
5.2124,3.849,0 
4.7174,3.8683,0 
4.1609,4.354,0 
3.9068,2.0111,0 
4.0056,2.558,0 
4.6531,4.7161,0 
5.6752,4.1086,0 
4.6445,3.4795,0 
5.7141,4.5773,0 
4.5061,3.9721,0 
