Feature1,Feature2,Class
0.7208,-1.556,1 
-0.4528,0.0287,1 
-0.0727,-0.7716,1 
-1.6694,-0.671,1 
0.2239,-0.3104,1 
0.0769,-0.3895,1 
-0.4798,-0.8755,1 
-0.3666,0.4434,1 
-1.2684,-0.6535,1 
-0.0541,-0.3245,1 
-0.5423,-1.7351,1 
-0.205,1.3614,1 
-0.193,0.0546,1 
-0.3009,-0.3672,1 
0.6964,0.4418,1 
0.2579,0.7355,1 
-0.985,-1.2778,1 
-0.3096,-0.191,1 
0.2997,0.387,1 
-0.2182,0.0375,1 
-0.1562,0.5089,1 
1.29,-1.5525,1 
-1.2363,-0.9209,1 
0.6805,-0.4941,1 
0.9465,-0.4665,1 
-1.3874,0.1093,1 
-0.9243,-0.8234,1 
1.3235,0.1454,1 
-0.9051,0.3531,1 
-1.0988,0.203,1 
-0.1726,-0.8497,1 
-1.7805,-2.7559,1 
0.1675,-0.9198,1 
-0.0762,-0.6378,1 
-1.1384,2.232,1 
-0.8477,0.213,1 
0.6717,-0.4717,1 
0.4461,-0.625,1 
2.4136,0.3608,1 
1.0411,0.9321,1 
1.1503,0.1696,1 
-0.9003,-1.856,1 
-0.2326,0.366,1 
0.4233,0.4371,1 
0.2124,0.1633,1 
-0.456,-0.7478,1 
0.407,0.8985,1 
0.1333,0.3066,1 
-1.9876,-0.0683,1 
-0.3838,-2.151,1 
0.6602,-0.5933,1 
-1.9231,-0.2965,1 
-0.5424,0.6541,1 
0.9425,1.0999,1 
-0.0163,-0.2105,1 
-1.0955,0.2891,1 
-0.1518,0.6917,1 
-0.6709,1.2359,1 
-1.6663,-0.1218,1 
-0.699,-1.3014,1 
0.7205,-1.7018,1 
0.5065,1.1603,1 
-0.1675,0.0695,1 
-0.718,-0.2095,1 
1.3017,-0.214,1 
-0.6907,-0.0099,1 
-0.0778,-0.4751,1 
0.1146,0.1935,1 
1.6339,-0.014,1 
-1.0359,1.1735,1 
-2.3277,-0.79,1 
0.8984,-1.4912,1 
2.4354,-0.1048,1 
0.5332,-0.0404,1 
-1.8401,0.5245,1 
1.9478,-0.6485,1 
-1.4686,-0.0095,1 
0.9428,0.0251,1 
-0.5598,0.1468,1 
-1.4968,0.833,1 
1.4687,0.7439,1 
-0.099,0.8278,1 
-1.4165,-1.0451,1 
-1.3415,0.1928,1 
-2.3112,0.1625,1 
-0.037,-1.1707,1 
0.1233,-1.3605,1 
-0.5236,-1.7943,1 
1.3082,0.9785,1 
-0.4604,-1.0007,1 
0.2686,-0.8274,1 
1.8562,0.1012,1 
-0.758,-1.3169,1 
0.5477,0.4774,1 
0.8718,0.1071,1 
0.5086,0.6414,1 
1.6355,-1.1134,1 
-0.0431,1.0268,1 
0.0398,0.9146,1 
-0.1789,0.0159,1 
2.1453,-0.497,1 
-0.0228,-1.3035,1 
0.475,-0.2553,1 
-0.4797,1.6413,1 
0.0417,0.3844,1 
-0.1197,-0.9188,1 
0.7191,-0.5518,1 
-0.5003,0.4976,1 
-0.8121,1.4085,1 
0.1059,-0.6584,1 
-0.4671,0.7852,1 
-1.0484,-0.2683,1 
1.261,-0.6898,1 
0.2721,0.9594,1 
0.0828,-0.5516,1 
-0.214,-0.2633,1 
0.1169,0.6333,1 
