Feature1,Feature2,Class
2.0679,7.9981,1 
0.9311,7.9855,1 
1.6225,11.6005,1 
1.9549,9.879,1 
3.4555,12.3006,1 
2.8525,9.2887,1 
5.079,9.1793,1 
0.3373,9.5856,1 
2.4922,11.4472,1 
3.2382,9.5447,1 
1.2758,8.9433,1 
2.4367,9.3715,1 
1.9778,10.5302,1 
1.1396,8.73,1 
1.1379,8.4392,1 
1.2451,9.182,1 
1.7724,10.2636,1 
0.4436,8.8252,1 
1.8252,9.4743,1 
2.8336,9.8268,1 
2.9691,10.2292,1 
2.1989,9.4055,1 
2.467,9.6379,1 
3.124,9.3782,1 
1.0704,10.2463,1 
0.507,10.3613,1 
0.1605,8.794,1 
2.7649,10.7026,1 
0.9139,9.5706,1 
2.7619,8.8184,1 
2.4659,10.1058,1 
1.0466,8.9927,1 
1.378,10.9117,1 
2.9862,11.9027,1 
3.5942,10.0846,1 
0.5748,8.1541,1 
1.6942,9.317,1 
2.4848,10.1769,1 
0.776,10.5733,1 
2.1332,11.3928,1 
1.1568,9.7193,1 
2.4663,8.667,1 
-0.4767,8.5872,1 
3.7614,10.4186,1 
1.7645,10.5752,1 
1.754,9.1248,1 
4.8087,10.3837,1 
1.2009,9.9549,1 
3.7371,9.8983,1 
2.0215,10.6823,1 
2.5792,8.9723,1 
0.2472,8.6536,1 
1.4048,10.2217,1 
2.7284,10.5112,1 
1.7791,10.5987,1 
0.9261,8.2712,1 
0.9632,7.4255,1 
3.3335,10.1787,1 
1.4511,8.9767,1 
1.8801,10.2281,1 
2.2036,11.0846,1 
1.5116,12.0163,1 
2.196,10.5932,1 
0.9645,11.1833,1 
2.4753,10.4618,1 
3.8094,9.5543,1 
2.9418,10.7826,1 
1.3508,9.8683,1 
1.0605,11.1621,1 
2.3366,8.9737,1 
2.0693,7.8984,1 
0.6981,10.7133,1 
1.5844,7.2084,1 
0.507,10.3932,1 
9.667,8.0258,0 
8.2224,8.9486,0 
9.7017,6.9489,0 
8.6325,6.8625,0 
7.6779,9.7723,0 
8.6525,8.6701,0 
9.3223,8.0603,0 
7.9565,6.9901,0 
9.4417,9.1289,0 
7.1619,7.0612,0 
8.7982,9.0454,0 
9.5382,8.8121,0 
9.2411,7.0475,0 
8.8637,9.2672,0 
9.1736,6.7767,0 
10.4153,8.4577,0 
9.7289,9.9684,0 
8.4522,7.3206,0 
6.4938,8.147,0 
9.6062,7.9775,0 
9.0134,8.9359,0 
9.4206,8.4116,0 
8.9287,7.9546,0 
10.0409,7.906,0 
8.5792,7.448,0 
8.8789,8.1901,0 
9.5121,8.1315,0 
8.6684,6.3676,0 
9.6191,7.0074,0 
8.8387,9.1924,0 
9.2507,7.1864,0 
9.7036,7.7319,0 
8.5174,9.2446,0 
