Feature1,Feature2,Class
2.0679,7.9981,1 
0.9311,7.9855,1 
1.6225,11.6005,1 
1.9549,9.879,1 
3.4555,12.3006,1 
2.8525,9.2887,1 
5.079,9.1793,1 
0.3373,9.5856,1 
2.4922,11.4472,1 
3.2382,9.5447,1 
1.2758,8.9433,1 
2.4367,9.3715,1 
1.9778,10.5302,1 
1.1396,8.73,1 
1.1379,8.4392,1 
1.2451,9.182,1 
1.7724,10.2636,1 
0.4436,8.8252,1 
1.8252,9.4743,1 
2.8336,9.8268,1 
2.9691,10.2292,1 
2.1989,9.4055,1 
2.467,9.6379,1 
3.124,9.3782,1 
1.0704,10.2463,1 
0.507,10.3613,1 
0.1605,8.794,1 
2.7649,10.7026,1 
0.9139,9.5706,1 
2.7619,8.8184,1 
2.4659,10.1058,1 
1.0466,8.9927,1 
1.378,10.9117,1 
2.9862,11.9027,1 
3.5942,10.0846,1 
0.5748,8.1541,1 
1.6942,9.317,1 
2.4848,10.1769,1 
0.776,10.5733,1 
2.1332,11.3928,1 
1.1568,9.7193,1 
2.4663,8.667,1 
-0.4767,8.5872,1 
3.7614,10.4186,1 
1.7645,10.5752,1 
1.754,9.1248,1 
4.8087,10.3837,1 
1.2009,9.9549,1 
3.7371,9.8983,1 
2.0215,10.6823,1 
2.5792,8.9723,1 
0.2472,8.6536,1 
1.4048,10.2217,1 
2.7284,10.5112,1 
1.7791,10.5987,1 
0.9261,8.2712,1 
0.9632,7.4255,1 
3.3335,10.1787,1 
1.4511,8.9767,1 
1.8801,10.2281,1 
2.2036,11.0846,1 
1.5116,12.0163,1 
2.196,10.5932,1 
0.9645,11.1833,1 
2.4753,10.4618,1 
3.8094,9.5543,1 
2.9418,10.7826,1 
1.3508,9.8683,1 
1.0605,11.1621,1 
2.3366,8.9737,1 
2.0693,7.8984,1 
0.6981,10.7133,1 
1.5844,7.2084,1 
0.507,10.3932,1 
1.1148,9.6175,1 
3.7361,8.7702,1 
1.6113,9.8162,1 
1.1672,9.5524,1 
3.6075,9.989,1 
1.5267,9.7131,1 
1.9274,9.2615,1 
2.8843,10.3036,1 
3.1062,11.0399,1 
1.9274,10.3194,1 
3.6302,9.4838,1 
2.3536,9.3559,1 
-0.4951,12.908,1 
1.7009,9.2142,1 
3.0431,9.8499,1 
2.2173,8.9594,1 
1.5279,8.9916,1 
3.4524,9.3952,1 
2.942,10.7951,1 
0.0888,9.5867,1 
2.0866,9.0032,1 
2.7442,9.3559,1 
3.2154,10.8464,1 
0.8176,10.3799,1 
2.824,10.736,1 
1.8524,10.0365,1 
1.5613,10.675,1 
0.7584,10.2543,1 
1.9375,10.5442,1 
1.9022,9.6501,1 
1.1384,8.9654,1 
2.9945,9.4703,1 
3.2791,8.4763,1 
