Feature1,Feature2,Class
2.31,8.1673,1 
1.391,8.6975,1 
2.8884,10.2082,1 
0.591,11.8722,1 
2.3434,9.6361,1 
1.8137,10.4256,1 
4.7737,10.9893,1 
3.1884,8.3456,1 
2.898,9.4994,1 
1.76,10.1236,1 
2.4613,8.8947,1 
2.5849,9.945,1 
3.3041,11.2835,1 
1.8192,9.5851,1 
3.4219,8.9968,1 
1.1954,10.4089,1 
3.6976,10.1041,1 
1.4177,10.7066,1 
2.1976,9.0717,1 
0.818,9.1698,1 
2.432,10.0018,1 
2.9484,10.0687,1 
1.1871,9.4765,1 
-0.211,10.8662,1 
2.2236,9.5359,1 
2.8365,9.6541,1 
1.2903,10.1077,1 
1.9737,11.4272,1 
2.2581,11.8271,1 
2.2845,9.7128,1 
0.9211,9.8908,1 
1.4964,10.9398,1 
2.5875,9.4588,1 
1.534,11.1876,1 
1.5013,10.5225,1 
1.5333,9.5607,1 
2.1474,10.1331,1 
1.1895,12.0095,1 
0.8715,10.0382,1 
2.256,8.428,1 
0.9745,9.4507,1 
2.2426,9.1567,1 
4.5351,11.2394,1 
3.7759,10.7005,1 
1.2361,11.0719,1 
0.0407,12.7636,1 
3.2714,11.1593,1 
2.3783,12.0769,1 
-0.2745,10.43,1 
0.2047,9.2056,1 
1.3994,9.4764,1 
0.7819,9.7607,1 
-0.4038,7.9149,1 
2.0067,9.5917,1 
2.3541,10.933,1 
2.2211,10.7753,1 
1.8268,9.9823,1 
2.2202,10.4026,1 
2.4886,9.7019,1 
4.1275,9.9686,1 
3.2055,10.3198,1 
2.0626,8.5168,1 
1.9429,9.9308,1 
1.7992,11.4664,1 
3.3539,10.9741,1 
2.9024,9.797,1 
0.3514,8.6332,1 
3.2964,10.5245,1 
2.4661,10.795,1 
1.1632,9.4376,1 
2.4645,11.6406,1 
2.5256,9.1264,1 
2.3622,9.5042,1 
1.636,9.9898,1 
1.4721,10.0313,1 
0.0156,8.1183,1 
2.2101,10.1349,1 
2.0532,9.1981,1 
1.6559,10.1578,1 
1.7675,10.2922,1 
2.5546,12.5401,1 
1.1468,11.2027,1 
1.8333,8.9467,1 
2.2736,10.9908,1 
0.9182,7.7739,1 
1.6995,11.5765,1 
2.3768,9.6208,1 
2.8782,7.755,1 
1.4134,9.7471,1 
2.4813,8.7076,1 
1.3734,10.5774,1 
1.2144,8.1427,1 
1.2037,7.5736,1 
0.6265,8.8974,1 
1.0873,7.9715,1 
1.9457,10.1207,1 
2.4048,10.0285,1 
2.2583,9.094,1 
2.4949,10.2348,1 
1.9556,9.896,1 
1.6337,10.6742,1 
2.8398,9.1395,1 
1.2064,8.4965,1 
2.676,10.3471,1 
0.0985,9.0779,1 
1.4006,7.5885,1 
0.4413,8.9383,1 
1.3612,10.0551,1 
1.8822,10.5556,1 
2.1697,8.4562,1 
2.0071,11.2295,1 
2.7433,10.2872,1 
2.8127,10.0358,1 
2.1139,9.991,1 
3.3856,9.2537,1 
2.3362,9.6731,1 
2.3378,9.0315,1 
3.7791,9.9351,1 
0.7418,8.9926,1 
1.0631,9.4495,1 
2.9709,8.2166,1 
