Feature1,Feature2,Class
3.0281,8.0079,1 
1.7457,10.4873,1 
2.0912,11.0839,1 
0.9539,9.803,1 
3.7314,10.7274,1 
2.2506,10.4025,1 
1.4427,9.7492,1 
1.7348,9.4211,1 
2.5713,10.7198,1 
1.7127,10.0632,1 
1.8406,9.8412,1 
1.2887,9.1053,1 
4.3722,9.7157,1 
1.8816,9.591,1 
1.9506,10.6081,1 
2.7712,10.559,1 
1.876,10.6255,1 
2.0965,10.2127,1 
-0.5119,10.4973,1 
2.4879,8.3637,1 
2.6395,9.4734,1 
0.9096,7.6956,1 
1.632,9.193,1 
2.2333,10.3545,1 
3.1278,9.7734,1 
1.6489,9.065,1 
3.4088,10.2152,1 
1.8369,10.2825,1 
2.283,9.0896,1 
0.6651,9.7134,1 
2.2838,9.7546,1 
2.7896,9.3367,1 
2.8023,11.23,1 
2.337,11.276,1 
1.5079,8.1421,1 
1.3076,8.2159,1 
1.5352,10.0718,1 
1.2405,10.892,1 
0.9268,9.1376,1 
0.6351,9.8588,1 
3.5983,9.9859,1 
1.7298,10.7478,1 
3.6012,8.8857,1 
1.9419,10.4789,1 
2.378,10.4918,1 
1.9288,10.0958,1 
2.1178,8.7121,1 
1.6654,10.1418,1 
1.7331,8.8738,1 
1.8687,11.3729,1 
1.2106,10.7491,1 
1.6882,8.5524,1 
1.3799,9.2184,1 
2.6554,10.3579,1 
1.0874,8.5224,1 
2.7994,8.5858,1 
2.7284,9.9737,1 
2.7712,8.0482,1 
2.5687,9.5084,1 
1.7482,11.4129,1 
3.7686,10.0662,1 
2.7344,9.0581,1 
1.5856,9.5537,1 
1.979,8.8973,1 
3.1172,10.9428,1 
1.8722,11.0672,1 
1.3581,9.0039,1 
2.8195,9.2829,1 
1.3791,10.5278,1 
2.2362,10.3485,1 
3.0041,10.3871,1 
1.34,12.1316,1 
2.0735,9.3892,1 
2.0882,9.1138,1 
1.8052,9.7519,1 
2.2078,9.2131,1 
2.1969,10.8407,1 
1.9589,8.71,1 
2.3847,8.2647,1 
2.5094,9.9783,1 
2.6083,11.2905,1 
1.715,11.6323,1 
2.5892,11.4149,1 
1.0816,10.0132,1 
0.7673,9.0607,1 
2.6851,8.7931,1 
3.9255,10.9477,1 
1.5496,9.2722,1 
1.8787,9.337,1 
0.4783,11.537,1 
0.0381,10.1286,1 
1.9669,9.1921,1 
1.8184,8.7936,1 
1.1613,10.3373,1 
1.7922,9.5948,1 
2.8203,10.95,1 
0.8599,8.4232,1 
2.2043,10.0841,1 
3.2102,11.3501,1 
0.4395,9.5875,1 
1.9039,9.1517,1 
2.9357,10.199,1 
1.9299,8.782,1 
2.1141,8.604,1 
1.7647,11.1997,1 
1.7729,9.6295,1 
1.3903,10.5,1 
1.2879,10.4798,1 
1.0091,9.9874,1 
3.2003,10.3593,1 
2.8805,10.2972,1 
2.0937,11.334,1 
1.7706,10.281,1 
2.2754,9.7996,1 
1.9738,9.0287,1 
2.5885,8.5803,1 
4.133,9.1518,1 
1.8276,10.2193,1 
0.7779,9.4979,1 
4.3404,8.5083,1 
3.2319,10.9686,1 
3.9017,11.4333,1 
1.4617,10.5125,1 
0.6165,10.2542,1 
1.6492,8.2367,1 
2.3436,10.0974,1 
0.9817,9.4821,1 
1.1777,9.3286,1 
0.057,9.8555,1 
2.5842,9.8678,1 
2.3823,9.5801,1 
1.6188,11.5875,1 
0.9604,10.524,1 
1.6179,8.573,1 
2.6428,11.8821,1 
0.622,8.8667,1 
1.5076,10.1804,1 
1.2086,9.741,1 
1.3061,8.2522,1 
1.6218,8.0874,1 
3.3477,9.2003,1 
0.465,10.6367,1 
1.4333,8.9998,1 
2.9901,10.0111,1 
3.6339,7.1342,1 
1.1965,9.6425,1 
2.936,9.9204,1 
3.9241,11.2922,1 
2.6331,11.3749,1 
1.2629,8.2469,1 
2.4128,9.6678,1 
2.9893,10.8699,1 
2.8899,9.8161,1 
2.7664,10.1481,1 
1.694,10.3389,1 
2.3684,11.229,1 
-0.0182,9.6313,1 
1.3787,8.3493,1 
1.4806,9.8568,1 
1.9819,10.1482,1 
2.5944,9.9314,1 
3.8669,7.9165,1 
2.1378,8.5519,1 
3.2247,10.3305,1 
0.8781,10.2382,1 
1.7067,10.676,1 
1.2762,11.3405,1 
-0.6904,9.1914,1 
2.0192,11.3567,1 
2.8714,10.5886,1 
1.9687,10.606,1 
0.7112,11.6776,1 
2.2908,8.3435,1 
0.7215,10.4449,1 
4.1287,9.1082,1 
1.8411,11.5796,1 
4.2966,11.3889,1 
0.9976,10.698,1 
4.0813,10.4,1 
0.037,10.0762,1 
1.1319,10.3781,1 
0.1505,12.5345,1 
1.1963,10.1561,1 
3.5049,10.1513,1 
2.6535,10.4796,1 
1.7259,10.5845,1 
2.5202,9.2616,1 
2.507,8.5623,1 
2.0073,8.1285,1 
2.0098,10.4924,1 
2.9177,10.4117,1 
0.8955,10.6881,1 
2.1573,9.8734,1 
1.5099,9.0884,1 
2.429,8.6544,1 
1.1526,9.1941,1 
3.151,10.5566,1 
2.5593,10.0832,1 
0.4511,9.0719,1 
2.5633,8.9446,1 
1.5338,9.5644,1 
1.1407,9.8866,1 
1.632,9.3077,1 
2.5077,10.9309,1 
1.6107,10.8462,1 
-0.4512,10.8673,1 
3.765,9.3252,1 
2.2865,8.4842,1 
1.3815,9.9274,1 
0.6172,9.3095,1 
2.6809,11.4169,1 
1.6387,10.4248,1 
0.2719,11.3155,1 
4.1396,9.4476,1 
0.9397,9.2735,1 
0.2103,10.7387,1 
0.6603,10.135,1 
0.4699,10.3037,1 
2.5272,9.9539,1 
2.1633,10.2479,1 
1.291,10.109,1 
1.2972,9.0685,1 
1.4454,11.1754,1 
1.4655,10.3434,1 
2.2107,10.2251,1 
2.069,8.9343,1 
1.0335,10.0676,1 
3.6296,11.2991,1 
2.5627,10.757,1 
0.8818,9.2104,1 
1.2421,9.5475,1 
0.765,10.3416,1 
3.2401,8.5338,1 
3.2629,9.9481,1 
1.4282,9.6993,1 
3.2028,10.9126,1 
1.7065,10.4733,1 
1.9016,10.9351,1 
3.5433,8.5165,1 
1.4097,10.1193,1 
1.1568,9.4998,1 
1.8314,8.9971,1 
2.3381,11.3451,1 
2.1119,12.1756,1 
1.5553,9.8954,1 
1.7816,10.2003,1 
3.7317,11.1272,1 
2.8158,9.0191,1 
4.2542,8.1752,1 
1.9956,9.6696,1 
2.4507,11.7212,1 
5.0724,9.8862,1 
3.3917,9.8956,1 
2.3952,9.7983,1 
2.8666,11.3661,1 
2.9679,10.6205,1 
1.7607,10.7613,1 
3.5365,9.0698,1 
3.1804,9.1404,1 
1.0898,10.3217,1 
1.3744,8.606,1 
2.0487,12.3348,1 
1.8263,10.3046,1 
1.5819,10.5177,1 
1.5865,10.2044,1 
1.8207,10.0973,1 
1.58,10.2604,1 
0.6245,9.5293,1 
1.164,9.94,1 
2.7787,9.7495,1 
2.1825,10.4433,1 
1.8107,9.269,1 
2.9131,10.8595,1 
3.4247,9.2479,1 
3.4967,9.1097,1 
2.2468,8.9308,1 
1.626,10.1164,1 
3.3153,11.1091,1 
2.7243,8.9508,1 
2.1417,8.9865,1 
0.6262,10.8587,1 
0.9202,10.1064,1 
2.3109,9.4039,1 
3.0757,9.1783,1 
1.9886,9.2063,1 
4.3909,9.5101,1 
2.2541,10.082,1 
2.7205,8.8813,1 
2.4476,9.9476,1 
1.782,10.0704,1 
2.8153,9.7371,1 
0.9936,9.9599,1 
1.513,8.7776,1 
2.1642,10.6207,1 
3.3008,9.2799,1 
1.9716,10.3709,1 
2.824,10.2067,1 
2.8895,10.816,1 
1.0534,11.1439,1 
2.7431,9.1602,1 
1.2063,10.5406,1 
0.9961,8.1933,1 
2.1096,9.5779,1 
3.0538,9.4591,1 
3.0223,12.2365,1 
3.1429,9.9178,1 
2.1764,10.1507,1 
2.0408,11.1343,1 
3.0262,8.8242,1 
2.8402,11.5472,1 
-0.4027,11.2762,1 
1.0255,9.3748,1 
1.1213,10.5785,1 
2.4915,8.8375,1 
1.0421,8.3464,1 
1.837,9.471,1 
2.9445,9.8061,1 
1.9462,10.7137,1 
2.0798,9.735,1 
2.0931,10.3009,1 
1.5545,9.1439,1 
1.6233,9.9146,1 
1.6855,10.0962,1 
2.011,11.8962,1 
2.736,10.5896,1 
1.9705,9.2989,1 
1.1369,10.7756,1 
0.7601,9.75,1 
2.3531,9.3588,1 
1.535,10.0532,1 
1.9975,10.1225,1 
1.297,9.6922,1 
1.4055,10.8307,1 
2.2401,11.427,1 
2.3159,9.665,1 
2.1485,11.644,1 
0.8409,8.5493,1 
2.2751,11.9937,1 
2.5102,8.7487,1 
2.6093,10.8811,1 
2.2269,10.622,1 
1.4639,10.3363,1 
2.0526,10.6553,1 
1.651,9.1762,1 
1.5358,8.9069,1 
0.6213,9.0955,1 
2.6419,9.8264,1 
1.6848,10.8285,1 
3.7024,9.5457,1 
1.134,9.7827,1 
1.8213,9.5668,1 
0.9435,10.1283,1 
1.8415,8.9093,1 
2.9411,11.0609,1 
2.2967,11.9133,1 
1.9843,10.2062,1 
2.4888,8.4382,1 
1.3914,10.2703,1 
2.324,10.3867,1 
0.9839,11.0196,1 
2.1519,11.0063,1 
2.5951,12.0513,1 
2.7141,9.3031,1 
2.0564,11.1466,1 
2.0365,9.9375,1 
2.0636,9.0679,1 
1.2374,9.536,1 
1.4691,8.9291,1 
1.819,11.2183,1 
3.7112,9.9256,1 
0.5371,9.7126,1 
2.5896,10.7134,1 
3.4217,9.7787,1 
2.1958,10.2047,1 
1.1994,10.4974,1 
1.2472,9.1185,1 
0.7983,11.4282,1 
1.9987,9.6027,1 
1.3322,10.7199,1 
1.4008,8.9356,1 
1.403,11.0895,1 
2.2318,11.1614,1 
1.5073,9.8778,1 
1.2899,11.4024,1 
4.183,10.5902,1 
1.6578,10.3548,1 
1.3867,7.903,1 
1.9699,10.6354,1 
1.2336,10.4154,1 
1.3859,10.3821,1 
3.0899,11.8291,1 
2.1688,10.936,1 
1.1709,10.0509,1 
3.0163,10.3714,1 
2.2385,10.5288,1 
2.318,9.6362,1 
1.4079,11.4457,1 
-0.0012,9.9474,1 
1.8046,8.4061,1 
1.014,10.8073,1 
1.9701,9.6585,1 
2.3807,9.6197,1 
1.8479,9.4546,1 
1.3126,9.5729,1 
0.5944,11.0747,1 
1.8925,10.1722,1 
2.0888,10.3943,1 
0.0501,10.6666,1 
1.662,10.5728,1 
4.4039,10.7595,1 
1.9689,11.6029,1 
1.5531,11.3862,1 
4.3323,9.8079,1 
3.6998,10.0038,1 
3.3314,9.1042,1 
3.1317,9.0061,1 
2.5654,10.904,1 
1.8744,9.3059,1 
1.2206,10.376,1 
0.6241,10.6883,1 
1.4563,9.894,1 
4.2555,10.1638,1 
1.052,9.9836,1 
1.6908,9.7353,1 
4.9966,9.1632,1 
2.2746,9.8004,1 
1.34,10.0912,1 
3.5056,10.8497,1 
3.4318,11.1781,1 
4.2377,8.4405,1 
1.8624,10.3137,1 
2.4922,11.9938,1 
0.8367,8.9112,1 
1.6963,10.5162,1 
1.7262,9.9189,1 
2.8247,9.0616,1 
3.6829,9.0481,1 
2.5266,7.8426,1 
2.6371,11.3805,1 
1.9473,10.3229,1 
3.4801,10.0595,1 
2.0036,11.0287,1 
1.9594,9.6596,1 
2.2377,10.8601,1 
2.329,10.3955,1 
1.6987,9.8735,1 
1.9457,7.0946,1 
3.1369,9.5647,1 
1.949,10.1042,1 
2.5108,8.7418,1 
1.825,8.5479,1 
2.1796,10.8257,1 
2.5358,10.0801,1 
1.5844,10.9761,1 
-0.4025,9.9893,1 
1.5646,10.4448,1 
2.8311,10.3563,1 
3.4744,8.8159,1 
2.3215,8.2921,1 
2.1741,9.6879,1 
-0.0927,8.8577,1 
1.677,11.0746,1 
-0.1552,8.7971,1 
2.4557,11.0151,1 
1.8486,9.6791,1 
0.9031,10.1772,1 
2.7019,9.369,1 
4.5756,10.0442,1 
1.5015,10.3682,1 
1.7727,10.8617,1 
2.9216,10.2832,1 
0.1991,8.6579,1 
1.4984,11.0617,1 
1.4429,11.5425,1 
3.2837,9.9392,1 
3.0802,11.6524,1 
1.553,11.2579,1 
2.6542,10.4285,1 
1.4781,11.3782,1 
2.9522,10.7597,1 
1.8498,10.2695,1 
-1.4959,10.3119,1 
2.3232,10.2507,1 
0.3811,9.8201,1 
2.0134,10.7432,1 
2.5449,9.3077,1 
3.6604,10.3451,1 
0.9141,10.3126,1 
2.221,10.1398,1 
0.6541,10.269,1 
1.486,7.6191,1 
1.5838,9.8733,1 
1.8901,8.3285,1 
0.5818,9.5984,1 
2.8032,10.0344,1 
0.6173,9.9473,1 
1.4653,10.462,1 
0.3403,9.5756,1 
0.3825,10.4498,1 
1.639,9.9008,1 
5.3916,8.0059,0 
2.1369,7.9185,0 
4.8648,11.1154,0 
3.7008,9.7293,0 
4.9754,9.9388,0 
3.8973,8.829,0 
5.8173,7.9612,0 
5.7605,9.4302,0 
4.9941,7.5751,0 
4.1704,6.9863,0 
5.1335,8.0656,0 
6.0977,7.005,0 
4.8087,8.0541,0 
5.7462,7.8914,0 
4.1679,8.8161,0 
6.7669,7.3347,0 
4.0199,8.9781,0 
4.0454,8.5055,0 
5.6649,9.3814,0 
5.9821,7.5905,0 
6.2834,7.2235,0 
3.4738,8.3397,0 
2.9925,9.2798,0 
5.4184,7.2344,0 
5.7282,7.8688,0 
4.559,9.3524,0 
5.9497,8.1972,0 
6.421,8.9029,0 
5.0311,5.8925,0 
4.4957,8.2739,0 
3.7198,7.8226,0 
4.3478,7.0943,0 
6.0583,8.893,0 
3.8165,7.5375,0 
5.8478,6.6894,0 
3.8799,7.5483,0 
5.6492,7.2642,0 
3.1678,8.2262,0 
5.0637,7.9004,0 
5.028,8.101,0 
6.0054,5.3985,0 
3.902,7.7538,0 
4.1172,7.4335,0 
3.7396,7.7223,0 
4.1037,8.7587,0 
4.8761,8.3296,0 
3.914,9.1262,0 
4.6503,7.8603,0 
3.593,8.1679,0 
4.5431,8.2187,0 
3.6472,7.4706,0 
4.4855,7.3193,0 
5.0551,7.9919,0 
5.3537,8.9738,0 
4.1461,8.518,0 
4.517,10.0872,0 
4.0416,8.7846,0 
5.8639,9.1392,0 
4.7925,8.1908,0 
4.8437,7.6113,0 
5.7563,8.3462,0 
5.9191,9.0464,0 
6.4817,6.9793,0 
6.0284,8.6263,0 
4.3966,8.659,0 
5.5218,8.9773,0 
5.967,8.9262,0 
4.3522,6.819,0 
5.2288,8.1263,0 
4.1953,7.8659,0 
5.0135,7.6782,0 
4.7041,7.0332,0 
6.0635,8.1562,0 
7.5928,5.4422,0 
5.7277,7.9144,0 
6.5177,8.3877,0 
7.2903,6.5902,0 
4.0582,7.2932,0 
3.9945,9.8447,0 
4.2552,8.9005,0 
5.0299,8.0512,0 
3.4299,9.3627,0 
4.0233,8.9134,0 
6.2803,7.3854,0 
4.8604,9.7196,0 
7.2188,9.7995,0 
4.3289,7.5642,0 
4.7147,6.8686,0 
4.8678,8.7424,0 
5.7204,9.4926,0 
4.4023,7.6872,0 
3.6228,8.7419,0 
5.4947,9.5201,0 
5.876,7.8423,0 
4.8945,8.4551,0 
5.3939,9.2794,0 
6.4507,8.5142,0 
6.5254,9.2074,0 
4.58,8.2932,0 
4.2787,8.657,0 
5.6316,7.2315,0 
4.5927,7.1599,0 
3.5969,8.3203,0 
4.6072,6.5594,0 
6.1993,7.5841,0 
5.6533,6.5679,0 
3.7941,8.8694,0 
3.5535,6.7996,0 
4.4973,9.0287,0 
3.1326,7.6198,0 
4.596,6.6013,0 
6.1531,5.2449,0 
3.0688,7.4515,0 
4.8116,6.7753,0 
4.9705,9.06,0 
4.0321,9.5746,0 
4.7818,8.3556,0 
4.8835,5.7831,0 
6.5539,10.0913,0 
4.5121,6.9528,0 
4.6221,8.2428,0 
4.8597,6.1844,0 
4.622,9.068,0 
6.5337,6.2569,0 
5.714,7.5622,0 
3.7015,9.1383,0 
5.8846,6.5716,0 
