Feature1,Feature2,Class
1.7757,11.3373,1 
2.8824,10.2952,1 
2.7806,10.3361,1 
2.9704,11.2428,1 
1.3254,9.1559,1 
2.9353,9.3884,1 
1.5566,8.4411,1 
2.3652,10.3533,1 
1.0837,11.3183,1 
1.4801,8.779,1 
2.0291,11.2878,1 
2.6067,10.8537,1 
2.9508,9.9095,1 
2.217,9.2288,1 
1.4663,10.4748,1 
2.0827,10.1994,1 
1.6768,9.1341,1 
3.0203,10.3842,1 
1.0846,11.2173,1 
1.4324,8.745,1 
1.9278,8.6466,1 
-0.0985,9.5309,1 
2.3783,9.2924,1 
0.3548,9.4148,1 
1.5995,9.846,1 
2.4498,11.7865,1 
1.8827,11.2291,1 
2.7323,10.9617,1 
3.9438,9.4003,1 
2.2352,9.4312,1 
2.993,10.8871,1 
1.9013,9.0165,1 
1.4265,11.594,1 
1.1173,9.6167,1 
1.8404,8.8764,1 
3.8757,8.7927,1 
1.9986,9.5568,1 
1.3984,8.03,1 
1.3827,10.4711,1 
1.5197,12.7911,1 
2.5072,7.9963,1 
1.9776,10.0891,1 
2.4416,8.9102,1 
0.841,10.0901,1 
2.0251,10.0539,1 
0.9642,9.4635,1 
0.2631,8.0352,1 
3.4223,10.1136,1 
3.4383,8.825,1 
3.997,9.182,1 
2.717,9.9275,1 
0.93,11.3874,1 
4.5069,11.2608,1 
1.259,9.7152,1 
2.5268,8.0209,1 
2.9582,11.4149,1 
2.3208,10.4096,1 
2.5443,10.307,1 
1.7806,8.5846,1 
2.8815,10.6966,1 
4.6156,9.7824,1 
1.8915,11.0553,1 
0.4512,9.9837,1 
1.4872,9.5458,1 
2.6447,10.2194,1 
0.6166,9.5589,1 
1.6924,10.9128,1 
1.2961,9.9973,1 
2.8974,11.4918,1 
3.3712,9.0246,1 
2.673,10.0528,1 
2.4254,9.4545,1 
0.8516,10.2812,1 
1.3145,12.8512,1 
0.6031,9.6237,1 
3.0657,9.8821,1 
2.7859,10.5115,1 
0.9916,9.7168,1 
4.6311,10.8647,1 
2.6007,11.6346,1 
2.016,10.1357,1 
3.2293,9.735,1 
2.7811,10.4506,1 
0.872,11.7804,1 
2.555,9.8551,1 
2.4146,8.7026,1 
1.7457,10.734,1 
2.7356,11.4013,1 
1.9882,9.3943,1 
2.5461,10.0428,1 
1.257,11.7689,1 
1.8241,9.2811,1 
1.3031,10.2171,1 
0.7529,10.0897,1 
1.7136,8.9974,1 
2.6299,8.4954,1 
0.7821,10.5868,1 
1.8198,10.0698,1 
0.9459,9.4468,1 
3.1506,9.4174,1 
2.8588,8.5997,1 
2.7071,9.5367,1 
2.366,11.3634,1 
1.6371,10.5521,1 
2.4915,9.6975,1 
1.9764,9.7011,1 
1.5098,10.7461,1 
1.3117,9.8067,1 
2.1308,9.1142,1 
1.0258,9.5461,1 
2.7346,11.7169,1 
0.7558,10.9798,1 
2.7506,8.3414,1 
1.6454,8.8311,1 
2.9962,10.9251,1 
1.1199,11.1231,1 
1.4363,9.1129,1 
1.0678,9.4902,1 
1.4732,11.2913,1 
2.5853,9.9792,1 
1.2054,10.4164,1 
1.6671,9.7985,1 
2.7553,8.8844,1 
1.0663,9.4757,1 
1.7824,9.8257,1 
2.921,8.0539,1 
2.3208,8.926,1 
1.5034,10.455,1 
2.6004,10.4488,1 
1.8199,8.6192,1 
2.6712,9.5594,1 
2.9225,11.1722,1 
0.9139,10.2465,1 
2.942,10.2372,1 
2.1179,11.4762,1 
2.4282,9.0656,1 
1.8992,12.1072,1 
1.6891,10.9642,1 
2.6003,9.4331,1 
0.6138,10.0188,1 
3.01,9.9954,1 
1.9004,10.7154,1 
2.5743,11.2098,1 
2.6719,9.4189,1 
1.0098,9.4044,1 
1.1104,9.1736,1 
0.1475,10.4681,1 
1.1248,10.6328,1 
0.976,9.5449,1 
1.9444,9.527,1 
1.5129,10.2869,1 
3.69,9.3153,1 
3.6247,10.2881,1 
-0.2856,8.9094,1 
1.3639,9.9098,1 
2.0934,11.2585,1 
3.7033,10.4027,1 
1.3253,10.3772,1 
1.768,10.1644,1 
1.5926,11.0772,1 
1.8139,11.6361,1 
2.9136,10.9307,1 
2.4171,8.6613,1 
1.6506,9.2581,1 
1.3839,10.4752,1 
1.6669,8.53,1 
1.2568,7.6574,1 
2.117,11.2326,1 
4.4952,9.8698,1 
2.0824,9.941,1 
1.7305,9.8918,1 
3.614,8.3388,1 
2.1156,7.4349,1 
2.8643,9.441,1 
1.9585,9.732,1 
0.767,9.816,1 
1.4215,9.6184,1 
2.0301,8.9049,1 
2.7046,10.8368,1 
1.5907,11.0791,1 
1.9452,12.0919,1 
2.8632,8.6477,1 
2.6993,9.8814,1 
1.9803,10.8359,1 
4.3894,10.0953,1 
1.2039,11.2015,1 
3.885,12.0705,1 
2.3785,9.2093,1 
2.9085,8.6423,1 
0.25,11.1113,1 
0.6797,9.0443,1 
2.4092,12.6478,1 
3.0419,8.7831,1 
1.9003,9.6056,1 
2.8213,11.2176,1 
3.1432,11.2409,1 
0.4089,10.1429,1 
1.2898,8.8742,1 
1.5728,9.1506,1 
1.9817,10.17,1 
0.9987,11.4714,1 
0.9595,9.0406,1 
1.5543,8.9784,1 
1.0853,11.1892,1 
1.3523,10.7261,1 
2.4678,10.1828,1 
3.1431,11.8802,1 
1.9605,10.4146,1 
3.4055,9.8604,1 
1.0977,9.8648,1 
1.0986,9.399,1 
1.8635,11.1428,1 
2.3106,9.6478,1 
1.7611,8.7466,1 
1.4988,9.5251,1 
1.1014,10.9496,1 
2.1078,8.984,1 
3.1498,11.4827,1 
0.6821,9.1571,1 
1.5078,11.0886,1 
3.0489,9.6969,1 
2.2667,9.8933,1 
2.9372,9.9787,1 
1.821,9.367,1 
3.3642,10.0975,1 
2.2548,8.3784,1 
3.7876,9.3756,1 
2.555,10.1268,1 
2.6076,9.4026,1 
2.3022,8.9834,1 
0.7938,10.4573,1 
3.1014,9.0726,1 
3.1634,10.2959,1 
3.0611,9.5141,1 
1.9207,9.3367,1 
2.6592,9.5421,1 
1.3913,9.4937,1 
3.3529,9.9792,1 
2.9651,7.631,1 
2.4551,10.2782,1 
1.2052,9.0754,1 
1.4903,8.7709,1 
1.8468,9.743,1 
0.0024,10.124,1 
1.3122,9.6768,1 
-0.2199,9.399,1 
2.0751,10.3709,1 
1.107,11.336,1 
1.6897,11.2691,1 
3.0434,11.0384,1 
2.7168,10.5436,1 
2.3975,9.8036,1 
3.8028,9.503,1 
2.6683,10.2994,1 
2.852,11.2788,1 
1.7447,9.1612,1 
1.0005,8.62,1 
0.2931,10.0571,1 
1.3071,11.1342,1 
2.4935,8.9951,1 
1.0882,9.5093,1 
0.9059,9.4045,1 
2.5434,9.2017,1 
2.1045,10.0474,1 
0.4136,10.0604,1 
0.6713,10.1484,1 
0.5141,10.2609,1 
1.8272,9.6876,1 
1.7954,9.8032,1 
0.4941,10.0582,1 
2.9199,8.8511,1 
2.4241,9.6806,1 
4.5305,10.1957,1 
3.1434,10.6352,1 
3.0265,9.7,1 
3.1037,8.0637,1 
2.273,10.199,1 
2.1701,11.3614,1 
1.3839,9.7985,1 
1.8746,9.8377,1 
2.4225,7.6249,1 
1.7913,11.6854,1 
1.604,11.0629,1 
3.7729,9.8204,1 
2.7474,9.6334,1 
2.465,8.0203,1 
2.7895,10.8103,1 
1.1333,11.2824,1 
1.7491,9.8191,1 
0.984,10.8085,1 
2.2956,10.0334,1 
2.5146,9.7059,1 
0.7595,9.9614,1 
4.187,11.5785,1 
1.8767,10.6582,1 
1.4921,11.8581,1 
2.9322,10.4696,1 
1.3388,9.8424,1 
0.636,9.5179,1 
3.0108,10.1902,1 
2.8492,10.7834,1 
1.8361,9.5766,1 
1.2818,7.6163,1 
1.1255,10.1175,1 
1.4033,10.0111,1 
2.3723,11.3057,1 
1.7124,9.1141,1 
2.0412,10.9302,1 
0.1868,9.422,1 
2.3239,10.4358,1 
1.356,9.9694,1 
1.2942,8.4731,1 
1.4188,9.3392,1 
2.1685,10.3666,1 
2.2484,9.8835,1 
1.6182,10.1277,1 
1.4323,9.8819,1 
3.942,11.2018,1 
1.8027,9.844,1 
0.7987,10.4422,1 
3.0335,9.2505,1 
2.7786,11.0158,1 
2.6407,10.5031,1 
3.446,11.7966,1 
2.6859,8.246,1 
0.2476,8.8079,1 
2.4055,10.5417,1 
2.6243,10.4823,1 
1.146,10.8386,1 
2.7771,8.9843,1 
0.373,8.6945,1 
2.0938,10.6153,1 
1.414,9.5101,1 
0.5293,9.7555,1 
2.2563,9.3102,1 
1.0499,10.751,1 
1.0062,10.3021,1 
0.0482,8.3366,1 
1.7049,10.6347,1 
-0.2421,11.995,1 
1.9567,11.6175,1 
2.5587,9.4473,1 
3.0807,8.4698,1 
1.25,9.77,1 
2.5846,9.8468,1 
0.857,8.806,1 
0.5791,10.2856,1 
2.8342,11.17,1 
0.0979,9.366,1 
-0.0218,7.6476,1 
1.6338,9.8184,1 
3.4172,9.4377,1 
2.6626,10.1632,1 
1.5376,11.2431,1 
3.8637,9.4784,1 
2.3334,8.9445,1 
2.3438,9.2389,1 
3.2491,12.2706,1 
3.4561,9.8293,1 
2.8362,11.2558,1 
0.1436,8.7707,1 
2.3587,10.2193,1 
3.2574,10.5923,1 
5.0466,10.9545,1 
1.6958,11.7347,1 
2.1836,9.3165,1 
2.8986,8.2519,1 
4.5606,11.0263,1 
4.1373,10.2977,1 
2.1247,8.7645,1 
1.5404,10.6234,1 
1.7591,8.8639,1 
2.3532,11.1652,1 
1.4,11.7351,1 
2.3822,12.0994,1 
1.477,10.7445,1 
1.4718,7.7591,1 
0.9904,11.4961,1 
1.5453,9.892,1 
3.107,9.4511,1 
2.9664,9.9417,1 
1.9691,9.1025,1 
2.4914,9.4582,1 
2.3913,10.6473,1 
3.2112,9.9582,1 
2.8814,10.6145,1 
1.7217,9.1033,1 
1.104,9.9537,1 
1.5799,8.9723,1 
1.8005,10.8583,1 
0.2468,13.0087,1 
1.3434,10.9396,1 
3.477,9.6242,1 
0.8024,10.1714,1 
2.3948,9.4763,1 
3.9162,9.8746,1 
3.8551,10.7577,1 
2.0744,10.0406,1 
1.7143,11.2308,1 
1.9244,10.9578,1 
1.7871,10.7692,1 
1.2753,9.6326,1 
1.9234,10.9276,1 
2.3158,11.0279,1 
1.6541,9.4802,1 
2.2449,9.4627,1 
1.5084,10.1549,1 
2.242,9.1758,1 
2.1521,10.498,1 
2.8092,11.5151,1 
1.135,10.7971,1 
2.2341,9.6458,1 
0.2489,9.5733,1 
2.6901,10.6294,1 
3.2002,10.307,1 
2.1331,10.2107,1 
3.3214,9.5831,1 
0.777,9.2866,1 
0.6647,11.8371,1 
0.6538,10.3193,1 
1.4837,10.6694,1 
1.3028,11.4913,1 
2.1898,11.1555,1 
2.0027,10.6631,1 
0.4817,10.4235,1 
3.0684,10.9226,1 
2.122,10.5445,1 
1.1906,10.8427,1 
1.786,10.7884,1 
3.657,9.0274,1 
0.2383,9.8395,1 
3.0317,11.0171,1 
2.0613,11.0097,1 
1.5891,10.3929,1 
-0.13,10.8537,1 
1.7333,9.9363,1 
1.3255,9.3371,1 
1.4392,9.5492,1 
2.7118,9.4907,1 
2.8694,8.7943,1 
0.2436,9.8826,1 
2.8835,9.117,1 
1.5187,9.1745,1 
3.1463,8.7023,1 
1.6191,10.3877,1 
1.6185,10.255,1 
1.5532,9.0849,1 
1.0962,11.1738,1 
2.4502,9.9141,1 
3.5752,9.0071,1 
1.4034,9.2126,1 
2.7666,9.0295,1 
1.4012,9.9925,1 
3.4825,9.6216,1 
3.8243,11.196,1 
0.5003,9.9509,1 
3.0629,9.7681,1 
1.8294,11.735,1 
0.765,9.1462,1 
1.287,9.9432,1 
1.5028,7.4445,1 
2.9938,10.0699,1 
2.1173,10.8663,1 
2.4365,9.3655,1 
0.9234,9.4772,1 
1.6073,9.6364,1 
2.218,9.898,1 
1.2007,9.4339,1 
1.5146,10.9485,1 
1.5967,11.0984,1 
1.5719,10.3845,1 
2.7815,8.8174,1 
0.904,10.8615,1 
2.3988,9.0614,1 
0.4311,10.2977,1 
2.4013,10.1827,1 
2.7643,9.2322,1 
2.0367,10.6308,1 
2.2219,10.6707,1 
2.8916,11.3937,1 
3.6005,10.2698,1 
0.4824,10.669,1 
3.3441,10.5991,1 
3.2773,9.2354,1 
1.8244,11.5954,1 
2.257,10.0396,1 
1.7619,9.4535,1 
2.1705,11.0206,1 
1.0714,10.0276,1 
3.1475,10.7855,1 
2.2641,10.2902,1 
2.5355,11.8621,1 
1.0211,10.5501,1 
2.4374,9.1715,1 
2.7893,9.069,1 
1.9877,10.0095,1 
1.3015,8.7086,1 
1.5152,9.7955,1 
2.983,10.5226,1 
3.2906,10.9942,1 
5.3922,8.5314,0 
5.4146,7.6976,0 
2.4763,7.9663,0 
5.1385,8.7206,0 
7.0081,8.1565,0 
3.5391,6.1763,0 
6.0328,7.3564,0 
6.0114,6.8859,0 
7.2005,6.711,0 
6.2692,7.5258,0 
4.2198,8.5576,0 
5.6542,8.2046,0 
2.8405,8.477,0 
6.2232,7.9375,0 
5.5228,7.4174,0 
5.3522,7.9867,0 
3.9744,9.2805,0 
5.2787,7.0767,0 
5.0811,9.0486,0 
6.7414,8.6268,0 
4.9023,9.4895,0 
5.6148,7.7315,0 
6.2838,8.5906,0 
5.7711,8.0663,0 
5.0799,6.0337,0 
6.1276,8.8977,0 
5.9493,7.8219,0 
4.559,9.1856,0 
5.7135,6.0928,0 
4.2615,7.2612,0 
5.0851,6.4738,0 
4.5394,8.8934,0 
4.1604,7.6098,0 
4.3128,8.383,0 
5.5757,9.344,0 
3.9839,9.0831,0 
4.6774,7.4109,0 
6.33,8.2453,0 
4.5383,7.1241,0 
6.1672,6.2382,0 
5.8381,8.8674,0 
3.6923,8.8652,0 
6.63,8.7044,0 
6.3788,9.6893,0 
4.4929,7.0875,0 
4.3863,7.2878,0 
3.9265,6.4762,0 
5.2909,8.1328,0 
4.2967,8.1315,0 
6.0611,10.5066,0 
2.7391,8.4091,0 
4.7633,8.9192,0 
5.9252,7.7234,0 
6.8252,5.4323,0 
4.7527,5.8379,0 
5.5625,7.2171,0 
5.8166,5.7701,0 
3.5575,5.352,0 
6.8349,7.7811,0 
2.7354,7.0603,0 
5.2759,7.8186,0 
6.2059,6.9714,0 
4.2198,7.5136,0 
5.5835,9.2426,0 
6.6212,7.4103,0 
3.7311,7.7213,0 
5.4014,6.1226,0 
5.5922,7.7471,0 
4.6464,8.752,0 
6.345,7.3877,0 
5.5993,7.0194,0 
5.7315,6.5679,0 
3.7753,8.3766,0 
3.505,7.4055,0 
6.0955,7.1898,0 
3.5074,7.8014,0 
3.7997,8.8672,0 
5.046,6.9033,0 
5.4035,7.1829,0 
4.4906,8.8244,0 
6.1346,8.8629,0 
5.2376,7.8135,0 
4.1724,9.5663,0 
3.792,8.4134,0 
5.1015,6.8071,0 
4.5736,8.8996,0 
3.8483,9.0767,0 
5.8228,6.2921,0 
3.3825,11.2799,0 
4.0353,7.954,0 
3.5607,6.2928,0 
3.7921,7.2988,0 
5.1216,8.7511,0 
5.5673,7.0919,0 
4.572,9.4817,0 
5.6154,10.0084,0 
3.8076,7.3947,0 
4.3866,8.591,0 
4.4716,9.3997,0 
4.8577,7.9725,0 
5.5935,6.6902,0 
4.4877,8.9677,0 
4.7121,8.76,0 
5.0657,7.2274,0 
4.3231,9.8035,0 
