Feature1,Feature2,Class
-0.1965,-0.7516,1 
-0.9449,0.3836,1 
0.8826,0.6133,1 
1.5787,1.1683,1 
-1.4124,0.3661,1 
1.9471,-2.0369,1 
-1.4932,-0.3153,1 
-1.4984,0.5926,1 
-0.2989,-0.8891,1 
2.1095,-1.6132,1 
-0.697,-0.0815,1 
-0.7376,-1.5733,1 
0.916,0.74,1 
0.2254,-0.3452,1 
-0.6914,0.1881,1 
0.1219,0.5279,1 
0.4333,-0.7713,1 
-1.8777,0.1634,1 
-0.3251,0.4264,1 
1.4155,0.3058,1 
0.0885,1.6194,1 
-0.2263,-1.4281,1 
-0.6352,1.2989,1 
0.2865,1.2867,1 
0.5689,-0.468,1 
0.2228,0.1773,1 
-0.1464,1.2251,1 
-0.1696,0.3349,1 
-0.3018,0.5265,1 
1.7124,0.8459,1 
0.3254,-0.8477,1 
0.4515,-1.332,1 
1.0591,-0.5718,1 
1.1808,-1.0884,1 
-0.7922,-0.5423,1 
-0.2229,1.5381,1 
-2.407,0.0282,1 
0.784,0.4398,1 
1.0324,-0.5114,1 
0.4154,0.7162,1 
-2.1336,0.3912,1 
2.2549,-1.3318,1 
-0.7507,-1.8436,1 
0.9604,0.151,1 
-1.3979,-0.3551,1 
0.5729,-0.0039,1 
0.6048,1.0271,1 
-1.6393,0.6321,1 
0.332,1.2853,1 
-0.8755,-1.9012,1 
0.5731,-0.1462,1 
-0.9754,-1.6872,1 
-0.9776,-1.6402,1 
-0.7576,-0.2499,1 
-0.9178,0.0184,1 
-0.4932,0.0821,1 
1.0256,-1.9179,1 
-2.8173,0.6261,1 
-0.8707,-0.2164,1 
0.088,-1.1329,1 
-1.268,0.328,1 
0.9374,0.0914,1 
0.4045,-0.5631,1 
1.9417,0.6003,1 
0.3833,-0.0071,1 
-0.6291,1.7676,1 
0.9713,-0.4553,1 
-1.5405,0.4355,1 
1.4092,0.4678,1 
0.5874,-1.3557,1 
0.3261,-0.9638,1 
0.2698,-0.4327,1 
0.6703,-1.254,1 
0.1592,0.095,1 
-0.0176,0.2174,1 
0.6827,-0.3377,1 
-1.1075,-0.4184,1 
0.2963,0.8967,1 
-0.4904,1.111,1 
1.1434,-0.5399,1 
1.5225,-0.1628,1 
-0.0759,1.0338,1 
1.2686,0.783,1 
-0.9925,0.3281,1 
0.6722,-0.1884,1 
-0.9053,1.4128,1 
1.2004,1.515,1 
1.0216,0.1492,1 
0.7311,-1.6033,1 
2.4454,-0.5262,1 
0.7523,0.2592,1 
0.5158,-1.0654,1 
-0.9178,0.1483,1 
0.2198,0.5645,1 
0.1789,-1.0304,1 
-0.9533,-0.0952,1 
-1.8917,0.3168,1 
-0.2291,-0.7609,1 
0.4419,0.0412,1 
-0.1948,-0.4873,1 
0.6614,-1.5378,1 
2.042,0.2162,1 
-0.8416,-1.072,1 
-1.2348,0.3116,1 
0.4547,1.6663,1 
-0.2671,-0.171,1 
-0.0244,-0.7548,1 
-0.0187,-1.5362,1 
0.2662,-0.7793,1 
1.7357,0.028,1 
-1.3664,1.3736,1 
-1.2826,-0.868,1 
0.3504,0.4464,1 
-0.3228,0.5026,1 
1.8044,0.5059,1 
-0.5198,2.1848,1 
0.2769,0.7159,1 
-0.1174,-0.6498,1 
1.7909,0.5627,1 
-1.0268,1.5399,1 
0.1152,-2.5887,1 
-1.596,0.7043,1 
0.4563,-1.0037,1 
0.3373,0.6916,1 
0.3045,0.5451,1 
-1.0864,0.2125,1 
-0.2063,0.4982,1 
0.2072,-0.5857,1 
-0.9011,-2.2497,1 
-0.8321,0.2994,1 
-0.8319,-1.0063,1 
0.0871,0.0443,1 
-0.5033,0.7744,1 
-0.5479,0.4545,1 
0.3646,0.4941,1 
-0.0024,-0.9497,1 
-0.4589,0.1272,1 
-0.9689,1.1512,1 
-1.364,-1.0616,1 
0.1565,-1.1762,1 
1.8308,-0.2651,1 
0.2575,-0.2459,1 
0.443,0.069,1 
1.3531,-1.5489,1 
-0.5815,-1.1737,1 
0.6743,-0.9844,1 
-0.6537,0.464,1 
0.8658,-1.1942,1 
-1.3041,1.2733,1 
-0.2369,1.5738,1 
0.0896,-0.3394,1 
0.1683,-0.4514,1 
-0.3597,-0.2232,1 
1.2944,-0.4725,1 
-0.7367,0.7997,1 
-1.0837,-1.0543,1 
-0.7308,-1.0146,1 
-0.3569,-2.4063,1 
0.0077,-1.255,1 
1.7125,0.4222,1 
0.0877,0.8723,1 
0.0777,-0.7038,1 
0.262,0.3722,1 
1.6264,-1.7823,1 
-1.0812,0.46,1 
1.0468,-0.3744,1 
-0.0095,1.4104,1 
-1.1765,0.5671,1 
0.9602,-1.4002,1 
0.6671,-1.5721,1 
0.047,-1.8942,1 
-0.2326,-1.6791,1 
-0.015,0.2727,1 
-1.1584,0.4586,1 
-0.8692,0.9739,1 
0.4892,0.5293,1 
1.8683,-2.1843,1 
2.017,-0.9593,1 
-0.1332,-0.069,1 
-0.8903,-0.5586,1 
0.4136,0.8097,1 
0.9626,1.0899,1 
0.9326,0.1274,1 
0.3556,0.3386,1 
-1.3248,-0.9385,1 
2.0479,0.3205,1 
-1.2411,-0.0107,1 
-2.8579,0.1975,1 
2.4674,0.3636,1 
-0.6906,2.4524,1 
-0.1813,-0.5559,1 
0.6939,1.5149,1 
0.193,0.6707,1 
1.004,-0.1405,1 
0.3543,0.2933,1 
-0.3479,-0.0736,1 
-0.7077,0.41,1 
1.0574,1.0312,1 
-0.2689,-0.7274,1 
-0.968,-2.4141,1 
-1.8453,-1.5303,1 
0.2944,-0.3611,1 
-1.1164,3.1455,1 
1.6202,-0.3127,1 
-0.6391,0.931,1 
0.3723,0.2776,1 
-0.3113,1.0596,1 
-0.0649,-0.3672,1 
0.3975,-0.517,1 
-1.4428,0.2007,1 
0.0807,1.3288,1 
0.2405,-0.2128,1 
0.4075,-0.0033,1 
-0.1381,-0.1143,1 
-2.9818,0.9594,1 
-1.4243,0.4157,1 
-1.0353,0.6573,1 
2.1595,-2.1573,1 
-2.0474,-0.4935,1 
1.2423,-2.0391,1 
-0.0382,1.3328,1 
0.5706,1.2809,1 
1.2572,0.2739,1 
1.1249,-0.7172,1 
1.4286,0.1648,1 
0.5776,0.3856,1 
-2.0026,-0.4133,1 
-0.6331,1.1826,1 
1.4345,-0.1426,1 
-0.5705,-0.9625,1 
1.2917,-0.3226,1 
-0.4892,-0.5619,1 
0.065,-1.168,1 
0.1466,2.4925,1 
0.5926,-0.3113,1 
-0.4039,0.5889,1 
-0.0923,-0.5918,1 
0.1431,1.37,1 
-2.5186,0.5067,1 
0.7496,1.6969,1 
0.7046,0.9051,1 
0.6464,-0.2404,1 
0.3824,-0.4865,1 
-1.2077,-0.0577,1 
-1.3711,1.587,1 
-0.5278,-0.2476,1 
-0.7624,-0.1729,1 
1.6163,-1.6192,1 
-0.1026,-1.9343,1 
0.385,1.3871,1 
-0.9154,0.3006,1 
0.4871,1.3648,1 
0.3918,0.8957,1 
-0.3928,-0.6484,1 
-1.0216,0.2511,1 
1.0122,0.2555,1 
-0.1802,-0.6115,1 
-1.3451,-1.0892,1 
1.0959,0.0501,1 
0.7671,-0.5131,1 
-0.2158,-0.7257,1 
-0.1876,0.3989,1 
-1.6926,-0.1014,1 
-1.0209,-0.1272,1 
-1.0045,1.1725,1 
0.5549,-0.3335,1 
0.8209,-1.0311,1 
1.9764,0.6429,1 
-0.8386,-2.1732,1 
1.3184,1.4258,1 
-0.3601,0.7867,1 
1.86,1.4366,1 
0.1997,0.1473,1 
-0.0706,0.3311,1 
1.0088,0.3917,1 
0.0856,-0.2867,1 
-0.1022,-1.6158,1 
-0.2062,-1.0712,1 
0.7721,-1.8184,1 
-2.3443,-0.4639,1 
0.0258,-1.2815,1 
-0.0604,0.0683,1 
-0.252,1.6462,1 
-1.9096,-0.4009,1 
1.2046,0.7726,1 
1.1113,0.6222,1 
0.8499,-0.1626,1 
1.4534,0.2429,1 
-0.5491,1.1156,1 
-1.1521,-0.6574,1 
0.3197,-0.3854,1 
1.0323,-1.1406,1 
0.4889,-0.9943,1 
-1.0059,0.7084,1 
0.6113,1.1367,1 
0.0965,-0.3852,1 
1.0293,-0.3211,1 
-0.2636,-0.2411,1 
-0.8845,0.1289,1 
0.4029,-0.6882,1 
-0.5565,-0.4013,1 
0.4928,1.5585,1 
-0.1957,0.0779,1 
-0.4817,-2.1722,1 
1.0703,-2.2087,1 
1.0335,-1.144,1 
1.0323,0.773,1 
-0.9043,-0.0737,1 
-0.6985,-0.2108,1 
0.7025,-1.8631,1 
0.9182,-0.6782,1 
-0.5668,-0.0696,1 
1.5413,-0.0793,1 
0.4958,0.0967,1 
-0.3061,0.0221,1 
0.0249,1.2313,1 
1.6667,1.3374,1 
0.6929,-2.4374,1 
-0.8559,-0.0615,1 
-0.2151,0.4096,1 
0.5533,-0.7631,1 
-0.106,0.0666,1 
-1.059,-1.0333,1 
0.065,0.4316,1 
-1.3977,1.5315,1 
1.8654,-0.3276,1 
-1.0208,0.8747,1 
0.9289,-0.7667,1 
-0.5396,-0.8503,1 
-1.5414,0.1709,1 
-0.211,-0.8265,1 
-1.0674,-0.5473,1 
-0.3798,-0.4596,1 
1.3506,-1.7114,1 
0.81,1.3786,1 
-1.974,0.9667,1 
-1.0305,-0.6031,1 
0.5854,-0.159,1 
-0.653,2.1426,1 
-0.4791,-2.7719,1 
-0.1664,-2.1356,1 
-1.1367,0.2191,1 
-0.2408,-0.9584,1 
-1.0809,0.9155,1 
0.3234,-0.786,1 
-0.5896,1.5495,1 
-0.5757,1.2329,1 
0.723,0.3452,1 
1.356,-0.5369,1 
-1.4373,-0.0147,1 
0.4003,0.0217,1 
0.7608,2.6408,1 
0.3092,-0.2317,1 
-1.3133,-0.631,1 
-1.0724,0.4007,1 
-0.2794,-1.2033,1 
-0.2771,-1.5174,1 
0.646,-1.0718,1 
1.1843,1.1112,1 
-1.9072,0.8006,1 
1.3128,1.3092,1 
-0.6619,1.5972,1 
0.2013,-0.9159,1 
0.5196,-0.6697,1 
-0.4377,0.2523,1 
0.2022,0.324,1 
0.6471,1.422,1 
-0.8769,-0.0999,1 
-1.0905,0.9881,1 
0.8688,0.3331,1 
-0.7586,0.2175,1 
0.438,0.6852,1 
-0.1525,1.4181,1 
-0.2754,-0.9856,1 
-3.5429,-0.3368,1 
0.4608,0.6518,1 
-0.228,1.1498,1 
-0.8153,0.4664,1 
0.2032,-2.7929,1 
0.5195,-2.5715,1 
0.1079,-1.2249,1 
-0.5464,-1.1465,1 
-0.9347,0.4503,1 
-0.3719,0.192,1 
0.9841,0.496,1 
-1.2216,1.6514,1 
0.3442,0.2429,1 
2.1616,-0.2142,1 
-0.7401,1.0072,1 
-0.2773,2.3179,1 
-1.1389,0.3598,1 
-0.456,-0.4874,1 
1.8697,1.218,1 
1.2852,1.7134,1 
-0.3917,0.3132,1 
0.2215,-0.4396,1 
-0.004,1.6543,1 
0.5052,-0.9305,1 
-0.6288,1.0528,1 
0.4589,-0.9808,1 
1.0403,0.8056,1 
1.6976,-0.0191,1 
-0.1553,-0.1493,1 
-1.1955,0.0876,1 
-0.1837,-0.0078,1 
0.1691,-0.5375,1 
1.0038,0.7249,1 
-0.3106,0.1623,1 
-0.9801,0.2412,1 
-0.847,1.3884,1 
-1.16,-0.124,1 
0.527,0.8623,1 
0.8236,-0.1323,1 
-0.6994,0.3513,1 
-0.6076,0.3278,1 
1.1006,0.376,1 
-1.428,0.9929,1 
-0.5663,-1.433,1 
2.3224,-1.6965,1 
0.5277,-0.1591,1 
1.559,0.1298,1 
-0.5079,-2.2861,1 
0.6822,-0.517,1 
0.4913,-1.2546,1 
1.6736,-0.5879,1 
1.4687,0.1534,1 
1.4777,-0.1303,1 
-0.9777,-0.3886,1 
0.9046,-0.5003,1 
-0.0208,-0.1364,1 
0.397,-3.0864,1 
-0.1542,-2.8759,1 
3.1041,-0.2112,1 
-0.3514,-0.1454,1 
1.2041,-0.8333,1 
2.0679,-0.7785,1 
0.5305,-0.0243,1 
-0.5792,1.1381,1 
0.1644,0.1622,1 
0.7095,-0.7965,1 
