Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
-0.6186,-1.5191,1.5553,3.4085,2.5881,1.5589,2.575,3.8722,3.5145,0.8012,2.3371,1.4154,2.3933,2.7958,3.7585,3.8515,0.8999,1.4303,2.0554,1.0276,1 
-1.0911,-0.5375,0.7004,1.857,0.9492,2.1484,2.2873,1.6283,3.5227,2.5737,1.715,1.8803,3.2492,1.7611,3.0348,1.1141,1.7121,3.8107,2.2584,1.1235,1 
2.5558,0.7409,3.2636,1.4002,1.3283,3.3508,2.0552,1.6548,2.8247,2.9328,2.9304,0.1614,3.3774,2.6524,2.2779,1.1798,2.7755,2.6547,1.6871,2.5082,1 
1.1737,0.7459,1.0698,3.8647,2.2962,3.1732,0.9227,0.5178,1.8656,0.8046,1.4721,1.8933,1.6857,2.4607,1.1488,4.4891,2.0931,2.7575,0.115,-0.0425,1 
-0.1678,1.4283,1.5556,1.4173,2.0926,3.2407,0.8871,0.5878,1.3297,2.7966,1.3399,2.2694,2.6568,1.5021,1.7366,0.4533,4.7431,1.5341,2.4154,1.9768,1 
-0.108,2.1599,3.0631,1.0978,1.5645,1.6873,2.5506,1.0473,2.1366,0.985,2.1923,3.5014,1.9408,3.758,1.0246,3.5046,1.3274,3.5073,2.6502,1.5232,1 
0.3653,-0.6511,1.8537,1.449,3.7101,2.8782,3.8326,0.8086,2.5742,0.8718,1.7338,2.1634,2.2163,0.7479,2.6097,-0.4595,1.5419,3.056,2.7189,2.406,1 
0.8446,-0.1007,2.3975,3.0074,3.3822,2.4222,1.5964,0.5702,2.7194,1.9794,1.264,3.1083,-0.2435,2.7226,2.9861,1.0654,2.3145,1.1568,1.9097,2.6125,1 
-0.6143,0.1033,0.3586,2.3568,0.9435,0.6332,3.8075,3.2129,1.2078,1.6377,1.3848,2.6643,2.2803,1.8182,1.6371,3.8464,1.9148,3.8572,4.0169,1.7597,1 
-0.5672,0.1608,2.8959,2.875,2.9372,1.4961,2.057,2.5948,1.6683,2.6115,2.4898,3.3718,1.1231,2.2096,-0.0698,1.8752,0.9334,1.2691,3.4564,0.6517,1 
1.8527,1.8081,1.2596,1.6356,2.4789,3.1796,1.5969,3.1566,0.3242,2.1845,2.6304,1.2633,2.3543,2.3598,2.3476,2.6386,1.2858,1.5964,1.0414,1.5282,1 
0.6459,-1.2822,1.3269,2.3928,0.6479,2.6307,2.5189,2.2603,2.0775,1.4827,3.4213,1.8171,-0.007,4.0505,2.6873,2.2222,2.4029,3.2355,2.5364,1.5867,1 
0.5831,-1.1669,1.5989,3.0405,0.3057,1.0185,3.1985,1.3166,1.993,2.3418,2.0815,1.1404,2.5375,4.7862,1.6688,2.6268,0.5654,3.2231,1.1103,2.86,1 
-0.0975,-0.5307,2.5384,-0.2309,1.9871,0.811,1.892,3.2605,2.7872,1.5958,2.6249,3.4904,1.8939,1.9555,1.2781,1.0132,2.2704,1.9839,1.9489,3.5777,1 
-0.568,0.9984,2.7381,2.1224,1.4583,2.7536,1.4428,2.0371,2.5841,3.6172,2.0349,4.2087,1.3472,2.6215,4.3524,2.437,6.1612,2.0435,2.7205,1.8851,1 
-2.2564,1.7034,3.769,1.976,1.2887,3.5633,2.2447,1.2945,2.197,1.9801,3.237,2.6662,2.7355,2.8005,1.6794,2.2259,1.7636,4.118,2.3625,1.8133,1 
0.1831,3.4366,2.4414,-0.0115,1.4379,2.7776,2.574,2.1658,2.0997,0.4619,1.4838,0.3948,2.8498,2.0759,1.4871,1.3697,1.9611,2.3738,1.7845,3.625,1 
0.3529,-1.2239,1.8982,3.1432,2.592,2.0016,1.3834,0.426,2.7021,2.8506,1.9826,1.7291,1.636,2.0106,1.8103,3.682,0.4773,1.5804,3.1215,2.7811,1 
-1.3471,-0.3086,0.9481,2.3935,0.9268,0.9161,2.3354,3.6956,2.3963,2.0435,0.8614,3.6024,3.013,2.1914,1.1682,1.0829,2.4116,1.965,2.4335,3.196,1 
0.1339,-0.6261,1.5423,2.3214,2.548,2.4941,1.1199,0.7056,1.0825,2.4,4.0115,1.6151,2.19,1.1482,2.0152,0.4131,1.7582,1.0202,1.8964,1.8005,1 
1.4779,0.7325,4.4109,0.1228,0.9231,-0.0614,3.081,2.0462,0.7076,0.1501,0.893,1.5187,4.0828,0.6829,0.3604,0.0663,2.3504,3.4654,1.3314,1.7674,1 
-0.0358,0.7441,2.5705,1.4788,1.0628,2.7727,2.3039,1.2653,3.0583,2.2957,3.0459,2.8222,0.8903,0.6287,0.3134,2.3606,1.7993,2.4543,1.275,1.4652,1 
