Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
0.5095,-0.6372,1.9274,0.8261,1.6326,2.552,1.7196,1.5977,1.9309,1.5566,2.78,2.8205,4.1993,2.4281,0.503,3.0613,1.8743,2.4273,1.384,3.1917,1 
0.6744,1.4301,3.7162,1.1321,2.55,1.4745,1.1415,2.057,1.1252,1.1586,2.6424,4.6199,3.3211,2.7144,3.7477,1.4648,1.0079,2.4688,1.5913,2.4562,1 
0.9134,-2.5235,0.9896,2.0363,2.034,2.1572,1.6408,4.3577,1.5024,4.0169,2.5547,3.6369,4.056,2.2373,2.2446,0.3317,1.9199,1.4793,1.0169,1.9744,1 
-1.5502,-1.2344,2.1568,1.3032,2.7905,1.7614,0.7575,2.9093,5.4811,3.7396,3.2147,2.2376,3.4792,1.5905,1.2239,0.774,3.5656,2.9371,1.0049,2.1679,1 
-1.2101,-0.2136,2.4527,1.8344,1.6522,4.2192,2.1409,1.957,1.9591,2.655,2.9051,0.4952,1.6703,2.2645,0.0432,2.4992,0.8241,1.4814,0.3668,2.6902,1 
1.031,1.4858,3.5518,3.5674,2.7348,-1.2573,0.1795,3.4533,0.664,2.148,1.8562,2.0513,3.7256,1.7736,2.4859,3.6384,-0.513,1.2421,2.1038,2.7698,1 
0.6158,-0.0283,1.2216,2.1713,2.0483,1.4509,0.4143,0.1814,2.409,3.584,2.7312,1.3093,2.7995,2.5466,2.0313,0.6215,2.3573,4.9549,3.4376,1.3711,1 
1.2489,-0.9439,0.3898,0.6456,1.9329,2.6186,1.7149,2.9134,4.0763,2.1303,1.2804,2.3822,1.0145,0.1784,1.6425,1.8385,1.8159,2.6441,2.5019,1.3195,1 
-1.1641,0.5373,2.5397,2.3247,3.4931,-1.507,3.1191,1.7518,1.1918,1.094,2.2073,2.2693,3.9953,1.5717,1.2921,2.6851,3.7533,1.9284,2.5336,1.4475,1 
-0.0225,0.762,1.5212,2.0015,0.9905,2.8611,-0.4584,2.7468,0.6317,1.8738,0.0995,2.4718,0.9627,0.5052,1.3566,1.97,2.04,2.2272,1.3879,2.3611,1 
-0.2765,0.3808,1.3444,2.4927,4.1258,2.5592,2.4006,3.0196,2.3608,2.2874,2.7564,3.8244,0.7904,1.1266,1.1877,2.5389,2.8657,3.2643,2.6232,1.5626,1 
-1.2659,-0.2129,1.9477,1.5395,3.3281,1.5839,1.7983,1.2273,2.4126,2.3154,1.9032,1.3014,3.0379,2.2993,1.4227,3.2723,2.9059,0.7698,1.9637,1.3915,1 
