Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
5.9488,-0.0957,1.4534,1.4235,1.2303,2.0301,2.7233,2.6137,3.2327,0.5446,2.0975,0.6195,2.6938,2.1767,1.63,0.8812,2.187,2.4227,0.8908,2.3501,1 
4.883,-0.6717,2.3283,0.6392,1.9419,2.4773,1.2139,1.8677,0.8013,1.8827,1.2911,1.6263,1.6757,2.2839,1.3492,2.7326,1.5569,1.2412,1.358,0.7891,1 
6.4031,0.2045,2.7578,3.353,2.0496,0.4516,0.9331,2.381,0.7832,0.9885,1.3586,0.2759,2.2573,3.4106,1.8764,0.6641,2.5667,2.3181,1.3383,2.1553,1 
4.6436,0.1376,2.6187,1.1609,0.2861,2.9863,3.5447,1.0274,0.4596,3.6957,1.1963,2.2168,2.991,2.2348,1.7755,2.4495,2.2294,0.8923,1.8323,1.516,1 
5.6824,0.8639,2.2459,2.126,1.8333,0.9743,2.9728,1.3709,0.8445,2.5203,2.1573,2.2581,3.025,2.5604,1.7397,2.2042,3.6319,1.2594,1.6324,2.478,1 
3.9456,-1.4052,0.1597,2.6635,0.8757,1.2832,2.374,2.163,1.2896,1.3979,1.9376,2.1776,1.7035,2.922,0.714,2.0063,0.5202,2.2784,1.881,0.6697,1 
4.3594,0.4829,1.4526,3.3712,2.1881,1.5074,3.7902,-0.0292,3.4495,2.9221,1.4464,2.9331,3.6317,2.6647,1.1621,1.4512,1.6285,2.7872,1.2371,2.7196,1 
4.7233,-0.9247,3.1871,2.3482,2.3751,0.6455,1.1596,4.1473,0.4584,1.0629,0.9521,3.2906,1.1611,1.0357,3.6656,2.6239,3.6538,3.4751,5.2572,1.3857,1 
5.1303,-0.5169,2.9002,2.1611,1.964,2.6754,1.8421,1.6351,0.8022,1.6131,1.5626,0.2017,2.3626,1.787,3.1332,1.7613,0.967,2.3156,0.6319,2.2574,1 
2.8236,-0.1347,2.303,1.0337,1.9802,2.8287,1.9137,1.2531,1.3379,1.4151,1.8197,2.8363,1.6082,3.6905,1.779,0.4182,1.6687,3.7843,2.3857,1.7261,1 
5.3112,0.8761,1.4108,2.8058,2.2789,1.0776,1.743,1.1774,2.046,1.3703,2.5489,1.0136,1.9222,3.3719,2.7627,3.9193,2.5708,0.8495,-0.1772,3.5037,1 
5.3686,-0.7386,0.675,2.4679,0.461,1.7658,0.7365,4.602,1.5443,2.584,1.9139,5.6331,2.1202,1.8857,1.7979,1.0998,2.1626,2.9537,0.586,1.4031,1 
7.0404,0.3204,1.6161,1.2732,1.3599,1.3383,2.8471,2.1321,2.0761,0.9751,1.4014,1.2963,2.0636,0.8163,1.935,2.0798,3.11,0.4768,1.767,3.4925,1 
3.8849,-0.5429,0.9054,1.7014,1.7505,2.7551,2.6929,3.263,0.8968,0.6766,3.2253,2.4092,0.7271,1.7765,1.3902,2.3275,1.8806,2.0661,2.4669,2.3737,1 
5.2873,0.4612,4.0925,1.1179,3.0398,3.0023,2.8954,1.4261,1.9743,1.2008,2.6787,2.0686,2.0539,1.4708,2.1266,2.1996,2.9129,1.4314,3.2705,1.2989,1 
4.7432,0.4235,3.6216,2.5934,1.4342,2.1231,3.0927,2.4531,1.4186,1.7245,0.6078,2.8126,1.0484,3.3062,1.2825,2.0369,3.2815,3.7721,0.5769,0.8723,1 
5.7109,0.3293,5.0235,4.5608,1.3157,2.0172,3.759,2.4487,2.9616,2.3282,1.8149,0.9397,3.1774,1.9679,1.6582,3.0576,1.9284,0.7612,3.2121,1.5334,1 
5.3387,0.8427,1.0923,1.2022,1.2357,2.3746,3.1992,1.084,2.6413,1.9289,0.964,1.1624,2.1836,1.6047,2.0308,1.2799,1.5646,3.2975,3.9557,2.5317,1 
6.2319,-1.2943,1.6848,2.4854,0.8495,1.7927,2.7235,1.4517,2.0906,1.7581,2.3731,2.473,1.1505,0.6575,1.8017,2.203,1.7755,1.8576,0.3287,0.6077,1 
