Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
1.7335,10.2863,0.7859,2.2227,3.4377,2.5836,2.0328,1.6211,6.0145,1.8698,1.3654,2.9529,1.6498,2.8928,3.2898,2.8673,1.4602,2.3285,2.3344,1.2517,1 
3.7181,9.2432,1.8401,1.93,1.206,2.8165,1.7837,2.9298,3.6203,2.2915,2.2257,2.163,2.4797,2.6985,1.1653,1.3222,1.5824,2.6123,2.5152,1.8695,1 
4.4744,10.1867,0.9926,1.9026,1.7407,1.8435,2.8456,3.3145,1.7996,1.6059,2.0577,1.1085,3.1101,1.4266,1.4394,2.3243,3.0296,2.7242,3.309,0.7539,1 
2.6775,8.7575,2.252,0.7448,1.8545,1.6045,3.2672,1.2188,0.0972,1.6216,2.3203,3.7368,2.3313,1.8377,3.255,2.0738,1.6081,2.8175,2.5321,1.3236,1 
0.5362,9.6619,1.4863,3.074,2.915,2.241,1.7315,2.3959,2.3613,1.4355,2.2951,2.9933,1.5756,1.9245,3.2357,1.1613,3.0988,0.0502,0.3869,1.7595,1 
2.9178,8.9865,0.4286,2.4078,2.7754,2.6282,2.6251,0.8477,2.8643,1.5982,1.9248,1.7882,2.6298,1.274,1.7351,1.8603,2.3839,1.9044,3.2057,1.4705,1 
2.2606,9.5047,3.0383,2.5225,1.9382,2.3652,1.4519,2.4281,1.799,1.5388,2.3017,2.3987,1.2745,2.5904,1.5623,2.6528,3.4422,2.9517,1.4972,3.3231,1 
1.7908,9.9816,2.5241,2.2933,2.2817,1.8495,1.4042,3.1646,2.6251,3.018,0.8278,1.7167,1.512,1.5648,3.0154,2.6632,1.8383,1.9423,2.2396,0.9857,1 
2.3012,9.4143,1.2995,3.3242,0.5963,0.7881,0.8232,2.3789,1.4416,2.0349,2.2686,-0.0818,1.4675,1.9969,2.393,2.6133,2.3958,2.1243,1.9241,-0.7655,1 
2.6699,10.4195,0.8293,3.0122,2.9001,3.8896,0.9304,2.6002,1.1173,3.5022,2.2825,2.2265,3.0971,2.6608,1.7931,1.8287,1.8676,2.6646,2.5366,1.9739,1 
2.4311,10.5833,2.6771,2.3208,1.723,1.556,1.2108,1.3472,1.4459,1.8013,1.9905,0.3509,3.5076,2.0931,1.7973,1.6457,2.7947,0.2053,0.9166,3.0396,1 
3.2638,9.4427,1.7917,3.415,1.4625,3.6714,0.4635,1.6608,3.3364,1.8556,0.7165,1.3939,1.3381,2.7637,1.8642,1.057,1.806,4.2411,2.3417,1.474,1 
1.631,10.229,2.2709,1.8465,2.9278,0.835,3.5492,1.4831,0.5378,1.2872,1.2705,2.912,1.2707,1.1798,2.8118,1.421,1.3559,1.4465,1.1941,0.7446,1 
0.561,10.9917,1.464,2.3696,2.2892,1.1067,0.8956,3.7935,1.9959,3.6175,2.1882,2.0643,1.6678,1.2967,2.7187,1.9202,3.2123,1.1911,0.2515,3.2804,1 
2.6167,9.8298,3.9695,2.8493,2.6785,2.0479,2.3103,1.9685,1.7615,3.0626,-0.1138,1.2185,1.9707,2.4112,1.012,3.2775,2.4877,1.7354,2.6249,1.3337,1 
0.8486,11.1149,2.0576,0.926,2.4284,1.7104,0.8843,2.4705,2.7924,2.9636,1.342,1.0409,3.4306,0.8182,1.814,1.4169,2.9151,0.5859,0.3018,1.5298,1 
2.2705,9.229,0.2275,3.1016,1.9051,2.1412,2.4249,1.3291,2.1097,2.8363,3.2854,2.8712,1.4398,2.0236,2.1477,2.2213,3.662,2.8419,1.9496,0.7152,1 
0.2043,9.3494,2.2742,4.669,0.8679,2.1975,0.7337,2.1206,1.4916,1.2833,2.3062,1.8676,1.2275,1.7013,1.6448,0.8829,0.953,3.2745,1.2329,-0.0681,1 
2.3261,9.9085,3.5755,1.5192,3.6703,2.3814,2.7178,1.7198,2.8363,1.9622,2.3996,3.0133,2.4912,3.0284,2.1766,2.9113,2.7763,0.8923,3.1543,1.64,1 
2.8479,8.7738,1.4212,0.8047,1.5647,2.204,3.5413,1.8091,3.5165,1.2454,1.3727,0.9841,3.2815,2.0733,0.279,1.8416,2.9945,0.9656,2.8728,0.9012,1 
3.056,10.2826,1.8889,1.9219,1.1932,2.2105,3.2858,0.83,0.6415,2.648,2.0436,2.129,1.0066,3.6606,2.6763,1.6078,3.9987,1.5592,1.6938,1.4566,1 
1.7597,10.3425,0.7357,2.1858,2.5778,1.0739,3.5448,3.7423,2.5361,1.1042,2.1324,2.9673,2.6342,1.9809,1.3701,4.2877,-0.0362,2.7302,2.8022,0.8666,1 
2.658,10.1044,2.4937,1.9599,2.7755,2.4906,0.5676,1.6834,1.7753,1.5908,2.3671,2.5696,0.3735,1.5902,1.2952,1.3821,3.5205,1.4075,2.1855,3.5835,1 
3.346,10.1627,2.7282,0.5845,3.7222,1.4154,3.2239,1.6189,2.1124,1.1342,1.3331,3.6215,2.5785,1.292,-0.1735,2.6421,1.3251,2.4458,1.6175,-0.0774,1 
1.0246,9.5259,1.9354,3.6352,2.139,2.4236,1.853,2.2063,1.7747,3.0431,2.6589,1.7508,2.0145,0.9487,3.1888,0.7218,3.0969,2.272,3.0211,2.6299,1 
1.7573,10.3297,3.4565,2.5985,0.6781,0.9729,0.2372,1.3502,0.1878,2.9369,1.0329,2.4754,2.4957,0.931,1.253,2.3528,1.7371,1.5613,1.8749,2.5033,1 
0.9531,10.8577,2.2444,0.4549,-0.3107,-0.4296,1.118,1.3893,0.9477,2.0412,1.7428,0.0429,1.564,2.0121,3.3023,0.9031,1.6639,3.2034,1.871,2.4016,1 
1.5572,9.5878,3.2936,1.7258,1.2578,2.7643,2.2302,3.1563,2.5393,2.5149,1.913,0.8767,2.1664,1.028,2.2194,2.6287,1.268,1.4285,3.2111,0.6566,1 
0.7893,9.5574,0.7514,2.0689,3.1524,3.4357,2.6637,2.69,0.1165,3.6732,1.7048,2.4538,1.9952,1.2841,3.2597,1.7593,1.9637,1.4631,1.8624,0.7261,1 
2.4643,10.1866,1.9649,0.6878,4.2119,2.2245,0.5899,4.2221,1.7228,2.6503,2.4943,3.6114,0.7888,-0.0354,1.1283,2.7797,2.2134,2.2018,3.2696,1.6374,1 
3.7886,10.8684,2.1571,2.9376,1.1921,-0.4964,3.4291,2.75,1.2091,2.8726,2.222,2.0679,1.6736,1.4758,3.5681,0.8989,1.6704,0.5847,-0.0387,1.6444,1 
0.7788,12.2048,2.3048,0.4978,-0.0264,1.5427,1.5307,1.6928,1.0241,2.3044,2.7064,1.8817,2.5023,1.2394,2.2716,2.1736,3.0348,2.0635,1.8906,0.7921,1 
2.7051,9.6688,3.6052,3.4689,1.193,2.713,2.3011,3.2433,3.3739,2.1737,1.8044,1.1508,1.4156,2.0091,2.9868,2.662,3.4289,1.7389,1.93,2.4597,1 
2.8538,9.9833,4.0302,0.8056,2.1734,1.3615,2.5517,1.7848,2.8593,1.5222,3.4246,1.3266,2.5878,1.9518,1.6531,2.3345,1.5222,2.6998,2.3296,3.0018,1 
1.8766,10.1474,1.4165,0.4684,3.4243,0.728,3.1647,0.4882,2.9636,3.2425,2.9956,2.5646,1.3103,2.7681,3.5733,1.7503,1.9681,1.8025,1.6514,2.1237,1 
