Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Class
-0.2497,9.1962,2.7774,0.7757,0.5036,2.3768,3.2207,0.2324,-0.2936,1.5086,2.58,3.0442,1.1236,2.2009,1.8435,2.4309,1.1599,1.8796,1.3469,0.3284,1 
1.8617,9.3935,3.3666,2.259,2.2837,1.8873,0.3311,2.1626,3.5347,2.3336,0.9104,1.9775,1.7462,3.1185,0.9178,1.4015,2.1967,3.7883,2.6723,1.1109,1 
0.335,9.1031,0.8501,3.0269,3.5058,2.3303,2.9835,1.3816,2.5296,2.9884,1.5472,1.5708,0.2933,1.5134,1.7555,1.9972,0.7576,2.7156,1.2829,2.5716,1 
2.6018,9.8841,1.8552,1.5453,2.9411,1.1949,1.5616,0.4187,2.4307,2.6688,0.3663,2.0503,2.3006,2.147,1.1153,2.2587,1.2226,2.1909,1.4512,0.7008,1 
0.9544,10.2728,2.0901,0.846,1.1288,1.5182,0.9302,1.2043,1.8304,2.5914,2.6,0.8446,2.2821,1.1849,0.7856,2.505,2.2396,1.4177,1.2415,2.0552,1 
2.9775,11.885,0.9701,3.3003,1.0109,2.1724,2.2398,2.2895,3.1875,2.8824,2.3117,2.4798,1.7525,1.4301,3.0437,2.1728,0.0296,1.9702,2.666,2.3847,1 
1.4512,9.6337,1.9816,1.8104,2.5148,3.1444,2.016,2.4511,2.2539,2.5745,2.8719,1.8273,0.0145,2.1676,2.3145,0.462,3.4501,3.0297,2.8562,2.8399,1 
2.9922,9.9814,2.3456,2.1828,1.0125,2.0902,0.484,0.3171,1.7663,1.4827,2.0029,3.7777,0.4352,2.7349,1.5629,3.3723,2.6153,0.8392,5.5005,1.3937,1 
1.4803,9.3174,2.4439,1.0259,0.8328,2.3715,1.481,2.3858,1.0176,1.9571,5.3116,4.8098,2.2204,2.2916,1.7551,2.8132,1.4626,1.1596,1.7654,0.2746,1 
2.8895,10.0413,2.7797,-0.2494,0.201,1.1154,1.8189,3.2913,2.3312,4.1266,3.6726,3.6844,2.7635,0.7726,3.3669,4.4386,1.2944,2.1837,1.0206,1.5771,1 
2.6525,10.9889,1.7957,3.2569,0.8072,0.8277,1.3388,3.1294,2.4632,2.7585,2.1296,2.3249,1.8075,2.024,0.6352,1.6458,0.9435,-0.1169,2.1214,3.3427,1 
1.9287,10.0512,2.1788,2.6441,2.7578,3.7963,2.5165,2.4402,1.8936,3.8224,0.6301,1.215,0.4998,1.7916,0.7917,4.3372,2.996,0.3882,0.0684,2.761,1 
3.1554,11.3283,3.0428,2.3804,0.9855,1.1521,2.1176,0.6972,1.0283,1.6914,2.0179,1.0259,1.3621,3.3485,0.8244,1.315,-0.9245,0.8901,1.5916,2.3415,1 
3.1743,10.6154,1.8476,2.0244,1.0673,2.8821,2.4987,2.2165,2.5112,1.1323,3.9473,2.4041,2.0903,3.3378,0.6025,1.1291,2.9722,1.6673,3.2287,2.4818,1 
1.4369,11.6831,1.3487,1.4346,1.4185,2.5253,4.0579,3.227,1.7547,2.3106,2.0342,1.6302,0.9064,1.0795,0.9547,1.8232,0.6795,3.4077,2.2766,0.547,1 
2.0879,8.649,0.6636,2.2802,2.9358,1.0108,3.5145,1.663,0.8041,0.881,1.8082,2.9088,0.9584,2.1458,0.9892,3.5374,-0.3223,1.9384,4.2541,1.546,1 
3.0184,8.8639,2.5944,2.0269,3.0569,-0.2,1.0311,2.9603,2.6333,0.6242,1.069,2.1821,3.0978,1.2259,1.1825,2.3195,1.5319,1.5054,1.174,1.5002,1 
2.6872,9.739,0.5529,3.0773,1.6889,2.0502,1.6145,1.1321,3.5524,2.4126,1.4107,1.8318,1.4068,0.4753,1.762,3.9128,2.2877,3.4305,2.0651,1.6823,1 
-0.251,9.0676,1.3251,3.1572,1.013,2.8236,2.783,3.1033,4.7515,0.5098,1.6434,2.9128,1.6944,2.7863,2.4448,2.811,2.3583,2.6015,1.5406,3.4485,1 
1.922,11.6607,0.9372,1.2181,1.55,1.4555,2.2395,1.443,3.5901,2.688,2.4841,3.0628,1.8032,1.3057,1.2713,1.1073,1.4114,2.478,4.4511,2.1424,1 
2.0439,10.7933,2.6466,1.9913,1.8972,0.9402,1.186,1.8402,1.1593,2.1785,2.4434,2.7561,1.5432,0.8366,1.9921,2.0032,1.7764,3.6235,0.698,2.6619,1 
3.6822,10.1688,3.2368,0.7939,2.4036,1.3535,1.6754,0.9402,1.1319,2.2354,1.3072,2.2116,3.4212,3.6119,2.411,4.3817,1.8468,1.6501,3.6266,0.6762,1 
1.8668,12.6101,2.3981,2.9441,2.7996,2.1184,1.285,3.1451,1.0373,2.1597,1.7883,4.1296,2.6972,2.5057,2.8722,1.8693,3.0009,1.5806,-0.5742,1.236,1 
1.9308,11.6104,0.9408,2.2517,2.0597,4.0323,4.0624,-0.5101,3.4644,2.2038,1.6394,3.3807,3.3488,3.4022,2.6313,2.3308,1.1596,1.6133,0.7545,2.8881,1 
