Feature1,Feature2,Feature3,Class
-1.3042,-0.3681,1.2412,1 
1.2919,0.3153,2.6743,1 
0.9113,0.4913,1.4806,1 
2.9509,-0.1049,2.536,1 
-0.4422,-0.5738,2.7147,1 
0.8361,1.1533,2.6446,1 
-0.3674,0.9245,1.9657,1 
-1.8603,-0.0265,3.6441,1 
-0.9371,-1.1303,1.9331,1 
-0.9716,0.1513,2.1663,1 
2.1896,0.3068,1.8486,1 
0.676,-1.1675,1.6812,1 
-0.0199,-0.2353,2.3311,1 
-0.331,1.1882,2.8572,1 
0.3054,0.5064,2.4584,1 
-0.802,-0.0886,2.3324,1 
-0.1973,0.0808,1.9977,1 
2.3503,-0.0218,2.2819,1 
-1.5565,0.8688,1.0081,1 
-1.0497,-2.0887,1.2381,1 
-0.8224,-0.7327,3.3426,1 
-1.2202,0.6862,2.1613,1 
2.0133,1.3529,4.1076,1 
1.6673,1.842,2.8862,1 
-0.7411,-0.5305,3.1606,1 
-0.7197,-0.0705,1.9249,1 
-0.7375,1.1261,2.1733,1 
0.4077,0.8164,1.7886,1 
0.7502,1.0823,2.9558,1 
-0.1033,-1.7444,0.0901,1 
1.0958,-0.3463,2.0194,1 
0.274,-0.7796,0.7371,1 
0.1691,-0.3982,2.0047,1 
-0.4365,-0.9044,0.9971,1 
0.9411,1.6629,1.9252,1 
-0.0677,0.8762,2.5511,1 
-0.0568,-0.2015,2.2678,1 
-0.038,0.0726,3.0209,1 
-0.2356,2.8329,1.2574,1 
0.2587,-0.2435,1.7049,1 
-0.2524,-0.1172,2.0757,1 
0.7991,-0.8659,2.4875,1 
-0.7244,0.2458,2.4559,1 
0.8861,-0.1409,3.2116,1 
-0.1573,0.8703,1.0025,1 
-1.3811,0.7652,3.5258,1 
-0.0411,-0.0283,2.5306,1 
-0.4605,-2.0322,2.0402,1 
0.9548,-0.9411,2.0037,1 
1.2079,0.9159,2.1289,1 
-0.4251,1.1931,2.0845,1 
-0.9695,0.5692,3.7052,1 
0.7517,0.3063,0.5983,1 
-1.4513,-0.4565,3.7195,1 
-0.3359,1.4407,1.9886,1 
-0.7305,0.9117,3.0123,1 
0.2658,0.0135,1.3453,1 
-0.2324,-0.1346,0.6241,1 
0.0453,0.7708,3.1698,1 
0.151,-0.3438,4.547,1 
1.1449,0.08,2.3221,1 
0.3178,0.0564,3.719,1 
-0.0208,-0.014,1.0388,1 
