Feature1,Feature2,Feature3,Class
0.0527,-2.1051,-1.3268,1 
0.6808,-0.6373,1.7351,1 
-0.9211,-0.0476,-1.3675,1 
0.5759,0.0233,0.6175,1 
0.625,0.7445,0.3382,1 
-0.3725,1.6047,-0.3655,1 
2.3862,2.1962,0.5345,1 
-0.3241,-0.1653,-0.0821,1 
-1.442,-0.4004,-0.7805,1 
-0.3474,-0.3459,-1.6522,1 
-0.4027,0.6006,1.3488,1 
0.0403,1.0973,0.9044,1 
-0.941,-1.052,-1.3356,1 
-0.4387,0.0791,-0.939,1 
-0.8472,-0.9781,-0.1495,1 
-0.8608,0.2033,0.0605,1 
-0.3467,0.1433,0.986,1 
-0.9188,0.8664,-0.8625,1 
-0.958,-0.9385,-1.7973,1 
-0.6844,-0.28,1.8231,1 
-2.2371,0.4721,0.1272,1 
0.4647,0.8127,-0.9342,1 
0.7466,0.5639,0.8199,1 
1.0652,0.9272,-1.8414,1 
-0.3744,-0.0097,1.7788,1 
-0.795,0.7299,-0.3141,1 
2.6086,-0.596,1.4636,1 
1.7975,0.8178,1.2529,1 
2.8113,0.4784,-0.2383,1 
0.6352,1.727,-0.7859,1 
-0.9471,-1.0532,0.7839,1 
0.9162,1.0057,-0.1399,1 
-0.5659,0.9125,1.0484,1 
0.9235,0.995,0.0877,1 
0.9809,0.6082,1.8853,1 
-1.5588,-2.2931,0.5167,1 
-0.0524,-0.4904,1.3258,1 
-1.1352,-0.1186,-0.0557,1 
0.235,-0.9213,1.737,1 
0.4395,1.5334,-0.7306,1 
0.0266,1.1697,-0.6117,1 
-0.8636,0.0352,1.2606,1 
-0.9754,-0.4633,-1.26,1 
0.9625,-0.6919,0.0487,1 
1.0553,1.3018,-0.232,1 
0.4008,-0.3584,1.0577,1 
1.3682,0.2153,-0.0612,1 
1.9643,-0.028,0.0816,1 
-1.4254,-0.4298,0.7327,1 
1.6134,0.9925,0.4695,1 
-0.2057,-0.8214,1.0238,1 
0.6775,0.7875,0.8571,1 
-0.826,1.1297,1.3539,1 
0.0341,0.2273,1.8294,1 
-0.7303,0.9469,-2.225,1 
0.6854,1.2424,0.842,1 
-0.3277,-0.6342,1.3781,1 
1.1053,1.4638,0.2309,1 
0.8052,2.3439,1.9088,1 
-0.4986,-0.9817,-0.9665,1 
0.5327,-1.1583,0.7142,1 
-0.2794,0.7425,-1.1805,1 
0.6446,-1.3972,-0.046,1 
0.0999,-1.1195,-2.5432,1 
1.1898,0.5045,-1.2045,1 
-0.9478,1.052,-0.5599,1 
-1.2504,0.4212,-0.1346,1 
0.8712,0.8186,0.0514,1 
0.5848,-0.0342,-1.6702,1 
-0.6083,-0.2091,0.0553,1 
-0.1643,-1.8305,-0.2926,1 
1.1053,1.9714,1.8933,1 
1.3084,-1.3988,1.1437,1 
-0.8101,-0.1692,0.2044,1 
1.382,0.742,-0.0065,1 
-0.6996,-0.1073,0.0006,1 
1.8262,-2.0138,0.283,1 
0.5932,0.2507,-0.1056,1 
-0.627,0.0268,0.16,1 
-1.4848,-0.8821,1.181,1 
-1.5846,0.6694,0.3603,1 
0.1567,0.519,0.742,1 
-0.255,-0.8102,-1.2935,1 
0.9138,-0.0836,-0.6412,1 
0.7876,-0.3256,-0.2957,1 
1.9972,0.4411,-0.0532,1 
-0.4655,-0.7835,-0.3566,1 
-0.2619,-1.4279,-1.0587,1 
0.1631,0.0866,-0.9303,1 
1.2147,-0.0413,1.0438,1 
0.5833,-1.0311,0.7337,1 
-1.4344,-1.3527,-1.1469,1 
-0.4743,0.5204,1.6388,1 
0.2365,0.9756,-0.6637,1 
1.2624,-2.9013,0.2493,1 
0.502,-0.0316,-1.7576,1 
-0.7813,-2.224,1.7785,1 
-0.9344,1.2327,-1.8139,1 
0.2043,-0.3375,-0.9823,1 
1.2105,-0.6676,0.8009,1 
-0.3481,1.6863,0.2508,1 
-0.3297,0.0104,-0.2292,1 
0.2216,1.4445,1.2712,1 
0.7079,-1.4019,0.5177,1 
-1.1684,1.6421,0.0863,1 
1.1573,0.3813,-1.6985,1 
-0.5523,-0.0812,1.2289,1 
1.5127,1.2795,-1.6159,1 
0.0564,-2.1163,-0.2316,1 
-0.5739,0.763,-0.4687,1 
0.1957,-0.0138,-0.2381,1 
-2.3981,0.8351,-1.7705,1 
1.8902,-0.7214,0.4954,1 
-1.2134,1.2507,-1.5384,1 
-0.6369,-1.3624,0.3846,1 
0.0956,-0.0077,-0.1047,1 
0.1968,-0.0611,-0.0741,1 
1.0575,-0.4853,2.4116,1 
-1.8104,1.2665,-0.0195,1 
1.5688,-0.2837,-0.6091,1 
1.5944,-0.273,-0.1079,1 
1.3846,-0.0222,-1.1317,1 
-0.4142,-0.4731,1.2628,1 
-1.0386,-1.1034,-0.8284,1 
-0.0625,-0.2769,-1.3308,1 
0.0493,0.0868,1.991,1 
0.5679,1.7616,-0.5691,1 
0.9139,-1.3933,0.48,1 
0.7608,-0.4267,0.3927,1 
-0.3229,0.3543,-0.4897,1 
0.4804,-0.5853,-1.1628,1 
0.5,0.9785,1.595,1 
1.5565,0.2149,-1.5577,1 
-1.4816,0.2484,-0.2377,1 
-0.9178,-1.1293,-0.562,1 
0.7922,0.1291,1.3396,1 
0.6634,-0.2272,1.0065,1 
1.3587,-0.2263,1.1464,1 
