Feature1,Feature2,Feature3,Class
0.1661,0.782,0.8523,1 
-0.7071,-0.9317,0.8867,1 
-0.2218,0.3817,-0.7726,1 
0.863,-0.2813,-0.9319,1 
-0.4985,0.7643,0.1915,1 
-0.6188,1.6657,1.7382,1 
1.1822,1.1194,-1.8661,1 
-0.6364,-0.7609,2.6641,1 
0.1682,0.1814,1.3214,1 
0.4378,0.1968,-1.5296,1 
-0.3375,-0.9614,-0.2313,1 
-1.1472,-0.4229,1.3305,1 
-0.9278,0.1053,-1.0976,1 
-0.8704,-0.8829,0.3992,1 
0.0547,-0.8496,0.9863,1 
0.2959,1.7098,-0.3775,1 
-0.2739,-1.1393,-0.4043,1 
-0.8996,-0.4559,0.2186,1 
0.659,-1.1511,-0.1704,1 
-1.0124,0.1776,-1.2481,1 
0.3635,1.4833,-0.2815,1 
0.4154,-0.5483,0.2437,1 
-0.3725,0.8622,-1.4035,1 
1.4137,-0.4407,1.2011,1 
-1.4731,-0.158,-0.6701,1 
-1.0267,1.2861,0.1564,1 
-0.8316,1.8937,1.7911,1 
0.0905,0.0568,-0.1479,1 
-0.8517,-0.605,0.8646,1 
-2.2203,0.329,-1.2926,1 
0.8513,-1.3357,0.2102,1 
-0.5957,0.2357,0.7347,1 
1.0166,0.0895,-1.0659,1 
0.4204,0.1864,-1.5337,1 
-0.0848,0.0129,0.66,1 
0.6387,0.1218,2.1732,1 
0.0305,0.5731,-1.1314,1 
-1.0627,1.9273,-0.8565,1 
-0.2306,1.7421,1.2577,1 
0.9506,-0.5129,0.0039,1 
0.0077,-0.5251,1.8432,1 
-0.459,0.6656,2.1875,1 
0.4859,0.6393,0.4935,1 
-0.5952,0.8611,-0.3426,1 
0.5591,0.4407,0.8913,1 
1.6108,-1.146,0.0404,1 
0.0975,-0.0646,-0.1898,1 
-0.3235,-0.323,-0.7171,1 
-0.413,-2.203,0.9781,1 
0.6958,0.4216,-0.2196,1 
2.394,-2.0593,-0.1211,1 
-1.1696,-0.2719,-1.5485,1 
-1.0024,0.2955,-0.6884,1 
-0.2929,0.1572,-0.1449,1 
1.5275,-0.2453,2.2328,1 
0.6621,0.0369,-0.9129,1 
-0.9893,0.3209,1.1532,1 
0.0624,-0.602,-0.0345,1 
2.3053,0.0626,0.2384,1 
1.1579,-1.1398,1.6154,1 
