Feature1,Feature2,Feature3,Class
-0.757,-1.7395,0.2661,1 
0.2192,-1.1019,2.5081,1 
-1.9047,0.1651,4.2812,1 
0.7465,2.341,1.3106,1 
1.412,0.3072,1.0039,1 
0.9355,-0.353,2.3353,1 
0.2231,0.9238,2.2675,1 
-0.315,0.2769,3.4623,1 
0.1989,1.241,1.6766,1 
-2.0556,0.6718,2.8754,1 
-1.2957,0.8493,3.8469,1 
1.3398,0.6497,-0.1855,1 
-0.3897,-0.0859,3.0338,1 
-0.1555,-0.7564,0.751,1 
0.1137,0.1431,2.2816,1 
0.5985,1.639,1.0994,1 
0.3707,0.5592,2.5918,1 
-0.161,-0.562,1.8492,1 
-2.2679,0.2192,1.4798,1 
0.3082,-1.3604,0.9757,1 
0.9266,0.6823,2.2104,1 
-0.6003,0.6956,3.3744,1 
1.0143,-0.0773,1.8184,1 
1.4222,0.0182,3.8507,1 
0.1163,-1.3185,0.9744,1 
0.9319,0.5831,2.9041,1 
1.6385,0.4476,0.6677,1 
0.1252,0.73,1.3898,1 
1.6028,0.9422,2.6664,1 
-0.2534,-0.7887,1.3669,1 
-1.52,-2.4684,2.0594,1 
-0.7787,0.0209,0.6347,1 
-0.9321,-0.6803,0.9602,1 
0.1175,1.0727,1.6257,1 
-0.2943,2.123,1.3443,1 
-0.6747,0.0711,0.7768,1 
0.6964,0.487,1.864,1 
0.959,-0.647,1.8468,1 
-1.4255,-0.7957,2.3469,1 
-0.8523,-0.4565,1.5949,1 
-0.8814,1.6552,4.1053,1 
-0.8869,-0.9104,2.196,1 
0.1201,0.4542,-0.1596,1 
-0.044,0.1975,3.3039,1 
0.4166,-0.2908,1.4867,1 
-1.1127,-0.6624,2.0733,1 
0.2059,-0.1082,2.0946,1 
1.1188,-0.1966,2.8485,1 
0.7745,0.1304,2.9392,1 
1.2989,-0.3213,0.3356,1 
-0.3561,1.083,1.4034,1 
-1.1737,0.5616,3.7465,1 
0.5009,0.5418,2.0598,1 
-0.837,-0.3798,3.1623,1 
0.316,1.494,2.8148,1 
1.0473,0.2243,1.3113,1 
-2.0915,1.4855,1.4768,1 
0.1974,0.7012,0.7302,1 
-1.5228,-2.0818,-0.172,1 
2.1483,-0.222,2.7775,1 
-0.9855,-1.8195,1.8111,1 
-0.2996,-0.6139,2.7493,1 
-0.1158,-0.1322,2.758,1 
-0.0156,0.9151,2.2922,1 
0.3375,0.5423,1.8323,1 
-0.5464,-0.727,2.2446,1 
-1.0593,0.3824,0.1959,1 
1.0875,0.2185,1.7611,1 
0.6322,-1.799,-1.2345,1 
-1.4339,0.6917,2.8136,1 
0.1798,-0.1957,2.1003,1 
-0.4227,-1.4092,0.8864,1 
-0.6699,2.1372,2.0067,1 
-1.3083,-0.6977,0.0236,1 
-1.729,2.6161,2.0093,1 
-0.3643,0.9141,1.7337,1 
0.6549,0.1721,2.4129,1 
0.298,1.325,3.8694,1 
0.729,-0.0479,2.4651,1 
-0.216,0.5703,0.5655,1 
1.619,0.0606,1.511,1 
0.7886,0.565,1.0905,1 
-0.7352,0.2623,1.9583,1 
-0.0677,0.5791,0.8724,1 
0.2401,-1.0589,3.3242,1 
-0.5153,0.4853,1.9034,1 
1.2239,-0.9525,2.3103,1 
-0.8425,-0.4561,2.1342,1 
-2.3156,-1.0188,2.4598,1 
2.2711,0.069,4.4967,1 
0.3576,-0.7403,0.5797,1 
-0.0222,0.3612,3.1871,1 
1.1405,0.7552,1.2046,1 
0.4801,-1.0009,-0.1744,1 
-1.1202,-0.4399,1.9476,1 
-0.5943,0.4595,1.7913,1 
-0.8674,0.8538,3.5976,1 
1.2461,-1.8199,2.5109,1 
-0.2647,-0.3256,1.1287,1 
-0.9977,0.777,1.9542,1 
0.8058,0.0846,1.9347,1 
1.4369,-0.8933,2.8898,1 
-1.4004,1.9911,2.1377,1 
-1.9913,0.5525,2.8936,1 
1.3529,0.7967,2.1055,1 
1.8722,0.5761,2.1875,1 
-0.7288,1.3966,3.3544,1 
1.2488,0.8537,-0.0407,1 
0.1452,-1.0403,3.6451,1 
-0.6517,1.2985,2.0709,1 
-1.3646,-0.4595,2.0959,1 
1.5924,0.7661,2.9924,1 
-0.846,0.8678,2.169,1 
0.1252,-0.4244,2.357,1 
1.023,1.0388,1.6771,1 
-0.6618,0.627,2.702,1 
-0.1991,0.5447,3.1964,1 
-0.2538,-0.6952,1.3812,1 
-0.3415,-0.5906,2.0024,1 
1.3154,0.2736,1.0751,1 
-0.3435,1.247,1.3079,1 
0.3199,-0.2954,1.1547,1 
-0.1281,-0.048,0.9918,1 
-0.7904,-0.6396,1.4638,1 
-0.3988,1.4318,0.5567,1 
-1.6101,-1.7153,3.1121,1 
0.3835,0.7828,2.9772,1 
1.2693,-1.3535,1.1301,1 
-0.2648,-0.8406,1.4128,1 
-0.2256,1.5405,0.6664,1 
-1.6579,-0.2835,1.347,1 
-0.605,-1.8776,2.2036,1 
