Feature1,Feature2,Feature3,Class
1.0439,10.4392,1.0439,1 
0.5149,5.1494,0.5149,1 
-0.8525,-8.5247,-0.8525,1 
1.0622,10.6222,1.0622,1 
-0.2287,-2.2868,-0.2287,1 
1.0224,10.2244,1.0224,1 
-1.1599,-11.5989,-1.1599,1 
0.774,7.7399,0.774,1 
-0.8185,-8.1848,-0.8185,1 
-1.0478,-10.4777,-1.0478,1 
-0.5857,-5.8575,-0.5857,1 
0.005,0.0499,0.005,1 
1.0011,10.011,1.0011,1 
-0.4494,-4.494,-0.4494,1 
-0.0808,-0.8076,-0.0808,1 
-1.1502,-11.5021,-1.1502,1 
-1.8632,-18.6321,-1.8632,1 
-0.069,-0.6899,-0.069,1 
-0.6262,-6.2623,-0.6262,1 
0.1378,1.378,0.1378,1 
-2.4573,-24.5727,-2.4573,1 
0.2172,2.1719,0.2172,1 
-0.6697,-6.6969,-0.6697,1 
1.419,14.1896,1.419,1 
2.2638,22.6377,2.2638,1 
-1.1832,-11.8315,-1.1832,1 
0.5315,5.3152,0.5315,1 
-1.4893,-14.8931,-1.4893,1 
2.7961,27.961,2.7961,1 
0.4,3.9998,0.4,1 
-1.9535,-19.5349,-1.9535,1 
-2.2567,-22.5673,-2.2567,1 
-0.6484,-6.4841,-0.6484,1 
-0.9954,-9.9541,-0.9954,1 
-1.0854,-10.8541,-1.0854,1 
-1.115,-11.1499,-1.115,1 
0.6683,6.6828,0.6683,1 
1.9146,19.1457,1.9146,1 
-1.292,-12.9202,-1.292,1 
1.1238,11.2376,1.1238,1 
-1.8467,-18.4675,-1.8467,1 
0.9517,9.5171,0.9517,1 
-1.2401,-12.4015,-1.2401,1 
-1.0199,-10.199,-1.0199,1 
1.3921,13.9205,1.3921,1 
0.7452,7.4516,0.7452,1 
1.3087,13.0868,1.3087,1 
-1.9517,-19.5165,-1.9517,1 
1.2812,12.8116,1.2812,1 
-0.0356,-0.3564,-0.0356,1 
0.3809,3.8091,0.3809,1 
-2.8133,-28.1331,-2.8133,1 
