Feature1,Feature2,Feature3,Class
-2.0957,1.2627,0.9661,1 
-0.8308,0.4182,1.1993,1 
-0.6943,0.1528,1.1392,1 
-0.0632,1.617,1.813,1 
-0.1936,0.2262,2.6595,1 
-0.1231,0.4487,2.5639,1 
0.9575,-0.9994,1.7615,1 
1.3259,1.5768,2.7197,1 
-0.2895,-0.3107,2.4137,1 
0.5794,0.1469,2.5354,1 
0.1748,0.7931,1.1206,1 
-0.612,-0.1124,1.8111,1 
0.0854,2.4236,2.7682,1 
0.7501,-0.1459,2.6561,1 
0.5294,0.6659,2.6595,1 
0.6724,1.238,1.3441,1 
-0.0707,-0.0953,2.145,1 
0.5492,-0.1815,0.5918,1 
-1.8466,-0.327,2.1077,1 
0.6119,0.1805,2.2133,1 
1.2176,0.8768,3.2817,1 
-0.2792,-0.9362,2.0985,1 
-0.4033,0.8297,1.1674,1 
-0.0386,0.1989,2.174,1 
0.2583,0.7136,2.3557,1 
0.1058,0.1592,-0.0951,1 
-0.1289,1.4073,2.6457,1 
-0.7545,1.4083,2.9006,1 
-0.3155,-0.022,0.1999,1 
0.0653,0.2616,1.7752,1 
0.561,-0.1402,1.6187,1 
-0.3651,-0.6297,2.5938,1 
-0.92,1.3728,2.0768,1 
0.959,-1.2557,2.8182,1 
-0.7731,-1.603,0.3342,1 
0.7788,-2.0679,1.355,1 
0.7229,0.1093,2.0108,1 
0.3126,0.2008,1.0522,1 
1.2751,0.7583,2.2273,1 
0.0352,0.8768,3.9907,1 
0.579,-0.423,1.2217,1 
0.5478,-1.1405,3.4326,1 
0.6244,0.2894,2.3745,1 
-1.045,-1.1211,1.0626,1 
-1.0754,-0.751,1.6375,1 
1.2672,1.141,0.8765,1 
-0.2386,0.0721,2.2192,1 
-1.2601,1.1031,1.3487,1 
0.9773,1.1524,1.5827,1 
-0.8647,-0.6423,2.9946,1 
0.2782,-1.6676,2.6202,1 
0.5481,-0.0054,3.8119,1 
-1.0422,-0.4403,2.7287,1 
-0.205,-0.2102,1.2975,1 
-0.0763,-1.4871,2.0009,1 
1.0286,-0.2777,0.0764,1 
-0.1921,0.3335,2.6874,1 
1.5212,0.0005,3.874,1 
1.7843,0.1333,1.374,1 
0.6309,0.3171,-0.7556,1 
0.3812,-0.9411,2.3015,1 
1.8261,-0.9801,1.5253,1 
0.7113,-0.5469,2.7003,1 
0.8506,0.4656,0.9613,1 
0.0903,-1.4152,1.5909,1 
0.1402,-0.9534,1.9082,1 
-1.05,0.1034,4.2,1 
0.1844,0.2762,3.4528,1 
1.2521,0.419,2.2636,1 
-1.4179,-0.9542,0.2107,1 
-0.0094,1.8043,2.2834,1 
-0.7339,0.9933,2.7559,1 
0.7562,-0.232,3.5749,1 
-1.4948,-1.3435,1.6941,1 
0.0196,-0.5024,2.0966,1 
0.727,-0.7695,1.2331,1 
1.2404,0.4022,1.6022,1 
-0.0931,1.2572,1.5986,1 
0.3193,0.2873,2.5034,1 
0.135,-0.9064,1.6489,1 
-1.1999,0.092,2.1751,1 
0.977,-2.279,0.7183,1 
-1.5364,-1.344,2.9408,1 
0.3177,0.3716,1.0893,1 
0.0499,-0.1386,2.3939,1 
-0.5427,0.1442,2.6586,1 
0.2903,2.368,1.7562,1 
-0.402,0.3366,0.9734,1 
0.0229,-0.1044,2.0751,1 
0.9631,0.5015,2.511,1 
0.4964,0.3866,0.1472,1 
0.1996,-0.5529,1.7003,1 
0.0873,0.5351,1.6074,1 
0.8095,2.1335,3.0301,1 
-2.3403,-0.24,2.77,1 
-0.1921,-0.2157,-0.1286,1 
0.9987,1.4159,3.5113,1 
-1.7959,-0.0323,3.0796,1 
-0.1657,1.125,2.4665,1 
0.1338,1.0113,-0.6648,1 
