Feature1,Feature2,Feature3,Class
0.613,-1.3461,0.1352,1 
0.6101,-0.8223,2.962,1 
0.8745,-1.7796,2.4432,1 
-0.952,-1.1617,1.862,1 
0.5651,-0.2283,0.1695,1 
0.0967,1.8315,1.4104,1 
-0.4301,-0.1894,3.1267,1 
-0.7974,-1.0615,2.5015,1 
-0.4482,2.1204,1.3495,1 
0.0239,1.7722,3.8153,1 
0.8692,-2.5912,3.8987,1 
-1.3129,1.2161,1.7467,1 
-1.6617,0.1601,2.1803,1 
-2.8676,0.6792,2.7529,1 
2.0214,-0.0591,3.8992,1 
-0.2087,-0.4375,1.1571,1 
1.0578,-0.1389,2.6134,1 
-0.2539,1.2065,2.4778,1 
1.9368,-0.8128,0.9668,1 
0.7046,0.8461,1.0469,1 
-0.9285,0.2279,2.5882,1 
1.1311,-0.4614,3.0562,1 
1.9105,-0.9101,4.2568,1 
0.3819,0.8373,1.5283,1 
-1.3554,-2.4522,1.4073,1 
-0.1087,-1.013,1.5109,1 
0.8973,-0.3781,1.2834,1 
-1.9349,-0.7795,2.5034,1 
0.3819,-0.3766,0.5383,1 
0.2233,0.1329,1.8027,1 
-0.6204,-0.1131,2.0871,1 
-1.0048,-0.8833,1.5314,1 
0.8623,-1.858,2.6481,1 
-0.9426,-0.5388,2.3928,1 
2.2752,0.6886,1.0396,1 
-0.5081,-1.9067,2.6805,1 
-1.0184,-0.4028,0.442,1 
-0.4054,-0.9328,0.7938,1 
1.1124,-0.3408,2.6741,1 
1.9443,-0.9517,2.3632,1 
-0.3541,1.1835,0.2043,1 
0.7234,0.0344,3.0606,1 
-0.6259,-0.278,1.678,1 
-0.573,1.2641,2.7476,1 
-1.1363,0.5151,2.3492,1 
0.0322,0.214,1.1558,1 
0.6699,1.4808,2.5357,1 
-1.2338,-0.4657,1.0481,1 
-0.6997,0.2781,2.1878,1 
1.8342,-0.0939,1.9736,1 
-0.9874,-1.5268,2.7363,1 
1.1921,-0.2577,0.9964,1 
-0.5679,0.193,2.3175,1 
1.5504,-1.8728,2.332,1 
0.8516,-0.6581,2.6129,1 
1.2973,1.4989,1.5251,1 
1.6169,0.1843,3.1817,1 
0.3383,-1.5563,2.9841,1 
-1.5804,-0.6498,3.0776,1 
0.4823,-1.546,2.1865,1 
-0.0548,-0.1769,1.1599,1 
0.4202,-1.7313,3.4072,1 
1.7258,-0.8921,2.504,1 
-0.8796,-0.8813,2.2899,1 
-0.5026,1.2001,2.327,1 
-0.2048,0.7353,2.3445,1 
-1.5631,-1.0026,-0.0217,1 
-0.6248,-0.1851,1.685,1 
-1.9167,0.9028,3.3463,1 
-0.2173,0.5309,2.3822,1 
0.1218,-1.6186,0.7758,1 
-1.4733,0.6498,4.0519,1 
-0.3507,-2.0609,2.342,1 
1.7696,-1.0479,0.5272,1 
-0.7535,-0.5022,3.0176,1 
0.5804,0.2177,1.7079,1 
-0.1556,0.6811,1.2448,1 
-1.6052,1.856,-0.2637,1 
-0.1581,0.2755,3.1146,1 
-0.5606,-2.7045,1.8793,1 
-0.3215,0.2299,3.0794,1 
0.8625,-0.1593,1.7689,1 
0.4272,0.3088,0.756,1 
0.1131,1.2364,1.8211,1 
-2.5414,0.8364,3.7074,1 
-1.1247,0.8282,0.5282,1 
0.5821,0.3415,0.9556,1 
0.4509,0.1739,1.9281,1 
-0.6974,1.1035,2.3811,1 
0.5453,1.0305,3.548,1 
-1.2434,0.3087,1.7294,1 
-0.5103,1.2074,2.7177,1 
