Feature1,Feature2,Feature3,Class
8.1569,-0.4394,3.0063,1 
5.6507,-0.2077,3.4274,1 
6.6603,-0.7758,0.8476,1 
5.4467,-1.1562,2.1183,1 
3.9282,-0.2059,1.1491,1 
3.9178,-0.2817,1.2723,1 
5.2744,0.1813,2.138,1 
5.9525,0.5184,1.6623,1 
5.8099,-0.1883,2.3074,1 
4.9237,1.8269,1.3917,1 
5.5368,0.3976,2.0721,1 
6.0065,-0.4069,1.9377,1 
3.3474,0.4285,4.4527,1 
4.6031,-0.0969,2.3702,1 
5.0992,0.7738,1.7686,1 
3.53,0.0415,0.7229,1 
5.6662,-0.0724,2.9249,1 
4.6409,0.277,2.5058,1 
5.65,3.0055,2.2594,1 
3.4538,1.1893,3.3829,1 
5.4143,0.1477,1.4943,1 
5.6516,-0.4792,1.8,1 
6.5768,0.9016,1.6426,1 
4.7705,1.5554,1.3055,1 
4.8376,1.8253,4.3086,1 
4.7326,0.7234,2.3237,1 
6.2946,0.3835,3.7166,1 
5.0823,0.5175,1.8424,1 
4.6975,0.6483,1.2511,1 
5.9249,-0.8183,1.8882,1 
5.439,1.1613,2.249,1 
4.6412,-1.1292,3.2738,1 
6.1213,0.0225,1.6389,1 
6.2796,0.6729,2.7861,1 
5.4649,1.0728,2.0668,1 
4.514,-1.2999,1.6758,1 
5.071,1.4693,0.3745,1 
5.227,-0.3405,2.2324,1 
7.0073,0.6487,2.7137,1 
5.2992,0.6322,0.9497,1 
3.8498,1.1985,1.4584,1 
5.4647,-1.7508,2.8679,1 
3.7052,0.065,0.1551,1 
5.5837,0.1623,1.098,1 
4.2838,-0.9336,1.7146,1 
5.6037,0.6055,2.7466,1 
5.6028,-1.1316,0.6211,1 
4.7574,-1.2748,2.7591,1 
5.4678,0.5476,2.1793,1 
6.5046,1.2912,1.5419,1 
4.5722,0.0292,1.1719,1 
5.3335,0.5145,2.7631,1 
4.7761,1.7419,1.4855,1 
5.8596,-1.1098,2.8116,1 
5.2831,0.2464,1.7203,1 
4.9461,0.3177,1.6667,1 
6.2841,-0.1791,-0.1061,1 
4.424,-0.8889,3.3275,1 
3.651,1.0822,1.2166,1 
5.6409,0.7253,1.9462,1 
3.9589,-1.463,3.9314,1 
5.4227,-1.6753,1.7394,1 
5.2321,-0.6573,3.2068,1 
5.7568,0.2831,1.4121,1 
6.1566,0.1873,2.4237,1 
5.4026,-0.295,1.1291,1 
5.0751,1.8261,2.8708,1 
5.478,0.8055,1.2908,1 
4.4257,0.803,3.8166,1 
