Feature1,Feature2,Feature3,Class
3.2873,9.8804,1.6135,1 
1.9077,8.9767,2.1971,1 
3.1742,9.8324,3.579,1 
2.2235,10.9196,1.9329,1 
0.7932,9.4162,1.647,1 
2.3074,10.6943,3.212,1 
2.1425,10.1954,3.6032,1 
1.3766,10.5822,1.6866,1 
3.3731,9.5519,1.7444,1 
3.0599,8.575,1.3411,1 
2.3337,9.0381,1.0756,1 
2.0809,11.8156,1.6739,1 
1.9823,12.5193,1.9519,1 
3.0633,9.323,1.6668,1 
2.4205,10.1534,1.9557,1 
0.8575,9.4387,1.4322,1 
1.1679,10.0992,3.45,1 
1.496,9.1391,3.2645,1 
0.9489,7.212,0.9605,1 
2.9368,10.031,2.0566,1 
3.1477,8.7992,3.7167,1 
1.5765,10.1627,0.2841,1 
1.5964,9.9299,3.445,1 
1.5714,10.7451,3.5518,1 
0.7358,9.6485,1.1017,1 
3.3191,11.3023,0.7528,1 
2.3361,10.8968,3.0422,1 
1.3341,12.24,4.9579,1 
2.2159,10.381,1.9674,1 
0.5212,10.8357,0.8515,1 
0.663,10.2074,3.3976,1 
2.8572,8.8781,0.9851,1 
1.2024,9.8914,1.0002,1 
1.4531,10.7989,3.8829,1 
0.9748,11.0825,2.6774,1 
1.9666,9.7498,1.2811,1 
3.9415,9.7006,2.1164,1 
1.8116,10.4624,0.5496,1 
0.7631,8.2971,1.5263,1 
-0.1768,10.8533,0.7623,1 
1.5142,10.4594,0.7354,1 
2.399,10.3753,1.5524,1 
1.7283,8.4131,2.0336,1 
0.2889,7.8078,2.5313,1 
0.0204,10.7411,-0.6373,1 
2.2035,10.7201,4.2142,1 
3.1953,11.3845,2.491,1 
1.3818,10.8449,2.1861,1 
1.1336,10.9431,1.104,1 
3.9239,8.2279,2.1907,1 
1.6736,11.3109,2.4866,1 
1.7857,9.5044,1.203,1 
3.5046,11.7409,2.5773,1 
-0.0951,9.9163,2.5642,1 
1.9737,10.9417,2.7141,1 
2.8201,9.8934,1.356,1 
1.5642,10.6653,2.0293,1 
1.9186,12.4217,2.2478,1 
1.4364,10.7811,2.6135,1 
2.8606,9.5519,1.8638,1 
2.1928,9.528,0.1723,1 
2.4599,8.7905,1.5258,1 
1.695,9.7789,3.6885,1 
0.7246,11.5879,2.4247,1 
1.9353,9.2312,2.9686,1 
2.3251,9.5845,2.1308,1 
1.7911,10.4974,1.5478,1 
3.0737,9.238,0.9107,1 
2.7239,11.1054,3.0578,1 
2.5912,9.9456,-0.2524,1 
3.6891,9.6326,2.0582,1 
1.8331,10.1857,0.9729,1 
1.8374,11.5083,1.843,1 
2.4429,11.6106,1.8903,1 
3.2064,9.5947,2.6347,1 
2.2127,11.407,1.8528,1 
1.0872,9.8039,2.3585,1 
1.0337,10.3378,3.7431,1 
0.9923,11.5286,1.3699,1 
2.5204,10.3713,2.1787,1 
2.8495,10.458,2.5614,1 
2.6809,10.3775,1.7545,1 
2.4499,8.815,1.7477,1 
1.9188,9.9519,2.368,1 
4.6101,9.1077,2.537,1 
3.2662,9.9816,1.7926,1 
3.9335,8.7922,0.9857,1 
3.7024,9.5632,2.237,1 
2.0106,9.7705,4.0865,1 
1.6284,8.3799,2.6832,1 
1.41,8.8396,2.4837,1 
3.0779,9.8117,0.2941,1 
0.7133,11.1328,2.6136,1 
2.5707,10.7652,3.76,1 
2.1372,10.6272,2.4714,1 
2.9698,7.3159,1.2946,1 
1.4329,9.8689,2.2406,1 
1.5088,8.6552,2.4334,1 
0.4203,10.7047,2.2023,1 
3.0565,9.1506,0.4609,1 
2.3552,8.9327,3.6356,1 
3.4528,8.6023,2.1173,1 
2.1083,10.1631,5.883,1 
1.4722,9.5838,4.2018,1 
1.7007,11.1493,2.8157,1 
3.2805,9.8629,3.2044,1 
1.7089,9.479,3.2315,1 
1.6183,8.7495,0.5878,1 
3.657,11.9825,3.1204,1 
3.6251,9.9258,4.0551,1 
1.013,9.6172,1.2758,1 
1.7521,10.4843,2.5712,1 
2.1487,11.3812,0.3258,1 
2.0313,10.6902,2.4252,1 
1.3995,10.6716,4.4947,1 
2.7833,11.4701,-0.1989,1 
1.7992,8.2885,2.8915,1 
4.0305,10.8998,3.4462,1 
1.6408,9.9835,0.62,1 
2.8309,9.5941,2.7625,1 
2.1063,10.2719,3.0492,1 
0.5121,11.2498,1.3241,1 
2.8631,9.3324,1.6743,1 
1.5791,11.5567,3.0822,1 
2.2753,8.7869,1.8987,1 
-0.0017,8.964,1.8291,1 
3.0591,10.513,2.8438,1 
2.7639,9.3325,3.1426,1 
2.6649,10.984,1.669,1 
0.6048,9.0706,1.5129,1 
1.3065,9.9067,2.984,1 
3.3672,9.2591,3.231,1 
2.0264,9.3157,2.198,1 
1.7511,8.7782,1.2065,1 
