Feature1,Feature2,Feature3,Class
2.0754,6.9082,2.6895,1 
0.8068,9.4023,1.5005,1 
1.5665,9.8887,1.0505,1 
2.9143,7.5824,1.177,1 
2.2321,7.5569,0.1784,1 
0.3654,10.2834,1.1656,1 
1.3836,9.9754,2.3185,1 
1.8529,9.3377,1.9568,1 
2.8861,9.2889,0.3443,1 
3.3854,9.7906,2.5194,1 
1.5754,10.3398,0.8513,1 
3.3114,9.8322,2.4393,1 
1.2142,9.556,0.8378,1 
1.1767,11.422,2.234,1 
3.5526,9.3817,1.9259,1 
2.2049,9.519,1.3963,1 
2.0398,9.6787,3.1102,1 
2.6808,9.5089,1.6099,1 
0.857,8.7499,1.5856,1 
3.4222,7.0722,2.8426,1 
1.4228,11.2727,1.2423,1 
0.4665,8.5014,1.0767,1 
1.8432,10.0739,1.7044,1 
1.671,11.2309,1.1397,1 
3.598,9.7905,1.9584,1 
2.8907,8.4613,1.3134,1 
3.6067,11.3147,1.4963,1 
3.1077,10.142,1.3454,1 
1.6904,10.9584,-0.0186,1 
2.4619,9.4637,2.391,1 
3.0125,8.9911,2.5003,1 
1.64,10.1003,2.6293,1 
3.0539,10.486,2.3648,1 
2.7523,9.6749,1.9605,1 
3.1253,11.2978,0.2571,1 
1.915,8.5536,1.276,1 
3.0999,10.6622,3.5999,1 
3.0749,11.1692,1.2949,1 
0.3377,10.2709,0.9763,1 
3.9086,9.3272,0.2809,1 
1.9202,10.6467,2.8984,1 
2.7177,9.0102,1.2647,1 
3.7657,10.4831,2.1305,1 
3.3259,9.3858,3.6638,1 
3.0706,10.4282,1.7214,1 
0.2879,11.3991,1.2689,1 
0.4149,10.4854,-0.4847,1 
3.504,10.3638,2.8385,1 
0.7285,8.7196,2.5723,1 
2.3639,8.4782,0.7535,1 
3.2591,9.0546,1.4947,1 
1.215,10.3803,3.3999,1 
2.4078,12.3303,3.3099,1 
3.9024,12.2273,1.0888,1 
0.9652,11.4287,1.2929,1 
0.9404,9.4286,2.6393,1 
0.6813,9.2026,2.5695,1 
2.6684,9.2366,2.3357,1 
1.6191,9.5357,1.3914,1 
1.6283,9.5247,1.9569,1 
0.7524,9.5921,3.5469,1 
3.5645,9.4837,1.8313,1 
1.6008,12.8224,2.3641,1 
0.5619,9.8522,1.7653,1 
1.6332,11.3039,3.1701,1 
2.0891,10.3477,2.1916,1 
1.752,9.3551,3.8975,1 
2.2042,10.6615,1.4821,1 
4.1393,10.8161,3.2769,1 
3.651,9.4186,3.7035,1 
0.8014,10.1396,1.9558,1 
2.1982,11.086,2.0425,1 
3.449,8.7916,3.2711,1 
3.4064,10.8338,1.2847,1 
3.2849,11.2129,2.5903,1 
2.851,9.6922,2.5579,1 
1.0573,11.5685,1.8764,1 
0.7699,10.0028,0.626,1 
1.5034,9.4503,2.2005,1 
1.0357,10.595,1.9905,1 
1.6182,9.5053,1.2579,1 
1.9108,9.7809,2.453,1 
3.1292,11.4484,1.5204,1 
1.406,12.1486,2.6149,1 
1.5077,9.2633,-0.1157,1 
0.3274,9.0211,1.5529,1 
1.3691,9.3148,2.2915,1 
3.2422,10.7446,2.0986,1 
0.9704,10.1588,1.6389,1 
1.7124,10.0612,2.5383,1 
0.9244,10.1232,1.9204,1 
2.0196,8.0465,3.8054,1 
2.9714,9.7797,1.9277,1 
1.7991,8.3048,3.2292,1 
2.6303,9.0782,2.0273,1 
1.4777,11.1214,0.9254,1 
1.4169,9.9235,2.3258,1 
1.6866,9.5627,3.3131,1 
2.6963,10.7862,1.8347,1 
1.5514,9.1634,1.578,1 
0.7515,9.2037,2.3988,1 
2.4138,8.9681,2.3068,1 
1.7511,11.8153,4.3229,1 
1.7994,10.6454,2.3364,1 
1.898,8.0639,2.0552,1 
1.749,10.7313,0.5816,1 
3.1797,8.3783,-0.3893,1 
1.7228,9.8535,2.1841,1 
0.2522,10.9342,2.2565,1 
1.4704,10.5982,2.0061,1 
2.048,9.6384,3.6727,1 
1.6741,8.16,2.5367,1 
0.8255,9.9075,4.36,1 
2.9184,8.6646,1.6445,1 
2.4074,9.5326,1.5048,1 
2.0814,11.222,4.3548,1 
1.3885,10.677,1.528,1 
1.4694,10.531,3.1858,1 
2.3815,10.3262,-0.6258,1 
1.775,11.2093,2.893,1 
1.8676,9.4976,-0.1513,1 
1.9961,8.5837,2.1754,1 
1.8442,9.3862,2.2373,1 
1.5658,10.4884,2.6604,1 
1.2628,9.617,4.0906,1 
0.2845,10.3248,0.4563,1 
2.1968,10.0367,-0.4099,1 
1.5827,9.5673,3.3522,1 
