Feature1,Feature2,Feature3,Feature4,Class
-0.9403,-0.5551,3.7009,1.4804,1 
0.4742,-0.1563,0.6522,1.4681,1 
0.355,0.6655,1.901,3.0798,1 
0.5055,-0.0908,1.3449,0.558,1 
-0.799,1.4401,2.1842,1.9064,1 
-0.9672,0.6032,3.2264,1.5518,1 
1.1996,0.3209,1.6139,2.3466,1 
-0.6987,0.5448,3.125,0.3938,1 
0.0651,-1.105,2.1459,2.3131,1 
-0.8424,-0.1819,0.9486,1.7962,1 
-1.3423,0.7909,3.0891,2.9564,1 
-1.3585,0.635,1.0937,2.4091,1 
1.7632,0.453,1.2464,0.742,1 
0.8558,-1.0233,3.1854,3.1724,1 
0.4439,0.3935,2.2462,1.9736,1 
0.9904,1.7401,0.557,3.5082,1 
1.6483,-1.4332,1.3267,0.9512,1 
0.3916,-0.5895,0.9236,2.7432,1 
0.2271,-1.5598,2.8971,1.3056,1 
0.8119,0.7831,2.4202,3.2512,1 
-0.6096,-0.8271,3.0389,2.8732,1 
0.6376,-2.0591,2.8092,1.3932,1 
-0.3009,-0.179,2.171,1.1207,1 
-0.5715,0.8047,1.3426,1.9639,1 
-1.2019,0.8088,1.8481,1.4351,1 
1.3009,-0.2413,1.5582,2.6076,1 
-0.1367,-0.6028,1.4097,2.0342,1 
0.9779,1.4937,1.9929,1.2658,1 
-0.3288,-0.1825,3.3191,3.6679,1 
-0.0886,-0.6824,2.6094,2.4366,1 
-0.1621,-1.547,2.9229,1.9411,1 
-0.3261,-0.3109,1.9319,0.8892,1 
0.3531,1.9543,0.3509,1.1668,1 
-1.2029,1.516,2.8293,0.7381,1 
0.4774,-0.5835,1.9142,1.9824,1 
-2.1351,1.0957,3.2578,2.859,1 
0.2431,2.6937,2.3986,0.4968,1 
0.0322,-0.0423,3.1831,0.0207,1 
-0.7698,-2.1997,1.8457,1.7289,1 
-0.2686,0.4773,1.2697,3.4661,1 
-0.7556,-1.887,2.8263,0.6492,1 
0.8316,-0.7185,-0.2681,-0.2563,1 
-0.1101,-0.5154,2.7568,2.6777,1 
-0.6711,-0.7854,1.9899,1.3166,1 
-0.57,-0.5883,2.8617,-0.6831,1 
0.672,-1.0374,1.0909,1.9686,1 
-0.7946,0.6284,3.0828,3.4386,1 
0.9688,1.2657,2.0431,0.9569,1 
-0.8255,1.4237,0.6145,1.213,1 
-1.2769,1.0158,1.3171,4.4789,1 
0.7335,1.0936,1.0334,2.5592,1 
0.1844,-0.8082,1.2059,2.2836,1 
0.1064,-0.648,1.7894,2.5531,1 
0.1579,-0.4358,1.7838,2.4057,1 
-0.8819,-0.0954,2.4986,3.1203,1 
0.2778,1.4277,1.1111,1.6145,1 
0.6324,-1.2148,1.8182,2.339,1 
0.4234,-0.0454,1.6884,3.177,1 
0.049,-1.0186,2.0077,2.3067,1 
1.3954,-0.0082,2.6365,1.1149,1 
-0.983,1.8471,2.1201,2.9748,1 
-0.2122,1.1441,3.8512,1.8205,1 
-1.1686,-0.4467,1.0837,-0.062,1 
-0.2133,1.5615,2.4607,1.7332,1 
-0.8371,0.4326,3.3868,1.075,1 
-0.8976,0.492,2.1303,0.9457,1 
1.1347,-0.1843,0.866,2.0478,1 
1.7915,1.0569,1.5191,3.739,1 
