Feature1,Feature2,Feature3,Feature4,Class
0.6992,1.0202,1.9034,3.8076,1 
-0.4991,0.9332,2.7288,1.3205,1 
0.5188,-1.2828,-0.2334,2.1363,1 
-0.7445,1.0271,3.7097,0.967,1 
0.1386,0.7109,1.1128,3.2834,1 
-1.6235,0.6654,1.6716,1.6814,1 
-0.4005,0.6115,2.799,1.4717,1 
-0.6329,-0.998,0.9928,1.0409,1 
0.6103,1.2962,2.1086,1.0724,1 
0.5066,1.5563,3.8282,3.6491,1 
-0.2149,0.4165,2.9777,2.3989,1 
-1.3085,-0.2079,-0.1937,2.316,1 
-0.0399,1.0932,1.6202,1.8566,1 
1.7876,-0.9047,2.3872,1.1686,1 
-0.5581,1.0674,1.8533,4.1174,1 
0.5345,0.7351,0.9599,3.3802,1 
0.1474,-0.5517,2.585,1.3121,1 
0.2763,-0.4805,2.455,1.2011,1 
-0.023,-1.1994,3.6325,1.9672,1 
-0.4577,0.0785,1.5987,1.3677,1 
0.2784,0.822,2.4716,2.5021,1 
-1.5233,0.1736,1.7155,3.4284,1 
-0.5786,0.0919,1.2711,0.2904,1 
-0.2061,1.0316,1.4585,3.3824,1 
0.6867,0.1055,1.5877,2.0454,1 
-0.2279,1.0769,1.9558,1.041,1 
-0.0708,-2.0378,3.6049,1.2583,1 
-0.5876,0.1899,2.6708,0.1127,1 
1.5166,-0.4256,2.0769,1.5796,1 
1.0566,0.7604,1.5233,2.2447,1 
0.9067,1.4172,2.149,3.4219,1 
-0.2654,1.4411,1.0565,3.1381,1 
-0.8174,-0.5559,2.3188,3.1789,1 
1.7867,-0.0784,4.188,1.3506,1 
-0.2992,0.3139,1.606,2.4979,1 
-0.7739,1.9276,0.6532,2.5637,1 
-0.0621,-0.7759,3.858,1.9444,1 
0.0217,0.3712,3.0647,1.2697,1 
-0.2262,-0.0402,0.3664,1.5907,1 
-0.5335,1.3858,1.7698,2.2795,1 
-0.0067,1.6376,3.4354,-0.0676,1 
-2.1337,2.8808,1.5835,1.9863,1 
-0.4615,-0.6028,2.1158,2.386,1 
-1.7641,-1.4162,2.5704,2.2943,1 
-0.3161,0.3579,1.4151,2.4589,1 
-0.6813,-0.8958,1.7046,0.6888,1 
0.7792,0.846,2.9326,-0.4475,1 
-0.2966,0.6943,1.5671,1.1456,1 
-1.0508,-0.7038,0.6849,1.7298,1 
0.6688,-0.2512,2.6885,1.1112,1 
0.9316,-0.2123,1.6643,1.9276,1 
0.1964,-0.0985,1.5539,3.8837,1 
0.0087,0.954,0.8872,2.6799,1 
-1.9188,-0.2036,3.942,3.6687,1 
0.1727,0.4511,2.3738,1.8208,1 
0.38,-0.2215,1.229,2.973,1 
0.9044,0.4132,0.5793,3.4041,1 
-1.1777,1.0772,0.7144,2.8114,1 
-0.8725,0.8297,2.4428,1.3914,1 
-0.7108,0.723,2.3412,3.4869,1 
-0.5598,-1.0597,3.4799,0.7125,1 
-0.1168,0.5632,3.2825,0.9188,1 
-1.1502,-1.253,2.4383,2.7212,1 
0.5787,-0.7205,1.9904,2.2447,1 
2.8136,1.0529,3.4196,2.0119,1 
-0.6112,-1.3317,2.2128,3.0445,1 
-1.4446,-0.3358,2.3884,3.0341,1 
1.3136,-0.1695,1.73,0.9266,1 
-0.6197,-1.3148,2.1528,1.5139,1 
0.4812,-0.4532,1.6979,3.2852,1 
-1.0968,2.0834,2.797,1.8875,1 
-1.9415,-0.2017,0.9831,3.3338,1 
-1.5372,-0.9127,2.3844,2.7866,1 
-0.7966,0.365,1.0165,3.0218,1 
0.1939,0.2279,1.5346,1.7097,1 
-0.7599,-1.1226,2.4434,2.3782,1 
1.3141,0.1988,1.982,1.0829,1 
-1.9769,-0.2165,2.8569,3.6035,1 
0.4246,-0.9218,1.9145,3.1426,1 
1.4811,1.1433,1.6576,3.1504,1 
-1.1728,-0.854,3.016,1.9719,1 
-0.331,-0.7213,3.0916,1.5011,1 
-0.2835,-1.1482,1.4819,1.2808,1 
-1.5091,0.9746,1.8245,2.2103,1 
-0.3308,-0.0777,1.2404,1.8076,1 
-0.0043,-0.8032,1.2951,0.9773,1 
-0.6531,-1.2213,3.0893,3.3113,1 
-0.6078,-0.8304,0.6161,0.8079,1 
-0.1935,1.6785,0.2409,0.8649,1 
0.3696,0.8825,1.2125,2.8705,1 
-0.0711,0.7497,1.5498,0.3931,1 
0.3369,-0.1142,1.3071,3.7098,1 
0.0356,-0.5386,1.01,0.7455,1 
-0.8643,-1.0499,1.3502,2.7238,1 
-0.1763,1.5548,3.0125,1.2226,1 
0.3352,0.1304,1.1114,3.4428,1 
0.5493,0.6181,1.0156,1.432,1 
0.8509,-0.7246,1.4109,1.1703,1 
0.9568,0.015,2.864,3.5791,1 
-0.6383,-0.0222,2.815,1.4273,1 
1.6732,-0.8922,2.4976,3.0395,1 
-0.7262,-0.3659,4.2761,2.7599,1 
-1.31,0.1225,2.6542,2.7793,1 
0.7874,-1.754,1.2544,1.8929,1 
-2.642,0.5127,2.5694,2.5657,1 
-1.0524,0.5907,2.6941,2.4654,1 
0.1763,1.46,4.6468,3.5366,1 
2.077,1.7648,1.8413,3.1964,1 
1.4485,0.572,3.2823,1.834,1 
0.5478,-1.2605,2.3286,2.8298,1 
-1.5592,0.861,2.0393,2.5223,1 
-1.3339,-0.7129,1.7319,3.7609,1 
0.5555,1.0237,1.5331,2.9092,1 
1.4936,-1.4534,0.9315,3.8969,1 
-0.4307,0.6712,3.4788,2.2234,1 
0.0929,0.371,2.4412,2.3687,1 
-0.0171,-0.4783,2.7437,3.1422,1 
-0.1108,0.5802,2.1605,3.6521,1 
0.6979,0.507,0.5696,1.0419,1 
0.3154,-1.0587,1.011,1.0961,1 
-0.2203,0.7338,0.8554,2.8302,1 
-0.4172,-1.3439,2.4571,3.4474,1 
0.5547,1.0679,0.6123,2.3437,1 
0.6203,1.3223,1.768,2.5032,1 
-0.1377,1.2334,0.9473,3.0043,1 
-0.9152,2.4959,2.7565,2.7523,1 
-0.8067,-1.1751,1.0212,0.4013,1 
-1.9447,0.8842,2.0806,0.1464,1 
-0.9888,0.2448,3.042,0.3774,1 
