Feature1,Feature2,Feature3,Feature4,Class
0.4665,0.0038,1.2344,2.6626,1 
-0.6899,-0.1832,1.3873,3.5623,1 
1.2358,-1.1013,1.6024,2.5355,1 
-0.6211,1.1627,2.7152,0.8259,1 
0.0988,-2.022,1.9581,2.1001,1 
0.7838,-1.5366,2.5809,2.826,1 
0.0802,0.4167,3.477,3.0405,1 
1.9755,0.0834,2.5463,3.3888,1 
0.0708,-0.0197,0.6565,1.6489,1 
0.9761,-1.2197,0.8636,1.6691,1 
1.1175,-0.1409,1.0696,2.6412,1 
0.7598,-0.6276,1.5656,1.5739,1 
0.2325,0.5346,2.0403,1.2757,1 
-0.4801,-0.0224,2.0455,1.065,1 
0.7117,-0.3517,2.4487,1.8281,1 
0.923,0.673,1.7328,2.7624,1 
0.7715,-0.6469,1.5548,2.7773,1 
0.3894,-0.6031,2.5938,0.8427,1 
-0.8112,-0.0756,1.7361,1.3797,1 
-0.1654,0.6608,2.3693,1.6502,1 
0.721,-0.6732,2.6097,3.3149,1 
-0.0255,-2.2233,3.3833,-0.0273,1 
1.7178,-0.9207,2.075,2.3641,1 
-0.6783,-0.7714,0.1106,3.8612,1 
1.1208,1.1701,0.3846,1.2675,1 
-0.5376,0.1458,1.0759,0.7222,1 
-1.1812,-1.496,2.1568,3.4518,1 
0.3445,0.2161,1.5538,0.6907,1 
-1.9134,-1.0819,0.4967,2.2327,1 
-1.404,-1.5415,1.583,1.881,1 
-0.2727,1.6096,3.6905,1.7017,1 
-0.4708,0.7343,1.6482,2.4848,1 
-0.8471,1.3341,2.8611,1.5002,1 
0.226,-0.1421,4.8394,3.2603,1 
1.3814,1.2251,2.8873,0.675,1 
0.0287,-1.7492,2.7246,2.0848,1 
-0.9807,-1.0105,1.6037,2.2714,1 
-0.7775,0.175,-0.3448,2.8566,1 
-0.6667,0.6626,0.6482,2.9569,1 
0.1556,-0.8266,1.5633,2.6539,1 
1.2987,0.1823,0.5888,2.5427,1 
0.2383,-0.2631,1.3551,2.3827,1 
-0.2653,0.21,3.048,2.0067,1 
0.8911,1.0453,2.707,2.9995,1 
0.6554,-0.4341,1.3108,2.8581,1 
2.0539,0.6051,1.6167,1.8325,1 
0.5432,0.6574,2.1031,1.8897,1 
-1.396,-0.246,0.6781,1.2782,1 
0.003,-0.5374,1.6409,4.0826,1 
-0.2161,-0.4584,2.0971,2.15,1 
0.3676,-1.8197,0.7727,-0.5042,1 
1.0048,-0.409,0.5324,1.926,1 
-0.826,0.9843,0.7903,3.1842,1 
0.7179,-1.4276,2.6381,1.9972,1 
0.1587,1.3582,0.8112,2.8806,1 
1.8071,-0.4608,0.0621,1.4787,1 
-1.8446,0.1303,2.1849,2.543,1 
-1.0625,0.4853,1.2191,2.3157,1 
0.0918,-0.5977,2.6643,2.2724,1 
-0.986,0.1207,0.3502,2.3004,1 
-0.9877,0.2764,1.2332,0.4104,1 
0.3689,1.6837,2.4843,1.8669,1 
-1.3616,-0.5918,1.6385,2.9078,1 
0.3989,1.2754,1.203,3.0719,1 
-0.4813,-1.2831,1.2845,0.8727,1 
-0.0956,1.1031,1.3776,1.3698,1 
-0.2308,0.1162,2.1501,2.1515,1 
0.6519,0.7697,0.4777,3.088,1 
-0.1478,1.0704,2.6196,1.2103,1 
0.1235,-0.2096,2.1706,1.1966,1 
0.6174,0.4359,1.6872,2.05,1 
-2.1435,0.062,2.1697,0.728,1 
0.8487,-0.1419,2.1791,2.6623,1 
-2.5858,-1.2163,1.3757,3.9134,1 
1.1977,-0.6539,1.8704,2.5046,1 
-0.4931,-0.1697,2.2142,3.0872,1 
-0.6987,0.2507,2.2968,2.1432,1 
-0.6235,-0.8445,2.5207,2.4287,1 
0.1105,-0.0984,1.3767,2.1683,1 
-1.5003,0.5902,2.7613,4.2288,1 
0.6913,0.9273,1.2683,3.2194,1 
1.2598,-0.3287,1.2313,0.3175,1 
-0.707,0.5481,1.5842,1.3163,1 
-1.6469,-1.3134,0.9125,0.9666,1 
0.2875,0.1633,1.7526,0.4339,1 
0.0914,-0.6683,0.2765,0.5163,1 
-1.2259,-0.3994,4.0419,0.0864,1 
-0.6376,-0.2797,2.4459,1.4711,1 
0.0963,1.3471,1.3514,-0.0131,1 
-0.2108,0.0077,1.8124,2.8203,1 
1.612,1.0266,3.2965,2.6728,1 
-2.3115,0.8072,1.9936,1.8328,1 
0.0111,-0.8663,4.4779,0.0746,1 
-0.9678,0.4969,2.0077,2.1481,1 
0.3702,-1.512,2.5485,2.4793,1 
-0.6111,-0.2336,2.4671,0.4252,1 
-1.0181,0.7423,3.137,1.1885,1 
0.393,1.2335,2.8725,1.2068,1 
0.6234,0.2238,1.3578,3.8622,1 
0.1871,-1.7083,-0.6293,0.9482,1 
0.4027,0.7924,1.9014,2.4298,1 
-1.7043,1.9941,-0.3045,1.3496,1 
-0.9419,0.4128,2.2621,1.8138,1 
0.0229,-1.1852,2.8955,0.6767,1 
0.9289,-0.7325,1.379,0.7985,1 
-1.0049,1.0491,2.3453,2.1752,1 
1.9757,1.1197,2.5958,1.0485,1 
0.119,0.3154,0.7842,3.5174,1 
-0.7833,0.611,2.9078,2.3932,1 
-0.8974,1.345,0.691,1.9235,1 
-0.3593,0.6728,2.1647,1.3649,1 
-1.8328,-1.3248,1.2466,2.4348,1 
1.144,-0.6038,2.6568,1.6882,1 
-0.8814,-1.4746,0.797,3.6492,1 
0.1729,-0.2578,2.557,1.4127,1 
1.4671,0.8362,2.7878,1.1432,1 
-1.9625,0.9933,2.254,0.2951,1 
0.4244,0.4278,2.4275,1.3523,1 
-2.5088,1.3034,0.871,1.7128,1 
1.3007,-0.411,2.7901,4.2561,1 
0.0727,0.2701,3.2989,1.1656,1 
-0.9021,-0.3554,3.1203,2.5365,1 
1.1553,-0.532,1.8774,0.8139,1 
-2.1326,-0.3585,2.0832,2.3457,1 
0.1654,-1.2538,3.1218,2.7164,1 
-0.0731,0.0528,2.9698,0.6189,1 
-0.6352,0.8159,1.6256,1.6253,1 
-1.1403,0.4613,0.7503,2.9132,1 
-2.2734,-0.6075,1.3895,2.6519,1 
-0.8041,0.9865,-0.6714,1.5486,1 
1.4149,0.3348,1.9773,2.8296,1 
0.0923,1.9763,2.3915,2.1618,1 
-0.5571,-2.0119,1.8381,0.2527,1 
-1.1914,-1.9132,-0.7303,-0.4411,1 
0.8335,-2.053,0.0685,1.7462,1 
0.2766,-0.8165,3.0045,2.232,1 
-0.639,-0.7646,0.8305,1.4469,1 
-0.1107,1.5031,1.341,1.269,1 
-0.3067,0.4265,1.2266,0.4163,1 
1.3397,0.5047,3.4628,2.8288,1 
0.4537,1.2108,2.0731,2.6667,1 
0.3448,0.8615,1.4201,1.9962,1 
0.4932,-0.0062,1.0477,3.4718,1 
-0.204,-0.2477,2.7104,0.6436,1 
0.3183,-0.489,1.7862,2.2198,1 
-0.0339,0.2944,3.5941,3.0783,1 
-2.3807,-0.3734,1.0848,1.6833,1 
-1.978,-0.8402,2.1607,1.9382,1 
-0.3917,0.1586,4.0202,3.598,1 
0.1574,0.9083,1.3384,2.5127,1 
-2.0984,-0.467,2.1986,3.0143,1 
1.6193,0.0029,0.5509,2.6149,1 
-0.8424,-1.842,1.7269,2.1661,1 
-0.0019,1.3226,2.6034,2.1027,1 
1.0663,0.364,2.0483,2.787,1 
-1.2245,1.8279,2.1268,1.8022,1 
-1.9264,-0.3498,2.0526,0.2158,1 
-0.0749,0.5934,1.6193,1.3693,1 
-1.0551,1.6341,4.0154,0.382,1 
0.1402,0.6982,2.8587,0.7759,1 
-0.5683,1.3401,3.228,1.6553,1 
-1.0181,0.2348,2.6622,1.1857,1 
-0.5189,-1.6714,1.7932,3.3241,1 
-1.0254,-0.0066,2.1464,0.594,1 
-1.1564,-0.3902,3.6244,2.4428,1 
1.9125,0.2083,1.3598,1.5458,1 
0.4562,1.2165,3.2485,1.4408,1 
-1.5222,-0.6283,0.2479,0.8791,1 
-0.625,-0.8969,2.2207,1.0541,1 
2.1601,0.7873,2.1691,1.6219,1 
0.3176,-1.4451,1.7978,2.9974,1 
0.7393,-0.0904,1.9802,2.6152,1 
0.1983,0.4414,3.4231,1.0367,1 
-0.6449,0.6275,0.4565,2.5486,1 
-1.7837,0.3511,2.661,1.0267,1 
-0.6622,-0.3203,4.4867,0.9015,1 
-0.0067,-0.9222,1.3166,2.8431,1 
-0.8099,-0.026,0.7596,1.4655,1 
1.8324,0.9389,0.5507,2.2835,1 
-0.3881,1.5952,3.0873,4.4404,1 
0.1126,0.6827,3.302,2.5065,1 
-0.7032,0.1778,3.8348,4.1129,1 
-1.5631,0.838,1.355,2.3979,1 
0.6589,0.4027,1.8272,2.6891,1 
-1.5757,1.8187,2.3656,2.2993,1 
1.1623,2.3172,2.0228,1.9958,1 
-0.0865,-0.5009,2.1564,0.4408,1 
2.3705,-1.2456,2.4925,1.8911,1 
-2.2831,0.9583,2.5579,1.829,1 
-0.0765,-0.0766,1.8712,2.5438,1 
-0.2782,-0.01,3.4938,1.3959,1 
0.3686,1.8837,3.453,1.3604,1 
0.7499,-0.7436,1.8021,0.5435,1 
-0.4312,-0.0101,2.0101,2.0369,1 
-1.1097,-0.6907,0.5497,1.7957,1 
0.8803,-0.3355,2.5802,1.4484,1 
2.2975,-0.8304,2.0171,1.9788,1 
-1.1003,-0.6538,1.4943,2.4265,1 
0.0455,0.5963,3.5653,1.1382,1 
1.1758,2.0631,1.8048,2.9848,1 
-0.8797,-0.1229,0.2827,2.6668,1 
-0.7044,1.8071,3.857,0.5159,1 
0.1725,1.8361,3.1558,3.8912,1 
0.3357,0.2477,2.8503,1.2607,1 
0.5113,0.9108,2.3696,2.1235,1 
-0.8259,0.7411,2.4751,0.5905,1 
0.3389,-0.589,3.4592,3.5679,1 
-0.2543,0.0929,1.6159,2.3258,1 
-0.0968,-1.8546,3.4368,3.2931,1 
0.418,1.0561,0.4602,1.8846,1 
1.1952,0.0994,3.2681,1.6731,1 
-0.6729,0.8555,2.7332,3.3955,1 
-0.1369,0.1395,2.9965,2.9242,1 
-1.6911,-0.7866,1.1538,0.2259,1 
0.061,-0.3968,1.768,0.6649,1 
0.0075,-2.2025,2.0869,2.7178,1 
-0.418,-0.8795,3.1014,4.0037,1 
0.4978,0.4894,2.8647,1.5193,1 
-0.9729,-1.1654,1.1891,2.5462,1 
-1.2426,2.4446,2.153,2.7154,1 
0.3571,0.4927,1.8354,1.3028,1 
0.1859,1.371,2.5971,2.6538,1 
-1.9216,0.7643,2.1633,1.2364,1 
0.625,0.4643,3.775,3.8889,1 
1.0204,-0.7997,3.7479,3.5036,1 
1.1146,0.7616,1.6409,2.997,1 
-0.219,2.5442,1.9098,3.5401,1 
-1.3935,0.8228,1.8404,3.5555,1 
1.3267,-0.7844,2.0811,1.448,1 
-0.8379,-0.3574,1.5646,3.1252,1 
-1.2463,1.0072,3.9291,1.719,1 
-0.6461,0.3288,1.8317,2.3554,1 
0.729,-1.7809,0.9075,3.0061,1 
0.2362,0.8501,2.6015,2.7224,1 
-0.5443,0.144,1.2975,2.4997,1 
1.5296,0.9425,1.8161,2.1716,1 
0.9933,-0.826,3.19,2.8276,1 
-1.5457,-1.3283,2.4501,3.1583,1 
-0.4895,-0.6683,1.5841,3.0474,1 
0.6541,-1.8707,3.6694,2.8063,1 
0.4723,-0.4063,1.5723,3.0724,1 
0.5034,1.336,1.7351,2.0099,1 
0.4897,0.2728,2.0518,1.4348,1 
0.94,1.0349,2.0907,1.0015,1 
0.4477,-0.4502,0.8515,0.5247,1 
-0.07,0.5978,0.3392,1.5711,1 
0.7684,1.5918,2.2421,3.0634,1 
-0.7833,2.2302,1.2785,1.1757,1 
0.0675,-0.3252,1.0801,2.7699,1 
-0.577,-0.2378,1.8065,2.2651,1 
-1.3467,-1.002,0.8342,2.5516,1 
0.0883,-0.271,-0.4645,3.1173,1 
0.2866,0.4859,2.3753,2.0111,1 
0.942,0.1194,2.6232,1.7897,1 
-1.0566,-1.6802,2.3999,1.1371,1 
-0.3092,1.4326,2.1263,0.8462,1 
-1.9868,-0.2412,3.9824,-0.1353,1 
-0.1338,-2.411,1.9477,2.1451,1 
-0.9603,1.2699,0.6175,3.0548,1 
0.5846,-2.1285,2.878,3.2591,1 
0.1306,0.6688,2.3783,4.099,1 
0.3042,-1.0847,3.7918,1.3769,1 
0.1337,-2.1332,3.3787,3.1289,1 
0.8174,-2.3465,1.9638,3.5452,1 
