Feature1,Feature2,Feature3,Feature4,Class
4.0475,1.7432,3.8261,3.2073,1 
5.5324,-0.2484,3.3139,3.4725,1 
3.1904,-1.5531,0.8949,2.1366,1 
5.3452,1.0879,1.2986,1.4632,1 
5.6663,-0.4656,1.8744,1.9352,1 
5.8334,-2.4388,3.1208,1.6525,1 
2.8548,-0.4869,0.9446,2.6008,1 
3.8672,0.5428,1.9717,2.079,1 
4.7271,0.4561,1.4724,1.4661,1 
3.4388,-0.3278,1.1848,2.0864,1 
4.0373,0.5163,0.8188,2.1452,1 
7.0501,0.3294,2.8052,3.8829,1 
6.3225,1.3832,1.3443,2.3023,1 
4.1415,0.9816,1.8849,3.0576,1 
5.751,0.581,3.4268,2.5097,1 
5.3024,0.3983,0.8787,1.9489,1 
4.3909,0.1564,0.5625,1.1459,1 
5.1813,-2.3799,1.0489,2.4261,1 
4.3172,-0.7793,1.6086,1.1821,1 
4.5617,-0.6194,2.1434,2.6665,1 
3.7474,-0.0845,0.2358,1.6983,1 
3.9922,-0.3611,1.6692,2.89,1 
6.773,-0.1251,0.8162,2.9548,1 
6.3719,0.2462,0.4922,2.1152,1 
4.8058,1.0748,1.8275,0.1169,1 
4.6289,0.6118,2.7017,2.3575,1 
5.8576,-0.4948,1.3257,3.2215,1 
5.7931,-1.3228,1.4565,0.9001,1 
5.4514,1.8541,3.6583,1.2786,1 
3.8222,-1.0422,2.3931,1.5963,1 
6.4546,0.1065,2.9897,1.6102,1 
6.1544,0.0589,1.6345,1.3545,1 
4.282,0.6722,0.948,1.2997,1 
5.1615,0.0298,2.6456,0.8214,1 
5.9497,-3.5548,0.7355,1.7632,1 
5.3769,0.7016,1.4925,2.7597,1 
4.6038,-0.3889,0.5751,4.3195,1 
4.045,0.3979,1.839,2.2253,1 
6.7502,0.7364,2.0445,2.3031,1 
3.0542,0.1412,1.512,1.9182,1 
4.4514,0.6986,1.5288,0.7052,1 
6.5257,0.4104,2.9227,0.1111,1 
5.2821,0.1009,2.6622,1.7142,1 
5.197,0.6648,3.4954,3.3226,1 
4.9633,0.3143,1.3703,3.7019,1 
4.2275,0.6471,-0.1786,1.5619,1 
5.0771,-0.3852,2.6727,4.1139,1 
4.7987,-1.1574,2.0285,3.2238,1 
7.2824,0.0794,1.989,2.7068,1 
4.9609,0.9366,1.8955,2.2235,1 
4.3103,0.0763,3.0813,1.1258,1 
6.6828,-1.3492,3.12,2.103,1 
6.1422,0.3718,2.4312,-0.02,1 
5.0437,0.3514,3.1058,4.3023,1 
4.1274,-1.0997,3.6403,2.5086,1 
4.9484,0.1257,2.7136,2.0808,1 
6.0088,1.0912,0.9252,2.354,1 
7.2659,0.2942,2.0457,1.9435,1 
3.6069,0.4061,3.7736,1.1144,1 
4.8427,-1.2355,0.906,0.6419,1 
5.0304,0.9853,4.0096,0.3045,1 
6.599,0.2609,1.7951,3.8782,1 
5.8486,-0.7695,2.2973,1.1872,1 
3.6239,-0.8458,3.4431,3.2839,1 
5.0139,-0.1856,0.3508,1.5663,1 
6.7316,-1.4035,0.7604,2.4324,1 
5.7392,-0.0085,0.8373,0.9906,1 
6.2105,1.1501,2.9281,0.3995,1 
3.8303,0.453,1.6663,2.1141,1 
5.3585,-0.4793,3.5126,2.3039,1 
7.3914,-1.1676,0.8515,2.8759,1 
5.1445,-1.9349,2.12,0.986,1 
5.9096,-1.9337,2.561,3.2443,1 
5.8805,-0.3895,1.1252,1.2236,1 
4.7358,0.0128,1.5914,0.5832,1 
4.1719,-0.117,0.9596,1.3143,1 
6.0832,-0.8262,1.3217,1.2726,1 
5.6461,-1.4553,1.6226,1.0238,1 
6.4799,-0.242,3.6581,0.8889,1 
5.1981,-0.7507,0.4847,1.2668,1 
5.0544,-0.2009,1.7484,-0.403,1 
5.5006,0.5159,2.9456,1.8308,1 
5.3287,0.1175,0.7322,2.1398,1 
4.0054,0.2327,2.1371,3.0339,1 
5.3899,-0.3449,2.9782,1.8116,1 
6.2471,-1.0992,1.6087,1.6845,1 
