Feature1,Feature2,Feature3,Feature4,Class
2.2598,10.1572,3.0172,0.3503,1 
0.9307,11.2286,1.561,1.2229,1 
1.7857,11.0935,0.3732,-0.7441,1 
1.1357,10.0856,1.5839,1.1561,1 
0.6705,11.8344,2.8654,3.0768,1 
2.642,10.7899,2.5968,1.6318,1 
2.7098,10.8297,3.266,2.7855,1 
3.0441,10.8873,3.3661,1.8802,1 
2.532,10.2069,2.6513,1.5256,1 
1.7295,11.261,0.7994,1.7506,1 
1.5872,10.0668,1.7429,1.6279,1 
2.2795,9.1827,2.0759,2.213,1 
3.4054,9.0595,2.3139,3.4686,1 
2.745,9.5775,1.1228,0.5239,1 
2.2373,10.6028,1.0329,2.0351,1 
2.8819,9.4571,-0.0646,-0.4493,1 
3.5213,10.6021,1.6553,2.5448,1 
1.2812,12.6315,1.9799,1.1997,1 
1.5569,8.7533,1.4166,2.4031,1 
2.2049,10.9664,1.7231,0.1428,1 
2.0501,10.2982,2.255,3.0635,1 
4.0496,9.6021,2.6646,1.9868,1 
1.25,10.1668,1.9876,0.1853,1 
0.4338,12.0523,4.3319,2.4065,1 
1.4343,10.74,2.196,0.6002,1 
2.4907,10.628,1.1458,1.2652,1 
2.4032,10.3628,0.0973,1.1121,1 
3.5068,9.5473,1.3995,0.3665,1 
1.6531,9.4181,1.4507,0.9732,1 
2.1931,11.6001,2.5754,3.004,1 
2.544,8.4848,2.1125,2.5862,1 
2.5226,9.5846,1.0642,3.8675,1 
0.9772,10.7172,1.4208,2.9525,1 
-0.8023,11.7853,2.6244,2.8246,1 
1.0567,8.3842,1.67,0.9957,1 
1.4678,8.0496,1.6128,1.9823,1 
2.3507,8.8673,2.2597,0.2736,1 
3.3858,10.979,1.5172,2.9858,1 
1.551,9.0668,3.1558,2.6893,1 
3.9012,9.2508,2.7779,1.3012,1 
2.0523,8.9899,0.8988,-0.4205,1 
2.8666,10.7847,2.9058,1.9091,1 
2.6923,10.8487,1.503,1.4963,1 
2.3398,9.9419,2.5231,2.1974,1 
0.291,10.9261,3.4221,0.856,1 
1.8539,10.8503,0.831,3.7189,1 
2.1547,9.2136,-0.5552,1.6101,1 
2.5639,10.5258,1.4755,2.1279,1 
0.6924,10.2289,-0.2363,3.7257,1 
1.9308,9.6894,2.0151,1.1964,1 
1.3912,11.3804,0.6958,1.9794,1 
1.0787,10.0618,2.9726,1.0336,1 
2.3399,9.2057,1.7217,1.4061,1 
1.7537,11.2288,2.8477,1.4317,1 
1.0261,11.989,1.0499,1.42,1 
1.9921,11.0372,3.9119,3.2929,1 
1.6343,10.9028,1.5437,1.7398,1 
4.6396,9.5967,2.8653,1.8272,1 
2.8323,9.3646,2.7735,0.9084,1 
1.7706,10.2727,0.6826,0.85,1 
4.7368,9.8028,2.4068,1.4694,1 
2.9362,11.0437,1.1036,1.2335,1 
2.7108,9.1022,1.1423,2.0092,1 
1.0465,11.0587,2.4359,0.2922,1 
1.1453,9.5035,2.9547,2.5929,1 
0.3389,11.0572,1.3401,2.6662,1 
-0.542,12.3689,0.6436,2.0874,1 
0.9967,10.7918,1.1368,0.5303,1 
1.5384,8.9586,0.3561,2.1882,1 
2.5429,11.2841,1.7933,3.6292,1 
1.1475,12.5751,3.5267,2.1619,1 
2.1368,9.512,1.734,3.4618,1 
0.7304,9.4368,3.2776,2.6099,1 
0.1435,9.6263,0.0495,3.6729,1 
1.2677,11.9986,2.0243,1.8182,1 
2.4649,9.6522,0.6922,4.1204,1 
0.685,8.7818,1.4771,2.0008,1 
0.8091,10.1093,2.1731,1.1731,1 
2.0453,11.0883,1.4741,1.2684,1 
3.3738,11.3465,2.9845,2.6591,1 
3.549,8.8046,2.2284,2.4911,1 
1.9101,10.9879,1.445,0.963,1 
2.0187,10.0616,2.5315,2.0673,1 
2.828,9.7266,0.5829,3.7785,1 
1.5092,10.0699,2.7023,2.0143,1 
1.2307,10.9439,2.8803,4.1167,1 
2.006,10.1483,1.7614,0.9387,1 
2.0439,10.2854,1.7916,1.9137,1 
0.1635,11.1131,2.7256,0.2434,1 
2.8259,11.1161,2.631,2.2364,1 
3.4531,10.3449,0.91,2.0619,1 
1.6079,10.2783,3.4026,2.4499,1 
2.3536,8.6358,0.8661,0.8814,1 
2.7696,8.8672,3.805,1.9658,1 
3.1712,10.1849,2.9987,2.9039,1 
2.3926,11.7665,3.5239,0.4178,1 
2.787,10.7516,1.715,3.3788,1 
3.8556,11.401,1.2478,0.3833,1 
1.5691,11.4383,2.2046,3.2112,1 
1.8574,7.3857,0.5069,2.3222,1 
2.6555,11.1474,1.5831,2.9092,1 
1.5194,7.4246,2.7293,4.1319,1 
2.4213,10.4012,2.2811,2.6316,1 
2.0501,10.2031,2.8577,1.9823,1 
1.3264,11.0005,1.7051,2.9128,1 
1.8189,10.1786,2.5421,2.0077,1 
3.3377,10.571,0.476,2.5983,1 
2.0251,9.6712,1.4921,3.2229,1 
1.6766,11.0948,-0.2136,1.2457,1 
2.9793,10.8085,-0.313,2.4,1 
1.8595,9.4147,1.9414,1.8553,1 
1.132,11.3354,2.404,0.7328,1 
2.8517,9.8961,1.7723,1.577,1 
4.2549,11.5516,0.8077,2.8439,1 
1.7983,9.2904,1.4935,2.5961,1 
1.1705,11.654,3.7906,2.3156,1 
2.8939,9.592,0.5557,5.0737,1 
0.9988,10.3087,2.6528,1.6287,1 
2.2342,9.8385,3.1358,3.8289,1 
1.2393,9.6036,1.7952,1.6347,1 
0.6668,8.5048,1.8202,1.8081,1 
1.4303,8.2654,2.2554,1.4945,1 
2.3172,11.5085,2.9036,2.9901,1 
2.103,8.7744,2.6508,2.0413,1 
2.3084,8.6632,2.4964,0.4066,1 
1.1412,9.2931,0.5391,1.5545,1 
3.8004,10.0349,0.8291,2.6583,1 
3.5848,10.3287,2.0815,2.2045,1 
4.0041,9.2044,1.4819,2.4723,1 
3.5911,11.055,0.977,2.8679,1 
0.9501,9.9047,3.0001,1.8346,1 
1.5778,9.4439,1.4254,2.542,1 
2.6574,10.2086,0.6516,2.2691,1 
2.1524,12.0797,2.6076,1.2591,1 
0.9623,10.4534,2.2949,2.3472,1 
1.3943,10.1833,3.4271,2.0464,1 
2.1561,10.2143,2.3552,2.7001,1 
2.4712,10.1189,1.5145,3.3596,1 
0.59,8.1157,1.8599,2.4545,1 
2.528,9.9866,0.2448,2.2196,1 
3.0022,9.5074,2.2821,1.1118,1 
1.0131,11.3661,0.9628,4.0277,1 
3.1893,11.0276,3.0678,1.6079,1 
3.2283,9.2103,1.093,1.354,1 
1.0766,9.6067,2.7854,3.2085,1 
0.7386,9.3741,1.6315,0.3723,1 
2.4207,10.7045,1.5945,2.6494,1 
2.9533,11.0513,0.7337,2.4622,1 
0.7719,9.3085,0.8664,2.6571,1 
1.3895,8.9399,2.6327,2.8899,1 
0.836,9.2409,1.9481,3.6073,1 
2.3155,9.9179,3.6414,2.7865,1 
2.6004,10.7849,1.5333,2.6408,1 
1.2446,8.5173,2.4032,2.7714,1 
1.0935,11.8826,1.3329,2.125,1 
1.5299,8.8792,0.9028,1.7497,1 
-0.0365,11.5752,1.1026,1.8447,1 
0.2504,9.1801,0.9124,2.0671,1 
2.8328,10.8707,1.8703,2.3354,1 
2.5627,10.038,2.3288,0.9635,1 
3.4627,10.7231,1.3909,3.3096,1 
2.9672,9.8968,1.915,1.2071,1 
2.8738,12.3994,2.259,2.0144,1 
1.7557,9.8041,1.0402,1.2868,1 
3.9423,8.9196,2.5535,1.3329,1 
2.2768,10.4128,1.1227,2.7119,1 
1.101,10.0974,3.0611,2.8596,1 
1.1197,10.3907,2.524,2.2746,1 
0.8159,7.9813,1.2444,1.3053,1 
3.067,7.4334,2.6977,2.1038,1 
2.6039,10.1966,3.1106,2.1941,1 
0.8384,9.6965,0.1581,3.647,1 
0.6319,8.8939,1.0623,1.2841,1 
1.8824,9.167,2.1085,-0.0197,1 
1.9851,10.8448,1.476,1.7136,1 
0.5473,10.1505,0.9199,2.0096,1 
0.5731,9.2112,4.0467,1.6086,1 
3.1317,7.9956,1.8067,1.2649,1 
2.4457,11.3932,1.6647,2.825,1 
2.0241,9.4312,2.7066,3.5066,1 
2.2162,9.9232,3.7494,0.116,1 
4.2401,9.5463,1.2673,3.1653,1 
2.1105,11.4005,1.8109,2.0866,1 
2.9242,10.5924,1.1504,1.6018,1 
0.9123,8.2184,3.18,1.2084,1 
1.8981,10.4523,2.4793,1.6749,1 
1.4958,10.8638,2.756,1.8899,1 
1.7351,10.6988,2.7481,1.3326,1 
1.6337,9.3579,1.6703,0.4577,1 
0.8938,9.9079,1.1293,2.4943,1 
0.519,10.8599,3.1395,1.6919,1 
1.7582,12.1531,2.2822,3.5567,1 
2.0402,10.4997,2.2303,1.8676,1 
2.7631,10.0803,2.4208,2.6839,1 
1.8778,7.7772,3.0616,3.5713,1 
1.9328,8.6281,0.3167,1.2838,1 
2.0138,9.5924,3.6308,2.6958,1 
1.9808,10.2805,4.7224,0.5867,1 
2.7333,10.4936,-0.3346,0.5491,1 
1.196,10.226,2.754,2.1475,1 
2.1679,9.804,1.3135,2.5806,1 
0.9908,10.6848,4.2886,2.726,1 
2.0844,10.1487,1.2887,2.2442,1 
0.9155,10.8117,1.9561,0.2154,1 
0.175,9.7046,1.5191,2.6845,1 
1.1734,11.1802,1.7521,2.8686,1 
1.2349,10.4124,1.5297,2.992,1 
3.3617,9.9472,2.4601,2.8137,1 
2.7783,9.064,1.6573,0.4924,1 
0.9926,11.662,2.7553,2.3542,1 
3.744,10.4487,2.4975,1.2658,1 
3.0982,9.1352,3.3945,1.2165,1 
0.5641,11.1002,1.6446,4.3546,1 
3.5994,8.4518,2.9755,1.558,1 
2.0283,9.8451,3.0358,2.465,1 
3.5729,7.6441,2.5289,1.1073,1 
1.5021,9.8492,1.3008,1.4313,1 
1.8828,9.5965,0.6974,1.6384,1 
1.8394,8.4943,1.6622,3.3614,1 
1.6068,9.9742,2.8655,2.7495,1 
1.2526,9.0684,2.8343,1.4558,1 
3.6549,10.0372,0.9202,1.2742,1 
1.3307,9.576,1.0112,1.363,1 
2.9428,10.4159,2.7356,1.1179,1 
1.6829,11.6803,1.264,0.9389,1 
2.5778,9.4542,3.944,2.6765,1 
2.667,11.3371,0.8434,0.5223,1 
2.6851,7.3264,3.3624,2.7476,1 
0.0184,9.2949,2.908,0.097,1 
2.4114,9.5992,3.5125,3.5187,1 
2.8135,9.5784,2.3497,3.4933,1 
2.1737,9.5799,3.3035,1.0358,1 
4.3523,10.7608,3.3804,2.0336,1 
1.7703,8.2131,0.6152,3.3706,1 
0.8161,9.9582,0.5802,2.7151,1 
2.8952,9.8522,1.813,1.4647,1 
-0.5236,10.2489,2.0976,2.7091,1 
1.6734,8.5915,1.1759,1.2209,1 
1.2426,10.1971,1.7256,0.5871,1 
3.5367,10.5154,2.2847,0.9686,1 
1.5751,8.7182,2.0251,4.5272,1 
2.0629,9.6244,1.683,2.3464,1 
1.8237,10.3866,0.8169,2.474,1 
1.8583,10.5763,1.1953,4.4054,1 
2.8298,9.5151,1.1594,3.8212,1 
2.5941,10.1664,2.651,1.8089,1 
1.9519,8.528,2.8947,1.8906,1 
1.3749,7.5882,1.6953,2.2165,1 
2.2117,9.4187,3.5487,1.3672,1 
2.0238,9.7916,2.0736,1.3571,1 
-0.0316,11.3877,2.5344,1.3652,1 
0.9545,8.6218,1.279,1.7105,1 
2.313,10.2626,2.9364,1.2953,1 
2.0917,8.7635,2.2437,1.3749,1 
1.6479,9.9192,0.9956,1.8651,1 
3.3745,10.2774,0.9619,3.0244,1 
1.729,11.4366,1.262,2.4338,1 
0.7049,10.0823,1.9555,3.9587,1 
1.6831,10.1255,2.536,1.5419,1 
0.6418,8.8615,-1.1381,3.2781,1 
3.2904,9.2837,1.8028,-0.438,1 
1.9031,9.5136,1.1979,2.3395,1 
2.6403,11.2282,2.8503,3.9202,1 
0.7103,10.7236,3.165,2.202,1 
2.0403,10.4751,1.3612,2.0349,1 
1.9308,9.2327,2.0404,1.1787,1 
0.6231,8.7774,2.2741,1.6816,1 
2.6738,9.9981,2.1298,3.31,1 
2.988,10.6966,1.1711,2.5333,1 
0.8995,12.275,2.1101,1.4745,1 
1.1659,10.6902,1.7606,1.0967,1 
3.3663,10.2224,0.3659,1.8715,1 
1.9961,10.7516,0.8539,2.3953,1 
2.0362,10.4718,2.0917,3.3451,1 
1.3091,9.3271,1.8001,2.3163,1 
3.7399,9.9931,2.1845,3.967,1 
1.3247,10.669,1.8488,4.1646,1 
1.5517,9.8933,1.9077,1.7912,1 
-0.0527,10.8336,1.9795,2.5989,1 
3.0087,8.7342,1.9973,2.0765,1 
1.9299,8.82,2.3387,1.7067,1 
3.1318,7.9845,2.2294,1.7498,1 
1.6931,9.3515,2.4913,2.4618,1 
2.3938,9.7818,3.8826,2.2988,1 
2.5591,9.9092,1.6125,0.1322,1 
2.3139,9.0896,1.0982,0.583,1 
3.2321,9.8563,1.8382,2.6626,1 
2.7589,8.4905,1.838,1.5217,1 
2.0808,10.284,2.7387,0.6312,1 
2.7605,7.6293,2.5606,1.5529,1 
3.6753,10.5059,2.0375,2.2426,1 
3.6745,10.9656,2.0067,1.6561,1 
2.5138,11.4202,3.0837,0.8723,1 
1.2879,9.4208,2.0004,3.3743,1 
1.5808,8.2433,2.1223,2.0787,1 
3.0437,9.9369,1.722,0.6296,1 
0.0971,11.2489,1.9611,1.6015,1 
3.5953,8.938,1.0757,1.5365,1 
1.0041,9.1141,1.9194,2.04,1 
3.5218,10.2133,1.2231,1.3292,1 
1.1603,9.7012,0.7655,2.8392,1 
2.0036,9.733,3.0941,3.9436,1 
2.3006,10.9527,1.3372,3.0339,1 
2.8928,10.9089,3.5194,1.6866,1 
1.7934,12.2685,1.2399,1.7334,1 
1.6278,9.9785,1.5943,1.4721,1 
2.3919,10.6712,0.6588,0.1763,1 
0.574,10.4775,2.7322,1.5138,1 
2.773,8.7479,2.2182,3.289,1 
4.5439,9.9681,2.1504,1.0696,1 
2.005,9.2023,1.5415,2.5419,1 
1.3733,10.9187,3.7251,1.1379,1 
2.0757,9.0774,1.9638,2.4913,1 
2.2323,8.9835,2.1093,0.0873,1 
0.4808,10.3936,1.6017,2.1212,1 
0.4411,9.9951,1.0048,1.8504,1 
