Feature1,Feature2,Feature3,Feature4,Feature5,Class
-0.6697,1.4305,1.8896,2.8134,0.497,1 
-1.6885,0.815,1.7621,2.0222,3.5149,1 
-1.2795,0.4028,2.6411,1.811,1.4423,1 
-0.5501,0.6494,1.1023,2.143,2.3015,1 
-2.0542,0.1469,2.2063,1.5726,1.559,1 
1.1288,0.0055,2.8447,1.1703,3.3108,1 
-0.7915,-0.6786,0.3828,2.3546,2.4523,1 
0.421,0.136,3.3916,1.4959,2.0138,1 
0.0888,2.076,2.6849,0.7066,0.5024,1 
-0.1125,-0.9423,2.7596,1.7905,3.3358,1 
-0.4457,-1.9496,1.1942,1.7851,3.3955,1 
0.38,-2.3236,1.7829,2.6644,2.3352,1 
-1.6259,1.6449,3.0492,1.5232,2.4727,1 
-0.0428,-0.6526,2.1366,2.9282,1.1902,1 
-1.0758,0.2817,2.195,4.6758,2.5527,1 
0.7708,-0.7214,4.0472,4.0299,3.1211,1 
-0.1498,0.5989,1.9459,2.8629,4.0351,1 
0.0855,-0.2376,2.3942,3.6696,1.2349,1 
-1.1559,1.111,2.9318,1.3554,2.0378,1 
-1.1817,0.86,0.9831,2.233,0.9642,1 
-0.3458,-0.8618,2.2289,1.5196,2.7137,1 
-0.5802,2.7615,2.0867,3.048,0.9598,1 
-0.3576,0.0084,0.5375,2.9342,2.4641,1 
0.5352,1.0466,0.0233,1.9712,2.5754,1 
0.6419,-1.516,2.1096,1.0708,2.2146,1 
-0.0246,-1.9894,0.7694,2.0824,1.4865,1 
0.3733,0.8552,3.2613,2.1984,1.4278,1 
0.2493,-0.1982,2.2232,2.2234,-0.5864,1 
0.4121,-1.3672,1.6968,0.1594,-0.0932,1 
1.4546,-0.133,2.6589,1.3805,3.5517,1 
-2.7879,-0.2312,3.0104,0.5819,1.2716,1 
-0.4813,-1.6329,0.9994,3.974,2.2097,1 
1.0245,0.3288,1.6415,2.6768,1.2065,1 
0.8473,1.9241,4.4959,2.9808,1.4235,1 
0.7236,1.6475,3.9453,2.727,1.1696,1 
-1.8065,0.048,0.8001,2.1847,3.0397,1 
-1.3223,0.5503,1.1114,2.0514,2.4204,1 
0.1565,0.4693,0.5008,2.8767,2.5662,1 
-0.9656,-2.4055,0.7668,2.33,0.0461,1 
1.4611,0.516,1.3006,3.2404,2.8369,1 
0.7583,1.1709,1.0658,2.6712,1.2158,1 
-0.3356,0.1065,2.3187,2.9658,0.1914,1 
-0.6635,-1.1943,2.666,1.4903,3.8791,1 
-0.6285,-0.6614,1.3542,2.116,2.0926,1 
-1.988,-1.5086,0.0347,1.1017,1.8411,1 
0.0922,1.3424,1.9421,1.9253,3.3228,1 
-2.0418,-0.9116,1.9285,1.8931,1.9032,1 
0.2732,-1.0073,2.2325,4.0179,2.962,1 
1.7509,-0.832,3.4011,1.5892,0.9906,1 
-2.4528,-0.4762,0.6648,2.497,1.2353,1 
1.1297,0.8836,2.3497,2.747,2.1694,1 
-0.1421,-0.9349,2.0361,3.0939,5.0676,1 
-0.3022,0.9943,-0.1187,2.2411,1.7938,1 
0.9694,0.4739,1.2335,2.361,1.6332,1 
0.7588,0.9256,0.7256,1.8165,2.1436,1 
-0.9278,0.6566,3.6106,1.8234,2.7051,1 
-1.2862,0.6443,2.6915,1.1811,1.6049,1 
0.6163,0.3542,1.8968,1.6197,0.2134,1 
-0.9372,-0.8264,1.191,2.1972,0.4255,1 
-0.3229,-0.5934,3.8062,1.4938,2.5166,1 
-0.9718,-0.0077,1.5981,1.0265,1.0086,1 
-1.3798,0.2054,2.4195,0.6073,1.6091,1 
0.6963,-0.1755,1.3317,2.0918,0.9967,1 
0.4753,-0.2758,3.1251,2.8254,4.0227,1 
-1.7361,0.4432,2.0078,2.3121,2.5611,1 
2.1998,-0.2441,3.8486,0.4829,1.6395,1 
-1.2788,-1.3537,1.6196,0.966,1.6212,1 
-0.379,0.0365,1.4536,2.1766,2.7088,1 
-0.6499,-0.2327,2.3787,3.1788,0.9611,1 
1.3115,-0.7865,1.618,1.9618,2.3694,1 
-0.1428,1.3996,0.8587,1.8518,3.3329,1 
-1.5737,0.4065,2.4899,2.7587,1.0214,1 
1.1668,1.2556,0.9658,0.9973,3.7193,1 
0.0305,0.99,1.9103,0.3617,1.9673,1 
1.0917,0.0753,1.4254,1.1435,2.647,1 
0.0984,-0.9885,2.9305,2.6225,1.5148,1 
1.5083,0.2616,3.4857,1.919,0.8104,1 
1.0857,0.5761,1.57,1.6402,2.5915,1 
-0.112,-0.5207,1.143,0.5898,1.8023,1 
0.4033,0.0686,1.8741,2.1173,1.3527,1 
