Feature1,Feature2,Feature3,Feature4,Feature5,Class
-0.1877,2.4406,1.0591,2.6139,2.7356,1 
0.9729,0.2592,1.9259,1.8223,1.1613,1 
-0.1563,-0.3418,2.8187,1.9074,2.5081,1 
-1.7542,-0.3648,1.9691,1.8739,2.2992,1 
1.8221,1.4172,1.5427,2.8602,2.2847,1 
0.5106,1.5783,2.1613,2.7182,1.194,1 
-0.5982,1.3238,3.1373,1.5117,2.3481,1 
-0.9709,-0.2121,2.4234,2.1038,2.051,1 
-0.6714,0.2717,2.007,2.3266,2.0362,1 
-1.1933,-0.1581,2.0134,1.5277,1.7919,1 
1.4415,-1.6711,2.5446,3.2613,2.9628,1 
-0.2799,-0.2304,2.4521,1.6458,2.3402,1 
0.6362,0.75,3.3507,1.7114,2.087,1 
-0.0841,-0.999,2.1013,2.2976,2.2798,1 
-1.301,-0.1064,1.3284,1.5291,3.0609,1 
0.2038,0.4196,3.5982,2.2156,3.8475,1 
-1.7912,-0.3069,0.8253,2.8049,2.9438,1 
-0.3778,1.4644,0.6926,1.6356,1.7045,1 
-1.246,-0.726,0.2972,2.3191,2.2591,1 
-0.3217,0.2894,3.5146,3.8427,3.1291,1 
0.6929,1.1059,1.4287,1.77,3.7934,1 
-0.2183,-1.0894,3.0546,2.5397,2.9679,1 
0.7383,-0.8719,0.6701,2.2008,1.8976,1 
0.906,0.2556,1.8425,2.1714,1.6698,1 
-0.535,-0.2161,0.7452,1.5821,1.9107,1 
1.4128,-0.8313,1.9944,1.3422,2.0857,1 
0.8869,0.0077,2.2767,4.2789,1.5212,1 
-1.4471,-1.7726,2.9008,2.2297,1.1366,1 
-0.4989,1.1327,3.5178,3.2798,3.923,1 
-0.746,0.685,2.9808,2.1302,2.4222,1 
0.6884,1.0474,2.8348,1.1471,2.452,1 
0.6197,-1.123,1.5013,1.9374,2.1128,1 
1.5586,-2.0892,2.6009,2.7597,2.0863,1 
-0.8869,0.6558,2.0207,2.1446,0.575,1 
-0.7462,-0.4687,2.6763,3.2675,1.5924,1 
1.1739,-0.1971,0.6166,2.7505,1.9914,1 
1.2119,3.1577,0.963,2.1323,1.2327,1 
-0.5603,1.5299,2.1867,2.3722,2.5509,1 
1.2786,-0.9899,2.9881,3.599,4.0412,1 
0.7907,0.9448,0.8844,1.1995,1.3851,1 
0.5456,3.4038,0.0663,0.5819,2.4718,1 
0.12,-0.6293,1.0605,3.5766,2.7176,1 
0.9051,-0.7536,2.551,3.1195,2.9154,1 
0.366,0.2206,-0.6077,2.3807,3.0363,1 
-0.6008,-0.814,1.3327,0.0168,2.4928,1 
-0.6051,-1.4689,1.1786,1.3423,0.8178,1 
0.4461,-0.3871,1.5816,1.7787,1.6434,1 
0.2962,-0.2423,0.2867,2.1128,2.2613,1 
0.8356,-1.4919,2.1225,1.6966,2.3366,1 
0.3311,1.7034,1.59,2.5149,3.0369,1 
-1.072,0.4347,2.0869,2.3703,3.5328,1 
-0.5086,0.6525,3.071,1.8882,1.8317,1 
1.4178,-0.5705,2.0745,2.6871,1.7767,1 
2.1396,-0.1843,1.7761,1.8426,2.8817,1 
0.6406,1.675,0.6552,-0.835,2.385,1 
0.5123,-0.8,1.9358,2.3178,2.2028,1 
-0.4267,0.093,0.8029,0.5968,2.0933,1 
-0.1044,0.6784,0.4473,1.9098,2.8428,1 
-1.523,-1.5532,-0.5256,0.4502,0.8949,1 
-1.343,1.2679,0.662,1.3707,1.5861,1 
-0.6445,-1.0089,2.0075,2.2626,1.8701,1 
0.0033,0.7815,3.9671,3.9166,1.1441,1 
0.8937,-1.0334,1.7278,0.3562,1.2646,1 
-1.2344,1.4374,2.8614,2.5518,2.9743,1 
1.5052,0.697,1.9516,3.875,1.9702,1 
0.2536,-0.8818,2.6674,1.8778,0.0614,1 
-0.323,-2.0888,2.185,1.5287,2.6492,1 
0.3525,1.6422,1.6006,3.2351,1.5178,1 
1.4505,-0.2737,0.5285,3.284,2.165,1 
1.755,0.3619,1.9893,3.4206,2.447,1 
-1.3022,-1.8195,1.3587,1.8073,2.9214,1 
-0.4891,0.7993,3.2036,3.5149,3.1365,1 
0.412,-0.8077,1.4769,2.4772,2.4663,1 
1.277,-1.2943,2.5075,0.1345,2.1563,1 
-0.2068,-1.1498,2.0968,3.3356,3.3936,1 
-1.8543,0.0628,-0.3224,3.3868,1.2219,1 
-0.177,1.631,1.8747,1.9885,2.6359,1 
0.8776,-1.7997,2.2869,1.7727,-0.507,1 
0.2102,0.4802,2.4657,2.1198,2.584,1 
1.032,0.0107,1.7194,1.2794,2.6436,1 
1.1624,1.1707,2.8223,2.7181,1.6405,1 
1.3032,-0.595,2.0904,2.7218,0.1853,1 
-0.585,1.3829,3.5761,2.4505,0.7372,1 
0.3367,0.1116,1.3703,0.6133,2.3124,1 
-0.2131,2.3826,3.2104,1.896,1.1031,1 
-1.282,1.1576,0.7865,1.0345,0.2963,1 
0.495,-0.2948,2.6105,1.5892,2.9937,1 
-0.0907,-1.904,1.0173,1.2586,2.9377,1 
-1.6804,1.9406,1.0725,1.5218,0.744,1 
1.448,-0.6575,2.2176,2.4944,4.0797,1 
0.3324,0.0898,1.9682,1.6588,4.7511,1 
0.9676,0.1378,3.5161,2.1156,3.4496,1 
1.4104,0.7135,3.5371,1.9095,0.5148,1 
1.496,0.0403,2.1388,2.4397,2.5284,1 
0.8224,-0.7369,0.9042,2.1641,2.2091,1 
-0.6084,-0.71,-0.1838,3.621,3.4578,1 
-0.2701,-0.1047,3.2966,3.8172,1.4847,1 
0.7272,0.53,2.3319,3.088,0.2611,1 
2.0022,1.0876,1.9207,1.3923,1.273,1 
0.9855,2.0467,0.354,1.026,2.543,1 
1.4834,1.1476,1.9951,3.3015,3.0565,1 
-0.4429,0.2414,1.7289,1.4187,1.9654,1 
-0.2222,-3.282,1.8977,2.2704,1.8496,1 
1.3265,1.103,0.3503,2.3279,2.7539,1 
2.286,0.2466,2.0767,3.1027,3.3079,1 
-0.3839,-1.1619,3.2446,4.0336,4.3363,1 
-1.4057,-0.2321,1.9929,0.851,1.3544,1 
2.2305,-0.9986,2.0716,2.6449,1.5844,1 
-0.8882,0.5966,2.2054,3.6681,2.5169,1 
-0.4323,1.35,2.9231,1.209,3.9378,1 
0.9249,-1.268,1.9985,2.2349,2.2493,1 
0.9785,0.8655,1.2574,0.2524,1.8302,1 
0.6496,-0.3125,1.7223,2.8158,0.9976,1 
0.9047,-0.2674,1.887,1.4683,3.297,1 
2.2424,-0.715,1.7033,1.9369,2.6252,1 
-2.4439,-0.6053,4.1529,3.0905,1.8579,1 
-0.6087,-0.3437,2.4955,3.4842,0.8011,1 
-2.6129,0.1609,2.8476,4.7993,2.8306,1 
0.4151,1.0045,1.3617,2.8105,3.1683,1 
0.5375,0.1731,2.9452,2.217,1.2722,1 
1.3683,0.5436,4.1225,3.7248,1.3253,1 
0.7852,1.2884,3.4361,2.7706,0.9449,1 
-0.1964,3.1696,2.731,0.7917,1.7178,1 
-1.2365,0.8625,2.0231,3.0792,1.5874,1 
0.4627,-1.6372,2.5668,1.6142,0.5679,1 
-1.0372,1.1597,1.6839,2.2178,0.9261,1 
-0.4279,-0.2319,2.1482,3.0246,2.3404,1 
1.5209,0.0027,2.3593,1.4096,1.8797,1 
0.6014,0.3072,0.5212,2.5222,1.287,1 
0.1276,-0.1956,0.9668,2.1335,1.8933,1 
-0.6239,0.8521,1.3138,1.3115,1.0661,1 
2.7913,-0.1164,1.5568,3.9384,1.3536,1 
0.1341,-1.2855,3.1363,2.2151,2.9194,1 
1.2698,-1.5895,2.1641,2.1153,2.0076,1 
