Feature1,Feature2,Feature3,Feature4,Feature5,Class
-0.6988,0.0106,1.0532,2.3287,2.3151,1 
-0.4028,-2.6333,2.202,1.5927,4.687,1 
-0.8839,-0.4037,2.1019,3.196,3.1724,1 
0.1691,-0.4913,1.1706,1.8104,2.4333,1 
-2.3685,-0.3772,1.6733,2.8957,1.5968,1 
-0.0999,0.258,1.7948,1.501,4.7782,1 
0.062,-0.964,2.9348,0.726,1.2147,1 
-0.4312,-1.2752,1.9544,1.4928,1.7188,1 
-0.0236,0.7727,1.1432,2.6145,1.3289,1 
-0.7619,-0.4506,0.8986,1.1202,2.3028,1 
0.3846,0.4842,2.3058,3.2774,2.039,1 
-0.5487,-1.3126,0.8204,3.1669,2.3823,1 
0.0262,-1.777,1.7365,3.2332,3.6514,1 
-0.0545,0.1296,3.508,0.6083,2.8708,1 
0.1766,0.1516,4.1691,1.1899,2.9181,1 
-0.9419,-1.5238,0.8074,2.7458,3.692,1 
0.4454,0.9458,3.7353,3.3983,1.4488,1 
-1.539,-0.3141,3.3701,2.0817,1.532,1 
0.7223,-0.4412,3.1326,1.4444,1.3411,1 
0.9554,-1.7724,1.4909,2.397,2.4444,1 
-0.9125,-0.5234,2.6472,1.2709,2.4375,1 
0.8382,0.6709,2.0754,1.2494,1.5417,1 
-0.6204,-2.3028,1.481,1.9753,4.8134,1 
-0.0642,0.1555,2.1678,1.4238,2.0289,1 
-0.5647,-0.582,1.3957,1.9799,1.7095,1 
-0.1889,-0.1768,3.0776,2.1206,1.6977,1 
1.3805,-1.3266,-0.8282,2.8801,1.2528,1 
-0.0377,0.6007,1.0237,1.7866,2.9854,1 
-0.9754,-0.6467,2.6375,2.1659,3.3831,1 
1.5598,0.7795,3.1644,2.8655,1.5691,1 
-0.1664,0.6617,2.156,2.6079,2.9414,1 
-0.0139,0.8554,1.7874,0.7161,2.029,1 
2.1387,0.4614,1.3425,0.5336,1.2793,1 
1.5927,1.1627,1.4562,3.077,0.2721,1 
0.1018,0.127,1.5948,2.4019,1.47,1 
-0.2995,-0.1119,2.9053,2.6987,3.6159,1 
-2.0329,-1.0172,1.774,1.3429,2.1882,1 
-1.3058,0.9325,1.3942,3.3256,3.4073,1 
0.7901,-1.9061,1.9515,2.3615,2.1483,1 
-0.5961,-2.6557,2.8974,2.7578,2.8024,1 
-0.5094,1.0379,1.5538,2.7816,2.4451,1 
-0.563,0.9979,1.8825,3.9724,2.3444,1 
-0.0956,-0.7486,3.0299,2.9297,3.3429,1 
-0.7915,0.375,3.5175,1.3031,3.0632,1 
-1.2041,-2.0641,1.787,1.4375,3.2918,1 
0.4626,-0.946,1.968,1.2128,2.5729,1 
0.3689,-1.5523,2.051,2.4002,2.4204,1 
-0.3,2.5797,1.4359,3.1712,3.0599,1 
0.8942,0.5356,2.4584,4.1205,2.0725,1 
1.5155,0.7255,2.2811,2.1065,3.4715,1 
-0.2723,-0.0696,1.2919,2.1541,3.0801,1 
-0.6768,-0.8032,2.1695,2.3314,-0.3217,1 
-0.205,0.4598,2.6061,3.4444,0.5711,1 
-0.5949,-0.0081,2.4371,3.3306,3.2113,1 
0.148,-0.4777,2.9678,2.0356,2.2259,1 
-0.7294,0.1082,1.9515,1.8396,3.526,1 
1.5282,-1.6727,1.6217,1.6861,1.5631,1 
-0.3622,-1.4005,1.4913,2.0134,0.9464,1 
-0.8635,2.3188,2.6085,3.3115,2.6495,1 
0.1081,1.8189,1.7863,2.2743,1.983,1 
0.0739,1.1193,2.2759,1.2134,2.4829,1 
-0.0136,-0.8445,2.5792,1.4603,1.3006,1 
-0.1098,2.0621,1.7347,0.7494,1.6033,1 
0.3219,-0.6054,1.8688,3.3075,3.4754,1 
-0.4583,-0.2035,1.3475,2.4928,1.7488,1 
0.153,1.1588,2.7409,2.2382,4.0078,1 
0.2128,1.3621,3.417,2.1437,1.228,1 
0.1042,-0.5002,1.5659,1.8292,2.8934,1 
-0.1446,-1.4797,0.4306,2.1499,1.0912,1 
0.894,1.6601,3.1216,1.6935,1.3016,1 
0.8836,-0.5744,1.7813,3.1885,3.5234,1 
0.4587,-1.1894,1.508,1.3706,0.5262,1 
0.7894,-0.0218,0.9245,2.7697,1.3865,1 
2.1871,0.844,0.1329,1.4834,1.0555,1 
-0.474,-0.4202,1.1919,1.8083,1.5413,1 
-1.8912,0.1737,2.0443,1.9154,1.8098,1 
0.1974,-0.697,2.129,3.8781,3.2646,1 
0.7315,0.8106,2.8519,1.8178,2.8875,1 
0.6271,-0.6092,1.1841,2.5617,0.4726,1 
-0.3283,0.4005,0.6669,2.4359,1.201,1 
2.1259,-3.3485,1.6663,1.1179,1.2479,1 
1.2094,-0.5136,3.7332,1.2848,2.6906,1 
1.1703,-0.9539,0.7714,0.96,2.7649,1 
-0.0494,-0.2431,1.6429,2.212,2.5102,1 
0.9257,3.2619,2.5665,1.5727,2.6781,1 
-0.0604,-1.0659,3.2489,3.5343,2.1684,1 
0.1127,-1.9367,2.3873,2.7743,2.2874,1 
1.1039,-0.5836,2.7311,3.0026,2.643,1 
-1.264,1.9602,1.3523,1.9821,3.2547,1 
