Feature1,Feature2,Feature3,Feature4,Feature5,Class
0.3404,0.6539,0.7559,-0.5733,0.118,1 
-0.0637,-1.1575,1.5041,-0.1847,2.7991,1 
-2.8428,-1.2951,3.2934,2.0084,1.6486,1 
-1.0911,-0.7556,1.9659,1.6384,3.1479,1 
-1.6807,-0.0919,1.1322,3.0665,1.524,1 
0.9405,0.0653,1.539,0.8063,1.1669,1 
0.3859,0.194,2.2177,1.0407,3.5994,1 
0.0854,-1.5834,2.2145,3.0752,1.2351,1 
1.7343,1.3673,2.4362,1.8616,2.6032,1 
0.0117,-0.8745,1.4777,1.6718,2.353,1 
-0.7023,-1.233,0.8216,0.4293,1.0102,1 
-0.5087,1.0822,1.1799,1.8516,0.3858,1 
1.5646,-0.1695,2.2789,2.1196,1.6373,1 
0.7315,0.9336,2.0469,2.2056,1.6072,1 
-1.3714,-0.2078,2.6202,1.491,2.6817,1 
0.9829,1.893,1.7208,0.8632,-0.3278,1 
-0.417,-1.3877,3.4273,1.7997,0.7427,1 
1.0978,-1.0049,1.6788,2.4173,2.9298,1 
0.7647,0.1045,3.0235,2.6574,0.8285,1 
-1.0515,1.1234,3.267,1.5733,2.8407,1 
-0.6622,0.0541,1.0541,2.3716,3.226,1 
-0.0067,-0.3921,3.8234,1.4998,2.6896,1 
-0.0737,0.4992,2.3658,2.8696,0.9742,1 
0.1983,-0.2631,2.5548,0.5968,2.9896,1 
0.2667,1.4662,1.2988,0.9485,2.3646,1 
-1.4516,0.1616,3.0875,2.4265,0.7549,1 
0.3458,-0.463,2.018,3.7003,2.3659,1 
1.8554,1.3262,1.2113,2.1174,2.2907,1 
-0.5935,1.4285,2.2331,0.1996,1.8508,1 
1.0935,0.6715,2.6616,2.8985,3.3326,1 
0.0248,-0.6585,2.3122,1.0987,3.3959,1 
1.9596,-1.2201,2.4763,4.7289,2.5612,1 
0.2,1.1007,2.1547,3.537,3.2451,1 
0.1686,-1.0084,1.6018,3.6098,1.6688,1 
2.9355,-0.4891,-0.6698,-0.3959,0.915,1 
0.9315,-1.2275,0.8356,2.4276,1.7144,1 
1.2128,-0.8487,3.1755,2.5833,1.672,1 
-1.6828,1.1739,2.5429,-0.7518,3.1511,1 
0.0512,-1.5225,2.982,1.8163,1.3085,1 
-0.9021,1.1776,2.3357,1.6134,0.7748,1 
0.7464,-0.7783,1.1182,0.1065,2.3038,1 
-0.5052,-1.3315,1.6001,2.4985,1.5493,1 
-0.2135,-0.9756,1.0664,2.8426,0.3187,1 
-0.213,0.9646,3.2207,1.0182,0.3019,1 
-1.0893,-1.6263,2.6471,2.3801,1.981,1 
0.2194,0.3071,2.1706,2.4899,3.1808,1 
0.588,-0.6832,2.2689,3.2389,1.672,1 
0.4551,0.3245,3.5055,2.2983,2.0721,1 
0.4431,-0.2124,1.7842,2.7024,1.3195,1 
-0.0616,-1.5416,2.434,2.2469,2.1436,1 
0.6182,-0.7454,0.7583,1.8048,2.4649,1 
-0.5092,0.09,0.2073,0.6959,1.9498,1 
-0.0288,-0.445,1.0179,1.1796,2.286,1 
-0.3537,0.8096,2.8032,1.9244,1.339,1 
-1.1917,-0.7518,1.3636,0.1583,0.7488,1 
0.074,-0.1645,2.5009,2.5878,1.8604,1 
1.4084,0.5663,1.8543,2.761,1.8096,1 
-1.2461,1.286,1.8604,1.2235,1.9109,1 
0.1182,-0.5142,0.2944,2.6316,2.883,1 
-0.514,0.5894,1.2326,3.5815,2.8612,1 
-2.4983,0.8313,2.5195,1.8295,2.9993,1 
-0.4709,-0.1629,2.9488,0.9039,1.7092,1 
-1.6093,0.6138,1.8417,2.9801,1.6309,1 
0.0577,0.2057,2.1311,2.1861,1.2119,1 
0.8968,0.0907,2.283,2.6703,0.0558,1 
-0.7999,0.2843,2.931,0.8308,2.1252,1 
0.201,0.284,2.8206,0.1843,4.7944,1 
0.6348,-1.2084,2.4072,1.379,1.657,1 
0.249,2.0156,1.0278,1.362,4.0717,1 
0.2194,-0.6848,0.406,1.437,0.7652,1 
-1.0152,-0.2645,3.1367,-0.0971,2.4191,1 
1.2131,0.8827,1.9351,2.6972,2.1687,1 
-0.5104,-1.3947,0.4443,2.6543,3.2603,1 
0.245,1.0758,2.5253,2.0926,-0.6143,1 
0.0388,0.0992,3.7594,2.9678,4.3395,1 
0.5821,0.6504,3.5173,1.3427,2.2311,1 
-0.6117,-2.261,2.6743,1.3874,1.577,1 
-0.1379,0.2421,1.7662,0.1674,1.5751,1 
-0.6996,-0.4128,2.5617,0.3765,2.7348,1 
0.3718,0.0852,2.2367,0.8328,1.2726,1 
0.7806,-0.0569,0.6931,2.4738,1.3233,1 
-1.163,1.282,1.2203,1.4544,1.2732,1 
-1.2253,-1.0957,1.5416,4.5174,1.9528,1 
0.2664,-0.8717,2.4519,3.2812,1.9368,1 
0.3276,0.5472,2.1366,2.7396,4.0056,1 
-1.246,0.5244,2.5615,2.0449,1.2075,1 
-0.2477,-1.9335,3.6965,2.3739,1.0894,1 
-0.7474,-2.6545,1.6955,3.3973,3.6276,1 
0.5467,0.0063,2.2481,1.5083,2.8373,1 
-0.9655,1.4572,2.2806,1.1745,1.7037,1 
0.3833,-0.2749,1.0481,2.8688,2.8126,1 
-0.3533,0.9046,1.1629,1.8676,3.0777,1 
1.5773,1.3359,2.2001,-0.4693,2.2826,1 
-0.4711,1.1577,1.7364,0.2227,2.853,1 
-0.6747,-0.6498,1.8998,1.9734,2.2942,1 
0.6327,-0.43,0.9577,-0.5674,3.152,1 
1.2613,2.2555,1.2036,1.6307,1.9683,1 
0.5947,0.4146,4.6725,2.2111,1.616,1 
-0.2603,1.7559,2.4912,1.7625,2.0288,1 
