Feature1,Feature2,Feature3,Feature4,Feature5,Class
5.7439,-0.2443,0.5945,3.5093,2.165,1 
6.1344,-0.6395,3.2283,1.009,1.3704,1 
4.4828,-2.0677,1.7005,2.837,2.1227,1 
5.0062,-0.0734,1.2369,2.4576,1.0549,1 
4.9807,-1.1433,3.6513,2.7559,1.1762,1 
6.3596,-0.9465,3.9911,3.3542,1.8374,1 
6.5146,-0.608,2.4575,4.0898,0.6778,1 
6.1441,0.6552,3.1598,1.3849,1.1251,1 
4.3902,0.3386,3.0459,1.2815,1.5141,1 
4.9652,0.2259,2.4756,1.1498,2.9997,1 
4.2329,-0.8664,1.525,2.3054,1.4488,1 
6.0799,-0.7637,1.5227,1.7683,-0.5914,1 
3.7995,-1.495,1.7771,0.6201,2.0851,1 
4.2783,-1.5335,2.0021,2.1346,1.4692,1 
4.1189,0.8361,0.9303,1.1035,2.7864,1 
2.6051,-0.4157,1.7837,2.6327,0.9635,1 
5.1298,-0.5101,1.8294,1.3678,1.5223,1 
4.4221,-0.3338,1.5434,1.2546,2.8518,1 
4.5331,2.4023,2.8275,1.9077,1.7954,1 
4.3399,2.6535,1.1503,0.9689,1.6084,1 
5.7236,0.4622,1.8381,1.5916,1.8659,1 
6.4857,0.1876,2.2415,1.5509,1.3449,1 
3.8953,-0.2155,2.5524,0.2111,2.4721,1 
3.7133,0.2025,2.2253,1.9735,1.7912,1 
4.4171,0.7938,1.8917,1.6078,1.6621,1 
4.7249,1.4333,3.0604,3.0237,0.8308,1 
6.1599,0.6599,2.6145,2.3792,3.5507,1 
4.1884,-1.2165,3.4982,2.278,2.2287,1 
3.8121,-1.4323,1.4603,1.9628,1.9524,1 
4.7713,-1.2408,2.2099,1.9113,3.9069,1 
4.5941,-1.1974,2.768,0.4606,2.9009,1 
3.2983,-0.2096,0.5608,0.7457,2.1529,1 
5.2084,1.0878,3.4415,0.4487,1.3579,1 
3.8243,-0.3652,2.9829,1.5272,2.339,1 
5.1917,-0.6551,2.4885,2.0624,2.1487,1 
5.1456,-0.8909,0.3438,2.1283,-0.8922,1 
4.8878,-0.2572,0.4486,1.8966,2.7402,1 
6.2574,0.9179,2.192,1.5669,1.4367,1 
4.6262,0.1591,3.0904,1.4281,-0.5084,1 
5.8535,-0.8518,3.3813,2.0323,2.7829,1 
4.0745,0.1303,2.2317,3.5702,2.9443,1 
5.733,1.555,1.8517,2.1871,1.7274,1 
6.2524,-0.8147,1.921,2.9941,-0.1801,1 
3.3101,-0.2139,1.9621,0.918,3.2511,1 
4.2621,0.2248,2.9632,2.1042,2.8869,1 
5.315,1.1417,-0.4972,0.8754,2.4714,1 
6.8553,0.1816,3.1207,2.3903,1.79,1 
6.2417,1.0847,2.6858,1.952,0.9925,1 
6.4351,-1.4491,0.9917,0.9671,2.847,1 
5.3966,-0.1059,2.2304,3.0579,2.5404,1 
4.19,0.7895,0.9466,2.4396,1.6833,1 
2.9874,0.0069,0.4413,1.3343,0.617,1 
3.4816,-0.9932,1.4644,1.8432,2.5208,1 
6.0169,0.4164,2.4179,3.935,3.2054,1 
5.2761,-0.7186,2.5197,2.8046,3.6625,1 
3.7091,-0.8052,2.1458,3.4186,3.4153,1 
5.0501,-2.7798,2.9086,2.5334,3.1923,1 
7.1245,-1.1119,1.7128,1.9515,1.3382,1 
5.6358,0.5541,-0.3365,1.4814,3.4963,1 
4.162,1.5302,3.0193,0.9991,-0.1103,1 
5.9347,1.146,1.6946,1.7761,1.3759,1 
4.6041,1.6864,2.8148,1.5771,0.7356,1 
5.5492,-0.172,1.5001,2.0593,1.3691,1 
5.0978,-0.5785,3.1178,1.7907,1.2509,1 
