Feature1,Feature2,Feature3,Feature4,Feature5,Class
3.5571,9.1138,2.7865,1.5662,2.6189,1 
2.8379,10.4419,2.4547,1.4125,3.2197,1 
1.6454,9.3378,2.3258,1.7188,2.0559,1 
3.4615,10.3868,2.9682,1.979,1.636,1 
1.0915,9.7431,0.934,1.4467,3.2801,1 
1.3026,10.4204,3.5562,1.903,2.2361,1 
1.6232,8.4236,3.3451,1.0543,2.5448,1 
2.695,10.1138,3.0546,0.6953,1.2628,1 
2.2762,6.6424,1.8308,2.5063,3.4062,1 
3.3959,10.7282,2.6031,2.7507,3.4121,1 
1.531,9.5555,4.1717,2.0586,1.9903,1 
0.4814,11.5606,3.5411,0.758,1.9092,1 
1.4006,10.0866,1.3067,0.5358,2.6444,1 
2.6901,9.3759,2.7381,3.435,1.7868,1 
0.9731,11.3968,1.5524,2.4544,0.2529,1 
3.4689,9.9992,2.1348,2.7098,4.3272,1 
4.7285,9.5536,1.4465,2.1664,2.7798,1 
2.6998,8.9762,1.8993,-0.5423,3.1618,1 
1.8869,12.0655,0.8826,0.4966,4.0296,1 
2.2114,11.7218,4.0984,0.5783,2.2338,1 
1.2094,9.9117,1.3477,2.2239,0.5384,1 
1.7335,8.8827,1.842,-0.405,0.5296,1 
2.3233,10.1999,1.1322,1.6775,0.0572,1 
1.7369,10.0913,-0.2063,3.0343,0.7237,1 
4.6916,10.6446,1.4618,0.6384,2.6265,1 
2.1113,10.1442,2.7798,1.6567,1.2986,1 
2.2456,9.5565,1.9439,1.7146,1.5548,1 
2.5566,9.0414,0.5131,1.7001,1.9329,1 
2.8068,10.8188,2.9366,2.6568,1.8914,1 
1.4983,11.5541,0.7653,2.277,1.8455,1 
1.7971,10.815,3.1825,2.1391,2.6314,1 
3.5992,10.41,1.924,3.4609,2.2304,1 
2.7404,10.956,1.4905,2.3901,2.2044,1 
2.0445,13.4482,2.2913,2.8994,2.4709,1 
0.6594,9.851,3.4998,1.8314,1.2773,1 
2.244,10.7699,3.1839,3.1062,1.1482,1 
0.0112,9.1688,3.4146,1.3998,2.0363,1 
2.469,8.558,1.4834,1.2201,1.4399,1 
2.2677,10.4342,1.9331,1.6012,3.1392,1 
1.9648,10.1418,0.7145,2.9055,1.7479,1 
1.7706,9.9342,2.5737,2.9614,1.0999,1 
-0.3742,10.7239,2.1797,1.8159,1.7917,1 
1.125,10.8134,2.2435,3.9883,0.3534,1 
3.3676,11.4497,1.7548,1.0658,0.2986,1 
3.7394,8.7737,2.5513,2.4046,1.859,1 
1.5772,9.6071,1.8772,0.8885,1.3584,1 
3.6691,9.8377,1.1221,3.1174,-0.1037,1 
2.6441,11.0277,2.0148,2.5355,0.2616,1 
