Feature1,Feature2,Feature3,Feature4,Feature5,Class
2.076,9.6001,2.2473,2.4469,2.0922,1 
2.759,9.3121,1.407,1.9017,0.4858,1 
1.0865,10.2709,1.7819,0.5243,1.7671,1 
1.038,9.7652,2.0239,2.5682,1.2282,1 
2.4118,10.1285,1.6735,0.6817,0.8681,1 
1.1845,11.9876,0.9962,2.647,2.8608,1 
2.6831,11.58,1.5786,1.265,2.8825,1 
2.2556,9.0598,1.5741,1.7789,2.9724,1 
1.2704,10.9278,1.3312,1.0646,1.8532,1 
0.3083,9.5767,3.3434,2.8671,1.6705,1 
2.3315,8.8446,1.6967,1.5036,-0.0486,1 
1.2741,11.7266,2.1272,2.312,1.6875,1 
2.4796,9.9081,0.8633,0.8475,0.3945,1 
1.2203,11.0809,1.5911,1.2919,2.6861,1 
1.8322,9.1195,2.2831,2.0832,2.3769,1 
2.0123,10.4276,3.6049,0.4484,3.6505,1 
1.6172,10.8027,1.0657,3.162,1.438,1 
1.518,9.0849,2.3878,0.9772,1.9246,1 
3.5324,10.3494,1.448,2.784,2.0661,1 
1.0935,9.0199,2.0368,2.101,1.648,1 
2.043,11.2582,1.3173,1.3319,3.9793,1 
2.1974,9.3587,3.448,2.9936,2.1825,1 
3.5778,10.8441,3.2999,3.8342,3.4054,1 
2.9411,7.739,2.8001,1.547,0.8353,1 
2.9061,11.0929,3.1158,1.1345,1.4638,1 
1.8315,11.4288,1.0947,1.1092,3.7652,1 
2.3202,10.9821,0.86,2.0427,1.7689,1 
2.3716,9.459,0.5131,0.0289,2.0586,1 
3.8311,7.857,2.4555,1.9545,1.8349,1 
-0.07,11.7126,2.7496,0.8432,1.1198,1 
3.7046,11.5937,3.6283,1.7108,1.2724,1 
1.779,11.3024,2.6741,3.4073,1.4425,1 
2.1509,8.6892,1.4001,0.6867,3.0815,1 
0.4309,10.4024,1.8887,3.1598,2.5987,1 
1.4616,9.5796,1.6615,2.8836,0.9585,1 
2.8949,11.0355,0.0158,2.0981,2.6192,1 
1.8446,9.2711,2.7525,2.2549,0.9455,1 
1.8458,10.7384,-1.1647,1.0042,0.5622,1 
1.3489,9.9912,0.6872,0.6049,1.7539,1 
2.3206,11.6294,1.7153,1.2372,0.7494,1 
3.5786,8.5033,1.5246,2.8284,1.4604,1 
2.8837,10.7658,3.4332,2.4792,0.9265,1 
2.7843,7.9266,2.0574,0.4529,2.683,1 
0.923,12.1127,1.6812,2.8581,2.1154,1 
2.0734,9.0275,0.0904,1.8384,1.7425,1 
0.4266,10.1045,-0.0856,1.3072,0.2502,1 
2.5214,9.6356,0.8869,1.4133,1.9303,1 
2.2409,10.7254,0.6384,2.354,1.5227,1 
2.4997,9.9892,2.1019,2.957,2.5225,1 
2.545,9.6002,1.7329,2.069,1.2009,1 
2.6638,7.7772,3.5057,-0.3166,0.7256,1 
2.6277,10.0436,1.0916,1.9133,3.3813,1 
