Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
-1.651,0.281,1.6364,1.5361,2.952,1.4438,1 
0.5981,-0.9726,1.2124,1.7111,2.6461,2.2239,1 
-0.1029,0.7617,0.6003,2.5929,1.1965,2.6219,1 
-1.5767,-0.6872,1.2144,4.0515,2.8705,2.4294,1 
-0.4629,0.8498,3.0134,1.3856,2.0374,1.5392,1 
0.7673,0.4705,1.7737,2.5208,2.3945,0.9664,1 
0.0556,0.1238,1.306,-0.5454,1.5444,2.1914,1 
-1.3335,-0.7427,4.1471,1.4454,2.94,2.0683,1 
0.1093,-0.6331,1.8825,2.3948,2.335,2.257,1 
-0.5996,0.2156,0.4184,0.24,1.9268,2.0475,1 
-0.6075,-1.1258,2.5483,1.7106,-0.2414,2.6382,1 
2.4216,-1.3303,2.3121,2.3817,1.8049,2.1415,1 
0.0833,0.0276,2.6157,2.4325,2.6364,-0.4257,1 
-1.5928,-0.283,2.8888,2.3453,2.7794,1.1859,1 
0.2908,1.1234,1.323,2.5008,3.5826,3.389,1 
0.0041,0.1626,1.4053,2.9237,1.2869,2.0346,1 
0.3557,-0.4594,0.5609,1.4063,0.9827,-0.3555,1 
1.1499,-0.3752,1.919,1.3102,2.3732,2.1584,1 
-1.2007,-1.0682,1.749,1.5257,2.0452,1.142,1 
-0.5767,0.6918,1.9454,2.9103,3.5505,1.0755,1 
1.7449,-0.0541,1.9057,1.5709,1.3102,2.3363,1 
2.5386,0.1518,3.5807,3.4328,0.7346,2.3062,1 
0.7243,-0.0475,0.6227,2.4697,2.3653,2.0716,1 
0.2198,0.1528,1.6327,1.252,1.518,3.4289,1 
-1.743,0.2971,1.4834,0.7954,0.1975,2.4198,1 
1.0067,-1.5633,2.4641,-0.4472,0.8754,1.2098,1 
-0.5891,-1.1988,2.4476,2.9702,0.4186,2.474,1 
-1.1143,1.7561,2.2571,1.8149,3.3112,2.1818,1 
-0.9647,0.2455,0.8803,2.8339,1.088,2.543,1 
-1.3477,0.0274,1.1127,0.7126,3.925,2.0952,1 
0.2918,-0.3272,1.7207,0.5875,0.3773,1.4339,1 
-0.1285,-0.7787,1.4473,2.1883,2.0335,2.0595,1 
-1.0103,0.027,1.1501,0.0325,1.5774,1.237,1 
0.1622,-0.2479,2.0839,0.3807,2.2489,1.5503,1 
1.1511,1.5046,3.7908,2.1786,1.2027,3.0202,1 
0.2112,-0.2579,2.5936,2.1117,2.4436,1.4367,1 
-1.6555,-1.2323,2.0107,3.2682,1.569,2.2903,1 
1.1279,-1.2335,2.0146,3.4695,1.9708,2.5037,1 
-0.6854,-0.534,1.875,3.4903,1.5483,1.5468,1 
0.7927,-0.2208,4.2575,3.1181,1.479,3.034,1 
-1.4068,-0.5665,2.0223,1.898,2.3837,1.382,1 
-1.2577,-0.0278,1.9097,2.6591,2.8733,2.8193,1 
-1.58,-1.0733,2.6123,2.7493,1.442,1.5852,1 
-0.3233,0.7142,2.1169,1.4816,3.2629,0.8851,1 
0.3075,0.2726,2.6205,1.1506,0.8392,1.4644,1 
0.3481,-2.0661,0.869,1.9949,2.5997,3.0535,1 
2.0156,-0.1408,1.6169,1.9914,2.3632,0.3594,1 
-0.0363,0.0496,1.1653,1.3218,1.7961,1.2309,1 
-0.4517,2.5256,2.1906,3.363,1.3842,2.9797,1 
1.0658,0.973,2.1861,1.0047,0.0695,-0.502,1 
0.771,-1.412,2.1818,3.3001,3.719,2.0485,1 
-1.9932,1.1403,3.1184,2.3614,3.3211,3.3361,1 
0.6584,-0.5709,1.5475,2.6218,1.7587,2.8099,1 
1.9858,-1.9041,3.5408,3.6213,2.9939,1.3171,1 
1.2037,1.5913,0.0189,1.6655,0.2692,1.3854,1 
-0.7118,0.5041,-0.0971,2.7935,2.7012,2.6777,1 
-1.2466,0.4309,0.7789,1.2196,0.8517,3.5053,1 
-0.1804,1.0192,4.4005,1.666,2.9261,2.1041,1 
1.0974,0.2227,2.9942,1.9531,2.5662,2.1114,1 
0.911,-1.034,2.092,3.1962,2.8042,1.1001,1 
1.2587,-0.0374,1.8079,-0.1216,1.5555,2.9816,1 
1.174,-0.4587,2.8935,2.7343,1.4496,1.8159,1 
1.1101,1.8232,-0.7672,1.0526,1.8123,1.2488,1 
0.9264,0.7594,1.257,1.7781,1.3353,2.1735,1 
0.7245,0.1986,0.5242,2.5556,2.0062,2.8928,1 
1.865,0.6692,1.0782,0.1339,2.8277,1.348,1 
-0.7152,-0.783,0.6702,3.3957,0.4795,2.3898,1 
-1.0021,-0.3503,1.1987,-0.001,1.8675,1.8613,1 
1.2631,1.8443,1.2835,2.2077,2.8474,1.9607,1 
-0.8974,0.9735,2.2606,2.0895,2.3574,0.2001,1 
-0.2028,-0.8892,1.5545,2.5559,1.2596,0.9845,1 
-0.0643,1.0002,1.2922,1.0875,0.4,1.3151,1 
0.1238,-0.9118,1.1179,1.2995,1.9314,0.5899,1 
-0.7106,1.5708,1.727,2.1688,3.5517,0.9091,1 
0.5303,-1.8962,1.6564,-0.0189,2.6361,2.1866,1 
0.3686,0.6057,1.2635,0.2,2.9892,1.3175,1 
1.1697,-1.744,1.2553,1.8654,1.4015,1.9155,1 
-0.0233,-0.5359,0.6621,1.0655,2.6447,2.5858,1 
1.4007,-0.0481,2.6103,1.6343,1.1192,2.0738,1 
-1.2685,-0.8364,1.8414,0.4562,1.3628,1.2651,1 
1.4373,-1.8458,1.0776,2.4658,1.795,1.0525,1 
0.904,-1.0457,-0.4046,3.0015,0.5892,1.3777,1 
-0.8555,1.9355,2.1595,2.8683,2.165,2.73,1 
1.28,-1.7308,1.4019,2.239,1.8796,-0.0199,1 
1.3158,1.0854,3.1586,1.1827,1.8546,2.4189,1 
0.1393,-1.5619,4.0121,1.9439,2.6059,3.7306,1 
0.86,1.0438,3.9168,2.5064,2.2001,1.7967,1 
0.6597,0.9163,2.0993,1.0291,1.8962,2.3967,1 
1.1879,-1.1555,0.2999,1.1987,2.3593,1.1512,1 
-0.6234,1.8664,2.0138,4.4061,-0.059,1.9105,1 
-0.9313,-0.6643,3.0879,1.6169,1.3504,3.5468,1 
-1.5019,-1.4913,1.4989,1.3475,1.2139,3.0938,1 
-1.1634,-0.9071,1.6345,3.205,1.73,1.8726,1 
0.2511,-0.465,2.0217,0.2475,3.7001,0.737,1 
-0.7136,-1.7894,2.0328,1.3366,2.0781,1.4213,1 
0.0916,-1.1071,3.2243,1.6309,1.5383,1.6541,1 
0.9348,1.0829,3.1006,2.4703,1.7488,0.8286,1 
0.3753,1.3009,1.1347,2.9257,2.15,3.8967,1 
1.489,0.9761,1.5958,1.7013,0.9687,2.8917,1 
0.4221,0.4551,3.6437,2.1211,3.1684,2.1496,1 
0.2017,-0.7357,4.7745,3.1365,2.3999,4.0884,1 
0.4106,-0.5898,1.3137,0.5764,0.7625,1.201,1 
1.1246,2.6996,2.8896,3.3867,1.6641,3.0789,1 
-1.7644,-1.1573,2.1906,1.7303,1.8286,2.3551,1 
1.0754,0.7193,1.505,1.0252,1.7971,1.2821,1 
-0.061,-0.5481,2.4719,1.93,1.9057,2.1275,1 
-1.4313,-0.1353,2.1023,2.1614,1.4829,0.6052,1 
-0.792,-0.1485,2.6,0.808,1.817,1.342,1 
1.0521,-0.5655,1.9072,2.9857,2.3645,2.7248,1 
0.6635,0.8167,1.8893,1.7982,2.016,3.0504,1 
