Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
0.2804,-0.2078,1.4017,1.2306,1.8929,0.7182,1 
-1.07,1.1505,2.301,2.326,1.5504,2.8139,1 
0.5011,-0.2847,2.4463,2.3328,2.0282,1.979,1 
-0.6416,0.7889,0.469,0.9068,2.9457,0.592,1 
-0.517,-0.3002,1.0866,1.649,3.3575,1.1299,1 
-0.9079,0.2044,1.2351,3.0944,1.5829,0.4013,1 
-1.3985,-0.2653,0.6815,1.6456,0.5191,0.2843,1 
0.2003,-1.116,2.1914,0.067,2.0521,2.4816,1 
-1.9934,-0.4932,2.0063,0.6673,3.8787,2.6704,1 
-1.5502,0.669,0.6026,1.695,2.9985,2.1197,1 
1.1274,-0.6725,0.6179,1.7472,0.4604,2.488,1 
0.8478,0.1038,0.6677,1.4049,0.5399,0.5957,1 
0.2732,0.7516,2.0726,2.7251,0.9245,2.8363,1 
-0.2014,-0.1451,3.4292,3.3093,3.2336,3.6425,1 
0.1783,-2.3344,2.1502,2.3387,1.3522,1.1048,1 
0.3345,0.2248,0.7898,0.1223,1.751,0.8643,1 
-1.7203,-1.2163,2.468,0.1078,3.0355,3.6324,1 
0.7783,-0.0942,3.1956,3.217,1.8742,1.3446,1 
0.0198,-1.3506,2.7068,2.9584,1.6044,1.2674,1 
-3.0356,0.6069,2.6346,3.7102,2.4046,1.6307,1 
-0.885,0.4325,0.8207,3.1972,2.7909,1.067,1 
0.5252,-0.1502,1.4098,1.593,1.8525,1.0886,1 
1.4713,0.3536,2.0396,1.4724,2.0094,1.9946,1 
-0.7375,-0.3925,0.0322,1.8581,2.1514,1.9149,1 
1.1011,0.0621,1.4727,1.159,1.7988,2.7273,1 
-0.5837,1.6865,4.5849,1.5686,1.5337,2.5784,1 
0.9432,-0.361,1.6575,2.3624,2.1866,2.4755,1 
1.0322,-0.808,2.8014,0.6042,1.1323,1.1255,1 
0.0861,-0.4691,4.0486,3.0024,2.6936,2.6602,1 
-0.2863,1.0589,1.4697,1.0792,1.1817,-0.7465,1 
0.6589,0.6563,3.2121,1.028,1.7102,3.2814,1 
1.3147,-1.7527,1.7341,1.9599,2.2213,2.384,1 
0.4423,0.8491,1.7061,2.1689,2.4504,1.8768,1 
0.3122,-1.8829,2.3637,2.3165,2.038,0.8986,1 
0.1967,-1.3689,1.0615,2.226,1.7405,2.0776,1 
0.5296,0.1684,3.516,4.4283,2.7205,1.6252,1 
-0.0134,0.8665,-0.2415,2.6989,2.5739,2.1443,1 
-1.5612,0.1284,3.3854,0.4712,2.5922,2.6482,1 
1.9924,0.7968,4.0331,3.0348,3.7332,1.4489,1 
-0.7095,0.4325,3.5826,1.3785,1.9524,2.9282,1 
0.3015,-0.3207,1.3869,2.0956,1.7141,2.8428,1 
