Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
1.1003,-1.9826,0.8498,4.1929,0.0986,1.5661,1 
-1.1356,-1.0333,-0.372,2.7033,2.3848,3.7505,1 
-1.1951,0.2951,2.0483,1.8287,1.495,0.6315,1 
-0.1026,-0.3866,1.5439,0.6408,1.6031,2.5946,1 
-1.3779,0.5118,1.4587,1.5091,2.3262,2.7387,1 
-0.13,-0.0335,0.6501,0.9738,0.1236,0.6417,1 
1.8573,1.705,0.6295,2.6752,1.6254,1.4577,1 
0.9701,0.7669,1.0742,2.0866,2.1305,3.3577,1 
-1.0636,1.234,1.6502,1.7756,2.3823,4.4046,1 
1.2075,-0.1216,3.1814,1.7934,1.2626,0.1427,1 
0.8138,-1.2813,3.6353,2.9766,2.1275,2.268,1 
-0.684,-0.2994,0.0786,1.7252,0.0794,2.6478,1 
-0.0799,-0.8163,1.937,3.1084,1.274,2.1759,1 
-0.6256,0.0613,2.0216,3.7135,1.5738,3.1191,1 
-1.2391,0.0961,0.4482,-1.0408,1.5736,1.4597,1 
-1.0825,-0.9441,3.567,1.2216,2.4357,3.0664,1 
1.2726,-0.8732,0.6004,3.4772,1.8169,1.5069,1 
0.4989,-0.7617,2.3389,1.6763,1.1479,3.2058,1 
-0.3782,1.0447,-0.3811,3.811,1.3011,2.1743,1 
1.3429,0.8544,0.7998,1.4731,1.6721,1.102,1 
-0.9308,1.1882,0.2139,2.1191,2.8444,1.0564,1 
-0.7034,-1.3682,1.7861,2.3444,3.5586,2.0723,1 
0.2987,-0.868,1.2441,1.1999,1.8309,2.6493,1 
1.447,0.5512,0.9969,2.1941,-0.1743,1.0246,1 
0.202,-0.1392,1.2934,1.5694,-1.0478,1.5337,1 
0.9439,1.1546,2.3659,1.9559,1.3562,2.3631,1 
0.546,-3.147,0.4987,3.4004,1.3669,-0.1127,1 
1.2347,0.5186,2.0688,1.767,0.7048,1.7833,1 
-0.402,-0.0484,1.3378,1.8949,1.6015,2.5637,1 
0.7404,0.7437,1.3413,1.899,1.8068,0.8842,1 
-0.2312,-1.1163,-0.5511,1.8415,0.2048,2.083,1 
-1.9233,-1.6615,1.0911,2.7753,2.162,3.0403,1 
0.7057,0.3705,2.7726,1.116,3.5519,2.1427,1 
-0.9638,0.8465,3.0323,2.7385,1.1968,1.4306,1 
-1.7551,-0.2413,0.8137,3.9742,2.908,3.2181,1 
0.2444,-0.3509,2.4024,1.6,1.2239,1.7871,1 
1.3718,-0.651,3.1236,0.7071,2.5785,3.6515,1 
1.7166,-0.2021,3.0822,4.8069,1.9599,0.8624,1 
-1.5782,-0.4791,1.7851,3.8303,2.3023,0.8353,1 
-1.1754,-1.09,2.1762,1.3693,0.016,3.0773,1 
0.4301,-0.0973,3.0888,2.5738,3.6561,4.0336,1 
-1.8082,1.2781,2.9445,3.0457,1.5774,1.4287,1 
-0.7673,-0.0466,3.3381,2.1793,2.1939,1.6093,1 
0.5257,0.4491,2.4588,1.3222,1.0664,1.154,1 
-1.2555,0.624,2.8426,0.7373,0.7783,1.3087,1 
2.0057,0.2843,3.4687,0.6115,2.9143,4.7068,1 
0.7874,-1.2283,2.3708,1.8059,1.1103,2.5696,1 
0.584,0.2314,0.6759,1.724,1.718,2.8099,1 
-0.7447,-2.7569,1.698,4.5349,0.6744,2.8374,1 
1.7277,0.8821,-0.2915,3.0233,3.6459,0.2285,1 
-0.3962,0.5594,3.0772,1.8764,3.765,2.5589,1 
-1.0225,-0.1726,0.0369,2.2143,1.8973,2.2058,1 
-0.0719,0.8583,1.0779,1.5917,1.037,1.4523,1 
-1.308,-0.1534,1.6518,1.535,1.4518,2.1672,1 
-1.4391,-1.931,2.4066,0.122,2.6435,2.0844,1 
0.2382,-0.3378,3.9273,2.4037,2.5445,1.5312,1 
0.4739,0.3475,2.4955,1.0942,2.8314,3.5088,1 
-0.4112,0.0689,2.8161,3.244,1.7205,2.2304,1 
1.3852,0.6335,2.5193,2.8413,2.3381,3.5537,1 
-1.7872,-0.5215,2.6759,0.4691,3.0072,1.1021,1 
-0.1445,1.3811,1.3748,2.107,2.8112,2.0007,1 
0.1792,-0.1324,2.2963,2.3208,-0.237,2.0622,1 
1.4367,-0.4081,1.6591,0.432,1.756,3.9191,1 
-0.7617,0.5541,2.1171,1.3126,1.2522,3.1426,1 
-1.3073,0.0523,2.4204,3.0912,2.2301,2.5144,1 
0.2115,-0.626,1.154,3.0635,-0.076,3.1272,1 
-0.0025,0.0377,2.0947,1.5835,3.0223,1.5587,1 
-0.6657,-0.652,1.9959,1.0888,1.8761,3.7087,1 
1.1028,1.3336,1.2307,0.9532,1.0989,3.5525,1 
0.2211,0.0205,4.012,1.3141,0.6138,0.9827,1 
-1.5002,1.6693,3.0828,1.8945,2.6415,1.8166,1 
0.0173,0.233,1.6365,0.3996,2.013,0.8067,1 
-1.2048,-0.6255,2.7361,3.2411,1.983,1.2558,1 
