Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
0.9155,-0.6035,3.1623,1.3986,0.4025,2.3977,1 
1.2059,1.0563,2.8525,2.6894,1.7753,1.4778,1 
-0.8401,1.1806,0.6712,1.8756,1.5025,0.0529,1 
-1.8487,0.2647,2.9346,0.83,2.7396,0.8878,1 
-1.9819,-1.1939,2.1686,-0.0986,2.0192,2.3022,1 
-0.9604,1.5918,2.3523,1.3481,0.838,-0.283,1 
-0.6627,-0.2741,3.3758,1.8098,1.8424,0.6191,1 
-0.1847,-0.1042,2.0845,2.7738,0.4251,0.5846,1 
0.9306,0.3959,3.422,-0.4688,2.1994,0.7816,1 
-0.7409,1.0623,1.2858,3.8547,3.5246,0.2062,1 
-0.6275,0.1301,3.7248,1.2988,2.1319,0.2977,1 
-2.1058,0.7351,1.3294,1.849,1.8001,1.8421,1 
1.5103,-0.4221,2.792,3.4732,2.8749,0.8258,1 
0.6036,-0.8364,3.436,3.5949,2.4013,3.8984,1 
1.7839,1.4438,2.7938,1.5734,0.5182,2.3587,1 
0.1881,0.9348,1.8191,2.8999,4.1205,2.91,1 
0.0534,0.1511,0.5075,1.7122,1.6707,2.5337,1 
0.2671,-0.6292,1.8909,1.704,2.9618,1.838,1 
1.662,-0.513,0.716,-0.2521,1.1277,2.9984,1 
1.8849,0.9436,1.4568,2.2386,-0.3397,2.1148,1 
-1.9734,-1.2596,2.345,1.7039,3.3686,1.7907,1 
-1.7186,1.1012,2.7919,2.4627,2.3276,1.529,1 
2.234,1.834,1.8926,3.0381,1.9486,0.7538,1 
-0.0433,-0.9034,2.6589,2.3053,0.8056,1.0888,1 
1.0,0.7559,0.9095,1.3715,2.2513,0.9979,1 
0.0098,0.6064,1.7104,3.0621,2.0993,2.7247,1 
-0.0997,-0.5964,3.425,1.0035,4.9383,3.092,1 
1.2946,0.572,0.8293,2.1461,1.6428,1.5392,1 
-0.5195,1.1028,0.4512,1.7574,3.1169,2.4331,1 
-0.8158,0.8235,1.424,2.332,0.776,2.711,1 
-2.0956,0.3802,1.4727,2.5706,-0.5025,1.294,1 
0.1482,-1.3724,3.6575,-0.1254,1.6427,0.2851,1 
-0.5949,0.4432,2.0503,2.3079,1.9809,1.9481,1 
0.393,2.1187,2.5061,2.1467,1.848,0.696,1 
-0.7327,-0.6969,3.0279,2.8309,2.8839,1.7968,1 
1.0738,0.1746,2.47,1.5429,2.4376,1.9306,1 
