Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
1.4563,-0.1124,2.2796,3.827,0.6898,-1.7376,1 
1.0521,-0.2247,2.4001,2.9406,2.3355,3.9128,1 
-0.4088,0.5276,3.2566,2.6443,1.1687,2.7853,1 
-1.7486,-1.2497,3.276,2.224,1.3239,3.1185,1 
0.2121,0.068,1.6645,0.5427,2.478,3.3965,1 
0.0943,-0.2809,2.9532,2.6905,2.4353,0.6889,1 
-0.9641,0.8001,0.1456,3.1511,-0.3804,2.5408,1 
-1.0107,0.7304,0.3774,0.9664,0.8108,1.8118,1 
1.0989,-2.1713,2.0113,2.2276,2.6674,1.4756,1 
0.8895,1.913,1.1782,2.2727,2.7089,4.2576,1 
-0.4664,-0.4824,1.7067,3.2999,2.4418,0.8909,1 
-0.4974,0.9272,1.8592,3.1904,1.6883,2.4853,1 
1.3426,-0.5149,1.2927,0.4303,1.0776,2.1125,1 
-1.0398,-2.5956,2.7968,0.5336,1.4327,1.6863,1 
-1.5962,-1.2456,0.9857,2.3239,2.4477,2.0696,1 
0.7225,-1.5928,2.8535,-1.0583,1.9143,2.295,1 
0.1131,1.0251,0.54,0.8543,0.4798,1.0989,1 
0.8434,-0.1817,2.8049,3.6742,1.7274,1.1133,1 
0.0586,0.2623,2.8287,2.7196,1.0523,1.5971,1 
-0.3925,0.7133,1.4612,2.0957,0.3289,3.2496,1 
0.9493,0.658,0.9644,2.0448,2.9604,2.9069,1 
-0.3802,-1.0581,1.6129,2.3304,1.4413,2.3513,1 
-1.2441,1.818,1.4466,0.4393,3.0001,1.956,1 
0.1939,1.1895,3.7127,1.6556,1.3047,3.0579,1 
0.3866,0.0724,1.9824,1.667,1.9665,2.0388,1 
-0.7485,0.8507,2.5638,1.758,3.4392,1.6517,1 
0.7031,-1.1847,0.9019,-0.1712,2.4301,3.698,1 
-0.0379,-0.2413,1.4113,-0.3415,-0.1816,2.9831,1 
1.2765,-0.576,2.2184,1.4457,1.2634,1.75,1 
0.5707,-2.2999,1.5407,0.5477,2.3263,2.1339,1 
-0.718,1.2074,2.2475,2.1626,1.617,2.9901,1 
0.0019,-0.0571,2.5104,2.7441,1.5429,2.4166,1 
-0.2446,-3.2545,1.041,2.3406,1.0802,2.996,1 
0.104,-2.6782,1.4568,2.5748,2.9865,3.6407,1 
1.3093,-0.263,1.4266,1.3494,2.0026,1.0966,1 
0.6744,-0.0651,0.2177,2.8372,0.9583,2.7308,1 
0.1648,0.1083,2.1873,0.7021,2.9797,2.6215,1 
0.9275,-1.0273,1.7831,1.8627,2.2935,1.8922,1 
-1.2509,1.3345,2.9818,2.2621,2.2587,2.5554,1 
-0.729,-0.0299,1.4233,1.8243,1.676,0.5688,1 
-0.4317,-2.0313,2.0655,1.6545,2.8993,0.3957,1 
-1.8015,-1.7354,-0.5534,1.0949,3.0032,2.8275,1 
0.3776,-0.799,3.0311,3.6748,0.7702,1.4739,1 
-0.6711,-0.5568,3.445,3.4915,1.4688,2.6065,1 
-0.0889,0.4387,1.6428,2.3726,2.3016,2.79,1 
0.6186,0.028,1.709,-0.4426,1.7098,3.3736,1 
0.0617,-0.1343,1.3932,3.4949,2.7984,0.7851,1 
-0.6993,-0.4631,3.5673,1.0313,1.7131,2.2652,1 
-0.7901,0.5644,-0.1769,0.9777,2.1004,2.8693,1 
1.2077,-0.1124,3.2841,1.0877,1.9608,2.8499,1 
0.0607,0.0001,1.9304,0.2403,1.5949,2.3969,1 
-0.4897,-0.4077,2.8658,1.507,2.4795,1.3303,1 
1.8737,0.454,2.1305,0.3815,-0.2853,1.7317,1 
-1.4081,-1.4281,3.7008,0.48,2.6525,2.4046,1 
-1.2151,-0.8897,1.6188,0.507,2.5401,1.2168,1 
0.6241,0.8158,1.3057,1.4159,1.529,3.7583,1 
-0.1069,-1.1782,1.4347,2.6755,2.5966,3.3267,1 
-1.4884,-1.1849,2.1468,0.7345,1.6933,1.1693,1 
-1.0214,0.5538,1.3898,2.2999,2.5079,1.6432,1 
1.3287,0.8304,1.8978,0.9926,1.4061,1.8008,1 
-0.5015,-0.0832,2.5505,2.509,0.4746,0.3427,1 
0.7655,-0.1786,4.9493,1.8037,2.0516,0.4538,1 
-1.6932,0.3249,1.389,3.4913,2.1355,1.1147,1 
0.38,-0.5489,3.0343,3.5895,-0.3484,2.2833,1 
0.7209,1.407,3.2441,1.566,1.5642,2.203,1 
-0.6721,0.0219,1.3712,1.0075,2.3921,2.0766,1 
-1.0766,-0.6586,2.9625,3.1601,2.633,1.5987,1 
0.097,1.9937,3.4654,2.169,1.7106,3.37,1 
-0.0725,-0.9769,1.8778,0.9191,1.5292,0.3497,1 
