Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
5.108,-0.1365,1.9809,2.0661,1.6251,1.6828,1 
5.4501,-1.3994,1.4139,3.0954,0.5023,2.2745,1 
5.3552,-1.1251,0.975,0.0512,2.5142,1.927,1 
5.7397,-0.615,3.1651,0.4979,3.1392,2.2864,1 
5.9218,1.64,3.1555,2.4963,1.388,2.7785,1 
5.216,0.785,1.3149,1.5433,0.9238,2.1143,1 
4.7217,-0.7699,0.8322,2.2037,2.2997,-0.2485,1 
5.0935,-0.6821,3.6685,2.6533,3.8377,0.1996,1 
3.4457,-0.0461,1.5606,3.126,0.9357,3.4974,1 
4.7013,0.408,2.8236,1.5261,3.5031,2.9407,1 
6.2108,-0.4842,0.3518,0.8561,3.1198,0.7224,1 
6.2209,0.4418,0.8505,1.2028,2.1196,2.131,1 
4.8775,1.7653,1.6575,1.9248,-1.3217,2.6657,1 
3.2271,-0.0116,0.8193,1.3796,2.1843,2.2209,1 
4.1241,-0.3291,2.2577,3.2589,2.1156,1.9724,1 
4.7565,1.2273,2.9161,3.1338,2.3315,0.4881,1 
5.9468,2.0104,3.8819,2.5102,2.4664,2.5032,1 
4.0734,0.0387,0.2805,1.1123,3.1502,1.1242,1 
5.5826,0.0342,2.3751,1.7616,4.2346,0.7893,1 
5.8599,-0.0898,1.6195,1.9532,2.4647,1.8924,1 
4.0425,-2.2828,1.686,0.8822,1.0972,2.5642,1 
5.1087,-0.1243,1.5173,2.0982,3.1034,1.2783,1 
6.1259,0.8622,2.0956,3.2461,1.9908,2.9653,1 
4.9161,0.0484,1.4473,2.4028,0.2269,2.3281,1 
4.3365,-1.6893,2.1917,2.2354,0.1641,1.5476,1 
6.8399,0.0419,1.5726,1.3297,3.6127,2.1548,1 
4.5498,1.0269,3.3873,3.1176,1.4746,1.8242,1 
5.0773,-1.0033,3.1522,0.6665,2.036,2.589,1 
4.4464,0.5637,2.2972,3.2391,1.9772,1.9386,1 
6.5449,-0.0661,0.694,2.8937,0.6739,1.0369,1 
5.8894,-0.9716,2.184,1.9672,0.9084,3.2123,1 
4.7187,-0.871,2.527,3.3796,2.5951,0.2755,1 
4.6584,0.8314,1.3076,2.3503,2.578,1.9457,1 
4.6585,-0.9241,1.8881,-0.1827,1.9259,2.1386,1 
3.3953,-0.9256,2.3893,0.7853,0.8999,2.1658,1 
5.4846,-1.6099,0.9356,2.9837,3.0147,1.6742,1 
5.5092,0.1779,0.9363,1.0512,1.4544,2.0505,1 
4.9131,-0.1841,2.5274,3.6759,2.2964,5.1045,1 
5.2228,0.711,1.7905,1.729,0.74,2.1919,1 
6.2638,0.669,1.6337,3.2624,1.3366,2.5104,1 
5.6761,1.2492,1.9138,3.2333,1.0543,3.8374,1 
2.5366,-1.2554,3.0351,2.3383,3.1338,1.8243,1 
5.2428,0.2829,2.8303,0.2615,1.0513,0.7963,1 
3.6839,0.3792,2.6097,1.2516,0.7796,1.7168,1 
5.5693,0.0823,2.0768,1.5208,0.3104,2.2961,1 
5.7867,0.6357,2.0975,2.4153,2.3563,1.3164,1 
3.7236,-0.0889,1.778,0.3153,1.3785,1.8421,1 
4.023,-1.4873,5.0217,1.9262,2.2877,2.8442,1 
5.1025,-0.5866,1.8798,1.4144,2.2223,0.4409,1 
5.4828,-0.994,1.298,1.9078,0.4632,3.894,1 
5.8825,0.722,0.4611,1.6854,1.9328,2.2327,1 
4.4513,-0.599,3.5548,2.1819,1.7066,2.9132,1 
4.3386,-1.5152,3.3497,2.2774,2.3062,2.2509,1 
2.1815,0.17,2.0878,1.4056,1.9814,2.8253,1 
5.2285,0.0294,1.352,2.1343,2.7814,1.9205,1 
4.8835,0.6707,3.8761,1.9651,1.1139,1.3427,1 
4.6015,-0.2612,1.0961,2.9166,1.7793,1.8388,1 
3.9189,0.4668,1.5775,0.7947,3.3842,2.2068,1 
5.619,1.295,2.1803,1.993,1.016,2.5519,1 
6.9168,0.0021,1.0632,1.2569,3.4813,2.079,1 
5.9432,1.6035,2.3364,2.1312,2.165,2.8049,1 
4.6419,-0.4141,2.0441,2.0571,1.7241,1.8197,1 
3.8551,0.5686,0.9591,0.5258,1.2742,1.1452,1 
5.6938,0.2298,2.5775,2.515,1.341,2.7799,1 
3.38,0.4395,3.6565,3.0673,0.5695,0.5404,1 
4.4606,0.6016,3.325,2.0822,2.3929,3.4602,1 
4.3775,0.5688,1.1368,2.0313,1.3637,0.3908,1 
5.9005,-0.5979,1.5845,0.787,1.3019,2.0619,1 
3.7982,-1.1624,2.9459,3.3036,2.6415,0.8062,1 
4.7715,0.7972,3.1945,2.4875,0.8274,3.6028,1 
5.241,-1.4218,1.9958,1.3778,1.7074,0.9785,1 
4.6497,-1.0446,1.0181,3.7231,-0.0298,1.9041,1 
4.2687,0.0267,1.9739,0.9717,0.9388,3.1477,1 
4.9372,0.0474,0.9874,2.4627,1.6124,2.3833,1 
5.1113,0.8141,4.2219,1.8835,3.7962,1.5691,1 
6.0303,0.5988,2.3887,2.2713,2.4244,1.5012,1 
3.3179,0.5976,2.6849,2.5132,3.2112,2.0028,1 
3.9516,-1.1154,1.3969,1.9367,1.3396,2.5343,1 
3.6973,-0.3273,2.4014,2.0437,1.0299,3.1398,1 
5.4576,0.9538,0.9559,0.8079,1.8873,1.2831,1 
