Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
2.6013,10.2663,0.0318,3.4729,2.951,3.2542,1 
-0.1955,9.2136,1.7491,2.1953,2.4676,0.3142,1 
2.3898,11.1124,2.963,2.6799,2.5686,0.6704,1 
1.8296,9.9753,3.2623,1.4012,3.1226,2.6291,1 
2.991,11.4403,1.8947,1.0108,-0.0339,0.3346,1 
2.7726,9.3503,2.5163,2.2321,1.4893,0.21,1 
1.3671,8.8228,0.5788,1.7324,2.5451,0.8073,1 
3.1384,7.7608,2.22,2.5553,2.2466,1.6176,1 
0.7022,11.0943,3.9263,0.6043,3.2425,3.4535,1 
1.3376,11.3542,2.2571,3.9669,-0.1718,2.6861,1 
0.8756,8.9315,2.2186,1.4759,2.6339,0.9682,1 
1.9537,9.9105,1.1387,1.5212,0.9587,2.6571,1 
3.2575,10.75,0.5418,1.0694,2.3298,2.2498,1 
4.5037,9.3621,-0.21,2.5703,1.5448,2.6451,1 
1.7922,9.2751,1.2495,0.0251,1.2298,2.4963,1 
0.3964,8.9546,1.2746,1.9219,2.7281,3.1151,1 
3.4643,9.7421,2.116,-0.1524,3.8593,0.5498,1 
2.2239,9.7205,-0.3742,0.0935,4.886,2.1416,1 
1.744,8.8715,0.9008,0.9357,1.8352,2.6805,1 
2.311,9.8041,0.8196,0.2389,2.7082,2.1081,1 
0.1206,10.1062,1.3069,1.5086,1.6782,1.5312,1 
0.7925,8.9891,2.0567,2.5968,1.7518,3.2327,1 
4.0108,9.137,2.6884,2.7623,4.1279,1.9443,1 
2.2959,9.7687,2.0049,5.0146,1.7378,2.447,1 
1.2882,10.0573,3.9648,3.0936,2.8747,1.3623,1 
3.3355,8.7088,1.9009,2.8177,1.7169,2.1405,1 
2.1455,8.8895,2.4577,1.8464,2.7451,1.9557,1 
2.3628,12.4244,2.9037,1.0055,2.0582,2.7169,1 
1.9957,8.4557,0.722,2.8531,1.6897,3.0756,1 
1.2635,9.5499,1.4101,0.0877,0.0385,1.4335,1 
0.781,10.103,0.6743,1.45,1.8451,2.2198,1 
0.3786,9.4792,2.7385,2.9389,2.0311,1.2465,1 
1.9323,11.0753,1.8098,2.3771,-1.0404,2.3803,1 
0.4925,11.465,2.8034,2.3832,0.8361,0.8144,1 
